Period,Total_IFE_expenditure,Total_pension_expenditure,Total_labour_income,Total_fam_benefits,Total_IFE_coverage,No_labour_or_pen_income_hh,IFE_ben_18_65,pop_18_65,Total_pensions_post-2016_cost
49,0,8799955.1755971,26937179.4480455,1427392.78129647,0,0.058111201358636,0,37385,17764710.0025356
50,0,9131341.54555399,25958909.7497401,1022664.05401652,0,0.046204499725627,0,37488,20483176.6879652
51,0,8221468.44667294,25059206.8322354,1133454.00724599,0,0.077129326554774,0,37593,19865434.7668041
52,0,8461662.39853205,24355963.4217623,976870.292868545,0,0.054482417038138,0,37707,21496839.4881266
53,0,7212292.78360799,22200433.3069359,990714.226815458,0,0.077321532708998,0,37811,18858978.2622321
54,0,7227976.72152512,20942335.8595084,1032911.19492053,0,0.055679988801008,0,37918,19446188.4654121
55,0,6665010.12273068,20552877.8670443,896746.482452639,0,0.073793174131393,0,38035,18504303.1925063
56,0,7106184.63878283,19638678.703782,1269871.96693519,0,0.061601000625391,0,38153,20255770.5244998
57,0,6565367.99184365,18890885.7832725,1412441.62351308,0,0.07692831138784,0,38248,19378703.2560285
58,0,6880164.31429322,18643670.0976252,1215640.41452573,0,0.053108403623868,0,38349,20711369.2321363
59,0,6421587.20643426,18594134.4801117,1112273.30250419,0,0.066962471209863,0,38441,19898364.4949312
60,0,6734925.6530037,18539217.6167604,1177343.17612904,0,0.055203371826063,0,38538,21659293.0983671
61,0,6020500.70474962,17534340.973106,1283860.42636656,0,0.069806503628057,0,38635,20174391.2627902
62,0,5929868.95767303,16779219.6849919,1065748.14916754,0,0.059672466734903,0,38755,20014710.2499968
63,0,5384798.73655936,15349816.8754141,938838.996562027,0,0.065569885921262,0,38828,19050994.9160723
64,0,4755668.92268459,14297246.2873868,826191.150458459,0,0.055589680589681,0,38971,17490439.3900688
65,0,4624999.31472401,13710945.2053656,1005951.19783518,0,0.069599541176074,0,39049,17349305.2240575
66,0,4574803.33292739,13300994.9440181,883449.09514829,0,0.056672135630298,0,39164,17520986.5839201
67,0,4582842.48874878,12784465.2642195,850567.625101255,0,0.064011620051344,0,39249,17904199.2173535
68,0,4384649.20480417,11979925.6512927,846513.708220384,0,0.053288444535129,0,39366,17688054.0045183
69,0,4939647.89729201,12012200.336087,1004604.98511811,0,0.071062590000335,0,39414,18123418.582399
70,626597.47711,4526862.40534482,10505412.2557238,724943.089443483,0.338983625453436,0,13099,39491,18741748.8173022
71,879737.48814,4453599.88701446,9858701.26957714,700164.457051376,0.332867657080551,0,12875,39604,18675745.7662285
72,269611.91393,4366226.61534769,9785362.4226116,684103.20760807,0.324750376145534,0,12680,39637,18423163.6375921
73,0,4395016.15407677,9745617.75225136,887072.131310112,0,0.078513372230279,0,39709,18178133.9474498
74,0,4365492.1208324,10044842.200746,710578.039405802,0,0.063755900202293,0,39773,18413260.6378444
75,0,4056507.05866203,10117031.7953796,598845.099223392,0,0.063268425599787,0,39887,17362492.8540114
76,0,4580158.5044486,10280968.4927152,745725.519024474,0,0.061582219870353,0,39967,19917687.7115334
77,0,4275873.58345449,10202399.0009708,862886.448764747,0,0.066315168980875,0,39993,18888867.7617821
78,0,4833843.66776552,10167098.64528,772477.775274341,0,0.061758731406854,0,40078,21305631.0112489
79,0,4529461.28448887,10108271.8362136,698864.811115659,0,0.067028044663724,0,40210,20244353.5099476
80,0,4870791.03151065,10087967.9491329,772278.287378005,0,0.061263602403768,0,40268,22052997.100946
81,0,4583730.44054487,9870978.71214612,870767.155413187,0,0.06640448713816,0,40341,21097105.237566
82,0,4902802.13981821,9693272.71301502,741724.659467662,0,0.061261319325836,0,40420,22783441.9446585
83,0,4671715.95821583,9318474.98816551,693428.484512147,0,0.066651762902402,0,40510,21837750.5644447
84,0,4923357.91569695,9255170.31097683,724110.420355208,0,0.060670994978732,0,40638,23404677.4808363
85,0,4618593.05443601,8947084.31394126,838055.535617984,0,0.064138368771819,0,40706,22561295.755889
86,0,4802423.00941417,8660317.18467022,706537.0687457,0,0.060368370911401,0,40790,24108061.678339
87,0,4549592.92870187,8388016.93745233,655292.802169473,0,0.065372861598563,0,40843,23341990.116872
88,0,4754774.39741922,8378734.47816443,679154.752430855,0,0.060044804846496,0,40905,24938030.4903267
89,0,4527900.80219562,8415045.10784826,788444.448297609,0,0.062513716023451,0,40961,24127598.7704785
90,0,4653535.34915277,8206805.64627251,609538.832018763,0,0.058402186547705,0,41062,25514821.8570317
91,0,4403979.20227236,7905953.30880126,611838.978836012,0,0.060209750920782,0,41111,24626930.8694391
92,0,4593299.13546156,7971617.62684271,599627.90740776,0,0.056695076644501,0,41191,26077241.4310552
93,0,4403056.96747251,7862047.91013446,707061.533089958,0,0.057747834456208,0,41301,25497974.7676933
94,0,4631545.41563193,8003085.14998518,575520.059176965,0,0.05545033996709,0,41383,26995241.8455635
95,0,4521036.32820347,7746318.43674614,546380.95964019,0,0.056691794364805,0,41479,26424388.8865149
96,0,4573565.53700126,7585189.38484241,567630.565618121,0,0.054658308371677,0,41543,27586301.6851415
97,0,4470141.50147657,7396393.29288932,679681.82266779,0,0.05710683313857,0,41592,27115289.4632202
98,0,4508424.27385751,7213626.75506778,521161.711367349,0,0.052573223690289,0,41628,28446541.1989459
99,0,4434012.58637097,7023720.12659902,513114.329545829,0,0.053921718640022,0,41724,28092365.3305461
100,0,4446071.46749166,6944918.52623769,516966.839397866,0,0.051424898221556,0,41842,29136634.7544884
101,0,4352152.47696579,6768161.53534779,597560.189201524,0,0.052022064425685,0,41905,28841705.0514295
102,0,4412807.39369206,6712661.99237262,455318.791787742,0,0.048623797345025,0,41988,29857799.490456
103,0,4319667.02154447,6613585.3501271,420582.596525136,0,0.050702004427328,0,42044,29358246.5760378
104,0,4239193.40941051,6528175.41479665,426517.715216286,0,0.04999242997729,0,42101,30265304.9590689
105,0,4141686.84740394,6433284.65795981,537214.593331239,0,0.049091238451784,0,42131,29948112.4617698
106,0,4156769.06585507,6269133.92165025,408451.280411159,0,0.046962243080916,0,42191,30726300.0676777
107,0,4075431.85783385,6256323.26284982,367242.664811201,0,0.047720647894943,0,42274,30239739.577068
108,0,4070208.64850222,6226269.19274013,367835.357669721,0,0.045245606128887,0,42349,30944589.3404739
109,0,4006614.09334401,6270765.00576113,433992.56455284,0,0.044983528002396,0,42400,30555365.613664
110,0,3917733.08271563,5875615.03179771,348360.514916402,0,0.042575471980373,0,42429,31480771.2395439
111,0,3806794.43101024,5796680.84378184,342838.439046038,0,0.044433841290669,0,42506,31122668.2529932
112,0,3824261.50152272,5766972.33091801,313722.202946719,0,0.042733259826564,0,42586,31858143.3088457
113,0,3731339.54547884,5745537.27205348,338526.365020362,0,0.04262713878327,0,42656,31425678.2888591
114,0,3741756.4367624,5609592.05844521,262893.241787882,0,0.040787204946786,0,42743,32176014.6221566
115,0,3672071.71439807,5505605.39990482,245916.618563257,0,0.042469326062474,0,42843,31728907.8293697
116,0,3712288.98163817,5314205.63833771,259656.227052974,0,0.040157667002549,0,42937,32525914.1753428
117,0,3628471.93163363,5299127.71257436,266476.566261231,0,0.039729226403382,0,42981,32030539.0212661
118,0,3600803.64292761,5187078.83321596,173248.685303535,0,0.038479725735903,0,43061,32585403.5333122
119,0,3512471.87092545,5177367.44460925,160542.609874854,0,0.039826916283999,0,43116,32232063.9415704
120,0,3534905.32534592,4956318.92040612,164043.693844893,0,0.037598187755582,0,43150,32999891.6157301
121,0,3440188.31967633,5034371.38517242,191191.184201693,0,0.037735294981353,0,43138,32418980.9565204
122,0,3455081.11610777,4865754.24867469,144309.420237801,0,0.035216024906747,0,43181,33105165.8051842
123,0,3306122.09307565,4772012.08918116,117976.142865635,0,0.03607326007326,0,43179,32684132.5802987
124,0,3290900.36599596,4694690.93000028,113154.586951024,0,0.035699654708258,0,43221,33387868.6669767
125,0,3203069.08998246,4658567.05292737,134938.624035261,0,0.035593121197941,0,43236,32922363.375773
126,0,3188412.23863036,4431959.27479347,115808.672609338,0,0.032996259060089,0,43260,33876452.7011014
127,0,3073058.30759565,4432529.77244453,101039.448719393,0,0.032927931869222,0,43290,33288842.7361535
128,0,3059787.92773685,4416632.81664039,80342.6197457706,0,0.032971510054419,0,43322,34089800.3445284
129,0,2970087.50691843,4470221.4160328,111714.3265696,0,0.032323702110343,0,43336,33602823.2544033
130,0,2969397.57594371,4380910.68351797,95096.8360295493,0,0.030841610036592,0,43355,34387677.0814869
131,0,2807133.03224801,4403331.24159724,100986.611890811,0,0.031249094124127,0,43368,33927056.616272
132,0,2806945.35138554,4194090.72784894,77651.8622448511,0,0.031392859209537,0,43368,34646405.0934923
