Period,Total_SIPA_income,Total_wage-earners_SIPA_contributions,Total_taxable_income,Total_gross_wages,Total_SAC,Total_autonomous_workers_SIPA_contributions,Total_Monotributo_SIPA_contributions,Monotributo_integrated_tax
49,18043144.0904716,17405506.2854731,61542304.1459164,61542304.1459164,0,364695.460487578,179810.780266655,133045.091777586
50,22277539.8995703,21584807.9443124,76314324.9548439,65412278.5327233,10902046.4221206,421602.260497036,173537.254977465,139417.771119178
51,20171412.2166204,19514908.9400945,68983481.7043661,68983481.7043661,0,384609.217745639,170548.660329114,144779.140644521
52,23528444.5402758,22852455.6495537,80791205.6838664,69249604.8718855,11541600.8119809,411868.751808264,162868.753854648,144644.835798782
53,19153281.0629158,18535204.4503069,65547035.8377368,65547035.8377368,0,379107.181250302,141448.488340624,139315.632882832
54,21857213.2641064,21254973.6813816,75103390.7153397,64374334.8988626,10729055.8164771,384130.413372021,123317.249522824,135417.02832844
55,19215169.9458099,18628180.2423709,65830840.2204289,65830840.2204289,0,370054.163794967,116388.261381319,143638.968946757
56,22585007.4703965,21952588.5080313,77594762.9305608,66509796.7976235,11084966.1329373,418867.570650581,112379.676577497,144531.021624542
57,19533783.8584636,18856350.4870442,66663600.8016685,66663600.8016685,0,352470.356320033,239320.285491821,122346.756582245
58,23184198.0928763,22502728.8694427,79568763.1096815,68201796.9511556,11366966.1585259,357180.114727404,233537.954811137,129644.505564317
59,20542851.5621216,19859905.1784969,70211018.8174341,70211018.8174341,0,351626.063081105,234302.016710924,138597.576903819
60,24252373.7599014,23556085.1764092,83167858.0389435,71286735.4619515,11881122.5769919,372696.411100762,225492.026773178,140143.065168911
61,19363802.8731975,18670841.0166333,62590802.6432059,70820906.7970745,0,350440.335628768,255764.752266503,123938.240955641
62,21991144.8761269,21312057.4176784,71418574.8103526,69295066.1870075,11549177.6978346,349684.230180864,239666.738849377,128194.98488325
63,18235645.224442,17614504.667947,59281129.9217306,66350999.5900199,0,324246.403842558,216427.814889664,114951.911089814
64,20080887.7929642,19501748.0655984,65645556.2071453,63033393.5080475,10505565.5846746,295359.784554806,204078.725928555,113858.881260517
65,15939455.3253429,15357245.5663204,49080278.7911712,62188419.3050693,0,305464.811761156,200028.435130685,109595.017329619
66,18843330.2723496,18269428.3617258,59036784.4281593,62493873.9685375,10415645.6614229,299865.937763691,198568.503396831,107810.670661791
67,15786819.5136424,15165167.767607,49205364.942853,60159533.455584,0,335910.235010654,208209.967682039,110759.347632462
68,17918399.3318476,17277306.8016746,56556860.8841599,58136644.9832002,9689440.83053337,361949.543557869,203390.012379379,108218.534622524
69,16434641.4004198,15807385.658089,51729296.5598978,61104655.1626774,0,339999.517263008,207299.45260985,114223.960654247
70,18373368.2973328,17779890.3012971,58340675.6598262,58668905.4925863,9778150.91543105,336067.791509227,199159.097992466,83215.8664771378
71,15655197.28434,15030155.9050472,49461118.423773,57480211.9009685,0,362817.265601395,203015.358322382,84583.9362415247
72,18865848.6248469,18253959.7698214,60220429.9231741,59649638.4611279,9941606.41018797,346399.372417591,201429.118770191,91514.8054824359
73,16677285.6017938,16076962.8297725,53301132.3527088,60867619.6991625,0,325748.29106757,205034.868688734,99342.303235606
74,19675486.3878427,19087255.1217286,63336411.9626704,61896936.9704282,10316156.161738,321548.458548371,198315.112391526,97668.1359631533
75,17362252.7634512,16755832.8502688,55846790.0430501,62881452.3794821,0,334096.869178307,203963.334596408,97656.7277253132
76,20475967.7794651,19818172.7390237,66019229.5135391,63813202.9310469,10635533.8218411,377815.459358625,211546.102482584,97762.1122859834
77,17914267.5614879,17224566.7456973,57694595.9606216,64172481.9261195,0,400732.031429616,220028.491322863,98486.1329116718
78,21080875.3907562,20366360.2893933,68124625.8972631,65216257.9752113,10869376.3292019,421029.380106202,224602.495811706,98404.6077784963
79,18431712.3308891,17722780.9876069,59621113.9506721,65637248.861933,0,415017.437390071,225169.284641578,98206.6017864316
80,21356355.9447437,20642480.942628,69268177.9993382,65822401.5992964,10970400.2665494,411956.401963287,231910.687141541,100011.304301224
81,18819481.3499189,18076467.2235361,60985156.7659038,66684039.4576126,0,436048.210727441,236249.612602686,101023.290075315
82,21873415.3039475,21108239.8913829,71021984.2288871,67092114.7073059,11182019.1178843,442862.694384126,248700.942950854,105159.678899429
83,19306309.5038344,18541205.8797238,62714058.0740435,68154620.2545677,0,443616.651882714,249483.033547609,102862.769543353
84,22609863.125322,21851867.6482869,73654878.1457168,69245879.8401696,11540979.9733616,437569.086622959,248203.459300673,103175.615873574
85,19871320.7984165,19126859.9437956,64830729.1322833,70078803.556182,0,423505.051987442,249356.017276713,102285.407652569
86,23135715.0198272,22391540.4669811,75606830.1363717,70782483.5555892,11797080.5925982,414764.173057728,256951.144414121,103513.193391711
87,20469639.2356709,19712410.2312564,66949500.5282339,71988625.4668766,0,431056.00963922,255033.419956907,101627.964026157
88,23903190.7644749,23108841.8146736,78168130.5095287,72857157.7722117,12142859.6287019,465321.124385218,258204.041266475,101176.834499342
89,21030597.2086848,20242590.4548372,68881661.495525,73745775.2360441,0,444615.11966162,269705.70869906,105265.607838491
90,24590467.2169828,23786030.6006443,80570628.5524484,74860011.5895268,12476668.5982545,464567.345642378,268218.166264404,102358.720616696
91,21460593.9080172,20660315.4221752,70373941.7607366,75091563.5724488,0,458235.73512951,268523.859868925,105026.986919491
92,25063878.6528403,24259914.7902989,82242595.4449513,76163521.6104177,12693920.268403,448856.358184402,278690.437870624,109167.237837784
