period,Total_pensions_pre-2016_cost,Total_net_pensions_pre-2016,Total_pensions_post-2016_cost,Total_net_pensions_post-2016,Total_retirement_benefits_pre-2016,Total_survivors_pensions_pre-2016,Total_retirement_benefits_post-2016,Total_survivors_pensions_post-2016,Total_universal_pensions_cost,Total_net_universal_pensions,Total_thirteenth_month_of_pension_pre-2016_cost,Total_net_thirteenth_month_of_pension_pre-2016,Total_thirteenth_month_of_pension_post-2016_cost,Total_net_thirteenth_month_of_pension_post-2016,Total_thirteenth_month_of_universal_pension_cost,Total_net_thirteenth_month_of_universal_pension
49,17739542.668329485,17046008.455988575,17790689.82734285,17094086.782645974,14771665.196929902,2274343.259058673,14819743.625426559,2274343.157219412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,20424458.45438043,19624390.902308535,20486108.373093326,19682341.822577205,16954124.06191496,2670266.8403935754,17012075.168715592,2670266.6538616125,0.0,0.0,3407293.340945018,3216781.737077203,3417568.326808257,3226440.223277674,0.0,0.0
51,19770972.384179432,18995663.115649845,19832773.01878537,19053755.709097877,16349990.445007399,2645672.6706424435,16408083.251318252,2645672.457779624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,21368066.534464795,20527759.839552656,21437495.75350109,20593023.302064564,17570152.70172827,2957607.137824386,17635416.58211389,2957606.7199506746,0.0,0.0,3564132.8976338543,3365591.907514002,3575704.4335402222,3376469.150746939,0.0,0.0
53,18728958.086191647,17994800.001387555,18790364.568922326,18052522.091695804,15350038.840363989,2644761.1610235646,15407761.296738565,2644760.794957239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,19344977.14860588,18584952.06549755,19409648.30025014,18645742.943067767,15749244.392570777,2835707.6729267733,15810036.017620986,2835706.9254467827,0.0,0.0,3226722.4051360274,3047924.093888349,3237500.933703497,3058055.909945143,0.0,0.0
55,18427134.53995833,17701683.414965503,18490578.49518193,17761320.727487233,14950783.431450762,2750899.9835147425,15010421.50671994,2750899.2207672945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,20141441.2052912,19346410.758335933,20211224.07378341,19412006.65091461,16251608.06847303,3094802.6898629013,16317204.664781922,3094801.9861326795,23337.862241289535,22637.726374050846,3359065.176710463,3173449.4628612655,3370695.658421709,3184382.115072307,3889.6437068815894,3772.9543956751413
57,19380545.100607913,18613388.545461535,19447072.695833158,18675924.481600616,15508964.30805013,3104424.237411405,15571500.671614693,3104423.809985928,56757.564472472484,55054.83753829831,0.0,0.0,0.0,0.0,0.0,0.0
58,20702901.261724245,19881986.50409558,20775147.07839753,19949897.56840032,16493434.687884828,3388551.816210752,16561346.16663684,3388551.4017634797,103889.08912963523,100772.41645574618,3452215.4799698913,3262220.293162049,3464256.4531700495,3273538.8074482637,17314.84818827254,16795.402742624367
