Period,SIPA_missing_contributions,PAMI_missing_contributions,Obras_sociales_missing_contributions
49,9593.397904004902,2616.3812465462834,2616.3812465472147
50,9242.017551131546,2520.5502412179485,2520.5502412179485
51,13865.491692576557,3781.497734339442,3781.4977343399078
52,15151.459145586938,4132.216130614746,4132.216130615212
53,13846.158301401883,3776.2249912917614,3776.22499129083
54,12804.365430738777,3492.099662928842,3492.099662928842
55,15322.510502811521,4178.866500765551,4178.866500766948
56,14318.678138572723,3905.0940377926454,3905.0940377935767
57,13969.194267816842,3809.7802548590116,3809.780254858546
58,13241.297168526798,3611.2628641454503,3611.2628641454503
59,15025.649248767644,4097.904340572655,4097.904340572655
60,14155.266569692641,3860.5272462801076,3860.527246279642
61,1417467.082621459,132127.04399091564,498205.87889258657
62,1632628.8687759377,150818.95218630368,569759.4685445791
63,1212273.1781619266,113109.05902243126,427677.88389973715
64,1364571.959096942,127139.04562518978,478089.9868474342
65,2289424.593205167,209058.46726815775,790877.3186798971
66,2425600.286766324,221389.50990516553,837042.2083905516
67,1901015.0101003423,174340.69623503787,660793.6330064991
68,1948938.312741395,179276.82305849297,679695.268693056
69,1512684.226819193,149142.5060187867,565770.3034498077
70,1641111.9697475173,161839.6674115942,610662.7826143857
71,1291670.6155192442,126994.11627335008,483325.93201159034
72,1512390.0535760894,149155.4774757279,566392.8951801425
73,1212881.8240174018,121934.92035830952,460639.531419551
74,1440592.1631417945,145298.24860938312,545627.7678704653
75,1135846.3394899592,115884.45399934892,435916.5380927976
76,1384813.511702586,140575.2013027221,529205.4666051362
77,1047162.1767515652,109114.6127133444,409428.33724623825
78,1322696.7037867866,137013.5330993589,513026.64526468795
79,973977.1326418296,104261.89687381266,389008.7969753612
80,1256815.114966713,132780.94405637123,492615.5738245556
81,923762.5794700123,101213.36229234422,373874.038456209
82,1205726.5587771535,129758.11660412932,478903.88108560815
83,874701.7373689376,97547.5486184759,358659.8424414173
84,1182480.9566400424,127871.62046466954,472845.38679039944
85,840426.4647290818,95488.41853072727,350599.4776740819
86,1160501.974139601,127086.66141044954,467011.6664478369
87,794740.2094626985,90583.60055202758,334609.61107740086
88,1126640.865893554,123459.62816497684,456302.5229872307
89,764213.6706690118,88842.09047743492,326969.84744373616
90,1111293.800078094,123232.0383434631,453120.9530085288
91,730169.3650663309,86817.93494175002,316302.8876465587
92,1096850.7565665878,121583.37994243111,445254.042262516
93,714357.9790932983,84536.1045870171,307210.95123110805
94,1083889.107973341,120226.91544938553,439965.34425447136
95,705529.1410428695,83607.8213671716,303751.6111030234
96,1090462.6432824247,121090.53326296154,443760.9314972181
97,704602.2742408216,84407.79838202102,305943.25314406585
98,1098602.880644817,123971.81683499087,449669.02898062766
99,688585.8469267562,84852.5204557823,302655.68137131166
100,1115223.1883447208,126296.61375807319,457551.75086378865
101,682166.8971856274,84562.54057810782,304654.21001540404
102,1108082.7272778377,126622.4471528409,455890.4887002446
103,678662.2609556392,84667.44821014907,303057.37377073057
104,1108422.2532561012,126121.22536909487,456097.5375903398
105,678509.600206092,84860.27742847148,302769.35527941026
106,1130287.6504164897,129167.7608690504,464126.694471322
107,671751.4278681129,85938.4804496821,302607.62999995425
108,1136339.7728638984,132400.2578093307,472484.94019589573
109,661792.9020088203,86225.20173015166,302994.0400468651
110,1126985.546207767,132837.8344415743,471455.74068364315
111,653374.0810648762,86133.28149614017,301449.85934160836
112,1124641.7225641124,133693.06062847935,473098.1670269668
113,624333.8620741218,85898.13523437455,295602.5029179603
114,1113549.4052958824,133896.973340692,471102.973885905
115,630660.0977145731,86990.69740240369,298133.87853977084
116,1141619.9229034558,136681.87765842304,480447.0302631892
117,635540.0016925596,88846.1176943453,299726.22168803774
118,1157445.7753374726,140916.41967351828,488215.5932246335
119,630811.3514681049,89245.12169843167,297292.31253721006
120,1154940.9336544275,139890.1649881294,484606.11775034666
121,602036.0931289792,84397.61132527422,284954.071874097
122,1145588.8367289677,136941.219747819,478561.02101073414
123,598705.1241935082,84444.4495480042,284674.38669539616
124,1142781.3393174112,137391.88116532005,479050.83192964084
125,585183.1764284298,82909.65789310634,278414.379835967
126,1148091.0022260249,139006.4833489973,480587.8871290237
127,577250.7305044346,83987.69369236659,278345.2937316671
128,1164356.469813265,141606.438277537,485783.1528768856
129,564988.6997536831,83858.29588610679,273472.1739011761
130,1182263.5234929845,144767.45781197958,493216.09811050445
131,581900.7989128977,87969.48015836347,281353.15184858255
132,1197019.380000323,149881.10026244167,502127.99896410666
133,583061.6142137423,90446.92357849423,283855.00393133983
134,1198055.5562694594,151854.09178672917,502941.2068740558
135,556835.4508956,89407.70332694892,277985.3380168583
136,1178126.9376985505,148344.89533310477,499159.8031946793
137,522147.3579548225,84811.73367695324,267028.16322483495
138,1173819.8167382851,150798.22183985822,498441.9672997799
139,507955.7438008189,86064.4125353489,264159.907617975
140,1164052.8771887869,151702.70279862545,499714.444618484
141,494267.29301887006,86743.18742108531,264840.87312493846
142,1142479.1524310857,150037.89679839462,495366.41441083327
143,447407.27989103645,83710.07135681249,251957.6200666055
144,1149250.5163508207,154569.16862894688,501987.5595843438
145,461918.5123296976,87280.65951829217,257953.25556715578
146,1142345.0871232972,155647.51911095995,502155.02332493104
147,440517.7769234702,87528.44168356061,253116.16801421158
148,1153023.7244627774,159132.02229898702,508039.29238061234
149,420230.3166318387,88095.68753980938,249834.46325885318
150,1119622.4161212295,158517.12895908952,498067.607417712
151,381681.21231300384,85504.43278980535,235983.29097607918
152,1101706.6298383325,157910.5803892482,494974.81284570694
