Period,Total_SIPA_income,Total_wage-earners_SIPA_contributions,Total_taxable_income,Total_gross_wages,Total_SAC,Total_autonomous_workers_SIPA_contributions,Total_Monotributo_SIPA_contributions,Monotributo_integrated_tax
49,18000510.6188669,17348424.3044446,61294383.3095153,61294383.3095153,0,371077.892968079,186193.971362136,135449.214417351
50,22157499.2341788,21420846.3579256,75698211.0792046,64884180.9250325,10814030.1541721,449590.592220506,181303.384351026,151084.142402353
51,20233959.3615849,19481047.9018705,68948168.7444157,68948168.7444157,0,479075.444673333,169295.89556962,149343.027816335
52,23711099.340712,22929508.1705452,81128439.104295,69538662.0893957,11589777.0148993,516987.680878167,162008.72253143,146563.952510206
53,19318558.8094962,18652836.7134315,66019109.634082,66019109.634082,0,425976.651435597,141481.176969882,140377.525227439
54,22035975.6793422,21394352.2957855,75696584.2068533,64882786.4630171,10813797.7438362,415298.321746476,127089.694721227,141764.810127232
55,19225382.5714869,18603741.720877,65799884.3882005,65799884.3882005,0,399075.404357142,121633.121774462,144189.0349691
56,22564836.9054479,21903346.743288,77437977.0286537,66375408.8817032,11062568.1469505,439140.631379141,116461.810362377,151268.17202623
57,19510720.9348717,18772632.0522002,66351902.7083651,66351902.7083651,0,413586.258336625,238137.823326839,123378.287154311
58,23339052.656364,22600878.1366645,79882706.2211742,68470891.0467207,11411815.1744534,415889.735639967,230582.912895283,131002.673091904
59,20676340.3358436,19987346.5543269,70658358.7383324,70658358.7383324,0,367663.677083727,225108.785774441,137459.026655012
60,24442783.390504,23718443.3956191,83772244.5237371,71804781.020346,11967463.503391,396743.97044938,227007.358244038,143698.094559182
61,19425279.3963776,18694163.0781907,62655549.6102329,70961222.6214461,0,385120.323093544,255380.671773609,129450.461885458
62,22128007.929654,21409449.6656469,71778714.4057313,69714099.3486738,11619016.5581123,396657.897900116,234931.164644349,124241.716375217
63,18144968.4047922,17507481.7642189,58906927.6239573,66038620.5698344,0,349907.588704731,208838.907550347,112485.920454584
64,19836641.3035061,19240579.5549017,64744975.4296404,62201099.778605,10366849.9631008,316139.72116797,201450.048869671,112102.826524005
65,15838280.4823216,15266786.4777722,48722220.7070428,61869622.9419318,0,293358.556230833,200443.796049829,110988.074669527
66,18778360.1188109,18212473.0018592,58758310.1698221,62353425.0747698,10392237.5124616,294460.186874524,196186.538477386,107486.273713936
67,15860188.8718915,15266336.8334218,49437145.1843315,60559005.7924842,0,310256.129758465,207049.283705519,109352.321436835
68,18034001.571782,17429822.5917796,56931853.5348079,58594550.2898636,9765758.38164393,322478.108124877,204810.158504698,109843.876246888
69,16519216.7395566,15951956.5070811,52153431.8633301,61546204.7331782,0,284905.113436398,204516.203423935,111198.450878821
70,19050492.5642933,18459681.7331484,60489047.3861119,60858300.7350193,10143050.1225032,322186.595348528,203805.097230149,92598.769380318
71,16159565.6520399,15580260.6596604,51214708.5045574,59542442.6319582,0,315069.831890044,201105.642448858,90185.0257722992
72,18994979.2769782,18406874.7566334,60652079.4592394,60155722.8841679,10025953.814028,324675.276101286,198287.810616619,93059.1908955133
73,16891949.5864212,16264029.3353363,53857907.6578356,61608840.6109752,0,353584.824409394,207763.592425533,95102.6203572274
74,20042509.0590344,19412100.0759383,64346416.7700645,62985937.8207956,10497656.3034659,349061.260836521,211831.038108094,99309.5487877962
75,17832143.6288336,17210117.9912175,57309418.4031583,64710390.4829611,0,344097.487457562,202925.167196896,107147.118516603
76,21479866.5074972,20797958.2214238,69318764.6163153,66972157.970822,11162026.3284703,379667.737445577,227949.068892303,106130.685336469
77,18980788.2061931,18301771.5211866,61278101.7154645,68294246.6356737,0,377880.164618673,221852.919128807,113262.287512887
78,22623902.6735673,21914790.0348395,73348713.0133704,70167331.831848,11694555.305308,393537.67670946,241499.450480977,105822.159339001
79,19986489.0845214,19312034.4001572,64935744.0828308,71610697.4388192,0,355948.495006593,239009.741254708,113566.354432663
80,23836716.7740351,23065564.9182031,77423505.1160946,73536694.1398705,12256115.6899784,439083.350405058,257110.798575441,107082.438359208
81,20851933.7293654,20065786.8377818,67638858.330873,74101691.7855175,0,446610.328551336,259391.830322971,114492.47529895
82,24349515.0889757,23534359.4683181,79136132.7732532,74734550.639066,12455758.4398443,473889.993327041,265471.068573674,108277.941081219
83,21357365.3962646,20598735.8953608,69584855.7874824,75730342.7771911,0,430448.407954809,252862.452983424,107598.057093663
84,25104096.8532308,24252888.827888,81681278.935031,76829619.735492,12804936.622582,505385.021346545,269932.185197829,108415.455426348
85,21844584.5665858,20995506.3757851,71035065.3238733,76981302.6200375,0,497187.88756409,272323.208758292,113667.277826058
86,25533336.8524152,24639128.346416,83087526.9451855,77814662.1726286,12969110.3621048,527831.794147556,286891.476602715,113550.336069931
87,22280286.9926314,21390243.8436696,72511915.2429369,78094968.7036049,0,530765.066652851,279988.071338714,113271.444243092
88,25995157.0475932,25102882.663298,84807373.1128724,79107496.6117222,13184582.7686204,512157.961393885,299457.464121878,115227.083970589
89,22905396.1372092,22018050.6709093,74792658.9958576,80225682.7835218,0,511343.802698569,294733.739735117,116097.034094482
90,26784757.0425234,25874214.736943,87551152.4642603,81376812.2092804,13562802.0348801,519666.761406742,308781.912964396,117276.616013178
91,23718805.531849,22831739.3645846,77707795.8342897,83032043.2648265,0,527639.097882615,281326.744198529,111571.893118889
92,27630091.835254,26702533.6142684,90491049.000385,83889526.3269572,13981587.7211595,546223.402129769,303118.115321994,111738.147905495
93,24218114.9200954,23306657.8133635,79410256.4175249,84584790.1847569,0,527580.194972645,303507.10678511,114814.007105946
94,28497774.9260587,27537374.4123662,93349673.7114462,86247385.2833336,14374564.2138889,554228.031264098,326111.490112573,114372.846165395
95,25022146.472662,24006181.123759,81846390.869073,86853252.564524,0,621062.467900235,316093.671465811,112584.58505278
96,29089870.9906816,28114630.4041306,95348973.9249549,87988400.4094892,14664733.4015815,562175.994777896,332212.437290141,115503.077832828
97,25596089.2432647,24597796.364608,83904991.988662,89009433.8645029,0,592721.546335027,326385.192458172,113123.056947903
98,29669549.3536052,28663785.5365669,97268205.1034935,89767085.279089,14961180.8798482,587651.027326028,338243.38090156,114099.155443818
99,26096109.5604369,25054262.9725368,85530092.5565128,90615064.6958264,0,622260.101647568,339071.376927493,115021.584750057
100,29906632.6537767,28897292.8136724,98115914.5504932,90427919.4404114,15071319.9067352,576900.443977361,351197.038672715,116060.510648875
101,26444786.9295823,25446633.6465161,86904194.171068,92011261.1940064,0,563523.565826218,351662.93965749,118523.967974962
102,30684906.324119,29651205.5542468,100713989.629186,92767282.1714551,15461213.6952425,594661.105304805,355993.852264062,118636.874718999
103,27192320.1304516,26209589.0813201,89598020.5116885,94733390.586389,0,563466.566583579,339146.250915816,114454.616617276
104,31451291.8224852,30392149.194053,103326861.008059,95096443.3265543,15849407.2210924,623496.92731037,354111.447627248,116477.504992183
105,27542123.2632334,26457170.3577098,90543296.2576924,95672884.5736365,0,642602.948760469,358898.018887791,119217.054107686
106,31814251.1978883,30725694.5777955,104502297.786438,96164879.5350706,16027479.9225118,638926.954118867,364974.1314798,120936.477848699
107,28028366.9971789,26942816.7709991,92236565.6220964,97342960.6691425,0,631242.495113484,367834.407976854,123533.318699319
108,32630026.2165692,31522533.5274814,107309669.062051,98626082.4623445,16437680.4103907,660812.925895122,363247.842342384,119188.458357453
109,28703504.779219,27632935.0546581,94664504.4209652,99793805.6290431,0,624695.963898911,362795.926128632,118682.620761947
110,33324895.1631192,32206009.7614314,109643962.268119,100671611.351898,16778601.891983,670117.283210567,366882.644993938,116979.247833241
