Period,SIPA_missing_contributions,PAMI_missing_contributions,Obras_sociales_missing_contributions
49,9593.397904004902,2616.3812465462834,2616.3812465472147
50,9242.017551131546,2520.5502412179485,2520.5502412179485
51,13865.491692576557,3781.497734339442,3781.4977343399078
52,15151.459145586938,4132.216130614746,4132.216130615212
53,13846.158301401883,3776.2249912917614,3776.22499129083
54,12804.365430738777,3492.099662928842,3492.099662928842
55,15322.510502811521,4178.866500765551,4178.866500766948
56,14318.678138572723,3905.0940377926454,3905.0940377935767
57,13969.194267816842,3809.7802548590116,3809.780254858546
58,13241.297168526798,3611.2628641454503,3611.2628641454503
59,15025.649248767644,4097.904340572655,4097.904340572655
60,14155.266569692641,3860.5272462801076,3860.527246279642
61,1417467.082621459,132127.04399091564,498205.87889258657
62,1632628.8687759377,150818.95218630368,569759.4685445791
63,1212273.1781619266,113109.05902243126,427677.88389973715
64,1364571.959096942,127139.04562518978,478089.9868474342
65,2289424.593205167,209058.46726815775,790877.3186798971
66,2425600.286766324,221389.50990516553,837042.2083905516
67,1901015.0101003423,174340.69623503787,660793.6330064991
68,1948938.312741395,179276.82305849297,679695.268693056
69,1512684.226819193,149142.5060187867,565770.3034498077
70,1641111.9697475173,161839.6674115942,610662.7826143857
71,1291670.615519246,126994.11627335008,483325.93201159127
72,1498113.9444067106,147391.5162499207,560485.8061480857
73,1184977.2390501145,118417.09260903951,449269.0003492227
74,1398053.5009134524,140148.52143164398,528424.4085509423
75,1097089.1839741766,111024.33396604517,419665.0879341131
76,1313085.7544329278,132222.83130925382,500530.87710911967
77,986773.994270049,101565.057256829,384332.4913019156
78,1214287.9059262536,124253.89358281344,469397.6202265676
79,891671.9263093434,93869.96456175484,354186.74960168824
80,1126619.0907333307,117257.19281405909,440110.04443830624
81,828469.1811581478,89131.89729213249,333623.1901613744
82,1068384.174028121,113186.45299232472,422852.0749210473
83,773958.839511931,84481.38110536803,315468.77824832685
84,1030668.2596113831,110096.33485109499,408507.24446339253
85,735773.3301220648,82385.98573036585,304237.20850182604
86,982771.1663814709,106123.62631465774,395573.4112278307
87,674443.0378845595,75951.66133284103,285550.0773137603
88,937837.2306003496,100977.17577043222,381037.93039592076
89,626097.7943531461,71466.93912975583,268573.1177743031
90,898578.0822674297,98785.1224678182,368974.8834965071
91,588034.8690757304,68963.03915135423,255788.25312944595
92,882513.0345074087,97284.07655501366,360683.38379489817
93,570299.2642457485,67178.62138943886,247862.59259842895
94,868820.6718145311,96109.73785106605,354376.5358869117
95,561673.7118339427,66477.37268996239,244214.07049774006
96,848811.4211813211,95781.44539027102,350862.8193304371
97,535963.1213472076,65556.62039208598,237658.5153361177
98,832492.3544158451,94274.2288664286,343842.5977296727
99,527908.6581068374,64059.039771621116,234014.3831641497
100,834980.0061061084,94013.31951292092,345469.0352710914
101,513849.3025987521,63797.204338200856,231392.34483642317
102,825693.0552475341,94813.12682913989,346073.83803544845
103,501918.2538559474,62580.850933112204,229558.85476233345
104,814774.7952325009,92943.49660179066,343133.3112028418
105,490487.50179905444,60924.94474369893,225072.5566526372
106,823042.2560752593,92825.06616383465,343812.2986456128
107,501391.9488968104,62732.923596843146,229203.4940812122
108,817400.4998895563,93937.67191070411,344193.4153721109
109,482527.96791771054,61024.61110118218,224069.1286127884
110,809692.9926777817,93020.81423041644,342570.56732176617
111,476961.04560048506,60536.94399933377,222240.43565058988
112,801559.4823001996,91260.85315034864,336192.83860461786
113,465914.68647109345,59018.930372597184,215944.00646072626
114,795382.7513483502,90992.07672346896,335645.6006380664
115,461029.5770863965,58933.36391395982,214746.15070161596
116,793620.2244039848,90859.95071122097,334465.33819402475
117,445285.69449037313,57612.03962378111,210557.30180571973
118,770432.1373064406,89307.23461132078,327790.3337955158
119,437641.98046863824,56859.94063026924,206697.57201624103
120,775814.605173625,90290.96793891815,328469.55887168087
121,428588.89023798704,56921.84214472445,206077.7094821036
122,781964.1029242463,92200.96982303122,335427.7930671647
123,441606.25085074455,58812.44052711269,210905.91870584246
124,779657.9766872227,91589.332094735,333348.42995909415
125,419948.8601190001,56308.540168017615,202528.471330652
126,766216.0554714128,90730.3748012199,325732.3003912186
127,408791.5374536887,56404.1947159823,197845.73908727616
128,763587.5135771483,90794.5309125972,324095.89179724175
129,411200.8710686937,57367.06856098166,198817.88137765042
130,761829.518937163,90736.72859507194,324827.16338154767
131,415994.46294716746,56613.88398610428,199005.18490734603
132,764546.0745477043,90865.51993695926,325517.32728077844
133,410450.74624079466,57274.7632368817,199916.52976729907
134,753342.9107543193,91060.25450589322,322538.7579762209
135,405192.3631541468,57287.56396300811,197773.24874679744
136,755795.8795276284,91566.74886939116,322292.4340028856
137,410898.76065124944,57804.842792225536,198714.07951502036
138,770875.069275666,93107.04032915086,327419.78783193603
139,415381.0390420221,59983.536065363325,203095.08263210114
140,761065.3522699103,93297.59299229272,328541.19463844784
141,384616.4960411936,56478.225627026986,194542.9804818947
142,743000.6107435152,90141.45981811173,320878.7210739814
143,376997.2554038912,55718.59348095162,192971.1917035533
144,743224.552821394,91541.32894047257,324352.5229450278
145,378800.79573555663,55969.352127063554,191644.8775911592
146,750733.8309730962,91747.39934508782,320900.89810697734
147,374682.0937678255,55509.577902433,186485.19708420523
148,747841.3628982231,91889.30037108622,320503.632813951
149,372690.9079624675,53840.49648974463,184721.09379684832
150,755185.022272937,91369.2653569309,320756.5057476368
151,382620.93567472696,55633.32579099899,187778.7229226753
152,751924.287265759,91912.48363791686,320934.29907910526
