Period,Total_SIPA_income,Total_wage-earners_SIPA_contributions,Total_taxable_income,Total_gross_wages,Total_SAC,Total_autonomous_workers_SIPA_contributions,Total_Monotributo_SIPA_contributions,Monotributo_integrated_tax
49,18043144.0904716,17405506.2854731,61542304.1459164,61542304.1459164,0,364695.460487578,179810.780266655,133045.091777586
50,22277539.8995703,21584807.9443124,76314324.9548439,65412278.5327233,10902046.4221206,421602.260497036,173537.254977465,139417.771119178
51,20171412.2166204,19514908.9400945,68983481.7043661,68983481.7043661,0,384609.217745639,170548.660329114,144779.140644521
52,23528444.5402758,22852455.6495537,80791205.6838664,69249604.8718855,11541600.8119809,411868.751808264,162868.753854648,144644.835798782
53,19153281.0629158,18535204.4503069,65547035.8377368,65547035.8377368,0,379107.181250302,141448.488340624,139315.632882832
54,21857213.2641064,21254973.6813816,75103390.7153397,64374334.8988626,10729055.8164771,384130.413372021,123317.249522824,135417.02832844
55,19215169.9458099,18628180.2423709,65830840.2204289,65830840.2204289,0,370054.163794967,116388.261381319,143638.968946757
56,22585007.4703965,21952588.5080313,77594762.9305608,66509796.7976235,11084966.1329373,418867.570650581,112379.676577497,144531.021624542
57,19533783.8584636,18856350.4870442,66663600.8016685,66663600.8016685,0,352470.356320033,239320.285491821,122346.756582245
58,23184198.0928763,22502728.8694427,79568763.1096815,68201796.9511556,11366966.1585259,357180.114727404,233537.954811137,129644.505564317
59,20542851.5621216,19859905.1784969,70211018.8174341,70211018.8174341,0,351626.063081105,234302.016710924,138597.576903819
60,24252373.7599014,23556085.1764092,83167858.0389435,71286735.4619515,11881122.5769919,372696.411100762,225492.026773178,140143.065168911
61,19363802.8731975,18670841.0166333,62590802.6432059,70820906.7970745,0,350440.335628768,255764.752266503,123938.240955641
62,21991144.8761269,21312057.4176784,71418574.8103526,69295066.1870075,11549177.6978346,349684.230180864,239666.738849377,128194.98488325
63,18235645.224442,17614504.667947,59281129.9217306,66350999.5900199,0,324246.403842558,216427.814889664,114951.911089814
64,20080887.7929642,19501748.0655984,65645556.2071453,63033393.5080475,10505565.5846746,295359.784554806,204078.725928555,113858.881260517
65,15939455.3253429,15357245.5663204,49080278.7911712,62188419.3050693,0,305464.811761156,200028.435130685,109595.017329619
66,18843330.2723496,18269428.3617258,59036784.4281593,62493873.9685375,10415645.6614229,299865.937763691,198568.503396831,107810.670661791
67,15786819.5136424,15165167.767607,49205364.942853,60159533.455584,0,335910.235010654,208209.967682039,110759.347632462
68,17918583.0811978,17277306.8016746,56556860.8841599,58136644.9832002,9689440.83053337,362133.292908062,203390.012379379,108218.534622524
69,16434811.9879364,15807385.658089,51729296.5598978,61104655.1626774,0,340170.104779575,207299.45260985,114223.960654247
70,18374985.7051183,17780232.0956408,58340675.6598262,58668905.4925863,9778150.91543105,337475.085374515,199056.379234398,83174.492669337
71,15656859.5786606,15030155.9050472,49461118.423773,57480211.9009685,0,365139.337188018,202485.292995254,84398.6334716859
72,18574933.3254642,17964870.2471359,59234688.0715284,58744676.2795093,9790779.37991822,346917.979491938,200618.130168489,89324.2409541209
73,16246421.6690229,15651628.5138686,51857010.3360761,59299600.519838,0,324895.635733544,202357.021017905,96486.4262896837
74,19218320.8809682,18642922.1477639,61833034.9397374,60490234.1396946,10081705.6899491,315245.673592943,193271.49020706,95545.0991489735
75,16986411.7529806,16396426.5963962,54625823.8832237,61566030.2830545,0,324461.201227039,198142.220481564,96259.6212510631
76,20026858.7789673,19393618.5809285,64589851.9188975,62465674.4785615,10410945.7464269,361263.196642839,204358.564445825,96597.7670715383
77,17436565.0097054,16786575.1127635,56212201.6135896,62566955.6754423,0,374355.74753773,207800.188315422,96905.6586981352
78,20489708.5109539,19802205.0301178,66233119.1558254,63425287.9496635,10570881.3249439,401226.501827332,217596.977743487,98114.2875218923
79,17819948.2611865,17143934.7022616,57667124.7471947,63513981.6191389,0,391733.666579515,216226.444931047,97219.210591835
80,20589647.1392441,19899698.0830604,66777380.9284485,63459978.6846055,10576663.1141009,396590.414179828,224033.471455209,99035.9579266854
81,18053974.45595,17349604.0503532,58532515.3880435,64020908.3782323,0,404942.948968066,229187.285179771,100343.102070057
82,20951816.4321102,20230045.1611653,68069151.9128664,64310789.0328526,10718464.8388088,415892.002326061,234347.461914157,102188.295292387
83,18348954.7635332,17602840.6563116,59529061.3703203,64712482.7210973,0,433657.715690204,240642.852698298,102590.769761618
84,21288724.3563356,20549456.1345062,69263256.5237539,65116861.7917685,10852810.2986281,423600.190281186,242655.467766684,104303.66254503
85,18855530.1048522,18136442.0698887,61484180.6476529,66459466.6821636,0,404850.578329546,242533.588676482,102434.097082181
86,21613157.46131,20866230.8896856,70459033.5077279,65966812.4631352,10994468.7438559,432393.146406325,243521.325617044,101445.856572845
87,18920065.0212951,18191972.2640795,61777363.12923,66476101.4374183,0,422999.977502532,235673.118862343,99170.9440724678
88,21878281.8960383,21156809.4168353,71527822.5967169,66701796.0559918,11116966.009332,410841.283386738,240842.611665831,99697.9773576734
89,19106001.8007694,18350899.1404053,62427009.6577906,66844339.5395019,0,432255.889625859,250605.50242008,103201.811883121
90,22102671.0567168,21338050.82373,72274077.928868,67149906.2465003,11191651.0410834,440824.737613337,252226.593855908,102241.287882195
91,19353620.8647343,18622225.7793289,63468838.0591337,67653404.5699155,0,410845.30414782,249235.117618057,101878.090913525
92,22453791.5356404,21687636.6429792,73516178.5763205,68083534.7722068,11347255.7953678,442610.978877469,252530.562159049,101447.645178198
