Period,Mean_real_labour_income,Total_workers
49,6421.803821889192,10921644
50,6786.134835388185,11044406
51,7094.820893285285,11033276
52,7051.706694765924,11053255
53,6677.507794411934,11056328
54,6486.764814788951,11112610
55,6521.835419458006,11194364
56,6617.246433595439,11200955
57,6732.554750998592,11131472
58,6725.581917846536,11278755
59,6848.214892941414,11441722
60,6864.122191689176,11559243
61,6811.868644111633,11499225
62,6712.55529028831,11454332
63,6331.536885785294,11583591
64,6012.826871890681,11552257
65,5980.739630925103,11484302
66,5964.696925168124,11534098
67,5814.127017508294,11625552
68,5633.245535372829,11738891
69,5931.414953219016,11516006
70,6364.434204833858,9401693
71,6092.696540993993,9905628
72,6023.973854380092,10445461
73,6024.734714038868,10783822
74,6053.039325297786,11099317
75,6072.824092594469,11578767
76,6230.89666298537,11640249
77,6346.078668638014,11662718
78,6469.924724630102,11758400
79,6545.091454934063,11811139
80,6625.090664875074,11839662
81,6670.521722844466,11884428
82,6659.841606913233,11992145
83,6696.508612548753,12024331
84,6700.411879644968,12095563
85,6753.600186252051,12152730
86,6790.733886771958,12171060
87,6767.929330628818,12241292
88,6797.14128944391,12330567
89,6843.46729702666,12319760
90,6857.427084994228,12395830
91,6879.617060002318,12449784
92,6898.061321050823,12548217
93,6942.816131882459,12571090
94,6960.977576091042,12615768
95,6971.817829219577,12753077
96,7013.486111053315,12768374
97,7023.417520155639,12879358
98,7071.493330089916,12890198
99,7095.505030586515,12989235
100,7134.371131495409,13086791
101,7177.201398970035,13070530
102,7183.16908542107,13154612
103,7193.465422956584,13204682
104,7241.527331787386,13258166
105,7283.534284411384,13328367
106,7317.456497371772,13397787
107,7368.646645500888,13457181
108,7407.191377549007,13471649
109,7441.15522526172,13552755
110,7483.948435858197,13588544
111,7498.013847372004,13629135
112,7533.092088678366,13733397
113,7592.849070843023,13760355
114,7627.164529653086,13775506
115,7642.345675364195,13754367
116,7672.729353847181,13877480
117,7712.990409128848,13931264
118,7730.293272792606,13949374
119,7777.65162152334,13947682
120,7799.399939199943,14027049
121,7835.3714337878255,14080124
122,7865.883436225664,14084343
123,7861.199690504018,14118559
124,7918.136630310471,14127627
125,7946.899081916475,14177305
126,7952.750057163596,14275530
127,7995.26888242304,14292579
128,8018.17072457828,14366225
129,8042.4089445746995,14397803
130,8070.09354196996,14364202
131,8082.41287667371,14498461
132,8104.830600851793,14538197
133,8160.551813654484,14603907
134,8203.592300380677,14599022
135,8222.746353483248,14712012
136,8278.044890520614,14710159
137,8311.033220369452,14768571
138,8350.49110559163,14747064
139,8366.572525423311,14825606
140,8407.77064189621,14865077
141,8452.881115750391,14861098
142,8453.310070382482,14882083
143,8490.152462583017,14919019
144,8508.358011869772,14967636
145,8512.72389058368,15006649
146,8560.572984592989,15018149
147,8572.651242483798,15048128
148,8618.557244192169,15066791
149,8631.415386304565,15139404
150,8641.850531256774,15202492
151,8662.010503824391,15236182
152,8698.701180650762,15243465
