Period,Mean_real_labour_income,Total_workers
49,6421.803821889192,10921644
50,6786.134835388185,11044406
51,7094.820893285285,11033276
52,7051.706694765924,11053255
53,6677.507794411934,11056328
54,6486.764814788951,11112610
55,6521.835419458006,11194364
56,6617.246433595439,11200955
57,6732.554750998592,11131472
58,6725.581917846536,11278755
59,6848.214892941414,11441722
60,6864.122191689176,11559243
61,6811.868644111633,11499225
62,6712.55529028831,11454332
63,6331.536885785294,11583591
64,6012.826871890681,11552257
65,5980.739630925103,11484302
66,5964.696925168124,11534098
67,5814.127017508294,11625552
68,5633.245535372829,11738891
69,5930.046343204024,11516503
70,6361.982498603949,9403544
71,6091.271058331558,9907200
72,6010.825103281023,10446968
73,5970.451716328844,10786830
74,5944.4024533132115,11100673
75,5884.1367977317705,11580411
76,5947.932353533871,11628227
77,5967.227056701407,11636926
78,5995.789637413451,11695840
79,6022.427070308372,11725388
80,6016.888961853235,11807043
81,6027.304045070874,11789308
82,6039.5364257066,11789881
83,6051.552141900965,11810913
84,6091.306720854514,11854244
85,6080.792681035052,11888840
86,6100.487871909125,11963047
87,6090.261861510502,11990257
88,6093.907328506209,12036263
89,6103.4799142418815,12085108
90,6103.523712204667,12130483
91,6083.766370302243,12217339
92,6117.536955405526,12249768
93,6130.653628583525,12256010
94,6143.0811216435195,12281317
95,6151.810899102447,12334872
96,6163.767938057876,12376307
97,6157.806271936858,12380782
98,6170.444999533043,12449984
99,6166.3219426494325,12512141
100,6185.360347145448,12578738
101,6205.500304912114,12578169
102,6223.508416559742,12607840
103,6212.71243599427,12596319
104,6201.545269983552,12671231
105,6221.744869568123,12738252
106,6239.614895015348,12780130
107,6268.101297587526,12782565
108,6264.977733665783,12752019
109,6278.761207857106,12757531
110,6296.097441993127,12809500
111,6286.950713056471,12868005
112,6298.390404753297,12883987
113,6321.197933663078,12916000
114,6346.419437344521,12907580
115,6367.44713114137,12960293
116,6378.044348426706,13007133
117,6404.855718426576,12941328
118,6397.455803735888,13006544
119,6410.18223062801,13019119
120,6452.202499414587,13016208
121,6459.984457571213,13057959
122,6445.19246449909,12987493
123,6470.524981781328,12996628
124,6454.632570690213,13069112
125,6460.051941077635,13145900
126,6478.824542439123,13175361
127,6517.819022948693,13159679
128,6528.027780093081,13239665
129,6548.165665664566,13269060
130,6553.4283131984885,13295359
131,6587.399747680633,13315402
132,6578.493940172733,13287922
133,6592.997982212032,13302326
134,6622.115212341209,13278245
135,6618.660944216207,13355714
136,6646.9806726936185,13371857
137,6667.87072616375,13389488
138,6656.305468662617,13413893
139,6691.1975157053275,13489748
140,6672.919334580994,13471086
141,6683.521697404985,13484673
142,6685.757726267996,13503119
143,6691.56081313378,13507458
144,6696.437473086754,13549444
145,6704.9034067962575,13553265
146,6707.315369318311,13565273
147,6723.028738216246,13558551
148,6739.799826342451,13611809
149,6756.122918593366,13563235
150,6769.685327679686,13599289
151,6802.457521175078,13549743
152,6811.400227984706,13581936
