Period,SIPA_missing_contributions,PAMI_missing_contributions,Obras_sociales_missing_contributions
49,3523.6083146706223,960.984085819684,960.984085819684
50,3167.8842418678105,863.9684296003543,863.9684295998886
51,7515.842451438308,2049.7752140290104,2049.7752140285447
52,11545.467944517732,3148.7639848697,3148.763984871097
53,12760.117469355464,3480.0320370951667,3480.0320370951667
54,6377.197334300727,1739.235636626836,1739.235636625439
55,7268.842789679766,1982.411669912748,1982.4116699136794
56,8675.195444017649,2365.9623938221484,2365.962393824011
57,6854.36925515905,1869.3734332229942,1869.3734332239255
58,6669.798342529684,1819.0359115996398,1819.0359116001055
59,9418.421839434654,2568.6605016659014,2568.6605016654357
60,5129.505704078823,1398.9561011120677,1398.9561011139303
61,1266562.9668805636,115546.39585725358,442137.70150223374
62,1544784.7993417196,141056.82832342433,540286.2905384321
63,1056764.9171646163,96917.20917773433,370179.0437358655
64,1234141.2644810416,112848.16623371327,430869.46056579426
65,2370418.58369451,215432.45809827466,824562.9580620956
66,2551132.7006509006,232008.76858335827,886190.8259896655
67,1948234.284095047,176873.64084208617,677262.7189725973
68,2035766.8085801154,184652.92839577515,707129.4728297405
69,1469581.3371017035,143282.32200802863,544823.1166089773
70,1648492.5151735954,160643.4649241045,608917.0351866717
71,1251574.873453591,122167.41992481658,466692.6216729861
72,1447161.210339494,141139.66754174372,539468.156869553
73,1051601.8690788057,105274.70818123873,399785.6901265839
74,1302833.4654076435,131024.86402296601,495956.75415013544
75,916580.5299561787,94945.28480077209,357087.823593542
76,1182314.4299511127,122131.58932383358,458596.4957585158
77,805573.869318895,86345.23735170672,321889.4337737039
78,1088882.9444383197,114120.19169937214,426209.31713138614
79,692416.2227222584,76810.78069068165,285248.5963808559
80,974845.3284972534,104712.94841376366,389768.31201058254
81,609439.27483337,69642.14883028809,258601.57247325126
82,910873.8435238749,98306.44905053312,367783.10871719476
83,546796.5452900864,63959.291805416346,236110.86794188712
84,857753.7686105072,94254.53054047702,350505.4169551991
85,483509.6674353443,57937.93723177351,215417.92470531724
86,811224.2913895398,90131.56621854333,336063.75105391815
87,444720.9879547246,55503.41932222992,203387.37724671606
88,793921.4034632854,89116.3725990504,329211.57676456217
89,424444.4546577297,53688.09102594014,195455.9243025994
90,767258.1297141202,86265.40147211263,320639.28854617197
91,382019.3923159726,50704.13635124825,183847.80883139744
92,746878.672317069,86017.5274675684,315313.9272942394
93,368782.15721203014,50221.493181162514,178750.32379692048
94,755646.218765229,87884.78308841819,320761.9429932106
95,366631.28943700343,50593.54519303329,178031.6894336082
96,750095.9153289124,88242.49490192113,320088.00718035176
97,355168.6756198555,50529.36194455577,177515.40372112207
98,739762.3100705743,88147.25453048944,318435.43871445674
99,344841.808370471,50647.92194935726,174933.28898345493
100,739100.8017025888,88527.31195352087,318497.3409101516
101,334583.3612524122,49593.08586395951,172129.44332006294
102,736612.587090727,89702.84387715906,319577.5650202492
103,326582.7239227854,50287.234766499605,169833.63550694473
104,731231.2113463022,90971.80506154057,320062.44322613254
105,306616.5167707652,50121.310236041434,166391.58708803542
106,732368.7528389506,92139.54940243065,322148.1580913309
107,307559.49296699837,50501.58133480651,166440.17647134513
108,739636.2973046713,92778.4864165783,325003.94687116705
109,298684.6545339376,50301.8416248369,165732.7816318618
110,744182.97814155,93940.67866606824,326438.26284440793
111,292142.3336610198,49947.576412131544,162601.9875058746
112,732251.1686744429,92761.98325722385,322899.16549272835
113,287041.8592323251,49547.50270937802,159853.07291663066
114,737834.7501685917,92846.69037014805,321776.742899457
115,287044.74851198867,50063.604143952485,158406.66388949286
116,725914.6108295284,94279.91998148989,320584.29772124626
117,274233.3126447201,49900.33895154577,155178.57812956162
118,724085.1067749187,95761.29120533261,320958.2584643252
119,275603.0945819393,51397.58944967808,155951.0800968064
120,738364.7577902265,97326.3520944994,323009.7952410113
121,267850.7285284102,51817.77057045372,152873.57193079963
122,733288.7289967351,98354.75184532348,322596.0766232293
123,265850.0850501023,53228.01901417039,153220.2945428677
124,734762.2379899509,99931.30843997933,324692.71669866703
125,254374.11290014535,53122.11944830511,151010.89893352985
126,720626.34582261,99368.60079340916,321307.19802136905
127,227203.40175097436,50924.79196685925,145176.46421253867
128,717392.129912205,99900.09934048075,323815.81001024507
129,223151.53845422342,51390.73872188199,144766.90259571932
130,704267.5828826018,99206.02734056395,319977.5128229968
131,216861.46431245282,51295.04516700748,143271.74467864446
132,703509.985017281,99249.19029155001,322526.77079979144
133,210492.27287711948,49538.42496787384,140115.4667019304
134,713476.2987613678,100299.99154061545,322889.8937386926
135,209797.37984390557,51914.44621072151,140401.3733319305
136,722635.149270501,103716.09043915197,326055.7971628811
137,217928.51293434575,53447.053084043786,140256.88577589765
138,729219.0480216816,104870.63118040748,325892.10559237376
139,202704.23743648082,52892.25578929018,135348.76792839915
140,714577.0856402554,105430.04297759198,323808.29400588013
141,189973.94522022456,53471.20033759251,134437.24704986252
142,710412.6537980884,105233.46481882874,322273.16495175473
143,178748.71163157,53293.73081851099,131327.06086405367
144,717190.5860932544,106959.44234610349,325528.3206264246
145,184674.94534725696,55032.51123065408,133310.1864434015
146,724917.2603665814,110387.1471507661,329391.83209278435
147,181997.43888556585,56805.856890712865,133156.06283248775
148,714944.9640393332,111298.06508816872,328006.48618474416
149,164914.20812658593,56194.481272307225,130250.79818395525
150,696363.0393406525,109003.89532663673,325581.82212745585
151,153125.93507657945,56169.19724711031,129036.20913039707
152,701160.5835670009,111677.10592478327,329179.99352901056
