Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
49,999473,1179713,1010319,991855,865363,807519,671266,644422,543087,516295,423509
50,1005404,1177352,1009203,1008087,858846,809959,683405,640597,556282,506288,427695
51,998203,1194447,1013410,1009334,855600,816237,691927,640175,563286,507644,417309
52,987674,1204880,1020799,999723,855367,838138,692054,631587,580266,504050,429069
53,973792,1228502,1026810,992591,864367,839731,696372,635673,579509,505367,436447
54,964182,1250129,1011895,993004,883401,838417,699498,638364,584359,505085,438543
55,957440,1255347,1021629,996309,885384,836345,717387,642655,574249,505471,447170
56,950932,1275810,1024459,991439,886150,861393,717779,639313,574143,510312,450013
57,933540,1276709,1041685,983014,906160,852266,727009,634724,579497,513318,457703
58,958641,1256827,1067233,978605,917807,851978,735605,636255,579923,511943,462898
59,953150,1263383,1082464,966656,936967,844565,721725,660722,578094,505597,468485
60,946218,1260738,1101011,970686,927470,835891,749409,646532,592108,510147,462522
61,949479,1260926,1101906,974640,920600,846589,757087,640940,596156,521128,460956
62,940737,1259754,1105426,996979,927521,838809,771257,632584,608068,515405,466340
63,952394,1257733,1125063,988216,942168,844381,773433,634637,604346,517568,472017
64,934356,1261109,1135382,970101,949754,858422,778265,632681,604085,517149,471551
65,946557,1245283,1149217,974845,957947,850244,787126,637614,609818,510031,479067
66,922126,1249601,1155061,976147,958697,854458,793898,642996,613606,506213,479734
67,917672,1246384,1163737,968804,981074,854368,799575,641997,613283,513454,476879
68,914547,1242022,1166542,977339,996949,842854,808042,650680,614023,511411,474390
69,905825,1239887,1170673,1002654,988097,855188,798328,665003,616381,507937,475118
70,910103,1239821,1170052,1004062,1001919,848334,798196,676972,611382,519343,466936
71,911844,1227189,1186995,1011286,1001474,846049,805392,682518,617505,522374,465208
72,884143,1231365,1198976,1018533,995096,844033,828541,682113,606552,539912,461453
73,891647,1199473,1222063,1024614,987571,855466,831270,684077,613609,535418,466101
74,871888,1214472,1243655,1008669,987935,876233,828464,687878,614091,544118,461979
75,871319,1202266,1249240,1018331,991512,877978,825933,705889,620757,534172,458504
76,881847,1178937,1270002,1020853,987545,879390,848717,706978,619268,530996,465900
77,876984,1168230,1270904,1038134,977241,900186,839699,714454,613965,536467,467592
78,876129,1172735,1251179,1063545,972925,911795,840473,720666,613971,535809,465871
79,855747,1188373,1258322,1077096,961548,929998,831385,708363,636035,535550,461092
80,870248,1165251,1257862,1095133,965955,919869,823584,736208,623631,546831,465642
81,859289,1178332,1258116,1096164,969193,913735,834413,743324,619453,554756,468820
82,885049,1148637,1256852,1100009,991255,920573,827892,755987,610065,568777,461607
83,883741,1141688,1253269,1120023,982164,936535,833362,759396,611026,563901,461656
84,880739,1140522,1256912,1130374,966348,942530,850515,759915,611473,567437,462682
85,885382,1146759,1241402,1144262,970108,950485,842859,769026,615702,569096,459509
86,890910,1144551,1245828,1150016,971410,950496,847031,773645,622518,567499,459779
87,885698,1142558,1242786,1158433,963781,971177,844283,780610,619830,563509,469892
88,900981,1128580,1238164,1161369,972216,987591,833705,787551,627513,562545,469735
89,898709,1119558,1233624,1165752,997461,980834,843849,777874,640728,571209,462173
90,895386,1124503,1234044,1164902,998535,993846,836610,777847,649819,569645,472020
91,898117,1119965,1221984,1180682,1005780,994470,833861,786173,659933,572166,474769
92,892191,1112633,1226049,1193548,1013330,988682,831549,806898,659470,564161,485094
93,910929,1110776,1194390,1218073,1019021,981725,843094,807639,662996,570554,488218
94,913220,1088174,1210210,1239792,1003788,982414,863673,804608,667853,569687,498791
95,911615,1087934,1198506,1245030,1013636,986181,865811,805426,682678,578093,488194
96,913865,1086021,1173702,1265178,1017090,980969,867417,827329,682998,579181,484154
97,911601,1085322,1162459,1266531,1034606,971779,888717,818956,687826,575089,489284
98,915401,1090061,1166542,1247787,1058252,967663,900048,819858,694879,576369,488415
99,911839,1069858,1183652,1253475,1072346,955033,917091,809904,685890,595364,485913
100,925489,1085945,1162186,1251227,1091166,959088,907396,800650,711998,587531,495794
101,912462,1084664,1175750,1251131,1092447,961269,900505,815666,715389,585134,498370
102,904613,1112246,1146055,1248960,1096292,983507,907541,809240,724822,575641,514114
103,914653,1110149,1139668,1244890,1117369,974676,924492,814568,724589,579999,512063
104,915868,1113283,1138629,1248520,1127384,960306,932009,829994,725277,578214,513230
