Period,SIPA_missing_contributions,PAMI_missing_contributions,Obras_sociales_missing_contributions
49,3523.6083146706223,960.984085819684,960.984085819684
50,3167.8842418678105,863.9684296003543,863.9684295998886
51,7515.842451438308,2049.7752140290104,2049.7752140285447
52,11545.467944517732,3148.7639848697,3148.763984871097
53,12760.117469355464,3480.0320370951667,3480.0320370951667
54,6377.197334300727,1739.235636626836,1739.235636625439
55,7268.842789679766,1982.411669912748,1982.4116699136794
56,8675.195444017649,2365.9623938221484,2365.962393824011
57,6854.36925515905,1869.3734332229942,1869.3734332239255
58,6669.798342529684,1819.0359115996398,1819.0359116001055
59,9418.421839434654,2568.6605016659014,2568.6605016654357
60,5129.505704078823,1398.9561011120677,1398.9561011139303
61,1266562.9668805636,115546.39585725358,442137.70150223374
62,1544784.7993417196,141056.82832342433,540286.2905384321
63,1056764.9171646163,96917.20917773433,370179.0437358655
64,1234141.2644810416,112848.16623371327,430869.46056579426
65,2370418.58369451,215432.45809827466,824562.9580620956
66,2551132.7006509006,232008.76858335827,886190.8259896655
67,1948234.284095047,176873.64084208617,677262.7189725973
68,2035766.8085801154,184652.92839577515,707129.4728297405
69,1469581.3371017035,143282.32200802863,544823.1166089773
70,1648492.5151735954,160643.4649241045,608917.0351866717
71,1251574.873453591,122167.41992481658,466692.6216729861
72,1447161.210339494,141139.66754174372,539468.156869553
73,1051601.8690788057,105274.70818123873,399785.6901265839
74,1298171.6547305398,130613.12663802598,494376.1543317633
75,903971.8465108406,93830.30932124611,352799.8982607126
76,1163189.2507970408,120462.39184125513,452177.67556090467
77,767766.9632580914,83058.54301934829,309272.41025044955
78,1054856.8119309545,111223.47424641764,415114.99407006707
79,645490.3176987842,72705.4542030152,269428.56677016336
80,941486.1274717115,101819.6459095655,378625.1312908456
81,556834.713232357,64467.07622026745,239345.03597951494
82,860181.3298271373,94341.42937407969,353233.2666392885
83,483788.4995649941,58401.90797481127,215760.50988432113
84,820418.6961876564,91570.16220965981,340446.3074360816
85,428999.3036777787,53781.40825176798,197925.79205353186
86,762734.4731505327,86246.74725465942,321262.7891455544
87,372889.29091408476,48922.81012836471,181295.6423285436
88,735527.0806320086,82872.53275387175,311638.19737794716
89,346790.59078900516,46718.97687086044,171247.2016787054
90,716445.3264692016,81506.8512223321,304352.32311517186
91,307181.3544200845,43073.42189865466,157255.1724618813
92,697472.5809471607,80942.16338093393,299605.72390731797
93,298575.4879300669,42644.36397008831,154571.91669666488
94,702984.2692164183,81691.78629788989,302129.48584455065
95,287440.058873456,42242.86984241288,151925.05366276857
96,695984.4626531526,82589.218712857,302032.7263187673
97,253065.57290154696,41420.508326896,144842.9545417251
98,667926.9726727717,80903.7649397864,295241.22603013366
99,242752.87234131992,40083.25971291168,141618.53281043842
100,670029.9880159758,81920.48825515993,296166.21558546554
101,240064.69402362034,41250.05773957539,140435.3415730456
102,669393.2885785736,83901.01207785308,298815.37272773683
103,231092.75566432998,41899.81116903387,139249.21227052342
104,657374.2070581168,83544.29757580627,295076.4805962974
105,209464.26754719764,40842.04769154359,133292.52743994445
106,642270.9092235304,83081.66417318303,290613.1995436661
107,200995.16265061498,40695.6858165157,129151.06897637434
108,646987.0773692578,84804.80897139106,293620.3958998807
109,195192.9529529214,41347.80062868586,128611.75023732148
110,646857.298773881,85808.227329568,293084.9231984988
111,185990.95848796144,41420.19357566442,127244.30499353446
112,646032.4440563358,85090.34167986177,291672.3971674312
113,172438.77493164316,39021.37752658455,121011.45028148592
114,644361.3509307019,85610.3866740102,294302.6469850261
115,173017.05352197215,40192.727348076645,120641.26046344917
116,653506.0426007882,87438.0354283778,296212.5596978422
117,151202.8756374456,40296.10436783591,117426.12539635226
118,634242.7791095562,88553.7513552932,293562.1029841304
119,148574.2744430378,40435.96395878075,116246.75869711023
120,640312.1289081052,89078.74878029246,296386.71029000916
121,134719.84457613528,40026.04174695816,114309.33219444845
122,634989.4952049367,89180.45575575065,294696.131573895
123,126003.34036937729,40027.927631202154,110813.27694270387
124,632825.9638024084,90434.52024914324,295462.3664270118
125,119256.12232504785,39994.7785274256,107070.59942032397
126,621817.4667745829,87915.24456208013,289268.80387573317
127,93041.61758773029,37841.58458541054,99320.98331034556
128,626064.0025358275,92917.81377696339,294148.7149324883
129,112647.23620456457,41717.05244089756,104720.69816839695
130,644473.1468500867,94530.24021232594,296542.72574158385
131,119209.454679586,43517.51439494919,106519.52499586344
132,627804.2119147629,94707.08881965559,293915.58219086565
133,94247.95806211606,43062.32370268088,102137.01035257615
134,610778.9850699231,92005.66923146322,289940.14083896764
135,70094.79035399854,39916.65654201433,93857.68976888433
136,594168.940992903,92722.0573621178,287849.9859971311
137,53453.370613176376,40818.66428577807,92310.14898679033
138,604221.6600000896,95338.43255036417,292286.08062458225
139,59370.17583954707,41363.74994397629,93738.05422512256
140,593867.466287639,94677.59519867133,290329.9922393393
141,22931.832676760852,38985.60232016537,84635.82347921282
142,580877.6032111868,93866.14605772309,287131.2601560857
143,26484.526393111795,39208.706364843994,87428.65244305693
144,597605.3519069105,96254.9752320908,290662.59742996655
145,37550.225383363664,41464.065050450154,87679.66615888849
146,609707.792187728,98952.3666851325,295756.5674500931
147,20085.8186773248,41635.125346196815,83589.67389682494
148,594150.0434248,100354.06701186951,293091.6380984448
149,18263.6474112235,42645.249173367396,83202.06170611829
150,594867.1683013663,101541.60435675923,291569.72378126346
151,17088.81787295267,44483.67097256519,79494.19549227878
152,588711.6814183071,100825.95055334456,287344.3193322141
