Period,Total_SIPA_income,Total_wage-earners_SIPA_contributions,Total_taxable_income,Total_gross_wages,Total_SAC,Total_autonomous_workers_SIPA_contributions,Total_Monotributo_SIPA_contributions,Monotributo_integrated_tax
49,18000510.6188669,17348424.3044446,61294383.3095153,61294383.3095153,0,371077.892968079,186193.971362136,135449.214417351
50,22157499.2341788,21420846.3579256,75698211.0792046,64884180.9250325,10814030.1541721,449590.592220506,181303.384351026,151084.142402353
51,20233959.3615849,19481047.9018705,68948168.7444157,68948168.7444157,0,479075.444673333,169295.89556962,149343.027816335
52,23711099.340712,22929508.1705452,81128439.104295,69538662.0893957,11589777.0148993,516987.680878167,162008.72253143,146563.952510206
53,19318558.8094962,18652836.7134315,66019109.634082,66019109.634082,0,425976.651435597,141481.176969882,140377.525227439
54,22035975.6793422,21394352.2957855,75696584.2068533,64882786.4630171,10813797.7438362,415298.321746476,127089.694721227,141764.810127232
55,19225382.5714869,18603741.720877,65799884.3882005,65799884.3882005,0,399075.404357142,121633.121774462,144189.0349691
56,22564836.9054479,21903346.743288,77437977.0286537,66375408.8817032,11062568.1469505,439140.631379141,116461.810362377,151268.17202623
57,19510720.9348717,18772632.0522002,66351902.7083651,66351902.7083651,0,413586.258336625,238137.823326839,123378.287154311
58,23339052.656364,22600878.1366645,79882706.2211742,68470891.0467207,11411815.1744534,415889.735639967,230582.912895283,131002.673091904
59,20676340.3358436,19987346.5543269,70658358.7383324,70658358.7383324,0,367663.677083727,225108.785774441,137459.026655012
60,24442783.390504,23718443.3956191,83772244.5237371,71804781.020346,11967463.503391,396743.97044938,227007.358244038,143698.094559182
61,19573117.3944048,18842001.0762178,63609343.1458918,70961222.6214461,0,385120.323093544,255380.671773609,129450.461885458
62,22216148.1449952,21497589.8809881,72347360.9563194,69714099.3486738,11619016.5581123,396657.897900116,234931.164644349,124241.716375217
63,18296958.6464321,17659472.0058588,59887509.8280857,66038620.5698344,0,349907.588704731,208838.907550347,112485.920454584
64,19939496.2171495,19343434.468545,65408555.5176618,62201099.778605,10366849.9631008,316139.72116797,201450.048869671,112102.826524005
65,15750615.9012498,15179121.8967004,48156642.7646441,61869622.9419318,0,293358.556230833,200443.796049829,110988.074669527
66,18663324.9516775,18097437.8347259,58016147.8012195,62353425.0747698,10392237.5124616,294460.186874524,196186.538477386,107486.273713936
67,15837691.0752344,15243839.0367646,49291998.1091238,60559005.7924842,0,310256.129758465,207049.283705519,109352.321436835
68,17981659.6177891,17377691.1414433,56595521.5971546,58594550.2898636,9765758.38164393,322478.108124877,204660.127476656,109757.486777464
69,16350830.2039693,15780949.2033318,51701148.4791059,60742110.445289,0,287128.604778399,204033.322287457,112455.819388001
70,18118675.9790896,17514044.9750322,57346374.8274224,57805901.9768171,9634316.99613618,323009.465323779,210436.438216249,101693.000739106
71,15296821.5803269,14716030.0371216,48450757.8649951,56208546.3325629,0,313655.490489986,202847.956564416,91840.1373584102
72,17737834.9336679,17153272.7544254,56497968.9470328,56115379.1628043,9352563.19380072,310462.500628088,206907.242248764,95989.1948081142
73,16073808.4573933,15482273.7963043,51570241.7364438,58202247.6051837,0,311259.402464581,209715.409584803,100799.784342294
74,19420622.710068,18802977.0147836,62605046.4054519,60681644.0051958,10113607.3341993,337193.508933824,209829.201168758,100889.978831242
75,17295971.0655862,16649518.9267492,55979738.6184527,61810921.4534877,0,360225.378700723,213571.99081279,103792.527604924
76,20362220.2072986,19709365.9638001,66092055.4041247,63051825.6557537,10508637.6092923,360995.650751244,219612.521429534,103208.673311109
77,18131100.462723,17455108.2241229,59104519.9910999,64197840.5166034,0,373415.602472616,229243.110712617,104762.179164065
78,21157968.4316793,20463435.1493261,68954077.496114,64968590.2617797,10828098.3769633,389377.008561529,232428.478628824,103896.850232631
79,18515418.5271848,17834379.290763,60700941.3975277,65130164.5485354,0,362046.93142302,242059.992172466,109903.304037567
80,21389751.9063942,20633762.5089117,69812224.5115515,65181164.4343619,10863527.405727,428213.483372767,249268.772719441,112153.059128976
81,18909670.9030391,18137114.1210674,61935504.0326372,65873438.6710653,0,441191.529569635,254224.007412719,110201.778556187
82,21933800.8416908,21146433.7658906,71755391.0914239,66500885.2007194,11083480.8667866,454461.315253821,256077.620786266,109754.485371594
83,19475906.5558728,18653002.4017614,63889777.1624186,67432616.0560169,0,483788.602004488,261528.759079372,110838.275753699
84,22795444.3269825,21994492.6138873,74795504.0467206,68912943.5640976,11485490.5940163,460369.611354352,262887.25670284,110992.635768535
85,20175880.1146544,19385423.543242,66549136.8872688,69794207.6884995,0,446186.469947593,266995.314949373,110392.552164954
86,23197296.1589488,22376917.6426955,76239551.2589991,69883305.4692747,11647217.5782124,462476.446758252,276855.013444603,115781.508643535
87,20600813.4142767,19750464.5545948,67937096.2140682,70916811.8516847,0,486361.784089397,280860.501372112,118752.248886234
88,23796486.5731603,22975005.6136794,78339069.423266,71562437.9480631,11927072.9913438,449339.893175298,288743.953226238,119138.732970525
89,21189343.9972857,20326470.9766059,69996206.8512713,72800431.2160108,0,491048.359401199,289010.305694101,118306.222263527
90,24461622.1483548,23637906.9339553,80689291.7054216,73463573.3242698,12243928.8873783,459581.72172786,284641.677185133,113559.736409319
91,21675168.8147125,20832772.9233409,71826582.502345,74397209.8399621,0,472764.900116935,290058.875037107,113674.451739441
92,25052500.3060617,24185928.407346,82658794.5405919,75070791.5893274,12511798.5982212,503375.474552481,283299.170806921,114138.933366021
93,22284752.39904,21417039.5577707,73878729.3398018,76399106.7480403,0,485510.961019389,297686.250808156,120736.61348823
94,25863005.7290835,24977197.5227515,85390823.04372,77446866.5380723,12907811.0896787,498212.596137541,304173.577257835,119174.332766601
95,22818412.4280342,21937148.1645449,75717658.3700481,78187157.8623542,0,498350.487923778,300477.819761648,117765.651148394
96,26341350.099576,25461776.9314698,87125260.8742181,78913892.2889,13152315.3814833,484000.562411105,310060.189989382,122160.593865278
97,23085502.2323659,22189340.2058614,76726770.220122,79054070.2111816,0,496988.093301143,312604.268859571,123670.949062595
98,26411110.1781873,25471988.7367011,87243802.9626523,78916438.9685327,13152739.8280888,549002.303277553,306852.531779011,118952.294899487
99,23323012.5447227,22363451.3140472,77345689.2739395,79631756.2567787,0,573465.490891162,304008.610188767,117267.327993657
100,26858251.5667162,25949810.0919634,88920263.7601789,80352180.1547537,13392030.0257923,515200.955498916,310350.491723619,118414.325043203
101,23593655.2575952,22655216.1903443,78403342.9716757,80636449.5355628,0,532864.9209737,320127.869815698,122066.109230718
102,27324533.7226303,26389662.5367734,90502016.1505305,81720437.0528994,13620072.8421499,525325.438717378,322489.808597694,124365.626488264
103,24059136.8118313,23125825.4349788,80092670.4814728,82284100.2892902,0,536286.643930366,313693.514932856,119044.597127562
104,27646639.3187951,26695719.143017,91609071.3917952,82604146.8050404,13767357.8008401,553903.557429444,314418.912539666,117996.722584341
105,24329578.6775657,23369525.4314173,81013802.3798437,83095684.3240879,0,556852.567648489,318152.532419159,121497.35154392
106,28020072.7116038,27028056.0910543,92817196.9850698,83562288.2578277,13927048.0429713,585886.983514313,319486.652526439,123775.692155345
107,24705743.7453159,23700641.6504039,82191873.2848552,84183082.9338791,0,584963.883337283,331779.041584149,126227.385700713
108,28519895.0264634,27517201.2505162,94535271.8850187,85059303.5750114,14176550.5958352,589104.252700377,325442.124621479,125924.855179069
109,25257319.8319917,24242020.47656,84110069.9614857,86074074.7371625,0,603245.997249102,325787.596870678,123236.80187406
