period,Total_family_benefits,Total_contributive_child_benefits,Total_auh,Total_spouse_benefit,Total_school_aid,Total_wedding_benefit,Total_prenatal_benefit,Total_pregnancy_benefit,Total_birth_benefit
49,2734350.16043429,769150.970156744,1347875.48370656,183870.104000691,338093.926038193,31526.3823338806,24077.1305853279,31658.6935432472,9202.30324894151
50,2477379.0710721,691195.429516271,1268052.4844006,184400.119829744,245542.076304456,20998.5084501751,29210.9064576864,27931.6708723083,10914.7131947921
51,2917699.64699186,904566.572509716,1553931.86249794,353100.647166009,0,3427.68829186488,28272.2424773039,68274.6358079497,7563.11359751674
52,2756313.56138864,868035.636248455,1446456.09856422,332075.995672236,0,7651.38230010397,38436.7963471556,54213.3977020749,10193.2630571491
53,2795174.27854746,651983.941091058,1253642.50840363,284415.403588367,535174.73604387,2963.34551881839,21138.0436511109,39227.9750118616,7113.02391421705
54,2827291.46962747,1170083.2953331,1281417.83113838,283463.506387765,0,4262.27989327429,40692.4994081849,41562.537068552,6701.73710393453
55,2477332.11619084,912108.961680962,1195744.49461844,265506.850230414,0,3313.79219433679,44329.3532834185,50876.2046295664,5933.34745344313
56,3910348.4398605,2134725.58721156,1259565.93983801,345441.107184082,0,6017.20836578514,88039.7773410462,63419.9744560475,13138.8454639734
57,4298955.28184956,1860159.28305272,1247158.55143378,324705.61349667,748947.797476514,5410.31196281292,73375.6709614865,29279.8648550301,10554.2742020238
58,3938877.93859074,2230764.05068608,1220883.19620096,356978.103767779,0,9241.43146997252,64519.83033329,48573.1089921066,8445.26291397342
59,3599109.6687936,1918501.09778747,1188096.3688738,338899.429955525,0,6384.15770926033,87888.1027564367,49450.610055503,10394.7851948797
60,4011961.89295399,2267425.78760671,1215955.532242,356955.85452758,0,8826.33476454865,94195.9994458094,57454.1403555487,11693.7191805119
61,4266309.08811414,1928232.33057195,1138999.25175111,330167.470120155,751592.026007215,7111.38473049712,70362.4095334242,30362.2381592399,9401.88872724604
62,3669736.53404985,1954037.25765909,1267560.96874312,324976.694746802,0,7066.37626714362,65596.2273316425,42504.8382165958,7994.17108545375
63,3308354.07920606,1717934.21404231,1155845.28700457,311941.598834788,0,7155.56382406401,61293.2617608139,45621.3356582711,8487.78414030457
64,3051358.17301921,1602501.74725369,1057614.22049697,286977.842965087,0,8464.50051935364,45333.3548958444,42990.0893593819,7514.95030676814
65,3573945.3037423,1572535.16486507,975641.666231167,280830.460077113,636008.316619114,4002.99816565245,63479.2110749803,33208.3789749041,8811.33075275378
66,3250249.78092665,1555100.35438503,1296043.1911,286803.320954177,0,7181.7781682519,66017.5723411818,31267.51765638,7874.04390280944
67,3176833.72483202,1565857.54194277,1215853.84952,292533.28643239,0,9242.06514455912,50905.3311336398,36477.6539637625,6750.90770051998
68,3280873.68152559,1622051.6834615,1285564.82994,287295.742486981,0,5749.74666316357,49222.6363374615,23653.7061101593,7238.93476422286
69,3829657.04819661,1463842.0953235,1354670.80616431,285589.272102231,632410.869171035,6755.81107102849,40436.2568794432,39655.4753988891,5611.18121263208
70,3293563.01684253,1665747.37847634,1209282.96766218,304687.208139261,0,9058.26954497593,50467.1818766067,47284.9605712046,6417.50510863915
71,3322062.62000074,1776888.74178523,1126152.28210184,310748.273076653,0,4828.19416346386,58413.751080201,37134.2148087056,7273.85449134231
72,3325389.96319955,1791420.53807176,1124223.2943774,305301.36949969,0,6662.27863714463,63844.7293812322,26214.2945740947,7862.85701736566
73,3872589.3562618,1692271.923404,1093615.92844455,299747.003836469,681700.194714841,6280.14857047801,56423.8671826897,34420.900195057,7811.51765297377
74,3248869.83643428,1782257.12249906,1044207.64408242,302665.962720473,0,9234.65214898048,63235.026646022,39602.8879180625,7596.88107777493
75,3281133.71102983,1724402.67521856,1118979.98825888,309201.115595364,0,8311.77737477591,73632.2069873057,38674.9985629474,7740.07130724563
76,3416316.26712592,1855364.2510912,1115689.4680419,319918.742908648,0,6837.9584075487,58445.8362677911,50320.3433087368,9540.48259577605
77,4341746.97718522,1923903.12768034,1199235.14738556,329311.607213011,771249.13208051,7475.26330608259,59061.6059269327,42916.7470166515,8432.68612962864
78,3733112.81851879,2087874.21980622,1160252.49624026,334190.437697624,0,9209.41047175535,83160.1582314585,47959.9500138807,10126.2826232768
79,3742401.15786431,2008218.40144008,1268349.08493282,338461.348713214,0,8746.81022950644,58606.7386487063,52917.6911861327,9524.50299491657
80,3856705.14083522,2132039.34774144,1246763.16717007,348529.268142497,0,8317.32434685101,77399.4491234396,34058.495753941,12064.0402927659
81,4719022.95215599,2178044.1179543,1203984.74399587,350178.257834816,830345.984591112,10706.6367628162,92453.4364782186,44029.9178275808,12373.4471399311
82,3917828.48290649,2185018.04061281,1223270.35255218,353296.844913985,0,11089.443118381,85822.6435961787,50120.2169891737,11271.7403996773
83,3930797.39770247,2250467.46510463,1170612.87277022,357698.292411969,0,10881.079852278,86334.9809108231,47456.7948479499,10006.7801965796
84,3974334.68554196,2294681.44593061,1167800.46629312,360373.1874124,0,7827.57396245503,99784.0323529183,30961.2640756065,14183.5857172567
85,4924718.02605384,2409627.00181103,1141998.61258765,364966.149110587,874103.329896094,8935.39841739185,78476.3818964427,39506.1551746538,9628.46933432825
86,4115740.05308436,2440651.06176494,1156917.37359659,368805.534173456,0,11027.9377382671,74712.6072729679,53157.8749309154,11091.4452835533
87,4108195.90887972,2447482.28568397,1128450.53522697,372813.557546199,0,12714.6642036469,89115.8106995561,45946.2186368772,12510.3592749771
88,4158544.52771013,2488869.3274013,1123213.4385944,379494.624976335,0,9289.50909757702,86580.7380850089,62659.1476362029,11372.859224301
89,5099248.88655343,2465654.81562659,1165799.95380384,380911.204778091,901365.600498596,12376.5265479571,124376.70852614,37131.0904301184,15514.5520082674
90,4224835.57887155,2507440.3324503,1156780.52896332,379272.642100205,0,11135.5870926833,92144.5211976158,68504.9733598073,12733.4353511001
91,4226416.86561873,2531251.6962844,1165267.03551323,380047.293762191,0,7658.66732169245,83386.2616632463,50074.1887449162,12704.9275789121
92,4182603.7421534,2502689.79692222,1144032.52388528,376054.758324547,0,8904.35703894613,94289.3165214106,48084.5018723829,12516.4084856503
93,5170572.88563125,2518714.61524991,1201684.43267829,374422.19258381,902770.851291425,11372.3469898362,109814.048634451,41372.8350819315,14045.9437375235
94,4443000.23177442,2624293.6328429,1248367.82533415,383320.126170544,0,12014.4873705744,100391.580356561,65931.2073324236,11202.7733897305
95,4358590.93595107,2641659.02292466,1185232.09887397,382692.919111529,0,11928.6352165871,91116.4791480415,37342.947626696,10958.9035658545
96,4385424.86480473,2764167.28240827,1078231.72037277,382950.359354676,0,12198.113856715,97316.61545998,38250.5325379369,16405.9915446306
97,5405397.42883211,2811002.59953999,1101527.85497254,381763.387678645,949160.33525552,7277.05198671619,111134.640791646,31600.1768572056,15495.6297238782
98,4463582.49540477,2778692.71119269,1139956.06138795,379713.88798544,0,13098.1144468538,110662.736479943,28728.2697279865,15174.6732831674
99,4405656.66865159,2710397.57263869,1169116.63840328,379001.144098316,0,14315.1768196817,93087.9407097747,30958.2136133145,12155.6947153165
100,4415963.39181061,2692307.52987362,1188853.81317139,381681.347223955,0,12343.9647118294,96855.8123909718,36058.5347002712,12559.1543483238
101,5336444.36855696,2733851.29971551,1114166.61007345,382646.580746629,942473.921523457,12186.2218108101,100949.001469651,46669.1808431853,14719.6062121565
102,4445853.77193446,2885665.15119401,1001567.44144492,385425.74715482,0,14377.9817863607,114539.702138288,42169.1338550834,14737.7754261973
103,4393585.00137123,2807408.84985846,1041933.33311202,385645.61727114,0,18083.5964993505,83892.3376227803,56881.648482285,11318.6936859316
104,4418425.53315048,2749820.2953513,1104281.3081577,387291.000056972,0,17275.256376543,106070.701220161,41606.9591128859,15504.0998594482
105,5429252.85488442,2860656.26530173,1040817.46357125,390255.915697636,954696.25755026,13219.8291274003,117092.088162172,51061.1582146113,16796.8092101849
106,4458674.40086212,2845442.27358641,1046452.02846997,389173.296893741,0,9582.89604910679,98272.8210859572,57008.7484443486,16272.4048759526
107,4411197.38887017,2904050.89331506,950244.145998574,386225.745741014,0,14899.6527223713,93381.1946935018,61805.8444109946,15278.4359855279
108,4379927.07286827,2789644.0407433,1043426.75532007,383974.306005338,0,14532.5479063919,100905.232051721,37458.520962302,14731.6904748936
109,5350473.27158346,2879152.11708138,978314.246355946,384073.828817956,940879.284959301,15068.9145993067,110986.265058572,42105.1114183022,16238.4613930874
110,4465882.8282804,2853476.88942644,1017372.72658069,384825.035757321,0,17374.1721149199,153620.116648667,32857.471122365,20537.5790674176
111,4378422.46774037,2864980.72873475,978957.956624285,388011.351116772,0,14833.6421829622,84309.1650414173,47833.2369884489,13005.209009324
112,4355104.0868583,2793211.62300024,1016308.88646927,387664.389385636,0,15460.7292093918,114662.470414503,27929.4587431214,15109.4371442883
113,5284768.49705306,2782136.0038317,1022203.82233467,387176.044770527,937879.468096622,14388.6593386455,121501.616715978,19845.2524918121,16571.6514449995
114,4336337.48643588,2797974.26540616,980922.659738656,387978.544143258,0,20666.7695565981,114787.819500121,31688.4513834217,16867.2901021089
115,4403070.63200053,2855091.49359563,987134.122244341,388414.958561406,0,14165.1274253315,115025.261104361,39648.9416149169,18112.1042128718
116,4350511.41303392,2906954.85841895,893828.224383706,388409.374796137,0,14124.1164972209,110251.974388516,35536.882718714,16770.0073697274
117,5302854.94592937,2918271.63979897,901602.298082596,388089.590906322,943214.80347635,13705.8468897234,113072.899873586,22119.2011344599,19872.0785824311
118,4341017.19626063,2836525.45135758,954256.743438915,390878.993473006,0,18156.4831952337,104644.230305468,24288.5834244931,16968.596002406
119,4344689.17590956,2778030.82988848,984797.691863186,394468.382194055,0,13379.5036536262,117187.008269616,51385.7259664474,17011.2140147394
120,4281490.9260631,2769422.99850238,960045.11142855,398449.389146608,0,14167.8321712095,97310.1850621234,37777.5427706413,14455.1314028151
121,5245116.83716511,2787190.75738866,965711.320361366,404080.703525846,924645.251808437,16086.6045624374,111670.912155566,27795.3339253043,17725.8060823794
122,4275420.55362768,2755789.95748615,938486.159900923,402290.127238158,0,19715.8782024725,126797.981823605,24279.932081816,18686.0941886015
123,4349486.0756672,2871058.61392942,871582.597343555,407619.552777069,0,16964.6205444216,132688.516475055,36483.6543239389,20134.9500957563
124,4245181.40915231,2939507.6376118,752206.835592189,406009.842278635,0,17464.8463569462,102082.798501762,33549.2938211827,15346.1083864023
125,5147962.81184908,2801510.5217489,860473.992414701,401079.649154111,919294.442362802,17861.5228674606,107666.680722057,46505.9900086164,16617.7513098996
126,4229001.34063435,2836450.84329547,813600.915683195,399611.911422869,0,23549.6273355062,114498.413517286,39583.9311895357,16278.2772085346
