Period,Mean_real_labour_income,Total_workers
49,6414.78904699531,10914398
50,6778.90225184158,11021763
51,7092.02100217064,11059493
52,7113.98164433727,11048388
53,6705.54599729676,11064497
54,6521.17321865806,11128156
55,6554.01964535573,11235296
56,6660.1842529205,11156745
57,6744.03429129675,11057148
58,6741.66175252587,11247506
59,6886.42921069284,11410134
60,6890.54533395775,11521898
61,6808.84926639221,11482379
62,6723.17180647536,11421402
63,6342.54075613813,11521980
64,6004.7550431554,11538154
65,5984.66038142344,11452346
66,5961.57826280046,11487356
67,5872.63427761974,11551134
68,5678.62785050715,11655382
69,5912.17402586897,11604238
70,5826.25949621089,11086969
71,5493.92553613486,11690442
72,5561.10129876325,11772552
73,5804.44323456463,11798690
74,6042.30895902984,11837375
75,6229.51002725837,11885384
76,6446.46573091131,11902833
77,6593.79250510909,11942280
78,6678.25082896813,12047049
79,6719.66510249131,12111027
80,6803.41088202885,12128427
81,6848.56601165537,12153976
82,6858.55366902197,12279801
83,6898.59086108373,12312951
84,6922.88853465468,12345191
85,6952.40721332649,12431934
86,7015.92588218118,12416374
87,7043.33781756799,12465526
88,7111.74106740639,12522206
89,7122.43294191498,12549460
90,7155.44838714436,12552120
91,7171.02262052623,12646718
92,7189.28434393461,12718905
93,7224.33369658145,12733663
94,7250.93134281629,12786257
95,7329.50299713292,12853951
96,7352.6588713769,12879818
97,7397.68423816713,12915487
98,7393.4747015753,12937354
99,7405.08494532993,13038803
100,7470.7002594135,13101475
101,7509.76615277043,13141166
102,7547.00567956196,13206503
103,7563.67243567568,13296621
104,7628.32843898238,13355133
105,7702.3062589185,13365923
106,7753.36475614218,13353291
107,7760.41212812667,13467376
108,7817.61797353366,13547243
109,7868.49493741234,13575697
110,7915.40706895458,13606434
111,7914.44587887778,13648952
112,7926.11097431206,13689968
113,7959.21264596488,13688474
114,7990.2563443982,13749387
115,8027.13210186001,13753529
116,8052.36524046414,13830350
117,8094.40949746449,13845376
118,8128.34591194714,13859257
119,8138.99603749547,13895667
120,8175.72989928156,13956468
121,8222.69216415371,13894531
122,8281.64181746192,13878726
123,8283.28011714292,13959065
124,8305.11960590496,14041834
125,8344.82762801835,14075696
126,8412.13000332524,14108237
127,8452.86302542202,14121234
128,8454.532986504,14151866
129,8496.65498644042,14179744
130,8541.24388605083,14198930
131,8611.26784681232,14257280
132,8679.44139760358,14249034
133,8695.15612129283,14302445
134,8724.99975001734,14388102
135,8780.35754978854,14401162
136,8768.02651778493,14456974
137,8783.83951654812,14460544
138,8790.21171265542,14525759
139,8824.6905643789,14556892
140,8865.00788443643,14565394
141,8872.68255489291,14647527
142,8926.20486746386,14656028
143,8922.51923995745,14653659
144,8932.84992293541,14661525
145,8983.27688169593,14665990
146,9060.81125190986,14756141
147,9102.40125451613,14807132
148,9163.85571876655,14832761
149,9194.28848306116,14823832
150,9208.32201316459,14861671
151,9245.07616608046,14865481
152,9273.52084940345,14884462
