Period,Mean_real_labour_income,Total_workers
49,6414.78904699531,10914398
50,6778.90225184158,11021763
51,7092.02100217064,11059493
52,7113.98164433727,11048388
53,6705.54599729676,11064497
54,6521.17321865806,11128156
55,6554.01964535573,11235296
56,6660.1842529205,11156745
57,6744.03429129675,11057148
58,6741.66175252587,11247506
59,6886.42921069284,11410134
60,6890.54533395775,11521898
61,6808.84926639221,11482379
62,6723.17180647536,11421402
63,6342.54075613813,11521980
64,6004.7550431554,11538154
65,5984.66038142344,11452346
66,5961.57826280046,11487356
67,5872.63427761974,11551134
68,5678.62785050715,11655382
69,5912.17402586897,11604238
70,5803.64800906552,11086969
71,5308.70006591044,11690442
72,5188.99870753373,11743921
73,5277.83880164034,11763740
74,5371.35900420139,11794418
75,5409.68238023674,11813510
76,5465.06824154814,11826759
77,5497.05082040183,11866923
78,5490.75705030207,11935367
79,5519.74711934291,11979973
80,5529.14870543773,12035308
81,5565.33832405744,12017879
82,5584.90700827235,12012860
83,5627.13896340284,12120180
84,5668.71193692403,12158861
85,5722.14376924592,12194174
86,5759.63464540913,12204197
87,5783.80457480259,12192918
88,5840.2932051327,12207674
89,5843.73129707644,12229578
90,5903.90967203387,12233892
91,5954.50657442171,12238641
92,6002.82364571688,12308309
93,6034.92470731195,12343690
94,6071.26937550084,12348074
95,6102.7082781609,12353690
96,6167.26075235927,12412446
97,6188.24322241706,12464792
98,6241.5305227148,12503366
99,6243.39221906782,12543927
100,6304.03184074051,12482966
101,6317.0894156665,12572310
102,6305.63405075282,12588863
103,6301.09864831725,12660803
104,6312.29079237631,12673354
105,6334.07667809678,12691211
106,6368.04433770216,12689902
107,6368.32175226825,12749631
108,6387.30357897441,12745062
109,6417.12700437592,12710081
110,6423.99772915646,12762534
111,6436.75375739407,12789045
112,6429.97330218708,12813390
113,6448.4507566641,12799793
114,6456.05899735032,12841274
115,6441.32047341498,12874939
116,6445.24364319129,12872689
117,6463.92600095382,12905257
118,6480.01085167521,12898059
119,6490.66570795985,12842113
120,6497.83525361913,12854157
121,6542.05152689725,12811104
122,6543.21873922254,12817454
123,6528.97910710617,12869311
124,6546.98158158662,12963953
125,6569.19159471609,12926548
126,6566.33305672824,12960577
127,6573.25970465742,12987912
128,6579.8044086059,12971085
129,6602.44563410192,12955815
130,6612.0826438379,13012119
131,6599.79588256595,13018015
132,6626.81306921395,13031865
133,6612.29170549907,13049751
134,6628.69073858849,13040383
135,6653.85911399258,13029167
136,6663.36276876809,13051996
137,6690.56540021309,13084402
138,6710.58112190595,13052662
139,6707.53286934869,13050544
140,6726.50121192507,13128600
141,6727.78608026859,13113335
142,6745.97013620536,13068821
143,6741.22000528531,13077503
144,6732.88000614055,13119319
145,6757.55046266568,13143901
146,6735.49313231296,13153807
147,6735.15629567446,13184606
148,6723.78783050721,13223478
149,6728.80645180582,13154453
150,6727.87136993362,13155227
151,6727.28707960229,13198199
152,6762.79956924632,13189619
