Period,Total_IFE_expenditure,Total_pension_expenditure,Total_labour_income,Total_fam_benefits,Total_IFE_coverage,No_labour_or_pen_income_hh,IFE_ben_18_65,pop_18_65
49,0.0,8801738.990762008,26736059.533056315,1427005.848537631,0.0,0.09731558363476417,0,6958642
50,0.0,9099508.666934062,25707848.17978908,1043771.3662228293,0.0,0.08276097971762915,0,5857720
51,0.0,8036361.488779018,24963506.263905868,1153592.0356639533,0.0,0.08256287318042886,0,5366614
52,0.0,8299995.834243298,23995544.976807375,996333.9291933111,0.0,0.08430744578386107,0,5166880
53,0.0,7083790.862519559,22092671.664881673,1043508.6136940636,0.0,0.08470623880469705,0,5001810
54,0.0,7141741.131538611,20953603.30742922,997322.0608089176,0.0,0.08191655868497014,0,4838115
55,0.0,6537200.073874679,20525770.81112172,894174.1767143206,0.0,0.08828578047415492,0,4681067
56,0.0,6844344.093383085,20319701.96107897,1288516.7269703788,0.0,0.09379078526110558,0,4528466
57,0.0,6465790.563369062,19682315.39439995,1413369.6648975522,0.0,0.09637272967612703,0,4393450
58,0.0,6761134.571893103,19156508.463583507,1211102.5303717626,0.0,0.09173700101322295,0,4236824
59,0.0,6330249.550348553,19079949.664600413,1058541.9169500102,0.0,0.09621115568452059,0,4107280
60,0.0,6605808.670228384,18841925.895378575,1159953.255282791,0.0,0.09981458947864474,0,4000022
61,0.0,5864261.423960904,17680914.307564836,1210179.0895514817,0.0,0.10394280096901469,0,3848756
62,0.0,5654656.039831255,16505521.69164981,1012149.6138190631,0.0,0.11438798856787759,0,3739508
63,0.0,5130609.3736730665,15356025.176984388,892082.6081435253,0.0,0.11226635245464389,0,3631026
64,0.0,4503159.037449349,13915046.008362351,820233.0688941429,0.0,0.1162944353299183,0,3544971
65,0.0,4356711.903616223,13334713.970041968,977794.2785369047,0.0,0.11690375117887968,0,3457408
66,0.0,4262041.419402622,13039316.35954551,880669.0882008387,0.0,0.12256058368800486,0,3397141
67,0.0,4305354.819167454,12730050.945764473,823881.219333817,0.0,0.12203266243369626,0,3317601
68,0.0,4139879.825636563,11958961.760733353,824883.6449434414,0.0,0.11860316295847288,0,3198787
69,0.0,4635750.131218825,11935306.155097794,976643.4411708888,0.0,0.12546464830967433,0,3137998
70,666529.5202799998,4248280.756942242,10006342.639537076,656029.8151378289,0.36131314919817237,0.0,1148614,3068583
71,903197.1178533334,4186515.3371191714,10027608.010911869,651829.9596137583,0.3527269292541989,0.0,1082859,2998164
72,273460.75173333334,4009640.4895893564,10044827.541497033,635466.2072767447,0.3455453830871336,0.0,1012659,2929558
73,0.0,3800673.4547631647,10049827.808587207,749128.1267485194,0.0,0.133384547678671,0,2865203
74,0.0,3827486.4774514446,9870897.449008463,598125.6729418637,0.0,0.128730237757508,0,2804409
75,0.0,3842617.4314147835,9917360.181928413,603474.2534550163,0.0,0.12616985839056352,0,2717878
76,0.0,3908870.1473503984,9682872.171743732,615756.551291136,0.0,0.1288255310675233,0,2654884
77,0.0,3965992.1573285083,9339271.993187478,808173.4956041297,0.0,0.13268910448052137,0,2598511
78,0.0,3960532.0149194985,9296526.137323437,606930.0882177141,0.0,0.1375173733691287,0,2544832
79,0.0,3920669.172559332,8919403.376620261,595108.2065392083,0.0,0.13890166125265463,0,2486652
80,0.0,3903157.4905872275,8833477.64553916,579492.8752852911,0.0,0.14109876182119527,0,2444136
81,0.0,3930041.877939893,8550992.996301841,744267.8818811558,0.0,0.1438295440734668,0,2390906
82,0.0,3901634.316125639,8343908.451671004,588041.4157421199,0.0,0.1444608740655049,0,2352685
83,0.0,3850249.510592187,8116935.015328066,556865.6436341426,0.0,0.1497742724514355,0,2283507
84,0.0,3858829.272658543,7975463.522440351,570449.8943556385,0.0,0.144699481888854,0,2213018
85,0.0,3801066.4150375794,7762587.211601297,709315.2628634196,0.0,0.14218053281538898,0,2181137
86,0.0,3779599.419276915,7646610.8584288275,549197.9843601044,0.0,0.14434200166864475,0,2130936
87,0.0,3751091.1383325327,7336759.008429502,553567.0998569883,0.0,0.14457691779725,0,2090039
88,0.0,3736174.0403017546,7040058.804219373,550466.9918580409,0.0,0.1467431333640508,0,2035050
89,0.0,3705288.90881079,6857339.009491813,680442.42530862,0.0,0.14588087879868458,0,2001998
90,0.0,3687491.736038829,6829466.453669943,526238.0742982277,0.0,0.14546792671896427,0,1964376
91,0.0,3682057.962772751,6716562.22171525,508885.7765218726,0.0,0.14280647340621544,0,1930280
92,0.0,3628155.4823182095,6629313.1830805475,468898.5359524726,0.0,0.14294657251706666,0,1920068
