Period,SIPA_missing_contributions,PAMI_missing_contributions,Obras_sociales_missing_contributions
49,10309.429152704775,2811.6624961928464,2811.662496192381
50,9360.569621920586,2552.8826241614297,2552.8826241614297
51,11825.75465227291,3225.205814257264,3225.205814256333
52,10254.224934983999,2796.606800450012,2796.606800450012
53,12608.983327619731,3438.8136348039843,3438.8136348035187
54,11904.314460709691,3246.631216556765,3246.631216555834
55,15050.698826853186,4104.7360436883755,4104.736043688841
56,15504.017353329808,4228.3683690908365,4228.368369090371
57,19178.539735946804,5230.510837075766,5230.510837076232
58,14218.364875990897,3877.735875270795,3877.7358752712607
59,16821.8021367006,4587.764219101518,4587.764219101518
60,14809.819527361542,4039.041689279955,4039.041689282283
61,1418335.7532541938,132925.51513518393,500700.23292948026
62,1638949.5446467586,153763.41442186013,574053.6678094957
63,1208118.6948512606,113929.12152665341,427477.6204973664
64,1346855.2207047045,126312.9117856198,473628.34487794153
65,2293329.344331173,210033.23106292775,795456.0842469195
66,2430748.837743234,222810.65237880778,842425.6326358765
67,1903951.060653448,174934.25565534597,663291.6207365626
68,1975251.6129222848,181255.3479774231,686847.0521000288
69,1522696.382179631,150612.18275576597,565689.3274773872
70,1655229.1353538856,164579.54844810674,617108.8221531697
71,1305410.9287816398,130300.31463067373,493902.9325157339
72,1518885.9177763388,152147.99713523313,575605.2879621079
73,1204900.0392160602,122873.07406726945,463254.3164666258
74,1411852.0831974596,144243.28813310573,540758.576011979
75,1103785.8159161955,114533.67682606075,430426.4018418724
76,1329219.533636041,137618.3838680815,516557.65322251804
77,1010987.8854841962,106842.02648040326,402431.5504713012
78,1251054.2510410808,131242.10219861055,493771.2610947015
79,936214.395726189,100322.15366822807,377517.9251535423
80,1197567.7124002948,125713.39779077703,472606.06730422936
81,877567.534800496,95294.26203865139,358178.10296569206
82,1141750.6091862954,120109.07884617615,453390.3094935166
83,818690.4158377834,88849.99687647214,335739.6125533618
84,1097373.2505948022,116529.60231456766,440555.173918576
85,762807.7850678973,85458.6260186471,322364.8592166584
86,1037950.319885239,112605.56775396783,423062.6338595189
87,718405.094969321,81716.03702557832,307795.4553885879
88,1004831.1131585799,110581.28251001425,415420.31535871234
89,687262.8404445201,80000.22760852426,300130.0755181322
90,984509.6038510501,109082.61120183067,408630.1708520716
91,663092.875652045,79147.08493602416,293077.46583502553
92,979217.4239983037,110405.69060501922,407103.1355495937
93,642988.5948097818,76998.1081487555,285497.62470693514
94,965351.4991937876,108847.66584906727,403371.54723548144
95,632987.9016377367,76364.98685202794,281148.18922613095
96,956227.035465207,108555.79219236039,399513.75519915856
97,614876.1959834658,75299.17545985524,274675.782278141
98,949465.4855093136,108517.11450572405,399909.24727678485
99,586990.632593222,73381.55186398607,269584.19860520214
100,943255.6010475606,108604.82647080626,399591.5435121609
101,592678.4820060693,75137.76755703567,271769.1844879119
102,957340.6345384642,111012.27194026206,404817.4972847346
103,588245.5388173312,74615.61369683547,270849.7175951507
104,960260.7110641748,110941.36401620787,406268.89178858884
105,573169.6976157054,73349.99172202172,267994.77259127144
106,952780.7222994938,111365.17689558491,407507.0697453506
107,559799.4941539317,73624.32764261961,265483.4614472464
108,929835.0404246934,108412.18189602531,399901.28772923164
109,553129.1568198204,72978.5436524488,265644.6223051781
110,928098.3532039039,110859.66643236764,403868.88515038416
111,543341.8365895115,74009.75968485279,264361.68783970363
112,939287.153043367,113779.90476999898,409188.9278145842
113,550485.030706238,74773.74434184888,266058.4889731081
114,945268.8369881585,114214.77869070414,412695.0588618368
115,542135.0793816857,73700.46009356622,265350.59785898775
116,937088.5974635147,112957.0335547002,409833.53366351686
117,545530.9697406814,75219.9544113446,266755.99660779536
118,939894.2145391777,114467.30022704322,409075.965492215
119,540414.0005734116,74694.30248134304,261930.85002303496
120,948818.7317617163,115606.96377906203,411803.54435744137
121,533639.5046465956,75094.43675554637,261058.57261567004
122,961632.5675432347,116916.2876943443,416023.0532135386
123,531601.6260374561,73828.91336296685,261021.53524716478
124,958367.0258845277,116638.46208092291,416764.2770604361
125,531179.8649151251,74470.89631640725,261968.98335313983
126,949961.0290545821,116228.23715397343,413444.97448970005
127,526215.4649775475,74917.36196258012,259911.44301622175
128,950539.6963719763,117310.3753046412,413743.8842174709
129,531721.3105299696,76179.640940601,261317.5110231936
130,963085.7573241964,119927.70089502167,421194.2871668041
131,522658.6955175325,75258.60325952154,259461.2395430673
132,957403.161353834,118737.9267234737,417114.99801440723
133,514790.23037421703,74751.6776703028,255364.82929657027
134,951434.9539283998,118128.48440447636,413166.7560027335
135,494099.21890951693,73206.21231372468,247963.7120128367
136,944158.0785554126,118600.10806663148,411510.74843631126
137,496324.6249956079,76009.62522026431,250122.79888046905
138,982827.8499816656,124684.5286977524,423335.8343553487
139,506120.74086169526,77667.27978566196,252072.13720891997
140,970571.288928248,124847.16449969728,422106.8359492384
141,508117.9317753352,79159.42466101144,257786.2177666165
142,977120.6585537866,126262.74264033698,428024.38722973876
143,498602.36647954583,79027.6877292199,257027.14060673118
144,975595.8108073995,126977.89709017891,426369.69362350367
145,495392.6987740919,79492.24809251167,253309.45318926685
146,992557.6435780898,130014.08212683629,432636.67300539464
147,514705.2426185757,82488.97225265577,259332.56332203187
148,1018948.4576039761,133948.0447028419,441380.1942277346
149,522431.186147362,84395.72720189858,262547.52022784017
150,1017064.3578912914,133636.2240172336,438360.47590134665
151,513955.41294904053,83596.7312153792,258108.68202344514
152,1013781.2277905867,134518.8648860138,438024.31575943343
