Period,SIPA_missing_contributions,PAMI_missing_contributions,Obras_sociales_missing_contributions
49,10309.429152704775,2811.6624961928464,2811.662496192381
50,9360.569621920586,2552.8826241614297,2552.8826241614297
51,11825.75465227291,3225.205814257264,3225.205814256333
52,10254.224934983999,2796.606800450012,2796.606800450012
53,12608.983327619731,3438.8136348039843,3438.8136348035187
54,11904.314460709691,3246.631216556765,3246.631216555834
55,15050.698826853186,4104.7360436883755,4104.736043688841
56,15504.017353329808,4228.3683690908365,4228.368369090371
57,19178.539735946804,5230.510837075766,5230.510837076232
58,14218.364875990897,3877.735875270795,3877.7358752712607
59,16821.8021367006,4587.764219101518,4587.764219101518
60,14809.819527361542,4039.041689279955,4039.041689282283
61,1418335.7532541938,132925.51513518393,500700.23292948026
62,1638949.5446467586,153763.41442186013,574053.6678094957
63,1208118.6948512606,113929.12152665341,427477.6204973664
64,1346855.2207047045,126312.9117856198,473628.34487794153
65,2293329.344331173,210033.23106292775,795456.0842469195
66,2430748.837743234,222810.65237880778,842425.6326358765
67,1903951.060653448,174934.25565534597,663291.6207365626
68,1975251.6129222848,181255.3479774231,686847.0521000288
69,1521671.551310841,150455.08667257195,565070.5707567725
70,1655191.110404998,164472.79137269873,617022.7920750482
71,1304479.8246729523,130210.29273106996,493548.066814377
72,1511340.8992297687,151208.89385253144,572589.2678127931
73,1189794.394225616,120890.60289175995,456993.922847257
74,1390354.4670258872,141496.6235111286,531911.4290908324
75,1090950.0398057438,112913.722256565,424937.72244917694
76,1303286.2875935175,134567.6613001339,506058.40848672483
77,984379.3837197069,103504.94222146505,390935.81170875486
78,1212943.990508806,126719.24851298193,478014.8924431149
79,903637.3883123174,96358.45894877007,363632.5093078455
80,1144501.2653514743,120313.55872707488,452534.9476478454
81,842061.3175882362,90432.39946581284,341054.0917457435
82,1071407.4754104353,113209.04969837703,424804.9464851646
83,780164.9622250758,85069.6475804816,318140.9500878565
84,1039607.936527431,110760.30522733694,412932.16595616937
85,728694.4482072145,80859.2370928931,301663.52592940815
86,986989.4367249124,106675.8709895187,397408.04302735906
87,692320.0775235482,78137.79061134905,289382.0933560468
88,956511.8342971839,103801.71792671643,384599.45574829355
89,659606.4752940573,74434.12013224652,276536.98546264786
90,927774.4985572323,101320.07853909116,375893.6040717475
91,622880.8265130445,71430.23671067553,265814.15283891093
92,891666.031802725,97774.68104720209,364551.55934875086
93,591412.6107925028,68634.83864834113,255838.69850826636
94,858557.7524315454,95101.17089397646,353373.5623037871
95,554482.3985956013,64976.421433511656,243711.88167192414
96,824505.33701282,92037.48011206742,345162.37998774555
97,524235.91388325766,63565.72140688542,237244.11892483104
98,808752.1443189122,90741.29298702395,339595.433275871
99,496314.31344688684,60504.121364948805,226039.86565283686
100,790961.0769042931,88988.07906671008,332859.6658247784
101,493631.09688920155,60246.144279686734,224276.46800397523
102,786227.7535418309,88879.17078688229,330797.3381396299
103,480099.53068638593,59835.943584129214,221350.6194496015
104,779820.5480649918,89051.83842492243,331638.45946030226
105,460081.24404555187,58221.165963157546,216358.0021166606
106,768326.9923193827,88035.42957461625,327724.66250889935
107,453852.3235762827,57598.52167502837,214401.9639004888
108,758266.1948124841,87666.31449054088,326535.3503081361
109,451850.3459224887,58250.95409701858,215172.78279097844
110,764337.8627657928,89235.49061782891,330285.4776068423
111,457700.7505364455,58805.99262653198,216565.57755633444
112,772537.2915512808,89465.12816785323,330415.42568160687
113,453619.9866480008,58769.54817197146,215368.8828011742
114,754639.1388077214,88115.8228448974,324893.54907335714
115,429538.7752451375,57711.34052684205,209937.70907902997
116,745432.6308095902,88151.17852721969,324703.7274191966
117,426577.99677671865,57871.524950068444,207033.41000313312
118,761862.9115724452,91134.35461366037,328576.49033546355
119,421193.9601159729,58142.95508880168,205256.66444327869
120,748156.7800044529,90247.11550487578,325455.4648354249
121,416443.61443274096,56723.243552272674,204206.57951538544
122,753891.1141433492,89385.54416160379,324396.94790535234
123,415038.2251193337,56299.05548481038,200318.56437195837
124,750846.4622283056,89579.81252992852,321720.5019091312
125,410085.8513012044,56108.30087630451,200233.83625399042
126,748892.5684950165,89922.86450414965,321992.51952618733
127,405698.3842608072,56246.97930496838,199452.7411908144
128,742724.918696072,88866.71501806378,320982.6148483334
129,398244.0036992729,55982.64602730796,197371.20610112976
130,720007.8593994789,88393.70136998454,315722.3124583252
131,389061.81868849695,55863.67072355049,195707.75580986217
132,719039.1742320657,88550.5621999437,316104.7082979968
133,372415.50607251376,54718.63445831416,190351.55047295056
134,718388.6000635028,88877.02757754223,316807.4214681955
135,378140.47960599884,55589.61774202809,192973.9178074086
136,716393.0654182993,88777.86263306299,315437.48691439815
137,372859.94529004395,55764.85518308543,192746.61252217926
138,708837.3883866891,89177.37002608133,316874.6479185242
139,365012.14301681146,55955.633371578995,192757.82187413424
140,716261.0901282504,91734.86844503786,321297.9706935445
141,372024.3814433366,58120.24010495236,197522.48049393203
142,728550.4871173203,94133.17312640324,328148.0625632666
143,373878.1291627139,58994.97191397892,198536.44731726684
144,727156.8396281004,94708.93212060537,327061.6010028068
145,356479.08981942385,57382.98868637718,194512.17392605636
146,714893.5267974809,93257.82848236524,326138.8024423197
147,358577.2050080709,57480.18233850971,195427.01121802162
148,707276.8864745088,92420.1170374928,321755.68434591964
149,352077.17319715396,56789.0780181149,192025.16756719165
150,712999.8367613554,92867.0401718989,321001.48071427085
151,346671.51983159035,56766.37011480518,187562.40655940678
152,711172.4058025517,93598.79670988489,320701.2867197525
