Period,SIPA_missing_contributions,PAMI_missing_contributions,Obras_sociales_missing_contributions
49,10309.429152704775,2811.6624961928464,2811.662496192381
50,9360.569621920586,2552.8826241614297,2552.8826241614297
51,11825.75465227291,3225.205814257264,3225.205814256333
52,10254.224934983999,2796.606800450012,2796.606800450012
53,12608.983327619731,3438.8136348039843,3438.8136348035187
54,11904.314460709691,3246.631216556765,3246.631216555834
55,15050.698826853186,4104.7360436883755,4104.736043688841
56,15504.017353329808,4228.3683690908365,4228.368369090371
57,19178.539735946804,5230.510837075766,5230.510837076232
58,14218.364875990897,3877.735875270795,3877.7358752712607
59,16821.8021367006,4587.764219101518,4587.764219101518
60,14809.819527361542,4039.041689279955,4039.041689282283
61,1418335.7532541938,132925.51513518393,500700.23292948026
62,1638949.5446467586,153763.41442186013,574053.6678094957
63,1208118.6948512606,113929.12152665341,427477.6204973664
64,1346855.2207047045,126312.9117856198,473628.34487794153
65,2293329.344331173,210033.23106292775,795456.0842469195
66,2430748.837743234,222810.65237880778,842425.6326358765
67,1903951.060653448,174934.25565534597,663291.6207365626
68,1975251.6129222848,181255.3479774231,686847.0521000288
69,1522696.382179631,150612.18275576597,565689.3274773872
70,1655229.1353538856,164579.54844810674,617108.8221531697
71,1305410.9287816398,130300.31463067373,493902.9325157339
72,1518885.9177763388,152147.99713523313,575605.2879621079
73,1204900.0392160602,122873.07406726945,463254.3164666258
74,1411817.4837516136,144240.25367603637,540747.0483927457
75,1103265.4712995254,114487.9986476684,430252.63145547826
76,1326739.3276396468,137400.88790274644,515731.544550024
77,1005781.8788300306,106353.49969596602,400569.3777118847
78,1248780.0873113647,131015.76416823035,492909.1738587152
79,932691.0622026548,100033.85987113696,376420.587085532
80,1194846.0284680836,125522.76394925267,471894.93887865264
81,875149.8483957574,95070.37408501841,357302.67802775186
82,1140166.1725120507,120003.49808485713,452993.2126348773
83,816497.5853190944,88670.40519365342,335052.5570466276
84,1096120.7120300569,116417.70407903986,440144.70580293145
85,777243.1065488085,86563.44885419263,326810.6652943203
86,1055384.0425759032,113836.7323380746,430153.75695437193
87,736763.0428016223,83615.35598565731,313822.2034938093
88,1030391.7031301111,112662.6278619077,420594.3256386472
89,711722.5338879414,82076.25396912685,305753.74686131254
90,994852.5043512285,110916.70065088244,412285.01093326043
91,686933.8102133349,79831.0711781513,296635.2481205305
92,1011877.4473406598,112202.10588736786,414852.7339350041
93,676333.0566274747,80347.66644044826,295485.494502414
94,991730.5144132152,111066.22055312898,409568.6051738234
95,649138.1046249643,78050.91146689281,286106.9387064371
96,981752.399631504,111118.8054910521,407386.7468813956
97,633785.7361619174,77634.79601453617,282757.69704380725
98,979726.7087864354,112054.08745954325,408892.1154656997
99,633250.5040687472,79041.0347415246,284805.3473244924
100,981364.0498738587,112395.78982263058,408962.6245429702
101,637231.2098179571,78724.78452651296,283166.874392855
102,989851.9320284985,113912.58623921964,411780.25052253716
103,605622.4576977529,76941.02009030152,274530.92213081475
104,952416.7442000024,109731.09983241744,399557.39138875157
105,587294.9581316374,75195.69670226658,268524.90172923356
106,960832.018076621,111348.00833293702,405356.7488219086
107,582157.4437695146,74023.0985382935,267297.642095278
108,956517.9645817876,111365.79144956451,406554.4585437756
109,581523.7561368532,75414.30712349527,271763.6238429034
110,966414.5496337451,113884.50967095792,411925.3712673411
111,581518.6601464488,75767.87328000274,272167.06694223545
112,977771.6945688389,115670.30112923589,417200.0290310122
113,590174.6564501971,77796.08891766332,274939.4305844577
114,969432.2067613453,115380.21068193298,414429.29757540673
115,572610.2766074054,76134.82020736486,270765.2850171719
116,946808.2252052575,114319.3497522762,411566.22913234495
117,551189.0587567165,75442.06823227927,268155.7967491271
118,948207.110589046,116265.37219900638,413264.7635476012
119,553617.6504324451,77736.57707756292,270545.19064384885
120,962311.6039620601,117571.95415596012,416511.25765444525
121,559880.8118414767,77839.23444367014,268861.06674398016
122,971890.6737917326,119119.63328499813,419270.1808566861
123,557356.226527784,78258.90207361802,270320.7054849863
124,971854.1010810994,119439.0221181307,420092.7693554908
125,561419.3843728043,79940.01396144181,272338.22752199695
126,985282.7546138093,121878.9061813606,424005.88314248435
127,549152.8735672235,79539.18870083801,269325.54180124216
128,976150.4188513644,121375.02176280972,423616.6290776823
129,545791.7451109812,80061.63658693433,269629.57453260757
130,973678.1213409454,123959.19973507524,424860.33363609575
131,524234.6054839827,79180.80253203772,261284.8218569439
132,951394.4923845194,121312.18499000743,418187.51382661425
133,507227.04241909087,76729.12598190643,256018.5278334953
134,950161.1168381795,120576.2881127093,415838.8308339156
135,510737.56171160564,77341.86218475085,256784.53891689144
136,958510.7455450073,122266.3632003041,419360.32336495817
137,512957.53165396303,78223.43207234703,259348.4694253523
138,947722.3197409511,121730.6310088234,418518.5817032382
139,503208.0939475037,78207.80960172322,257324.39943336323
140,965414.8438447863,125223.19292646833,426670.06501711905
141,509909.55793150514,79335.51498828456,259916.62217823789
142,979473.0036298558,126784.97683577146,428971.988039881
143,502290.36255407333,77576.22004629206,257781.73977956735
144,965265.5938449875,124062.86496509425,424921.37664156966
145,490671.59171339497,77912.29888147768,252578.18657943234
146,974395.2906376496,125745.64705649391,426572.22278800793
147,500215.74266897514,78101.0366951907,252370.84152439982
148,979312.9399098456,126797.78664543387,427346.8840562999
149,497546.89528165385,79343.42744603567,253423.00891338103
150,977150.4845820591,127023.48711030371,428124.1883406509
151,482392.9147061333,77210.07971040905,248140.25160590932
152,963331.4948057979,125831.6107195355,423889.34850171395
