Period,Mean_real_labour_income,Total_workers
49,6421.80382188919,10921644
50,6786.13483538819,11044406
51,7094.82089328529,11033276
52,7051.70669476592,11053255
53,6677.50779441193,11056328
54,6486.76481478895,11112610
55,6521.83541945801,11194364
56,6617.24643359544,11200955
57,6732.55475099859,11131472
58,6725.58191784654,11278755
59,6848.21489294141,11441722
60,6864.12219168918,11559243
61,6811.86864411163,11499225
62,6712.55529028831,11454332
63,6331.53688578529,11583591
64,6012.82687189068,11552257
65,5980.7396309251,11484302
66,5964.69692516812,11534098
67,5814.12701750829,11625552
68,5633.24553537283,11738891
69,5931.41495321902,11516006
70,6364.43420483386,9401693
71,6093.27890464604,9905628
72,6078.64152568585,10445166
73,6060.89881459602,10784959
74,6015.51664906522,11098718
75,5950.56004069854,11564878
76,6015.28655414805,11623003
77,6032.82829067543,11658979
78,6082.27409657968,11713425
79,6108.33475482157,11776995
80,6151.69157896625,11787035
81,6176.44273206101,11847723
82,6189.0625450223,11927809
83,6218.70999191422,11950756
84,6264.06110834414,12021701
85,6286.76642822754,12047237
86,6326.49140744352,12071961
87,6349.06105111035,12108746
88,6359.01903279619,12231515
89,6415.49362159816,12261053
90,6419.05583132711,12307871
91,6471.78477321245,12380434
92,6555.44386430696,12375782
93,6582.16327069799,12455748
94,6604.15857296579,12508205
95,6630.54847366425,12539155
96,6662.10030883785,12596413
97,6699.14885218179,12643644
98,6747.11276182364,12659970
99,6786.22393841049,12695265
100,6805.42781577031,12760780
101,6860.70698799395,12806424
102,6882.7346751102,12857422
103,6890.6083157846,12876630
104,6889.70499800377,12936549
105,6887.63818091905,12994263
106,6953.34909741396,13008532
107,6948.60486189607,13062202
108,6982.70098992533,13142602
109,7017.04887227468,13145034
110,7032.06631965454,13211724
111,7032.53091661022,13200157
112,7079.68819696256,13199176
113,7094.22817464355,13277904
114,7115.97487516566,13316963
115,7146.16728605314,13302712
116,7172.10467028488,13353271
117,7138.4445941906,13434914
118,7164.42970073102,13478072
119,7199.1399063383,13531760
120,7232.94986903155,13569487
121,7244.90347113151,13577772
122,7291.96464253012,13595501
123,7321.18867982134,13602022
124,7318.65327282245,13626221
125,7363.79558666399,13664468
126,7391.7398805563,13659571
127,7392.13662117802,13645321
128,7410.14628062109,13743382
129,7462.9551748834,13788707
130,7467.04417915372,13790680
131,7439.14248196233,13827915
132,7447.32340078025,13908094
133,7481.14354108269,13934282
134,7477.42103736384,13992702
135,7483.50024024514,14009651
136,7520.11612120726,13964183
137,7541.58693529485,13962879
138,7556.03815699181,13944229
139,7583.60196286025,14070122
140,7640.79582652837,14000860
141,7635.97681001298,14108690
142,7661.70598533398,14066869
143,7647.31174887219,14177646
144,7661.17705468404,14223267
145,7672.30809067173,14229157
146,7684.27229713581,14270120
147,7701.26650021538,14316039
148,7727.45483948277,14301813
149,7740.76629316134,14314189
150,7750.5060491622,14337070
151,7772.13494782004,14295964
152,7795.61642775573,14343027
