Period,Mean_real_labour_income,Total_workers
49,6421.80382188919,10921644
50,6786.13483538819,11044406
51,7094.82089328529,11033276
52,7051.70669476592,11053255
53,6677.50779441193,11056328
54,6486.76481478895,11112610
55,6521.83541945801,11194364
56,6617.24643359544,11200955
57,6732.55475099859,11131472
58,6725.58191784654,11278755
59,6848.21489294141,11441722
60,6864.12219168918,11559243
61,6811.86864411163,11499225
62,6712.55529028831,11454332
63,6331.53688578529,11583591
64,6012.82687189068,11552257
65,5980.7396309251,11484302
66,5964.69692516812,11534098
67,5814.12701750829,11625552
68,5633.24553537283,11738891
69,5930.04634320402,11516503
70,6361.98249860395,9403544
71,6091.38137580562,9907200
72,6014.1058130688,10446968
73,5910.5527030064,10786830
74,5851.33248865162,11100673
75,5817.14611849524,11581669
76,5855.85970001429,11629790
77,5847.77347857268,11635341
78,5865.21223491134,11689050
79,5881.3578743779,11724566
80,5865.06426210169,11813895
81,5873.7859564311,11803978
82,5886.24837544774,11794933
83,5893.64397868758,11820455
84,5934.66034960802,11869700
85,5963.00262126213,11918450
86,5967.49374863265,11993587
87,5953.31545693175,12026844
88,5951.66998784796,12054352
89,5931.68576335419,12085743
90,5965.62382074294,12115510
91,5978.47593674846,12196410
92,5965.55652528325,12218550
93,5951.0405149535,12256273
94,5944.13799027066,12236098
95,5976.84957468011,12352557
96,5982.09599525255,12393138
97,5998.94540340399,12442577
98,6010.18842712049,12454312
99,6019.38320876441,12497242
100,6019.64982313758,12545536
101,6040.04837985474,12625738
102,6052.11328193687,12685759
103,6066.47399624012,12724880
104,6113.08836802166,12750567
105,6143.33870703478,12746592
106,6168.18888562432,12761432
107,6184.10374123424,12765202
108,6177.40371534238,12786246
109,6180.80856564132,12836236
110,6192.48222679685,12839253
111,6179.76475772387,12848076
112,6192.70850421294,12909687
113,6225.20696692591,12938819
114,6228.0047035145,12915224
115,6215.90099238052,12981117
116,6238.70522422111,13001763
117,6262.17801542928,12980548
118,6256.49539149056,13045004
119,6241.7656894776,13052720
120,6221.3777718337,13167010
121,6256.13625005336,13076496
122,6271.12978218981,13116448
123,6255.64288239628,13110275
124,6255.39299776667,13144924
125,6293.06655885241,13137347
126,6314.44071845737,13159834
127,6327.0439285424,13203615
128,6369.25319288004,13212497
129,6389.42766764739,13184653
130,6374.4832038776,13283779
131,6385.29025335317,13248843
132,6412.58577413367,13237821
133,6448.69771347803,13216118
134,6416.47458000546,13316525
135,6400.98489550156,13423220
136,6419.56743515183,13425000
137,6407.17768184067,13393206
138,6431.369598448,13433333
139,6443.87474084577,13493129
140,6462.08820467752,13482229
141,6472.17746954446,13507046
142,6483.01363309436,13571993
143,6509.53191526123,13584430
144,6535.82204883684,13526772
145,6542.71968849991,13557682
146,6563.46521887189,13553433
147,6565.43094805661,13619164
148,6566.14704985207,13620882
149,6547.89463648106,13649386
150,6573.20103974753,13571656
151,6570.24411310368,13644161
152,6611.17086266873,13636531
