Period,Total_IFE_expenditure,Total_pension_expenditure,Total_labour_income,Total_fam_benefits,Total_IFE_coverage,No_labour_or_pen_income_hh,IFE_ben_18_65,pop_18_65
49,0,8801738.99076201,26736059.5330563,1427005.84853763,0,0.097315583634764,0,6958642
50,0,9099508.66693406,25707848.1797891,1043771.36622283,0,0.082760979717629,0,5857720
51,0,8036361.48877902,24963506.2639059,1153592.03566395,0,0.082562873180429,0,5366614
52,0,8299995.8342433,23995544.9768074,996333.929193311,0,0.084307445783861,0,5166880
53,0,7083790.86251956,22092671.6648817,1043508.61369406,0,0.084706238804697,0,5001810
54,0,7141741.13153861,20953603.3074292,997322.060808918,0,0.08191655868497,0,4838115
55,0,6537200.07387468,20525770.8111217,894174.176714321,0,0.088285780474155,0,4681067
56,0,6844344.09338309,20319701.961079,1288516.72697038,0,0.093790785261106,0,4528466
57,0,6465790.56336906,19682315.3943999,1413369.66489755,0,0.096372729676127,0,4393450
58,0,6761134.5718931,19156508.4635835,1211102.53037176,0,0.091737001013223,0,4236824
59,0,6330249.55034855,19079949.6646004,1058541.91695001,0,0.096211155684521,0,4107280
60,0,6605808.67022838,18841925.8953786,1159953.25528279,0,0.099814589478645,0,4000022
61,0,5864261.4239609,17680914.3075648,1210179.08955148,0,0.103942800969015,0,3848756
62,0,5654656.03983126,16505521.6916498,1012149.61381906,0,0.114387988567878,0,3739508
63,0,5130609.37367307,15356025.1769844,892082.608143525,0,0.112266352454644,0,3631026
64,0,4503159.03744935,13915046.0083624,820233.068894143,0,0.116294435329918,0,3544971
65,0,4356711.90361622,13334713.970042,977794.278536905,0,0.11690375117888,0,3457408
66,0,4262041.41940262,13039316.3595455,880669.088200839,0,0.122560583688005,0,3397141
67,0,4303184.81482577,12730050.9457645,823881.219333817,0,0.122032662433696,0,3317601
68,0,4134056.59752443,11958961.7607334,824921.855547415,0,0.118603162958473,0,3198787
69,0,4633493.87499501,11941881.2302102,977101.920921196,0,0.125464648309674,0,3137998
70,666335.3977,4245939.92612828,10017214.5720101,656030.256657454,0.361209056163207,0,1148315,3068583
71,903195.286,4185404.8075873,10038876.9877178,651830.000435007,0.352726929254199,0,1082853,2998162
72,272745.63228,4006982.4627818,10156137.2874915,632491.863882876,0.34463880454908,0,1008083,2929560
73,0,3808757.5034037,10291981.2761518,745853.78822178,0,0.133384498391515,0,2865204
74,0,3885117.57716575,10141902.0729474,602884.676400884,0,0.128730940891871,0,2804409
75,0,3934489.75042521,10119488.9265839,618256.92733594,0,0.12582779169053,0,2717878
76,0,4022343.29695575,9889132.93666431,632889.739662677,0,0.128725423818817,0,2654883
77,0,4050222.08241114,9688090.37307827,824169.52983902,0,0.132500456498934,0,2598512
78,0,4057109.09810847,9720593.75629203,613886.335418474,0,0.137473436667999,0,2543228
79,0,4026583.32546737,9379682.11087722,609685.571042367,0,0.139324631656904,0,2486318
80,0,4014547.77495665,9080008.99481051,571525.669609357,0,0.144733289766835,0,2424917
81,0,4012390.73957807,9124309.35614965,746868.016184875,0,0.143762156535079,0,2378607
82,0,4018475.11297103,8994447.1379073,574513.009744939,0,0.138219075020075,0,2329599
83,0,4006978.75691017,8631249.97134607,562716.606290198,0,0.141503699894569,0,2255386
84,0,4005129.10617975,8425933.47169291,566654.146763987,0,0.146849942207012,0,2204388
85,0,3979142.07197469,8142021.72988779,704196.343241619,0,0.141334652041167,0,2151551
86,0,3936933.1368255,7912979.5739781,528637.158931508,0,0.146884114760639,0,2107644
87,0,3923656.57518733,7512182.82188183,516415.23289004,0,0.151726651542712,0,2059018
88,0,3912727.50288369,7581055.97046587,507873.132468862,0,0.147925213714278,0,2032833
89,0,3899605.60131322,7446987.76180738,646786.585482331,0,0.148308350789376,0,1982864
90,0,3839924.38526129,7169181.22781405,498504.592745025,0,0.148344812263941,0,1921279
91,0,3817253.03919737,6964876.13890533,463571.40988008,0,0.147555001241921,0,1866773
92,0,3781693.61980555,6558640.03410832,447700.548234237,0,0.154406358679365,0,1835560
93,0,3764244.78924508,6509144.91808989,545421.249807423,0,0.149677426442518,0,1812288
94,0,3694002.89225286,6411342.60608279,433076.404273077,0,0.147102307819055,0,1772208
95,0,3695116.67440606,6373821.33102434,428188.583731138,0,0.148482099557838,0,1733847
96,0,3634565.91719194,6289441.3921953,439436.127951426,0,0.147220709602844,0,1699724
97,0,3618175.5381545,6331774.3532316,523936.459730559,0,0.140831114504556,0,1671029
98,0,3629686.87844922,6230047.24137679,416812.656279451,0,0.139945591152784,0,1646395
99,0,3550081.8766989,6019078.45440687,404569.141857502,0,0.136633135048241,0,1596474
100,0,3509337.38703054,5720760.4315795,394911.758129931,0,0.143816825033145,0,1557266
101,0,3439246.39657654,5646514.48638738,476454.258238372,0,0.14328446185556,0,1534382
102,0,3418755.32237556,5785532.39697112,372186.63939299,0,0.13688395934726,0,1515829
103,0,3381744.69422451,5592135.53638637,338061.534120857,0,0.147817891259211,0,1477283
104,0,3375149.05966948,5643851.46735078,317033.740505651,0,0.14774523634351,0,1462088
105,0,3313382.92781706,5529890.53559247,363645.05137732,0,0.137037435026334,0,1445030
106,0,3250986.63371299,5278398.12648214,274410.837254022,0,0.137960413608518,0,1411188
107,0,3244069.18461962,5276849.0998067,283235.520954801,0,0.124596958117908,0,1410240
108,0,3190160.70815448,5027924.20102491,255812.660725113,0,0.12142050134484,0,1379060
109,0,3177911.02374334,4953024.48078073,306899.562920813,0,0.112381677196588,0,1363013
110,0,3140665.13831491,4781656.86199966,251517.632841583,0,0.113739388072487,0,1354468
111,0,3126926.85720787,4811547.54343153,233117.28964802,0,0.103690762141693,0,1330644
112,0,3086118.20054474,4655987.76087071,247400.728021116,0,0.109838676002705,0,1307500
113,0,3049501.30359558,4741088.20461684,296965.358301605,0,0.095019910361719,0,1291795
114,0,2996513.30222653,4692122.90111936,226098.762105154,0,0.080886688936878,0,1271151
115,0,2966529.34066947,4655798.77358835,203240.059469876,0,0.087740534338633,0,1259779
116,0,2923386.57822236,4542643.46390598,182044.884879818,0,0.085394253902511,0,1250265
117,0,2883150.70721668,4603217.13483129,223495.243253417,0,0.082878219341634,0,1237782
118,0,2862008.98448553,4596886.86462197,136633.973248949,0,0.075374717157906,0,1230980
119,0,2828710.04595425,4539313.25003116,132951.218687347,0,0.066189583548874,0,1211390
120,0,2779315.47102613,4467117.48769614,119873.034666939,0,0.069757307259886,0,1198602
121,0,2726165.68880337,4437109.02227002,134336.888236161,0,0.069027164512069,0,1176894
122,0,2705503.75477364,4326528.24172127,98222.8985334615,0,0.073895601726503,0,1128012
123,0,2678811.12811359,4303864.68493116,112610.00339995,0,0.059737807658003,0,1107424
124,0,2664778.58577582,4217829.11097348,118205.465376326,0,0.060821363685097,0,1078334
125,0,2614496.68502415,4232904.25840298,128458.806683955,0,0.055138623185984,0,1038281
126,0,2574078.50991619,4071702.18686285,103763.840513312,0,0.061031420349151,0,1005800
127,0,2562065.86946542,3831803.96394885,118608.544182951,0,0.061585016596134,0,968222
128,0,2523389.39651593,3741490.02126855,96410.0123402386,0,0.05543316221963,0,924069
129,0,2499723.60019297,3676688.11659145,101025.254652166,0,0.043436996587031,0,887043
130,0,2442586.69303125,3711847.66618383,85890.0512404279,0,0.036331502602098,0,857539
131,0,2415533.57837834,3553338.03390879,86669.2987272258,0,0.03391389969492,0,827303
132,0,2350117.40468245,3286395.72138446,76739.9969656103,0,0.057653001739346,0,796174
133,0,2285961.30898931,3305280.63866281,101573.26956455,0,0.051389638325353,0,764810
134,0,2248401.79825556,3250392.02416764,91020.8437050522,0,0.039574102739254,0,743083
135,0,2156096.6513467,3193541.21387425,83491.9178427743,0,0.027319256592391,0,715135
136,0,2112290.49908698,3079492.18159832,72764.0483683916,0,0.0361727541667,0,689188
137,0,2068082.91801754,3070912.62085358,92773.8588369984,0,0.028167907708727,0,676544
138,0,2067400.92457854,3017278.11036944,71552.1461921786,0,0.0277034526915,0,642647
139,0,2045824.2120995,2875698.78505942,63984.7203948416,0,0.031197742176665,0,627729
140,0,2020484.54406816,2804521.98216616,74817.1668539762,0,0.026898392501179,0,605657
141,0,1946847.94469253,2849964.09185244,75125.419328407,0,0.022452786267735,0,588022
142,0,1888599.07830768,2770504.26669672,52535.0982315671,0,0.023376031792157,0,572343
143,0,1824738.46299514,2710027.71465898,55500.0262191728,0,0.020330002174246,0,556616
144,0,1781267.26001376,2727438.04578284,59854.0919508137,0,0.018299895666505,0,536298
145,0,1745473.07365846,2535476.24732257,69709.3729642522,0,0.026785132554001,0,510381
146,0,1709724.16174537,2445952.03231765,42297.1866161632,0,0.020597977299828,0,489814
147,0,1689402.54318054,2440925.82619045,40442.0461540309,0,0.025591426336868,0,473095
148,0,1647190.09442482,2389107.86923035,43890.5326265664,0,0.020682090895455,0,457018
149,0,1633012.05081463,2341183.79051816,57067.3783947298,0,0.019415288632988,0,448320
150,0,1610524.66806351,2294406.57310712,38424.5852466378,0,0.024630966321883,0,440652
151,0,1573682.40823105,2160368.73275605,39608.0434875691,0,0.019354577888279,0,418180
152,0,1591249.08656059,2085723.38634029,33906.5190728904,0,0.016086190204305,0,402405
