Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
49,999473,1179713,1010319,991855,865363,807519,671266,644422,543087,516295,423509
50,1005404,1177352,1009203,1008087,858846,809959,683405,640597,556282,506288,427695
51,998203,1194447,1013410,1009334,855600,816237,691927,640175,563286,507644,417309
52,987674,1204880,1020799,999723,855367,838138,692054,631587,580266,504050,429069
53,973792,1228502,1026810,992591,864367,839731,696372,635673,579509,505367,436447
54,964182,1250129,1011895,993004,883401,838417,699498,638364,584359,505085,438543
55,957440,1255347,1021629,996309,885384,836345,717387,642655,574249,505471,447170
56,950932,1275810,1024459,991439,886150,861393,717779,639313,574143,510312,450013
57,933540,1276709,1041685,983014,906160,852266,727009,634724,579497,513318,457703
58,958641,1256827,1067233,978605,917807,851978,735605,636255,579923,511943,462898
59,953150,1263383,1082464,966656,936967,844565,721725,660722,578094,505597,468485
60,946218,1260738,1101011,970686,927470,835891,749409,646532,592108,510147,462522
61,949479,1260926,1101906,974640,920600,846589,757087,640940,596156,521128,460956
62,940737,1259754,1105426,996979,927521,838809,771257,632584,608068,515405,466340
63,952394,1257733,1125063,988216,942168,844381,773433,634637,604346,517568,472017
64,934356,1261109,1135382,970101,949754,858422,778265,632681,604085,517149,471551
65,946557,1245283,1149217,974845,957947,850244,787126,637614,609818,510031,479067
66,922126,1249601,1155061,976147,958697,854458,793898,642996,613606,506213,479734
67,917672,1246384,1163737,968804,981074,854368,799575,641997,613283,513454,476879
68,914547,1242022,1166542,977339,996949,842854,808042,650680,614023,511411,474390
69,906227,1240113,1170449,1002654,987464,855796,797380,664837,617759,510799,476291
70,910974,1240218,1169828,1004148,1001286,848822,799449,675875,612449,521419,466860
71,912360,1227722,1186861,1010243,1001866,846099,806669,681772,618809,522674,466121
72,884476,1231606,1199352,1017622,994217,845402,829543,681140,610153,540754,462940
73,891851,1199385,1222720,1025468,985541,856605,830990,684207,617125,534614,467343
74,871506,1214783,1243794,1010012,985458,877873,828507,686857,616268,544898,465118
75,870937,1202577,1249625,1019860,986841,878347,826128,703716,621678,534250,461722
76,881907,1178945,1270278,1023023,982413,879828,849481,704097,621186,531880,469909
77,877141,1167825,1270989,1040316,973570,900624,839879,711020,616537,539189,472074
78,876286,1171974,1251516,1065796,969889,911598,841109,718995,619299,540265,469035
79,854746,1188914,1258431,1080703,958227,930154,830518,706602,640467,539486,464629
80,869130,1166266,1257104,1098877,962097,920730,821506,734825,626028,553975,467158
81,857915,1179358,1257446,1099883,965828,914201,833536,740862,620351,566557,473478
82,883363,1149831,1255584,1103599,987766,921116,826875,753079,611876,580140,462570
83,882471,1142141,1253653,1123844,978833,936499,830870,758846,614976,574463,468342
84,881335,1140240,1257572,1133919,962937,943661,845988,762203,616011,576703,467085
85,886276,1146372,1239821,1147431,967861,951051,838857,769581,620113,577840,462371
86,891230,1144463,1243745,1153342,969661,951370,843279,775394,623032,583074,457845
87,886230,1141915,1240279,1161893,962318,973026,841746,781234,621794,580727,464211
88,901074,1128094,1235377,1164698,970636,988236,832326,790922,628235,578924,464112
89,899624,1117055,1235168,1166342,996071,981162,843707,778301,642365,583091,463963
90,897145,1121264,1235241,1165645,997389,993666,836167,781024,653599,580955,471531
91,898944,1116007,1222615,1182814,1006255,993176,833219,787213,659619,586837,474378
92,892812,1108053,1226472,1195305,1014054,985154,832892,809125,657443,579429,489070
93,909842,1108979,1193213,1218944,1021942,977033,843702,812487,659760,585012,489037
94,912133,1086169,1209728,1239657,1007186,976617,865272,809364,664550,587055,493980
95,910528,1088199,1197393,1244996,1016837,980813,867764,808898,681167,591879,485491
96,912863,1085084,1174547,1264193,1018253,976405,869957,827699,682664,588392,485753
97,910666,1084134,1163964,1264847,1035888,967109,888874,817999,685937,585198,495036
98,914579,1090520,1166822,1245088,1059458,963135,898556,819838,693226,587277,496165
99,911017,1070181,1184331,1251733,1074355,954080,913853,809198,681096,609165,496517
100,924423,1086151,1161491,1250406,1091260,958264,907553,802938,705060,595039,507276
101,907700,1086364,1172814,1250689,1093737,960115,903678,810225,711488,590939,518048
102,898729,1113553,1142560,1248852,1097442,982600,910799,803413,728461,580352,529080
103,910493,1111862,1134548,1246482,1117261,974139,923320,812625,730662,580791,525429
104,909984,1116715,1133123,1250401,1127336,957807,931524,825592,735367,579374,528574
