Period,Total_SIPA_income,Total_wage-earners_SIPA_contributions,Total_taxable_income,Total_gross_wages,Total_SAC,Total_autonomous_workers_SIPA_contributions,Total_Monotributo_SIPA_contributions,Monotributo_integrated_tax,,,,
49,18000510.6188669,17348424.3044446,61294383.3095153,61294383.3095153,0,371077.892968079,186193.971362136,135449.214417351,17905696.1687748,2015,19978718.2516359,
50,22157499.2341788,21420846.3579256,75698211.0792046,64884180.9250325,10814030.1541721,449590.592220506,181303.384351026,151084.142402353,22051740.3344971,2015,,
51,20233959.3615849,19481047.9018705,68948168.7444157,68948168.7444157,0,479075.444673333,169295.89556962,149343.027816335,20129419.2421135,2015,21868961.9080342,9.46%
52,23711099.340712,22929508.1705452,81128439.104295,69538662.0893957,11589777.0148993,516987.680878167,162008.72253143,146563.952510206,23608504.5739548,2015,,
53,19318558.8094962,18652836.7134315,66019109.634082,66019109.634082,0,425976.651435597,141481.176969882,140377.525227439,19220294.5418369,2016,20578517.4270451,-5.90%
54,22035975.6793422,21394352.2957855,75696584.2068533,64882786.4630171,10813797.7438362,415298.321746476,127089.694721227,141764.810127232,21936740.3122532,2016,,
55,19225382.5714869,18603741.720877,65799884.3882005,65799884.3882005,0,399075.404357142,121633.121774462,144189.0349691,19124450.2470086,2016,20791699.716019,1.04%
56,22564836.9054479,21903346.743288,77437977.0286537,66375408.8817032,11062568.1469505,439140.631379141,116461.810362377,151268.17202623,22458949.1850295,2016,,
57,19510720.9348717,18772632.0522002,66351902.7083651,66351902.7083651,0,413586.258336625,238137.823326839,123378.287154311,19424356.1338637,2017,21335853.4595317,2.62%
58,23339052.656364,22600878.1366645,79882706.2211742,68470891.0467207,11411815.1744534,415889.735639967,230582.912895283,131002.673091904,23247350.7851997,2017,,
59,20676340.3358436,19987346.5543269,70658358.7383324,70658358.7383324,0,367663.677083727,225108.785774441,137459.026655012,20580119.0171851,2017,22461156.8707488,5.27%
60,24442783.390504,23718443.3956191,83772244.5237371,71804781.020346,11967463.503391,396743.97044938,227007.358244038,143698.094559182,24342194.7243126,2017,,
61,19573117.3944048,18842001.0762178,63609343.1458918,70961222.6214461,0,385120.323093544,255380.671773609,129450.461885458,19482502.0710849,2018,20805840.5073087,-7.37%
62,22216148.1449952,21497589.8809881,72347360.9563194,69714099.3486738,11619016.5581123,396657.897900116,234931.164644349,124241.716375217,22129178.9435325,2018,,
63,18296958.6464321,17659472.0058588,59887509.8280857,66038620.5698344,0,349907.588704731,208838.907550347,112485.920454584,18218218.5021139,2018,19039621.3703483,-8.49%
64,19939496.2171495,19343434.468545,65408555.5176618,62201099.778605,10366849.9631008,316139.72116797,201450.048869671,112102.826524005,19861024.2385827,2018,,
65,15751634.2879248,15179121.8967004,48156642.7646441,61869622.9419318,0,293358.556230833,200856.098347395,111853.909494415,15673336.5512787,2019,17130910.5240924,-10.02%
66,18664312.7956435,18097437.8347259,58016147.8012195,62353425.0747698,10392237.5124616,294460.186874524,196586.475305698,108326.14105339,18588484.4969061,2019,,
67,15839304.0794264,15243839.0367646,49291998.1091238,60559005.7924842,0,310256.129758465,207702.321839945,110723.70151913,15761797.488363,2019,16833583.3119702,-1.74%
68,17982992.8213644,17377691.1414433,56595521.5971546,58594550.2898636,9765758.38164393,322478.108124877,205199.886009163,110890.979695729,17905369.1355774,2019,,
69,16352466.9030213,15780949.2033318,51701148.4791059,60742110.445289,0,287128.604778399,204695.953482601,113847.344897803,16272773.7615928,2020,17162382.5138317,1.95%
70,18125098.6439595,17507195.3147636,57292319.0616422,57805901.9768165,9634316.99613609,339652.083363977,205143.867942996,104439.111269874,18051991.2660706,2020,,
71,15347921.9524492,14728382.5855833,48511513.1358428,56224284.3420467,0,347341.218429854,206679.456312401,93598.1316051829,15282403.2603256,2020,16497091.9526783,-3.88%
72,17779176.6973822,17160425.407299,56530934.5848847,56125470.8104345,9354245.13507242,344201.121684938,207154.11604704,96280.0747874066,17711780.645031,2020,,
73,16093136.0044618,15490752.9460773,51568652.0732084,58278132.3090095,0,329118.265960749,202315.040067987,101356.789079614,16022186.252106,2021,17688096.054357,7.22%
74,19426917.7151467,18805637.4387276,62577644.6339614,60732485.2229982,10122080.8704997,346564.19845298,201804.219427465,104159.79791227,19354005.8566081,2021,,
75,17265424.9365694,16614059.1336282,55815294.3371005,61739969.4460128,0,369225.133269805,206811.463770624,107613.151286786,17190095.7306687,2021,18713385.5579066,5.80%
76,20313233.6079274,19663648.0238479,65886886.2657083,62965072.4539831,10494178.7423305,365444.856249695,207582.505046859,109368.889689922,20236675.3851445,2021,,
77,18064253.0447345,17409800.9997776,58865921.1989768,64156063.8196747,0,360763.820955184,215241.316500328,112067.010716313,17985806.1372331,2022,19485130.5698386,4.12%
78,21064852.241954,20393906.2609846,68652181.5765527,64831033.2584912,10805172.2097485,371764.564068876,218784.17739073,114853.199299825,20984455.0024442,2022,,
79,18426300.9470743,17765537.6108778,60357315.7723196,65056536.4144291,0,357660.583693588,220781.703473206,117601.498613923,18343979.8980446,2022,19802523.8504054,1.63%
80,21344774.2806169,20622705.0892915,69696699.913508,65259401.938837,10876566.9898062,411859.118180409,226503.595294273,119580.682643842,21261067.8027662,2022,,
81,18807799.1992311,18089459.9262024,61662575.705125,65876495.87637,0,408523.361915433,226935.562361468,118400.498216892,18724918.8504793,2023,20312869.4933311,2.58%
82,21984361.2022083,21268383.2892746,72060593.7062538,66989777.0972699,11164962.849545,403766.672506846,228670.174401433,119344.380036278,21900820.1361829,2023,,
83,19350130.0150149,18611495.2350034,63626168.7147948,67487257.8087489,0,423788.272267552,229699.603446933,121638.434710114,19264983.1107178,2023,20880158.1153134,2.79%
84,22578928.4401964,21871274.9126195,74288568.2172587,68672867.4554195,11445477.9092366,397142.9864859,226915.220803637,119421.886124838,22495333.119909,2023,,
85,19875124.2915431,19159502.1042828,65658853.6847447,69261994.4843271,0,397187.809460662,231842.649273765,123702.469322644,19788532.5630173,2024,21477121.2479513,2.86%
86,23254767.1002585,22549718.7225714,76747527.3508986,70635317.4359678,11772552.9059946,375542.482661205,240448.727652727,127224.524818829,23165709.9328854,2024,,
87,20468446.9841465,19758640.6836796,67833907.4371599,71240234.8887031,0,386512.29616794,236825.976493022,123525.754008477,20381978.9563405,2024,22031804.295313,2.58%
88,23769834.0344423,23029720.3275373,78459631.1648709,71948962.962157,11991493.8270262,409848.894894627,242060.411853463,126006.285938395,23681629.6342854,2024,,
89,21066970.5189699,20303548.8152605,69766279.0270142,72996411.3637924,0,438490.863795929,237771.918373854,124512.745056561,20979811.5974303,2025,22705472.6917738,3.06%
90,24519171.2238395,23762705.2816202,81021561.1258295,74058746.9232627,12343124.4872104,423311.783226448,245116.72127061,125767.768174657,24431133.7861172,2025,,
91,21535665.8034631,20744191.6203361,71371025.7673384,74443620.8837745,0,455616.210355103,245542.187824455,129022.549925035,21445350.0185156,2025,23192673.8822921,2.15%
92,25034789.2464832,24243868.7474375,82746333.1178796,75468397.4350263,12578066.2391711,444368.092107566,251760.906523432,135416.429163925,24939997.7460685,2025,,
93,22057447.4660882,21241325.9669164,73097870.6704287,76094984.8716205,0,470465.943332404,253447.096581133,131726.370368961,21965239.00683,2026,23684682.0738545,2.12%
94,25496862.6965555,24675158.1754073,84196663.4085189,76699876.6025867,12783312.7670978,475891.452203636,253075.513268053,132482.222395096,25404125.140879,2026,,
95,22843941.2566278,22024395.9687341,77081294.2335194,76809964.2997458,0,471180.436935957,254976.476285473,133411.9638175,22750552.8819555,2026,24194458.4411102,2.15%
96,25730738.6969044,24919788.2242402,85119644.1418445,77434786.3131944,12905797.7188657,466064.613553518,252511.162471118,131963.852342254,25638364.0002648,2026,,
97,22411447.8353212,21610652.4723952,74429148.4400234,77262189.1116896,0,438964.051471747,264849.594870861,138545.309404898,22314466.1187378,2027,24034632.5945158,-0.66%
98,25850651.0209977,25015889.3626616,85478106.7319436,77670551.6235426,12945091.9372571,478557.63104319,260352.076588979,136931.358148506,25754799.0702938,2027,,
99,22962432.7053803,22158676.5683673,76393186.910824,79239114.8405397,0,455853.838786769,254153.845791789,133926.360620601,22868684.2529459,2027,24636533.781855,2.50%
100,26499015.6637005,25691900.4788614,87806269.7654955,79682193.1010839,13280365.5168473,451135.196627182,261347.635275571,135189.07562339,26404383.3107641,2027,,
101,23386950.1590088,22533053.2620141,77698953.6065246,80486521.1920099,0,498071.835353268,259683.398529464,137345.233017143,23290808.4958968,2028,24976823.6392267,1.38%
102,26759563.2361516,25901612.5329027,88591297.3625629,80335139.8081997,13389189.9680333,499996.829766791,261229.419887216,138177.790849824,26662838.7825567,2028,,
103,23716264.2205188,22879438.487617,78948766.8649366,81672435.1255252,0,481206.652614958,259552.046818874,137238.619239947,23620197.1870508,2028,25474342.4103765,1.99%
104,27424273.2525864,26597578.1007661,91037741.3063799,82470916.234808,13745152.7058013,472853.499824315,258056.033111802,136836.598405931,27328487.6337023,2028,,
105,24060730.6603023,23231880.0149892,80200347.8955329,82856346.9044036,0,469589.451024279,262861.710189855,137713.548712797,23964331.1762033,2029,25932610.0916297,1.80%
106,27995504.6723918,27181256.5110736,92993084.1717962,84162343.3156744,14027057.2192791,460156.867708231,259475.628274185,135165.236194003,27900889.007056,2029,,
107,24509531.976698,23700504.8625677,81849457.2530426,84467662.3194812,0,447106.582342523,265675.603395437,137492.754846285,24413287.0483056,2029,26283405.176903,1.35%
108,28251313.8361635,27405089.1434032,93832411.8005673,84829895.07378,14138315.84563,481089.109010183,267345.05308698,139700.758090237,28153523.3055004,2029,,
109,25045594.3274358,24176584.6132936,83532565.9271877,86138296.9247496,0,506072.089118423,266758.942750368,137398.117533562,24949415.6451624,2030,26842843.4552793,2.13%
110,28830991.2183669,27982874.7267715,95809753.0682353,86552935.9313028,14425489.3218838,493612.39562459,259784.143000032,135314.218529615,28736271.2653962,2030,,
111,25412685.1252546,24570775.2348272,84900220.0478301,87462547.2053976,0,487861.05305994,258460.446324364,136554.844347323,25317096.7342115,2030,27215961.0335406,1.39%
112,29211300.7208049,28363710.3971223,97162971.2471312,87697243.6359599,14616207.27266,490356.544221743,260758.391525612,137821.982764727,29114825.3328696,2030,,
113,25626490.8533815,24748782.6395593,85549711.8539225,88038490.5429091,0,525196.59122217,258607.164897409,134149.225289503,25532586.3956789,2031,27551131.2918701,1.23%
114,29670046.8017535,28794766.567678,98621845.7273053,88966667.5929998,14827777.9321666,507696.032618684,267213.587764697,143386.590988815,29569676.1880614,2031,,
115,25931590.1392743,25060881.7568417,86612025.6821471,89113500.9375629,0,495731.235502513,272888.163235405,145841.40527813,25829501.1555797,2031,27757699.8187167,0.75%
116,29787262.869857,28940598.6117277,99159827.8331848,89379875.8635834,14896645.9772639,475849.71506648,269450.155059586,144806.268575925,29685898.4818538,2031,,
117,26075738.6593296,25211176.4116423,87149142.5516615,89574258.6791398,0,485666.335550221,275997.600932777,146997.587434683,25972840.3481253,2032,28080054.2535006,1.16%
118,30288511.3824822,29392287.7467125,100744792.29312,90729659.1253531,15121609.8542255,520400.078459849,274580.333703662,144633.176580342,30187268.158876,2032,,
119,26379626.2342932,25521900.9233053,88278059.1380265,90682118.6043102,0,472542.011660644,280098.192651228,150121.580965791,26274541.1276171,2032,28327590.2772353,0.88%
120,30483059.5683698,29610071.9112552,101555380.96929,91416259.7720161,15236043.295336,496177.876257404,274389.63934087,146314.48788047,30380639.4268534,2032,,
121,26859610.7065245,25977164.2557799,89904565.9429541,92261083.9405307,0,499366.837001542,279210.306026037,148384.725310134,26755741.3988075,2033,28802081.2546594,1.68%
122,30954480.0652963,30077571.0427668,103192900.426581,92820045.5119961,15470007.5853327,489068.052441064,281782.015303447,151512.792549919,30848421.1105113,2033,,
123,27302293.2567788,26421472.9363177,91501530.9592251,93842724.5033955,0,498369.027987847,278235.487168307,148879.72186417,27198077.4514739,2033,29338192.3017569,1.86%
124,31583217.1562146,30692591.511994,105341189.91134,94704903.561261,15784150.5935435,503818.798737304,281896.841308572,149871.434535353,31478307.1520398,2033,,
125,27620828.8800282,26754902.6837433,92666189.2273494,94959058.5829153,0,481780.595473278,280214.975523679,148472.321839942,27516898.2547403,2034,29777056.0038426,1.50%
126,32142537.5223561,31249045.7435526,107352312.652775,96401090.1021027,16066848.3503504,501504.819481348,286663.189911075,150462.527730164,32037213.752945,2034,,
127,27944626.8554095,27046228.3192838,93728172.6812214,95960999.6734338,0,508003.682004973,284774.954352603,150885.571097412,27839006.9556413,2034,29977044.3570782,0.67%
128,32222258.6175337,31329759.1472964,107649712.683971,96594795.2421853,16099132.5403642,497925.975095064,287396.636123623,153109.798598046,32115081.7585151,2034,,
129,28307309.4464938,27439713.9376478,95141838.592555,97293957.8815678,0,482616.013641021,280571.129385223,149154.808313949,28202901.080674,2035,30293686.5259768,1.06%
130,32494007.8714215,31554227.6788159,108426664.373213,97216831.9763417,16202805.3293903,537914.250741777,292330.041721913,156479.857345559,32384471.9712796,2035,,
131,28482175.9712113,27568279.5877867,95618905.237845,97739457.6615052,0,515313.397005026,289260.846469988,156174.485642274,28372853.8312617,2035,30604947.3242074,1.03%
132,32946977.2409442,32036860.0324884,110103233.401789,98703219.9176015,16450536.6529336,509404.161093737,290776.623570916,157052.033987431,32837040.817153,2035,,
133,28732635.7717025,27857819.527816,96601596.9135294,98671834.5307487,0,472796.067034325,290527.945518323,159274.616191241,28621143.5403686,2036,30819663.557626,0.70%
134,33130166.9753054,32201961.3009552,110724761.232286,99184086.2183098,16530681.036385,522692.031872558,293530.24205567,159976.28631709,33018183.5748834,2036,,
135,28942098.8222176,28015693.0925151,97255716.3325018,99275720.9625595,0,511579.499505223,301546.202936075,161828.610373146,28828818.7949564,2036,31099953.373884,0.91%
136,33481702.3617906,32548209.4260865,111974024.925888,100257414.557275,16709569.0928792,535915.987449318,286962.539275714,158020.584255859,33371087.9528115,2036,,
137,29281910.9773347,28337093.9909364,98393462.3246421,100411637.657007,0,536181.84833942,292918.228644396,165309.870592003,29166194.0679203,2037,31516253.3887103,1.34%
138,33979052.1197999,33083088.2333345,113848923.819129,101880756.910169,16980126.1516949,494284.852710912,288939.623454854,161056.30042814,33866312.7095003,2037,,
139,29690801.5796259,28791055.6765096,99952654.2749216,101936784.428747,0,500758.799904108,287182.395352365,159721.011228413,29578996.8717661,2037,31792990.1567251,0.88%
140,34119980.9492166,33220904.6307813,114316066.594386,102243203.758303,17040533.9597172,491177.734987576,294901.075915334,161425.010760538,34006983.4416842,2037,,
141,29689356.7765149,28775776.8610349,99960553.0176237,101858842.214372,0,505836.570700396,294307.502439534,162051.203342976,29575920.9341748,2038,31827635.1701583,0.11%
142,34197552.4793187,33277219.3596564,114570011.423926,102408938.535692,17068156.4226153,501865.294403283,300264.752081997,168861.533110038,34079349.4061417,2038,,
143,30040726.3900979,29065164.7041859,101021442.351198,102901229.445403,0,549972.255053627,306171.284994622,170597.35123392,29921308.2442342,2038,32290821.9194208,1.46%
144,34778855.2756281,33779776.5935889,116377367.748851,103972084.852818,17328680.808803,577742.40024062,302816.600777847,169313.830029645,34660335.5946074,2038,,
145,30576726.7244292,29585933.0453433,102879525.58109,104717521.654766,0,576030.407034224,299695.195496399,164382.966507565,30461658.6478739,2039,32849745.1408962,1.73%
146,35353981.7752258,34378655.8784854,118453082.983143,105758770.990226,17626461.8317043,561570.220181643,297605.53525144,165928.773296175,35237831.6339185,2039,,
147,31092105.3586334,30144568.8477206,104805966.175967,106620168.581572,0,535313.016718835,297679.88616646,163633.725753589,30977561.7506059,2039,33228228.8473658,1.15%
148,35593879.1013751,34686364.3382828,119486937.250385,106632684.490388,17772114.0817314,496707.915511618,295823.690331308,164261.653213476,35478895.9441257,2039,,
149,31355559.7017658,30385291.51645,105700216.562658,107455322.668208,0,557580.032196053,299518.325650013,161671.182099717,31242389.874296,2040,33672838.4263517,1.34%
150,36212739.6905315,35267708.2824162,121617616.53872,108491593.437702,18081932.239617,539896.974863097,295681.721128159,156361.017320055,36103286.9784075,2040,,
151,31528194.7516303,30585860.3085614,106486324.74393,108204389.94165,0,523470.376740479,303814.237754921,164356.897962069,31413144.9230568,2040,33689198.5871969,0.05%
152,36081849.2395457,35121710.5632325,121165063.027082,108056647.574692,18009441.2624487,543105.281841037,300436.406263464,166567.126012326,35965252.251337,2040,,
