Period,Total_SIPA_income,Total_wage-earners_SIPA_contributions,Total_taxable_income,Total_gross_wages,Total_SAC,Total_autonomous_workers_SIPA_contributions,Total_Monotributo_SIPA_contributions,Monotributo_integrated_tax
49,18004066.583314,17351947.9127592,61294383.3095153,61294383.3095153,0,371110.249100529,186193.971362136,135449.214417351
50,22160667.1304052,21424014.2421674,75698211.0792046,64884180.9250325,10814030.1541721,449590.604205122,181303.384351026,151084.142402353
51,20241474.6608547,19488563.744322,68948168.7444157,68948168.7444157,0,479074.90149172,169295.89556962,149343.027816335
52,23722644.8086565,22941053.6384898,81128439.104295,69538662.0893957,11589777.0148993,516987.680878167,162008.72253143,146563.952510206
53,19331318.9269655,18665596.8309008,66019109.634082,66019109.634082,0,425976.651435597,141481.176969882,140377.525227439
54,22042352.8766765,21400729.4931198,75696584.2068533,64882786.4630171,10813797.7438362,415298.321746476,127089.694721227,141764.810127232
55,19234129.6394673,18611010.5636667,65799884.3882005,65799884.3882005,0,400553.629547846,121633.121774462,144189.0349691
56,22573512.1008919,21912021.938732,77437977.0286537,66375408.8817032,11062568.1469505,439140.631379141,116461.810362377,151268.17202623
57,19517575.3041269,18779486.4214554,66351902.7083651,66351902.7083651,0,413586.258336625,238137.823326839,123378.287154311
58,23345722.4547066,22607547.935007,79882706.2211742,68470891.0467207,11411815.1744534,415889.735639967,230582.912895283,131002.673091904
59,20685758.7576831,19996764.9761664,70658358.7383324,70658358.7383324,0,367663.677083727,225108.785774441,137459.026655012
60,24447912.8962081,23723572.9013232,83772244.5237371,71804781.020346,11967463.503391,396743.97044938,227007.358244038,143698.094559182
61,19576875.4819577,18845759.1637707,63609343.1458918,70961222.6214461,0,385120.323093544,255380.671773609,129450.461885458
62,22220331.7878667,21501773.5238596,72347360.9563194,69714099.3486738,11619016.5581123,396657.897900116,234931.164644349,124241.716375217
63,18304035.7763677,17663550.8030389,59887509.8280857,66038620.5698344,0,352381.174045611,209277.213559272,112609.408176984
64,19978690.5370359,19379627.3338994,65512402.0059858,62295342.0363721,10382557.006062,319999.951442057,201096.564340059,111380.981934753
65,15756304.8886345,15193606.4654387,48177812.0374659,61901652.0624313,0,293131.758070296,190577.792801041,112841.24617785
66,18646832.0810618,18090154.2781732,57961726.8930467,62298473.5938438,10383078.9323073,291184.127611555,187536.514945112,111367.371902844
67,15995991.3851328,15400438.3371056,49780329.9978223,61143413.9423688,0,333334.347430059,185155.388421648,110090.445964971
68,18688431.1291169,18064348.1455946,58895183.996271,60828681.0335899,10138113.5055983,358026.741998061,188047.624613215,111440.881301515
69,16743005.0358183,16122443.2383468,52858095.0080453,61959778.1607476,0,354007.387546275,187755.873987641,112569.337053729
70,20196495.1994961,19603309.0465397,64603267.7597901,64051684.9396725,10675280.8232787,333396.345842101,181134.971250252,112364.051234448
71,17922691.2236259,17351461.5500573,57737886.1651443,65288443.2098476,0,302437.314980986,185225.81258369,119380.780005568
72,21268984.4379393,20697816.8555167,68770895.1776988,66832053.0592608,11138675.5098768,301067.054220615,185303.821464387,121138.152482425
73,19033069.2978799,18422713.419813,61817107.4897469,68434267.7804867,0,331023.576108594,191014.318505757,126168.547789358
74,22555411.5552707,21934466.3062319,73324868.1765723,70175172.9957808,11695862.1659635,338590.428266659,196237.834133172,123024.266627143
75,20148723.2118034,19507402.4486053,65746713.2337549,71886272.4500712,0,358284.579486731,196088.342017774,124211.20241946
76,23871096.1016779,23218851.7121306,77917139.3820479,73792099.2174104,12298683.2029017,358562.038969254,203292.753835823,129127.995346031
77,20973164.8787429,20265457.9000136,68610701.7935309,74190218.6832715,0,405185.207148194,207840.299976713,135259.245149168
78,24606142.5678019,23895815.395738,80529097.5549439,75546425.3069469,12591070.8844911,402591.898696311,212321.805194668,136304.954532738
79,21698923.0864856,20986633.4218674,71334226.3402197,76502188.5643315,0,398719.991687123,215653.826993498,139879.779910792
80,25386645.035891,24651278.848685,83291508.9668472,77690530.6402771,12948421.7733795,412530.143633593,222250.112412549,143694.187371222
81,22430038.7325405,21678723.3776318,73865165.3609814,78721282.2994951,0,435438.272277881,217472.381107488,140578.145033408
82,25940635.2943789,25199514.5300303,85316261.2421152,79149518.9772385,13191586.4962064,415609.110924492,223447.255072804,145806.283359025
83,23043197.9423115,22315618.5741176,76201307.2010347,80746501.1008057,0,400511.103671506,226007.217071823,144372.924929412
84,26960161.9548388,26208334.9437652,88868909.4504385,82142917.0222665,13690486.1703777,423001.306121525,227871.785829654,144219.884460607
85,23815355.5632817,23083822.4570897,78927393.8106724,83348984.3921356,0,405151.716683559,226008.520259817,143389.813212293
86,27606863.0614183,26863049.3189988,91147151.4489805,83999796.0230714,13999966.0038452,408566.426239082,231917.706926596,147613.727505431
87,24432931.4029587,23661558.902886,80944412.6948002,85262339.0229334,0,434045.727447433,234084.242921859,147489.328147655
88,28460742.797888,27664378.6933428,93926108.7475821,86436038.9301069,14406006.4883512,449571.81414779,242112.621835175,149542.383660337
89,25115803.6037384,24315447.9504432,83232195.4062667,87558111.9714061,0,455726.440452947,240693.89263655,148479.028865347
90,29160148.5026134,28369524.1026038,96359949.2864027,88574240.2723984,14762373.3787331,444196.830061056,241257.005299518,150243.663784312
91,25624421.3037227,24831146.5027948,85036537.9650387,89394623.995545,0,450414.560788702,238893.618776183,148523.744804435
92,29725957.3405229,28912744.7494513,98232633.9863237,90273133.9103533,15045522.3183922,458131.526576691,247167.799885155,154161.806585412
93,26092414.4841472,25277864.5046272,86577506.399008,90970517.5653039,0,461361.389639008,244473.960874867,155306.612865908
94,30437710.2977018,29613652.1338067,100640812.343898,92460714.3034301,15410119.0505717,470266.804474047,245030.858546159,155372.144106947
95,26671165.3214936,25835558.2134135,88535899.6323037,92998966.9094091,0,474325.920173119,251143.976149637,157338.87393911
96,30978275.6890917,30147806.4455384,102541256.672132,94130784.2453863,15688464.0408977,461429.048351924,255792.449810088,161782.493416144
97,27266850.5954215,26461264.1583828,90756354.6724585,95277751.5920669,0,442960.264914228,249966.311737761,160942.657695271
98,31603021.8022814,30775211.5392459,104731859.349511,96125356.7927271,16020892.7987878,459312.671859051,253606.161607426,164130.613669964
99,28076433.8391792,27223689.2421191,93420411.5058278,98016262.9878193,0,492476.616224301,248352.63070228,159879.071619401
100,32564102.2023567,31725763.8046981,107999781.669943,99096231.2015615,16516038.5335936,478803.649760507,247974.9015689,159371.209041774
101,28754211.5013753,27914683.5163069,95777608.8260444,100489969.557082,0,471645.494341928,251303.548003009,166541.346747777
102,33409741.4098426,32557207.7262555,110806737.076567,101635412.210402,16939235.3684004,482590.20488781,254603.470944731,164771.439649408
103,29366378.7384911,28500282.005228,97750828.0505949,102505111.900659,0,481392.998271157,264985.277176699,171026.368307434
104,34252509.9117643,33398954.0149763,113614105.416409,104154938.366296,17359156.3943826,484064.388714564,254579.18761256,164160.45780127
105,29997397.0958322,29118642.1961957,99874585.7971194,104703958.987609,0,505390.340364653,257576.616887753,165411.346263021
106,34772559.1586451,33906829.1904203,115421625.472325,105759558.009169,17626593.0015281,490644.086528864,256783.62758419,169003.220159733
107,30757587.1485749,29894843.9951266,102586068.881737,107468996.219122,0,476999.586054497,265005.41981144,172483.067974843
