Period,SIPA_missing_contributions,PAMI_missing_contributions,Obras_sociales_missing_contributions
49,3523.6083146706223,960.984085819684,960.984085819684
50,3167.8842418678105,863.9684296003543,863.9684295998886
51,7515.842451438308,2049.7752140290104,2049.7752140285447
52,11545.467944517732,3148.7639848697,3148.763984871097
53,12760.117469355464,3480.0320370951667,3480.0320370951667
54,6377.197334300727,1739.235636626836,1739.235636625439
55,7268.842789679766,1982.411669912748,1982.4116699136794
56,8675.195444017649,2365.9623938221484,2365.962393824011
57,6854.36925515905,1869.3734332229942,1869.3734332239255
58,6669.798342529684,1819.0359115996398,1819.0359116001055
59,9418.421839434654,2568.6605016659014,2568.6605016654357
60,5129.505704078823,1398.9561011120677,1398.9561011139303
61,1266562.9668805636,115546.39585725358,442137.70150223374
62,1544784.7993417196,141056.82832342433,540286.2905384321
63,1056764.9171646163,96917.20917773433,370179.0437358655
64,1234141.2644810416,112848.16623371327,430869.46056579426
65,2370418.58369451,215432.45809827466,824562.9580620956
66,2551132.7006509006,232008.76858335827,886190.8259896655
67,1974626.5807106812,179038.21221796377,685472.7650564043
68,2078277.3400708772,188846.403859857,721485.6961296536
69,1505276.5717302952,147323.852630327,558294.7026480297
70,1705518.8044261038,166472.49336325098,633496.2331175366
71,1232216.5426264983,120551.89949032711,460898.5928469803
72,1393524.9449470602,136366.3002923322,521258.3625996476
73,1012605.8386568092,101844.10912106093,385794.7576441206
74,1235233.888138041,124013.35948749585,467664.8409682587
75,849722.290917363,87374.44995770976,329415.0477699181
76,1085077.8654913865,110491.63416230446,417387.11689465493
77,713435.9786821306,75656.12820974272,283598.5445579365
78,966294.1149518602,100077.66395143094,377172.33016646374
79,601486.1083550751,65992.89726825664,247706.68125842419
80,862729.7501603775,91292.36466108216,342824.2325194869
81,515041.1380349882,59133.39301564731,219841.9475150099
82,789542.6989680789,85517.6207660851,320289.1478853319
83,444962.55947405845,52720.532900066115,195700.61545448937
84,728415.2744353116,80399.12782737985,301002.95624705683
85,386276.87394753844,48569.551013881806,178377.47810389567
86,685511.3787702397,77680.86085271137,287402.57384254225
87,344584.9616516754,45286.281132973265,164433.87429799885
88,647860.3240107521,74732.11057528527,275175.0033301981
89,300390.1780464053,41286.19983863179,150299.1918361578
90,612515.0601549819,71737.31465993077,264928.4648276558
91,271426.16734308004,39644.8666298436,142744.18855045456
92,590082.6807245761,70151.89245086815,258769.2832534602
93,244693.6981978938,37283.54253223399,134099.49562869314
94,575658.0746422745,68569.56446221936,252800.51836328022
95,232011.564546749,35595.82712595444,128813.74756235257
96,572309.804554645,68830.19638771052,252223.53304434475
97,223152.5053930208,35837.87916665804,124090.44001869205
98,581236.927227132,71067.0777010587,253550.87751174718
99,214332.2341602929,35869.13492103154,120649.11170479469
100,573532.3377402872,69649.60407661414,249501.5838455744
101,200820.29774609208,34672.4944249643,116152.6394482581
102,560593.472966142,68473.8771969988,245549.31741985772
103,188628.47011707723,32501.374959376175,111061.26662384253
104,553244.302211374,66714.02255612006,241575.37716655526
105,185310.47111061588,31627.418573663104,107821.87978815194
106,556696.3787540086,68623.43996017845,243027.34707068652
107,175954.36142192036,32425.758940435946,107807.31800599303
108,544283.0120826177,68698.55034966255,241640.56039780658
109,170082.36103285477,32612.291176220868,105835.05217572302
110,536019.4324426726,67598.36289554741,237682.63734036312
111,153877.27845866606,30892.877755801193,99431.83758547343
112,536170.8657038733,68161.17453977559,235847.82401699014
113,155047.0860872157,31201.52682878496,97875.17594266124
114,522894.6226213351,66733.95179579081,231866.83593281638
115,138523.28663786873,30287.955124888103,95145.52276916523
116,518288.7249772586,67688.76419325825,232757.53019291162
117,130045.44764509797,30895.80775506189,93583.4914902132
118,496923.3795552887,67085.6445711772,228512.11392012145
119,123197.53649557382,30488.62887146091,91001.30667311326
120,505645.3930395916,67689.95476952475,228007.02894436195
121,111289.84908842295,28838.101782181766,86698.61932586879
122,482228.05354636535,65142.745460661594,222911.40919665527
123,99180.06731447577,28324.01069231564,83895.29948661663
124,480626.6195402965,64434.59672594955,219664.74851455446
125,96395.3247785978,27399.285615905654,79894.1294600172
126,484438.75518237054,66273.00926550431,219805.53423505835
127,93144.92056527734,28134.54861706635,78146.11204148456
128,484308.15384113044,66536.78537106374,218999.84541653283
129,86483.10400733724,28027.710733512882,74973.42429862916
130,471253.7632697448,66907.21622347692,216484.74862132873
131,79493.31510725245,28597.227414851543,74718.16325282678
132,472065.3196555972,66899.44792737952,215988.0678087147
133,75407.74133071303,27409.702325012535,73140.7151108738
134,466189.6200110875,65194.51429078262,212695.62274852674
135,71025.45390685275,27015.34258409543,69809.64314540755
136,466488.932726115,66740.52103265934,213377.33687328827
137,73350.74919546023,28641.50611653598,70908.52639900893
138,469436.1717401333,68222.44858240522,213962.94789123628
139,67619.85566787049,29165.285703555215,69054.60642635822
140,470339.3630357571,67416.26736847265,211101.85728725605
141,63993.40673382208,27967.323758243583,66649.68511363305
142,458460.7159190029,66351.56343888957,210411.9793168567
143,63148.76042639464,28404.32133160811,66875.43423674721
144,452900.0431033559,68304.08943195362,211511.13866139948
145,44854.18993373215,28460.343539807945,65193.44229928125
146,448331.62638441846,67845.42088497244,209613.463186712
147,38960.14979697019,27928.091048160568,61960.60822064709
148,448558.452640906,68759.5773746511,210332.63385014609
149,28167.553249321878,28236.798264128156,60986.6446069181
150,437023.3932426125,68705.57738316059,208022.13402366824
151,21709.81281947717,28481.123360492755,59820.68745023757
152,428205.7768784836,69405.28149798699,207133.94736409932
