Period,Total_SIPA_income,Total_wage-earners_SIPA_contributions,Total_taxable_income,Total_gross_wages,Total_SAC,Total_autonomous_workers_SIPA_contributions,Total_Monotributo_SIPA_contributions,Monotributo_integrated_tax
49,18000510.618866924,17348424.30444457,61294383.30951529,61294383.30951529,0.0,371077.89296807896,186193.97136213633,135449.21441735057
50,22157499.23417875,21420846.35792557,75698211.0792046,64884180.92503252,10814030.154172087,449590.5922205059,181303.38435102563,151084.1424023526
51,20233959.36158491,19481047.90187052,68948168.74441566,68948168.74441566,0.0,479075.4446733328,169295.89556962048,149343.0278163347
52,23711099.340711977,22929508.170545243,81128439.10429505,69538662.08939575,11589777.01489929,516987.6808781665,162008.72253142958,146563.95251020606
53,19318558.809496153,18652836.713431463,66019109.63408202,66019109.63408202,0.0,425976.651435597,141481.17696988164,140377.52522743883
54,22035975.679342233,21394352.295785464,75696584.20685326,64882786.46301708,10813797.74383618,415298.32174647605,127089.69472122662,141764.8101272321
55,19225382.571486942,18603741.72087697,65799884.388200484,65799884.388200484,0.0,399075.4043571422,121633.12177446175,144189.03496910015
56,22564836.90544789,21903346.74328801,77437977.02865374,66375408.88170321,11062568.14695054,439140.63137914106,116461.81036237662,151268.17202623
57,19510720.9348717,18772632.052200217,66351902.70836513,66351902.70836513,0.0,413586.2583366249,238137.82332683867,123378.28715431107
58,23339052.65636405,22600878.13666446,79882706.22117417,68470891.0467207,11411815.174453449,415889.73563996656,230582.91289528285,131002.67309190419
59,20676340.335843615,19987346.554326944,70658358.73833238,70658358.73833238,0.0,367663.6770837268,225108.78577444132,137459.0266550119
60,24442783.390504,23718443.39561915,83772244.52373704,71804781.02034602,11967463.503391003,396743.97044937994,227007.35824403798,143698.09455918183
61,19573117.394404754,18842001.07621778,63609343.14589179,70961222.62144609,0.0,385120.3230935441,255380.6717736086,129450.46188545768
62,22216148.144995183,21497589.880988065,72347360.95631935,69714099.34867379,11619016.5581123,396657.89790011564,234931.1646443492,124241.71637521734
63,18296958.64643211,17659472.005858827,59887509.828085646,66038620.56983441,0.0,349907.5887047311,208838.90755034715,112485.92045458386
64,19939496.21714946,19343434.468545016,65408555.5176618,62201099.77860499,10366849.963100832,316139.7211679698,201450.04886967075,112102.82652400523
65,15750615.901249764,15179121.896700438,48156642.76464408,61869622.94193184,0.0,293358.55623083265,200443.79604982922,110988.07466952733
66,18663324.951677516,18097437.83472585,58016147.80121951,62353425.07476975,10392237.512461627,294460.18687452405,196186.53847738603,107486.2737139363
67,16028470.888841651,15430195.808948902,49885886.413817324,61289728.198574536,0.0,320772.1922789127,202795.15848865005,106725.32732169666
68,18276559.16456143,17675809.53154682,57568101.56850731,59624156.60178607,9937359.433631012,325646.62983824796,200560.51075213903,106489.27489174639
69,16736107.66822289,16161870.392898055,52963429.39639459,62216273.37130198,0.0,289352.90891379,206221.40523546247,112375.65882226427
70,18769975.161250524,18091816.166306484,59231802.670834355,59782450.46076615,9963741.743461024,394658.3493614633,209758.3938926509,105346.07384274414
71,15405521.830293983,14727355.311515447,48531919.56792397,56194938.34025538,0.0,406553.22832455783,206573.5511225146,92913.91333066032
72,17448677.10176318,16784175.358463567,55336447.003130406,54859921.35394043,9143320.22565674,390842.5156841413,208432.93870962234,93180.41272264281
73,15527225.317105021,14904968.378970712,49657269.46375017,56050743.870829396,0.0,358724.93995883374,195924.3201397892,96582.3971938346
74,18294557.42944862,17658204.27609867,58760852.84047291,56999275.99487624,9499879.332479373,375378.5837464942,194074.6547880515,95571.30687915928
75,16198360.305554308,15544767.27310014,52232926.76213805,57683438.83352913,0.0,379433.7970577132,203817.62374809792,100488.01664050872
76,18986991.192623008,18354707.77517153,61496824.450125396,58635326.73143469,9772554.455239113,364141.2979493768,199522.17603221026,98028.49067127625
77,16643166.923871156,16007660.344966497,54144493.15071477,58826948.80807163,0.0,367529.7198837117,199243.27530378912,98190.83388165818
78,19280395.915378556,18665321.893018734,62835802.72742365,59207659.1793948,9867943.196565798,344882.3096716032,200666.44514982137,99321.81076913586
79,16966015.65271379,16354890.021340925,55598276.66375198,59689729.98166566,0.0,336546.23447863304,204082.79004540577,100709.438355463
80,19745561.148996897,19117686.4345422,64642364.91951088,60262967.95692575,10043827.992820958,355746.5965307167,203462.96905830354,98093.06980811302
81,17484620.871135082,16855662.247991614,57544009.05283771,61162219.759574234,0.0,352245.21190626913,207609.39181718833,98720.02774287564
82,20216678.960123193,19553238.15787056,66327037.269439355,61382751.35351129,10230458.558918552,381803.1105374911,210535.35929851796,101574.76059517603
83,17782486.06877799,17120727.42665792,58610499.20568373,61829723.0617787,0.0,367988.28082485934,220655.32333453037,104450.05422954304
84,20605061.998856153,19954188.35478041,67855429.23829004,62419024.897970624,10403170.816328438,359186.4378408428,219044.80081786687,103774.8648814768
85,18234438.948423937,17569412.98085237,60321332.759460814,63243522.206517555,0.0,374672.40792168176,216964.60492467927,104841.3638931546
86,21045528.262706123,20362916.10638282,69397904.31888798,63531284.235614486,10588547.372602412,373852.73094186094,231393.43988812456,110522.83641902743
87,18529370.846634552,17798196.864185426,61217950.59557437,63900224.15126134,0.0,420497.4026979833,232682.40178290172,111420.25424034943
88,21431574.3375309,20720999.13305467,70731840.84815346,64495678.56332834,10749279.760554722,399897.07410574233,231572.56732473188,113007.94720822258
89,18732165.24400348,18006544.56742678,62034604.54108792,64488873.262583315,0.0,419883.34323909006,228379.32142931732,110511.44558327463
90,21780236.876689617,21039898.749811985,71915981.37864164,65370579.98556103,10895096.664260173,422339.1694032559,237850.6581681351,114497.57043748879
91,19242063.621421646,18501448.419133697,63836937.47682369,66157843.45822554,0.0,437657.9434969515,225809.00572662163,110211.79009195854
