Period,Mean_real_labour_income,Total_workers
49,6414.7890469953145,10914398
50,6778.902251841578,11021763
51,7092.02100217064,11059493
52,7113.981644337271,11048388
53,6705.54599729676,11064497
54,6521.173218658062,11128156
55,6554.019645355732,11235296
56,6660.184252920495,11156745
57,6744.034291296752,11057148
58,6741.661752525871,11247506
59,6886.429210692843,11410134
60,6890.545333957753,11521898
61,6808.849266392205,11482379
62,6723.171806475362,11421402
63,6342.540756138128,11521980
64,6004.755043155399,11538154
65,5984.66038142344,11452346
66,5957.718237047392,11487356
67,5902.632709785795,11445931
68,5780.100178254737,11546507
69,5833.054269593284,11506452
70,5860.962530119915,11578075
71,5907.71919192313,11573874
72,5933.428266754059,11632771
73,6016.544016404486,11648075
74,6052.572613784165,11653097
75,6128.292145584668,11721165
76,6218.712002605855,11801021
77,6235.061943745652,11831314
78,6308.303501907757,11879441
79,6345.219295936712,11963606
80,6421.663591229484,11980673
81,6469.336765990427,12009112
82,6525.045865717891,12029783
83,6556.791901134371,12091395
84,6628.126753141391,12160493
85,6712.8765803279975,12170184
86,6749.102233237691,12180925
87,6822.5231099153125,12238485
88,6845.83998696213,12258901
89,6871.267921666944,12339739
90,6924.252500779548,12345656
91,6958.318554386823,12438466
92,7014.193954682066,12458524
93,7041.914487674848,12466882
94,7071.722038146296,12492411
95,7100.4900956548145,12542176
96,7148.099504573249,12596031
97,7165.249495670601,12621349
98,7183.981580353078,12699639
99,7230.046899820789,12722784
100,7277.3570918620535,12724025
101,7275.182922635223,12771128
102,7345.365636973937,12769103
103,7358.565331578748,12838314
104,7379.954616300562,12928447
105,7431.903872219646,12920434
106,7471.783900920397,12986775
107,7490.3889099531225,13047952
108,7519.749674831826,13094834
109,7569.5881955603145,13091641
110,7611.737640989266,13120911
111,7616.595658094131,13153849
112,7666.517945966002,13189108
113,7702.409544825775,13136131
114,7747.089297935008,13120295
115,7769.517071903906,13191580
116,7825.95237529662,13206227
117,7862.733962465986,13176189
118,7872.148780195735,13165406
119,7910.025086642571,13186096
120,7931.470648802205,13247361
121,7990.640455141115,13267759
122,7990.684244842066,13339133
123,8079.151048162121,13298416
124,8129.321469127474,13397493
125,8128.69852642653,13497922
126,8161.589133036441,13483453
127,8187.010243635313,13509184
128,8189.84041216002,13540267
129,8203.419197184701,13515496
130,8251.881846674214,13537778
131,8283.665865248067,13567900
132,8348.657530664515,13556091
133,8401.961601358142,13601292
134,8422.68565374332,13608205
135,8420.720948591132,13687433
136,8446.860082294153,13648192
137,8482.994602921324,13697783
138,8496.791052045875,13715410
139,8509.330144489995,13779121
140,8588.908484930469,13802692
141,8659.152133848696,13810281
142,8697.974426766865,13835184
143,8747.170284181206,13767172
144,8752.48207794002,13790741
145,8760.657204528294,13847942
146,8762.650285167398,13894438
147,8834.345950950466,13887637
148,8897.885267685364,13889652
149,8937.433193551762,13906669
150,8965.550647839138,13954826
151,8987.73657350541,13976578
152,9041.58264684292,13970009
