Period,Mean_real_labour_income,Total_workers
49,6414.78904699531,10914398
50,6778.90225184158,11021763
51,7092.02100217064,11059493
52,7113.98164433727,11048388
53,6705.54599729676,11064497
54,6521.17321865806,11128156
55,6554.01964535573,11235296
56,6660.1842529205,11156745
57,6744.03429129675,11057148
58,6741.66175252587,11247506
59,6886.42921069284,11410134
60,6890.54533395775,11521898
61,6808.84926639221,11482379
62,6723.17180647536,11421402
63,6342.54075613813,11521980
64,6004.7550431554,11538154
65,5984.66038142344,11452346
66,5961.57826280046,11487356
67,5905.48438409932,11456736
68,5744.57937286309,11505241
69,5988.46137578042,11497647
70,5757.81925730652,11547811
71,5395.38369364707,11573038
72,5270.53748096197,11569062
73,5335.05284983361,11662326
74,5423.36088835027,11672100
75,5486.30652392915,11697492
76,5516.80078370096,11746726
77,5549.13728172793,11742191
78,5563.05162086461,11755540
79,5600.4353497389,11772790
80,5611.29408779188,11860278
81,5678.61998205155,11868058
82,5710.1235375489,11875480
83,5750.67168255228,11899116
84,5790.26518645659,11922313
85,5837.674874775,11948749
86,5876.99917527158,11972841
87,5886.14983265495,12062772
88,5933.74779364004,12061752
89,5933.66190370441,12092770
90,5980.19996421201,12156063
91,6020.25243756264,12170713
92,6051.20560457052,12208448
93,6112.76551127763,12199116
94,6141.4673122442,12225336
95,6157.98001379091,12333260
96,6217.88560065774,12323903
97,6294.19490317613,12364091
98,6343.46205502671,12361166
99,6386.0050491145,12426881
100,6391.82153525803,12452614
101,6416.68493383775,12453084
102,6426.91788975719,12468323
103,6432.64934315995,12473543
104,6425.48116048797,12537848
105,6439.40695241639,12629600
106,6465.50400920155,12665109
107,6475.62398089811,12683476
108,6479.25199761355,12642024
109,6525.88120283969,12634454
110,6527.04970920386,12649379
111,6511.96406245247,12721885
112,6535.82582436784,12717836
113,6526.81109143108,12717949
114,6519.92448330287,12769880
115,6546.04711144799,12737327
116,6565.41395418248,12792352
117,6573.77696231681,12782175
118,6560.83688310992,12817359
119,6560.96713932006,12768908
120,6568.77185829998,12806708
121,6564.86279811205,12820902
122,6572.0378476623,12815697
123,6614.15476012217,12833809
124,6589.54062133556,12848278
125,6626.7363545386,12841040
126,6638.30647515007,12790201
127,6640.41575311624,12858457
128,6636.72753916782,12886116
129,6594.7807817762,12882271
130,6620.74858096561,12896559
131,6646.0837147043,12889520
132,6656.48538581978,12954824
133,6681.47692302805,12925741
134,6692.54060761342,12949336
135,6672.3585355338,13006533
136,6712.48574469684,12940139
137,6685.30397496878,13025217
138,6694.83863179856,13071245
139,6687.47819237597,13156476
140,6703.79025868376,13132003
141,6707.78263602175,13127525
142,6749.21147818294,13131928
143,6740.81783783876,13130167
144,6758.48456326929,13143182
145,6779.04749077911,13168866
146,6785.46087832646,13186532
147,6796.37058077377,13150983
148,6818.75047582947,13203623
149,6789.63355800806,13209506
150,6816.65111103882,13250881
151,6822.08468432831,13217345
152,6829.58576927646,13210779
