Period,Mean_real_labour_income,Total_workers
49,6414.7890469953145,10914398
50,6778.902251841578,11021763
51,7092.02100217064,11059493
52,7113.981644337271,11048388
53,6705.54599729676,11064497
54,6521.173218658062,11128156
55,6554.019645355732,11235296
56,6660.184252920495,11156745
57,6744.034291296752,11057148
58,6741.661752525871,11247506
59,6886.429210692843,11410134
60,6890.545333957753,11521898
61,6808.849266392205,11482379
62,6723.171806475362,11421402
63,6342.540756138128,11521980
64,6004.755043155399,11538154
65,5984.66038142344,11452346
66,5961.578262800455,11487356
67,5872.634277619743,11551134
68,5678.627850507153,11655382
69,5989.321911997839,11431158
70,6459.125247089217,9349335
71,6159.72634119623,10001537
72,6057.107309446492,10318732
73,5967.581786949682,10700856
74,5930.7117706994895,11006880
75,5906.530022074615,11339919
76,5953.658162179941,11387932
77,5999.43551627618,11381710
78,5984.770348482846,11442041
79,6015.438473713019,11518214
80,6051.265950270633,11555162
81,6091.034786295728,11579522
82,6118.5067815720395,11654540
83,6150.471114703623,11686888
84,6174.778362932739,11791991
85,6221.276248178773,11810451
86,6274.775268652541,11825547
87,6287.9018720848135,11872447
88,6303.327260083429,11971644
89,6336.431109093645,11993075
90,6381.758770498026,12015508
91,6412.671393185602,12104940
92,6452.060845337164,12182995
93,6493.090780087654,12183232
94,6488.809747152512,12259699
95,6525.263355073203,12306058
96,6582.535838914052,12382873
97,6630.749809016611,12340706
98,6626.777763616619,12386464
99,6658.14976700533,12506551
100,6663.363247173178,12544390
101,6713.8221682593285,12608358
102,6720.416210319719,12652198
103,6756.090041287272,12691485
104,6780.946956916177,12751941
105,6800.326359649915,12791655
106,6841.183298553826,12809503
107,6855.220605788749,12809774
108,6855.988929602131,12870714
109,6862.782510706228,12947531
110,6919.5672231046465,12958958
111,6932.297367689012,13021011
112,6954.9887788740425,13053486
113,6968.583979978689,13040184
114,7007.596899695359,13015983
115,6957.764395311512,12995103
116,6989.009364570375,13032701
117,7038.1392321754665,13038866
118,7027.412878319731,13127493
119,7022.745637369596,13170131
120,7054.148005007059,13194416
121,7085.754762669758,13238100
122,7084.734303141389,13232515
123,7098.098736656558,13271885
124,7105.382466579902,13312763
125,7146.115853774743,13355378
126,7169.917542644067,13406613
127,7188.2118327240105,13436465
128,7205.813356114953,13443140
129,7199.37774143432,13502947
130,7250.368127442492,13520746
131,7223.577490833545,13576735
132,7251.628153991344,13590079
133,7268.250029190183,13611564
134,7273.906509745089,13649308
135,7285.650126650558,13684339
136,7336.655773445989,13725721
137,7340.708879145451,13754194
138,7323.024470384519,13844260
139,7364.810093081268,13868584
140,7408.808354644805,13856584
141,7426.092950960502,13892328
142,7466.768169542126,13908070
143,7483.911701797707,13964477
144,7509.898972523569,13990810
145,7547.106342150169,13941385
146,7555.670056775001,14023042
147,7549.846031226975,14042540
148,7580.831732015873,14082034
149,7567.016879613253,14127555
150,7572.733883415685,14201676
151,7619.873833240746,14185655
152,7607.846869284681,14272874
