Period,Total_SIPA_income,Total_wage-earners_SIPA_contributions,Total_taxable_income,Total_gross_wages,Total_SAC,Total_autonomous_workers_SIPA_contributions,Total_Monotributo_SIPA_contributions,Monotributo_integrated_tax
49,18000510.618866924,17348424.30444457,61294383.30951529,61294383.30951529,0.0,371077.89296807896,186193.97136213633,135449.21441735057
50,22157499.23417875,21420846.35792557,75698211.0792046,64884180.92503252,10814030.154172087,449590.5922205059,181303.38435102563,151084.1424023526
51,20233959.36158491,19481047.90187052,68948168.74441566,68948168.74441566,0.0,479075.4446733328,169295.89556962048,149343.0278163347
52,23711099.340711977,22929508.170545243,81128439.10429505,69538662.08939575,11589777.01489929,516987.6808781665,162008.72253142958,146563.95251020606
53,19318558.809496153,18652836.713431463,66019109.63408202,66019109.63408202,0.0,425976.651435597,141481.17696988164,140377.52522743883
54,22035975.679342233,21394352.295785464,75696584.20685326,64882786.46301708,10813797.74383618,415298.32174647605,127089.69472122662,141764.8101272321
55,19225382.571486942,18603741.72087697,65799884.388200484,65799884.388200484,0.0,399075.4043571422,121633.12177446175,144189.03496910015
56,22564836.90544789,21903346.74328801,77437977.02865374,66375408.88170321,11062568.14695054,439140.63137914106,116461.81036237662,151268.17202623
57,19510720.9348717,18772632.052200217,66351902.70836513,66351902.70836513,0.0,413586.2583366249,238137.82332683867,123378.28715431107
58,23339052.65636405,22600878.13666446,79882706.22117417,68470891.0467207,11411815.174453449,415889.73563996656,230582.91289528285,131002.67309190419
59,20676340.335843615,19987346.554326944,70658358.73833238,70658358.73833238,0.0,367663.6770837268,225108.78577444132,137459.0266550119
60,24442783.390504,23718443.39561915,83772244.52373704,71804781.02034602,11967463.503391003,396743.97044937994,227007.35824403798,143698.09455918183
61,19425279.396377627,18694163.078190655,62655549.61023292,70961222.62144609,0.0,385120.3230935441,255380.6717736086,129450.46188545768
62,22128007.929654032,21409449.665646918,71778714.40573132,69714099.34867379,11619016.5581123,396657.89790011564,234931.1646443492,124241.71637521734
63,18144968.40479221,17507481.764218923,58906927.62395726,66038620.56983441,0.0,349907.5887047311,208838.90755034715,112485.92045458386
64,19836641.303506143,19240579.554901697,64744975.42964039,62201099.77860499,10366849.963100832,316139.7211679698,201450.04886967075,112102.82652400523
65,15838280.482321568,15266786.477772238,48722220.7070428,61869622.94193184,0.0,293358.55623083265,200443.79604982922,110988.07466952733
66,18778360.11881091,18212473.001859244,58758310.16982205,62353425.07476975,10392237.512461627,294460.18687452405,196186.53847738603,107486.2737139363
67,15860188.871891543,15266336.833421774,49437145.1843315,60559005.79248422,0.0,310256.12975846545,207049.28370551908,109352.32143683502
68,18033810.268238362,17429822.59177958,56931853.53480787,58594550.28986359,9765758.381643932,322286.8045812597,204810.15850469828,109843.87624688786
69,16519043.637938993,15951956.507081069,52153431.863330066,61546204.733178176,0.0,284732.01181881153,204516.20342393508,111198.45087882073
70,18695477.470103897,18107165.213835295,59341196.1545907,59695439.25684773,9949239.876141287,328881.851277874,200303.93470789536,84466.3861183317
71,16080435.929855643,15491618.055342041,50936740.06509748,59207421.28258032,0.0,323146.0458206968,202753.31070770428,89883.5971217129
72,18794097.464060217,18214633.81228734,60028252.74318546,59530365.62412559,9921727.604020933,315847.2830438756,198460.51497054924,93079.79108349566
73,16465853.020153899,15859907.759925481,52514516.12618609,60092991.574397795,0.0,340368.41466262995,198725.1328503656,95502.44673632109
74,19333992.317068372,18736751.159479935,62094900.50793575,60817537.0059052,10136256.167650867,327730.99443251145,201939.712445492,96529.21530061196
75,16970963.284506936,16379772.519177737,54507008.43318592,61650326.07883331,0.0,327915.1476918845,192269.5620298356,101437.22229639262
76,20088931.06126446,19445014.345835727,64738096.28132773,62681000.35178698,10446833.391964497,369347.19821471185,207349.2324951028,96028.97816987301
77,17583450.224224016,16970685.22546298,56719169.57357997,63381322.34652703,0.0,342367.6143751172,201147.63373804858,98928.2152112361
78,20455949.051616736,19796332.766350158,66144380.09396049,63462268.3590684,10577044.7265114,368110.83965756756,223230.68908923902,97535.36645682299
79,17943080.550706524,17319986.955809567,58126881.05814118,64324010.91181747,0.0,337398.0892820107,214359.74597948891,101908.22805065905
80,20986930.519804046,20300032.934872057,68023342.09367894,64786416.24294354,10797736.040490592,386478.3719375386,229409.04182382172,101443.10167232592
81,18393728.696834613,17701209.914479855,59566931.12111238,65428589.49611545,0.0,397400.64573678334,223436.2069012988,102402.75673810294
82,21493228.07725589,20775815.149987414,69791447.3843783,66029992.43826428,11004998.739710713,405235.22862473165,239915.16058839715,103232.1972219271
83,18883279.416877653,18176374.533377577,61339960.28085286,66857888.32860309,0.0,397665.77781134925,235418.6362700152,105457.81345531282
84,22129217.59124291,21364634.063408755,71923328.51632105,67704116.4930318,11284019.4155053,438974.11141671543,253215.8370381278,103419.39911329764
85,19440054.437478453,18706106.800570935,63282468.219817415,68614474.45612459,0.0,416251.15887953795,243829.16364803683,105524.73482849008
86,22787251.26267504,22044671.98550983,74336860.76473953,69705995.6507529,11617665.941792151,420543.9303854779,251402.70840566725,100903.76910580618
87,19875509.12477476,19143726.267442178,64859949.51812979,70047676.27856906,0.0,410718.5711942423,247178.4975279796,105551.12658623117
88,23231953.4665852,22451494.60161899,75803849.91296166,70799750.04808824,11799958.341348039,445402.16378162435,260596.8059715863,106371.27887571036
89,20316052.227972697,19544035.965728585,66317429.1448869,71323429.7101672,0.0,448360.1488291725,249615.01025132468,105773.00451945365
90,23692971.7205609,22854993.85383699,77246370.1146479,71897023.489328,11982837.248221336,507247.95320975134,257917.86829275358,104017.20745915978
91,20826694.77824826,19979206.32501329,67891715.76430821,72707198.59843726,0.0,514773.7725169287,257166.4433565393,107926.05337357771
