Period,Mean_real_labour_income,Total_workers
49,6414.7890469953145,10914398
50,6778.902251841578,11021763
51,7092.02100217064,11059493
52,7113.981644337271,11048388
53,6705.54599729676,11064497
54,6521.173218658062,11128156
55,6554.019645355732,11235296
56,6660.184252920495,11156745
57,6744.034291296752,11057148
58,6741.661752525871,11247506
59,6886.429210692843,11410134
60,6890.545333957753,11521898
61,6808.849266392205,11482379
62,6723.171806475362,11421402
63,6342.540756138128,11521980
64,6004.755043155399,11538154
65,5984.66038142344,11452346
66,5961.578262800455,11487356
67,5872.634277619743,11551134
68,5678.463071945777,11654899
69,5989.567645486272,11437715
70,6367.179649416062,9965526
71,6182.638909861839,10050742
72,5929.142923197934,10346036
73,5831.153243860751,10728161
74,5794.820375923379,11031977
75,5771.060803212264,11348808
76,5824.6455727047305,11396918
77,5854.4745886791425,11360216
78,5849.013415332322,11447747
79,5854.817587679752,11509117
80,5901.554801576697,11509874
81,5912.340667569974,11580996
82,5920.696770606276,11592346
83,5935.86300834949,11669479
84,5964.986669251673,11701501
85,5996.644385894383,11729982
86,6029.660858881793,11717727
87,6036.055608153469,11804993
88,6056.5128435935,11880103
89,6082.105517795088,11795720
90,6084.195152437115,11836383
91,6060.293157487664,11881167
92,6100.180453644119,11944994
93,6129.054243498116,11919454
94,6135.597699298769,11975986
95,6145.867575393956,12039208
96,6134.6710008299515,12116027
97,6131.481941741016,12121310
98,6138.797836413729,12179000
99,6142.686005336866,12206187
100,6158.495343298154,12256689
101,6206.224445246459,12316657
102,6192.002693959395,12347143
103,6200.21822722889,12371972
104,6214.436917179389,12385115
105,6226.938978864681,12425644
106,6261.404535635768,12455407
107,6248.703712531746,12502187
108,6273.585511775466,12539750
109,6285.51938374931,12579585
110,6299.734829609968,12644568
111,6325.117248282105,12604689
112,6329.485813255497,12632783
113,6375.315330710915,12579115
114,6376.92506427335,12590206
115,6359.292243073501,12624105
116,6365.915410911026,12690846
117,6362.43266068897,12637141
118,6373.27211003976,12619311
119,6376.548906500079,12636742
120,6402.0163490658615,12635212
121,6402.068066772498,12737289
122,6399.548958361556,12788349
123,6449.177368200618,12821009
124,6448.526815590728,12852100
125,6449.940006162744,12846258
126,6483.973521825219,12898963
127,6482.6946313872195,12898527
128,6495.110799848531,12894820
129,6495.092235580024,13025944
130,6514.621652132622,13054958
131,6519.699709468028,13062174
132,6518.933086222429,13011882
133,6463.1371696333335,13164094
134,6491.549535774784,13109818
135,6494.386295545708,13181754
136,6538.30042999306,13120683
137,6546.161977787204,13143165
138,6579.14292398152,13167127
139,6583.116526075086,13212005
140,6585.927119501007,13227375
141,6607.930081158899,13196817
142,6622.980603262868,13219473
143,6617.207996870882,13309003
144,6642.435372621743,13256406
145,6641.7502106114525,13230898
146,6642.649586253421,13227633
147,6635.759241376268,13253952
148,6660.456463638902,13304605
149,6658.180836227306,13313587
150,6639.575030089628,13379202
151,6666.937659648164,13423901
152,6650.464511340247,13421289
