Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
49,999473,1179713,1010319,991855,865363,807519,671266,644422,543087,516295,423509
50,1005404,1177352,1009203,1008087,858846,809959,683405,640597,556282,506288,427695
51,998203,1194447,1013410,1009334,855600,816237,691927,640175,563286,507644,417309
52,987674,1204880,1020799,999723,855367,838138,692054,631587,580266,504050,429069
53,973792,1228502,1026810,992591,864367,839731,696372,635673,579509,505367,436447
54,964182,1250129,1011895,993004,883401,838417,699498,638364,584359,505085,438543
55,957440,1255347,1021629,996309,885384,836345,717387,642655,574249,505471,447170
56,950932,1275810,1024459,991439,886150,861393,717779,639313,574143,510312,450013
57,933540,1276709,1041685,983014,906160,852266,727009,634724,579497,513318,457703
58,958641,1256827,1067233,978605,917807,851978,735605,636255,579923,511943,462898
59,953150,1263383,1082464,966656,936967,844565,721725,660722,578094,505597,468485
60,945823,1262413,1100612,969125,927738,835600,751035,646358,591608,507968,464712
61,948599,1262870,1101185,972968,921141,847158,758218,639176,598365,519772,464245
62,939873,1261919,1103365,995563,926795,838554,772388,630737,611613,515519,468740
63,951530,1260088,1123610,986800,941267,842804,775321,631895,610437,516069,474751
64,933221,1261601,1133961,970669,947978,857553,782118,629036,613621,515178,475183
65,945354,1245943,1147796,975544,956044,849944,791406,633969,621051,507785,481650
66,921053,1249304,1153756,974862,958778,853723,798613,640132,625337,506152,479157
67,918573,1245807,1162432,967519,981170,853731,804059,640134,623438,515514,479398
68,914925,1240891,1165823,975740,997045,842470,812913,648390,622770,514107,478096
69,906236,1239139,1171294,999442,986305,856552,801452,661601,624309,514580,478457
70,911216,1236721,1170940,1000525,999909,849655,803387,672537,619793,527185,467041
71,912693,1224957,1187294,1005991,1001087,847667,808076,682086,622666,532192,467926
72,885893,1228394,1199785,1013703,995298,844046,830896,681398,611830,549387,466423
73,893267,1196560,1222855,1017680,988438,855235,830482,684077,619028,546316,469239
74,873395,1213524,1242720,1002708,987060,875623,828996,685086,620460,554258,466768
75,873353,1200791,1248655,1012556,990715,878873,826142,701940,625529,544896,465978
76,884510,1175735,1271092,1017446,982654,879101,851568,701033,620986,544989,475861
77,879509,1165024,1271970,1034378,974793,898611,842776,709151,615255,554352,478164
78,878767,1168559,1252650,1059802,970384,910319,844148,715136,616939,556136,473462
79,858056,1185945,1259101,1075235,958435,928781,836354,702272,637120,552197,468263
80,872309,1162802,1257994,1093782,962808,918114,828078,731599,622718,565255,472439
81,861094,1177798,1256139,1094593,965449,911200,837170,744395,613421,573367,480067
82,886854,1147925,1255234,1099238,987706,915552,828588,760676,602663,584935,473783
83,883710,1142387,1253054,1119867,978474,929872,833671,763627,604757,583560,473619
84,883097,1141165,1255961,1130285,960595,936805,848825,768688,603245,585562,474392
85,889156,1147222,1239150,1144120,965470,944842,841500,777093,607885,587482,465520
86,894048,1145852,1243081,1152908,961732,948951,844355,782814,613041,592000,462848
87,888317,1143755,1240340,1161191,953014,971080,844845,788508,615078,590107,471779
88,902413,1129726,1236066,1163940,962570,984365,832428,797098,622023,591981,468249
89,900377,1119886,1233728,1168423,986893,975615,847460,786029,634599,591537,468527
90,895086,1124098,1233703,1168026,987976,988256,841482,788863,644248,585899,480918
91,897773,1115183,1222291,1184324,995189,990667,837491,793325,654566,588485,486677
92,892422,1108688,1224013,1196710,1002901,986133,834323,815644,655807,576381,504799
93,908725,1110461,1191382,1219836,1009529,977218,843843,815685,658847,585045,498299
94,909342,1088851,1208768,1238351,996226,976475,864710,813184,660413,587769,501910
95,907737,1091810,1195664,1244286,1005892,979089,868748,809580,678243,591071,493934
96,909947,1090326,1170729,1265227,1010855,972347,869190,836515,676827,585977,495058
97,907750,1087990,1160298,1265970,1029425,963709,888137,826715,687986,577049,504580
98,911944,1092623,1163686,1246184,1055843,959051,898948,828286,693107,582490,506515
99,909591,1072753,1179052,1253267,1070897,947102,918290,818273,682124,603321,503575
100,923241,1088890,1155731,1252087,1089210,951394,910868,808011,710109,590942,514899
101,909010,1088773,1171298,1250538,1090021,956489,904269,818970,720502,580886,522671
102,901293,1116262,1139752,1249724,1095075,977745,909849,808665,738120,569219,537420
103,913057,1110258,1136306,1245706,1116171,968027,924487,815825,741637,566925,535088
104,912548,1115211,1135198,1249547,1126214,953372,930267,831809,744284,568045,539831
