period,Total_family_benefits,Total_contributive_child_benefits,Total_auh,Total_spouse_benefit,Total_school_aid,Total_wedding_benefit,Total_prenatal_benefit,Total_pregnancy_benefit,Total_birth_benefit
49,2737096.745176696,770611.7410995201,1347875.4839543372,183921.70934365602,339023.81291969103,31526.382342143334,24381.451900467004,31658.693549067,9202.303247136999
50,2477513.34209857,691329.699045858,1268052.485291977,184400.120216088,245542.076510574,20998.508454325332,29210.906440292998,27931.670891942995,10914.713202127003
51,2927366.5333140455,912997.332974038,1553766.712847811,353703.08452857705,0.0,3427.6882918663337,28998.129228042,68274.63585119101,7636.064949142
52,2754580.1425625435,864370.09520971,1447502.0563293179,331894.118616572,0.0,7651.382300400001,38305.637470551,55412.59808267699,10193.263055688667
53,2793778.1620351453,649698.1099658271,1255776.5178482041,283752.800173221,533660.15763522,2963.3455175473327,21030.74337612,40287.00012805801,7094.186066144
54,2830676.326705638,1173830.8975290312,1280816.271301971,283702.32106802,0.0,4262.279894883332,40692.499426161,41562.537088731,6701.737103001999
55,2475137.3679349264,910915.359015273,1194837.2530344739,265598.727510378,0.0,3313.7921946700003,44196.97787250001,50876.20465239601,5879.9415551873335
56,3909362.9229930514,2134717.750525238,1258569.26496039,345460.10190540605,0.0,6017.208368052,88039.777335438,63419.97443886001,13138.84545966767
57,4294933.978199688,1857924.2596071677,1245413.3211866398,324823.887733482,747754.466409171,6297.419585434,72837.40134196199,29931.682163453996,10587.625763729
58,3924676.33154631,2203513.744336611,1229427.315063586,357655.9464558,0.0,9689.783625837334,65128.435825923,51012.054081384,8776.097930816668
59,3606463.3388831955,1935268.314968462,1167379.878848382,344558.31228830694,0.0,9488.367280345334,92645.673142566,46384.22332845599,11243.452566245332
60,3997936.8903006334,2238368.150315258,1221254.232239496,364008.98396459996,0.0,8917.180254700666,92886.163934358,61169.83843627801,11877.81632431133
61,4262271.263058773,1954409.2392928998,1096879.184500792,334345.80716439604,750290.5924413666,6801.068375660002,67027.61416551,43265.30642280001,9252.450695348667
62,3604709.769264406,1939014.525084023,1220098.278722202,331051.85901566397,0.0,7331.149729908001,55374.125696451,42993.79946110201,8846.031555056667
63,3296148.0708655072,1738267.970381718,1121604.926761135,318763.9960701,0.0,9203.883655849999,57851.243958941996,42168.98971796699,8287.060319794666
64,3042878.918216114,1589041.3435111619,1056801.456635414,291226.440883344,0.0,8447.414458596666,52768.293065154,38736.628996253996,5857.340666189666
65,3524319.292100915,1537605.566738883,967216.2572835648,288204.904873288,624715.3650849819,5690.989961657667,58290.432576072,34329.878351055,8265.897231413333
66,3284098.8652534964,1612113.99666642,1278146.08745,295867.86518119404,0.0,4983.664789128,56341.950291122994,29115.225098021998,7781.9118776099995
67,3178807.4386899695,1581693.7414635958,1202785.0434,300370.28303841,0.0,6212.780023273334,36492.942224160004,44634.632148882,6848.791471647999
68,3356048.0000768458,1595193.7090154253,1353492.8917199997,295712.603791501,0.0,4756.023213261999,54136.975451121005,46183.50679536001,6827.700370176
69,3817390.306924427,1529384.1875296894,1260901.8106658447,292127.81684391,625947.5923674133,6902.506823718667,60489.995148794995,33988.252388499,7944.451259477334
70,3065448.6913291574,1755810.644537553,901170.308908296,310976.54643132,0.0,8336.75314406,54911.90190723001,27869.388046812,6922.221532559999
71,3072463.0657795025,1747826.224043802,913522.433549553,305946.70440383395,0.0,7033.123821985333,67663.125991374,22711.556355572997,8393.293951410666
72,2952594.8118803175,1666959.4808659311,881301.4621893131,290701.9137317751,0.0,6126.630394993,53512.74558144301,48246.42414913199,6360.679311280666
73,3176795.1049909927,1412398.151749093,834421.011329376,264473.60080355394,558724.3786066027,6113.126303988,55889.409059862,39370.011041106,6670.394455235333
74,2985705.7579363226,1642758.695043179,949344.365682405,285485.135285568,0.0,7283.543397892,56712.769353587995,37348.657421355,7384.848249600001
75,2678262.0585800475,1436113.253713758,876165.68119232,259792.692493082,0.0,5354.870154991666,52619.252301696004,41447.834010360006,7337.5131065000005
76,3334739.8079668535,1884791.8264299412,1020682.0003263701,306669.932760834,0.0,6551.134707755333,68294.766601713,38752.59553050001,9653.73702011
77,3571818.2017119774,1608903.361917918,952390.399113669,283523.074430336,639601.2177702021,11639.451109197333,44216.887245768,26546.892752567997,6170.475302079333
78,3356835.737470019,1913656.4877318721,1021855.51051044,310224.980169492,0.0,7822.938802033666,62076.593288283,34278.085944959996,8435.101629391667
79,3015705.0369408545,1655250.923576337,950817.1098136259,287290.29291793494,0.0,7727.872221863667,72617.45448353699,33399.747027909,9228.632799893334
80,3377732.7091876967,1936563.7570008421,1010283.867413964,315531.53500626003,0.0,8685.711353024666,63924.394000955996,34524.356641631995,9646.551039814
81,3662765.1159492866,1619402.5968078491,997492.679161932,289822.590636419,649436.9595133853,7748.842810555,52493.47459769401,39635.160936768,7728.793536302001
82,3516615.554798662,1920664.8931405682,1146781.4368912443,323884.94635843195,0.0,9612.165624943002,60538.300799922006,47348.04621792601,9083.611644720997
83,3218188.11684259,1744591.420527369,1061331.324845981,298970.94540397497,0.0,9491.533134002664,51371.908385418,45235.811488515006,7684.465399695333
84,3604639.1493059522,2061628.601342744,1076876.158909805,330733.595855968,0.0,10211.800192151999,82597.525824327,33211.825301339995,10909.871418441333
85,4026908.3096753205,1825174.099371451,1060981.891230268,308679.561059786,714539.52781708,9575.169171773334,64358.98266289799,33801.597574038,10311.573522412002
86,3806680.264096158,2139481.30124602,1190563.149499248,338002.9694114441,0.0,10337.52928922,65874.033052686,53371.75405464,10631.231516453336
87,3509291.6172488267,2019033.263128055,1047645.2711615881,321667.178721295,0.0,11658.745101640001,67839.834522174,31767.996291768006,9758.383740054
88,3860437.851003813,2251817.508817525,1119395.7300521699,345136.60317660304,0.0,6802.460964207999,92769.25980330899,32321.170100835,13744.295501276667
89,4345693.093514119,2063586.324062014,1056992.46199923,329351.284424048,773881.3718692,8246.705281328335,81917.726871186,20760.7538169,12408.421564416332
90,3981293.3687667656,2391112.838184326,1098965.157563664,355376.90114597,0.0,9115.919199216001,83804.956945674,32601.510548856,12128.000702735335
91,3745726.231780272,2200536.240199402,1063975.105391958,343653.646128597,0.0,9905.73056425,81772.571109537,35236.864762403995,10935.195879328
92,4057510.554851009,2517163.003080452,1030638.0767313261,368865.114037945,0.0,8006.184489216,87142.79999624101,35370.045689004,12180.710788310003
93,4743375.438749426,2283679.248855764,1126197.7667651318,358053.161190748,845912.95219844,12628.364399409335,78359.336093286,29734.487950884,11144.440036828
94,4224864.088029412,2538686.5662724935,1172221.206063296,383560.764366036,0.0,12056.979441413334,70800.880599009,37743.080177082,11962.158105568
95,4111213.5289018457,2423979.611710349,1149536.108467762,376174.46329003194,0.0,9000.567591946667,83947.176366441,58348.980832158,12057.312702232668
96,4303536.284450187,2569363.70180001,1185050.0586629761,393455.59482144006,0.0,10522.799048079001,86456.075613975,51327.661720895994,9799.839395316669
97,5149929.926185724,2575575.60936999,1110403.7177471882,383062.38009211194,899848.2367337856,13559.832836960666,100853.14426134598,56554.874220132006,13039.93768451
98,4359083.171287796,2641968.792724738,1172321.67440664,391698.080713388,0.0,12654.56793087,91127.45248044601,40602.024555047996,11180.118997934334
99,4271146.299042806,2643238.5854853266,1085910.789115024,379442.3873233,0.0,9980.969118927333,104922.054974262,36321.97255724399,14023.293769573333
100,4392909.616624894,2724745.6073695007,1125973.606857,392945.50504834997,0.0,13478.073375042999,83124.305862411,44058.261427125,11527.701795437999
101,5178681.953168842,2689370.146672647,1013198.1542231641,382573.15095607995,895111.4369338633,14452.986166163999,110442.65218784401,59248.672552524,15653.506409916667
102,4378095.5769317215,2728912.864143368,1071487.599455693,395758.183285854,0.0,15013.339834932667,103676.821529196,49879.867175271,15390.855028995666
103,4264045.0067373505,2597518.8326389883,1080645.670124832,385768.024309538,0.0,9687.106595019999,127075.74273668701,45646.729921242004,19561.997842631998
104,4308602.023203486,2719321.054465441,1017682.04305899,396285.48491765896,0.0,13258.62019383,107856.33213609901,42641.061897654006,14338.648237999998
105,5103451.976142033,2612285.470393612,1035988.7316467849,382927.563582534,893868.1665355533,16029.335311969,96006.133386807,53400.689885340005,13815.462136693332
106,4406182.596024296,2744645.017132677,1077322.3344915782,387563.4269471999,0.0,10463.620303153997,117165.783264894,53226.458327363995,17995.39981382
107,4236264.745681087,2654987.3221584987,1008504.547572969,374574.88728764,0.0,15324.573127112664,114921.410463822,51672.472523301,16875.299624689334
108,4301682.207252273,2678270.8336108,1088003.449423336,379689.885532023,0.0,11439.124009866668,93210.470651367,39329.00610126,13249.866462883667
109,5071524.453959245,2557121.81675692,1065923.407456872,373391.95408352994,882286.5887379666,9808.011302343335,118517.020180611,48703.850556624,16326.643648556998
110,4278691.6074495,2608767.0443718266,1129618.168784976,378172.68257366394,0.0,10365.287205638668,102844.38272304299,36127.586602692,14155.71612942
111,4210383.853798604,2552117.966889198,1091021.503325776,370090.80447242403,0.0,17751.581055237333,122743.33981237498,37044.080396166,19435.732674064002
112,4227800.474152897,2544258.7623869707,1160950.3244308252,375479.77568199,0.0,10977.28159616,92489.159502543,33521.649382200005,11553.496934211998
113,4977137.458234696,2473042.8204586557,1106503.56983892,367294.89289289503,876529.7131149812,11124.016461108999,96181.65864809701,32927.14378107,14145.791721819998
114,4112259.1084993356,2525456.1338764913,1057647.682283112,371663.741733924,0.0,15716.190802898665,77319.17771379002,49889.61884451601,11532.028878384002
115,4081350.9110043007,2503339.528462875,1021522.7811972819,363335.124386304,0.0,17457.393498808,117124.67575887301,37498.332696981,18704.962631249997
116,4136105.9640879384,2636651.5854153847,971473.7373336051,370938.19344465603,0.0,14038.603950400002,93983.33883951599,28227.050350817997,13712.529789272998
117,4823336.515069032,2528414.978265419,941459.968556614,361493.222732708,837476.7695390102,15459.529984014665,74625.798866736,52237.801045515,9666.53465825
118,4091064.9102684543,2600577.9203156726,970245.172540644,363892.70595787995,0.0,12458.734689742,80954.940763272,45117.153927846,11208.611669169666
119,4041119.1050442127,2535234.75476397,973475.252189601,360510.518130906,0.0,11816.23570734,99019.60848298499,46778.32115793,14282.41294884933
120,4066723.320122068,2600472.680668353,940967.5531464451,361535.532771306,0.0,10991.665911506665,95788.703574783,38561.528967714,13493.726117031332
121,4816514.916767333,2532086.070388704,957140.245736928,352357.80131195305,839707.86280656,13049.154730901335,59652.23542645501,47570.343620184,10092.941299488
122,4088179.0676521007,2544391.351014814,1005487.8440151081,357425.51351444004,0.0,14644.223148218336,96650.490847386,55838.814645476996,11710.977448666667
123,4035689.9895227086,2556330.007810108,940094.8811807961,348190.7049489,0.0,14886.253373075331,90498.252793668,65327.22482518799,14110.996184066667
124,4143886.3645902327,2595819.3701191638,1034046.1852058679,352993.875956649,0.0,18826.75217265,80950.004888463,39920.69840457901,12992.174350912
125,4856206.5308203995,2568703.9232199593,939502.9822760099,345593.955375156,850899.061927761,9780.94931844,77520.127786266,43245.493831709995,12316.944289459332
126,4158830.3157653953,2679160.2040822525,942881.0072164341,347213.79294688796,0.0,10646.304698453332,116018.128146141,35438.662341225,16936.01732656
127,4027167.5319125406,2635317.9830163787,888909.6899942999,342207.5541624001,0.0,9963.879020596667,96897.309646899,46602.909079965,12486.684861490003
128,4138340.3842282146,2731462.0163430143,884232.0846261949,352979.44182830397,0.0,15418.618622749998,95129.75075917799,45773.056997570995,12481.368189095001
129,4825597.701568692,2619292.1285531777,881483.70292857,340976.766696788,853198.2440523799,14648.36862774,71828.21539703099,36961.829299116,10293.61978255
130,4117528.3696134347,2620165.5476431954,973790.1510865442,346328.6159348819,0.0,14470.442273877334,107704.82627046302,24239.488393296004,17362.339505056
131,3929543.6424867916,2514540.2521733306,931982.4117169599,340072.19266692793,0.0,11061.986220646002,86504.063931309,35957.081962608005,12121.309550414335
132,4066494.778050281,2634613.1528757666,903612.069219902,345756.136586756,0.0,19873.25551186733,98543.42671131299,36902.640883037995,14776.717647370002
133,4788308.752690711,2544629.5258612223,893436.203139162,339125.456733056,841434.4570337279,11746.706363334999,99211.251502266,39162.54161100599,13731.478249786664
134,4062520.1060092254,2641852.5248589693,883505.4325755829,342302.88078008697,0.0,16970.530016885332,111930.446302983,40243.15710499799,16676.785554708666
135,3895908.925143269,2528013.139192307,868250.8953525539,336008.60620265396,0.0,16015.436500074002,96375.31287098699,38066.025181925994,13122.635043024
136,3940545.7213850548,2493385.427675613,942219.706425894,342476.41955279995,0.0,16624.497724822668,101755.850819616,22722.871576122,14248.990545519999
137,4662216.975399889,2446997.8153636497,904938.90350139,333279.2504137979,824099.3357739949,18254.702451768335,82024.064215545,31084.398884835005,14237.626351071998
138,3982552.7295167116,2571610.9777056216,889675.0363110959,341099.90349283797,0.0,11074.717940053333,101116.079981994,47940.30705630599,15282.683461864
139,3829043.241751315,2440623.5561347953,906004.659791322,332910.08483955293,0.0,16184.088104716002,70938.363795753,41392.20609494101,10408.367003391999
