Period,Mean_real_labour_income,Total_workers
49,6414.7890469953145,10914398
50,6778.902251841578,11021763
51,7092.02100217064,11059493
52,7113.981644337271,11048388
53,6705.54599729676,11064497
54,6521.173218658062,11128156
55,6554.019645355732,11235296
56,6660.184252920495,11156745
57,6744.034291296752,11057148
58,6741.661752525871,11247506
59,6886.429210692843,11410134
60,6890.545333957753,11521898
61,6808.849266392205,11482379
62,6723.171806475362,11421402
63,6342.540756138128,11521980
64,6004.755043155399,11538154
65,5984.66038142344,11452346
66,5961.578262800455,11487356
67,5872.634277619743,11551134
68,5678.627850507153,11655382
69,5989.321911997839,11431158
70,6459.125247089217,9349335
71,6112.815507872178,9854244
72,6073.852838803921,10376389
73,6066.192870938213,10813814
