Period,Total_SIPA_income,Total_wage-earners_SIPA_contributions,Total_taxable_income,Total_gross_wages,Total_SAC,Total_autonomous_workers_SIPA_contributions,Total_Monotributo_SIPA_contributions,Monotributo_integrated_tax
49,18043144.0904716,17405506.2854731,61542304.1459164,61542304.1459164,0,364695.460487578,179810.780266655,133045.091777586
50,22277539.8995703,21584807.9443124,76314324.9548439,65412278.5327233,10902046.4221206,421602.260497036,173537.254977465,139417.771119178
51,20171412.2166204,19514908.9400945,68983481.7043661,68983481.7043661,0,384609.217745639,170548.660329114,144779.140644521
52,23528444.5402758,22852455.6495537,80791205.6838664,69249604.8718855,11541600.8119809,411868.751808264,162868.753854648,144644.835798782
53,19153281.0629158,18535204.4503069,65547035.8377368,65547035.8377368,0,379107.181250302,141448.488340624,139315.632882832
54,21857213.2641064,21254973.6813816,75103390.7153397,64374334.8988626,10729055.8164771,384130.413372021,123317.249522824,135417.02832844
55,19215169.9458099,18628180.2423709,65830840.2204289,65830840.2204289,0,370054.163794967,116388.261381319,143638.968946757
56,22585007.4703965,21952588.5080313,77594762.9305608,66509796.7976235,11084966.1329373,418867.570650581,112379.676577497,144531.021624542
57,19533783.8584636,18856350.4870442,66663600.8016685,66663600.8016685,0,352470.356320033,239320.285491821,122346.756582245
58,23184198.0928763,22502728.8694427,79568763.1096815,68201796.9511556,11366966.1585259,357180.114727404,233537.954811137,129644.505564317
59,20542851.5621216,19859905.1784969,70211018.8174341,70211018.8174341,0,351626.063081105,234302.016710924,138597.576903819
60,24252373.7599014,23556085.1764092,83167858.0389435,71286735.4619515,11881122.5769919,372696.411100762,225492.026773178,140143.065168911
61,19363802.8731975,18670841.0166333,62590802.6432059,70820906.7970745,0,350440.335628768,255764.752266503,123938.240955641
62,21991144.8761269,21312057.4176784,71418574.8103526,69295066.1870075,11549177.6978346,349684.230180864,239666.738849377,128194.98488325
63,18235645.224442,17614504.667947,59281129.9217306,66350999.5900199,0,324246.403842558,216427.814889664,114951.911089814
64,20080887.7929642,19501748.0655984,65645556.2071453,63033393.5080475,10505565.5846746,295359.784554806,204078.725928555,113858.881260517
65,15939455.3253429,15357245.5663204,49080278.7911712,62188419.3050693,0,305464.811761156,200028.435130685,109595.017329619
66,18843330.2723496,18269428.3617258,59036784.4281593,62493873.9685375,10415645.6614229,299865.937763691,198568.503396831,107810.670661791
67,15786819.5136424,15165167.767607,49205364.942853,60159533.455584,0,335910.235010654,208209.967682039,110759.347632462
68,17918399.3318476,17277306.8016746,56556860.8841599,58136644.9832002,9689440.83053337,361949.543557869,203390.012379379,108218.534622524
69,16434641.4004198,15807385.658089,51729296.5598978,61104655.1626774,0,339999.517263008,207299.45260985,114223.960654247
70,18373368.2973328,17779890.3012971,58340675.6598262,58668905.4925863,9778150.91543105,336067.791509227,199159.097992466,83215.8664771378
71,15655197.28434,15030155.9050472,49461118.423773,57480211.9009685,0,362817.265601395,203015.358322382,84583.9362415247
72,18865848.6248469,18253959.7698214,60220429.9231741,59649638.4611279,9941606.41018797,346399.372417591,201429.118770191,91514.8054824359
73,16677285.6017938,16076962.8297725,53301132.3527088,60867619.6991625,0,325748.29106757,205034.868688734,99342.303235606
74,19680899.2226892,19089105.7662775,63346746.6660799,61896936.9704282,10316156.161738,324247.842959625,199531.404438751,97163.155733266
75,17301081.4415625,16732849.9469506,55717945.8361755,62881452.3794821,0,306914.903345739,190821.444968423,100707.351853887
76,20516350.2815001,19864709.4352959,66183178.4614045,63956387.4815351,10659397.9135892,375347.833664211,209203.716038089,95841.8521455378
77,17849049.2200443,17203987.7350541,57572281.045725,64182284.4076456,0,366913.174703246,206430.963920381,102453.351952181
78,21096365.7525528,20385315.8702556,68188652.6259192,65276162.009599,10879360.3349332,416893.095158923,224691.198298233,99236.5554857354
79,18392507.7277261,17709068.3509478,59530971.4084069,65653889.7323819,0,398978.377499132,214322.519510098,100197.828241597
80,21367141.4366787,20650406.535338,69300916.3322681,65839367.0158575,10973227.8359762,412705.326335813,233713.596920538,100451.397263363
81,18758834.9029624,18044172.3319436,60834733.973802,66642576.0487373,0,415863.983581818,227093.080758069,102436.438112632
82,21869936.0748096,21102450.2399765,71009125.9842582,67078348.0230632,11179724.6705105,443883.956975649,249950.520254115,105216.225147748
83,19251621.9598119,18505375.913473,62550953.7296461,68088445.3241599,0,429402.057540067,242137.460756817,106723.611488606
84,22610347.794419,21838561.6030703,73616032.5895324,69196517.1248519,11532752.854142,449752.566490433,250106.276404758,102753.354933508
85,19855420.5255125,19123995.1391399,64783782.1212304,70129702.681094,0,421291.929671853,237880.272495597,103218.834578653
86,23128372.1736535,22394852.5615761,75627134.2490948,70793921.3872597,11798986.8978766,403804.410961157,257519.054292463,103137.352605415
87,20404983.4685688,19680958.0646892,66818159.2685015,71954037.8228005,0,404819.293609638,247349.370849762,102652.484885901
88,23888232.6796374,23133511.8783871,78244433.7296677,72931889.4162243,12155314.902704,421463.347884828,261690.703483535,102238.21411707
89,20816627.7898465,20028099.3845778,68079422.910163,72986600.9089839,0,462610.150998258,253181.516717637,103909.625075341
90,24275627.4033178,23465326.1019452,79413373.7546503,73779535.0745179,12296589.1790863,459448.249845354,275771.839418486,107258.874441034
91,21323423.0459841,20549297.2479166,69953599.1422867,74702106.2170132,0,430315.918313077,267472.083060341,109053.995277334
92,25177670.4508731,24368544.9791297,82593101.0773393,76522535.3827909,12753755.8971318,456440.692899379,276486.427695095,108854.787355569
93,21943155.8887574,21171515.072464,72163761.0764587,76905881.1640673,0,420236.720126833,273953.92018628,110643.108543138
