Period,SIPA_missing_contributions,PAMI_missing_contributions,Obras_sociales_missing_contributions
49,9593.397904004902,2616.3812465462834,2616.3812465472147
50,9242.017551131546,2520.5502412179485,2520.5502412179485
51,13865.491692576557,3781.497734339442,3781.4977343399078
52,15151.459145586938,4132.216130614746,4132.216130615212
53,13846.158301401883,3776.2249912917614,3776.22499129083
54,12804.365430738777,3492.099662928842,3492.099662928842
55,15322.510502811521,4178.866500765551,4178.866500766948
56,14318.678138572723,3905.0940377926454,3905.0940377935767
57,13969.194267816842,3809.7802548590116,3809.780254858546
58,13241.297168526798,3611.2628641454503,3611.2628641454503
59,15025.649248767644,4097.904340572655,4097.904340572655
60,14155.266569692641,3860.5272462801076,3860.527246279642
61,1417467.082621459,132127.04399091564,498205.87889258657
62,1632628.8687759377,150818.95218630368,569759.4685445791
63,1212273.1781619266,113109.05902243126,427677.88389973715
64,1364571.959096942,127139.04562518978,478089.9868474342
65,2289424.593205167,209058.46726815775,790877.3186798971
66,2425600.286766324,221389.50990516553,837042.2083905516
67,1901015.0101003423,174340.69623503787,660793.6330064991
68,1948938.312741395,179276.82305849297,679695.268693056
69,1512684.226819193,149142.5060187867,565770.3034498077
70,1641111.9697475173,161839.6674115942,610662.7826143857
71,1291670.6155192442,126994.11627335008,483325.93201159034
72,1512390.0535760894,149155.4774757279,566392.8951801416
73,1212881.8240174018,121934.92035830952,460639.531419551
74,1438808.2855174243,145141.39506276743,545029.5979898022
75,1158213.5537387915,117853.25381487468,443436.52921587694
76,1381945.7082819752,140458.85314147174,528755.8813900193
77,1069570.5734651163,111150.66580068925,417188.16609707475
78,1318007.8827483654,136603.40999626322,511462.97293677274
79,992517.3531982936,105965.81727455603,395346.56529430766
80,1251377.7231343538,132348.29025026178,490975.8663951801
81,940106.3852560297,102769.44548368035,379655.5309480028
82,1202181.332106959,129387.57153042592,477486.6633048644
83,889475.1017792001,98658.22732217144,362847.1247353405
84,1175751.9035306126,127042.35389585188,469730.67078313604
85,851074.1251315214,95702.30799946701,353782.8645539861
86,1154018.3517563008,124655.68634807318,461658.5565251941
87,816065.1664413102,91593.43771346752,339706.89304392226
88,1133755.6794064716,122183.49491905235,450670.9247097578
89,787403.5322371796,89702.27879202412,327981.2442201376
90,1140025.3061170466,125150.7078802418,455118.6456837468
91,781637.5758008063,90414.63374193199,326299.1984910136
92,1111212.8266802654,122587.85891137179,443469.4753319239
93,743691.7416825667,87633.03411044227,312945.9322952153
94,1093332.8251823708,121109.11525786389,438288.6290628351
95,712873.2704214603,84680.99364696443,306760.1323117744
96,1097019.2758980393,122627.60780429002,445560.21667775325
97,714631.0058397837,84782.94914492033,307592.10690882895
98,1079624.1088580936,120186.07828629576,439271.1134512592
99,688019.9094304517,82133.23372909753,297481.61727233697
100,1081269.551174391,120192.44472598936,439466.1847952511
101,693994.0447316729,83151.94449914154,303329.6119881766
102,1094310.2697266415,121933.21058223676,446839.47912113555
103,691640.5272863097,83984.70329247788,303089.32440133113
104,1113485.0014062002,125420.42305821087,456649.3271893803
105,692800.1846272498,85122.41328317486,305838.51269956306
106,1115123.9307475463,126447.27799297217,459154.4613176137
107,685745.3744337149,85672.61998659093,305920.0242324639
108,1105684.4752012752,127014.9888981944,458266.9804674089
109,668539.554477714,85081.5013772482,301732.8474551812
110,1104224.880433157,129328.2132551847,461945.99172607064
111,673842.7947221957,86691.75455313921,307934.0530747175
112,1106152.2710730843,128919.54282404203,463672.3047743328
113,651623.7846516073,85565.61543119326,301459.3081025556
114,1118522.8364178017,132651.3902814621,469648.51404492743
115,662140.7811735533,87492.42657689471,304503.7570732292
116,1117978.8015075997,132137.1586492192,468073.58385137655
117,647426.1626637168,87779.16737724468,301747.83504505083
118,1133489.4107492566,135793.31806968898,474852.4647093583
119,655168.9835350141,90003.14842150733,307187.9314576555
120,1138283.8549350798,138788.67085208464,482329.55705831386
121,663010.5373144932,92222.65868796222,313077.356640527
122,1150328.5713881254,141418.01773797814,488412.8386340365
123,670401.135403268,95197.43995340541,314062.4697430916
124,1158781.79902526,143492.92990192026,487929.5640538987
125,647784.9819754511,92580.61365167052,305506.3687170446
126,1175088.6503319591,145392.10003819223,492561.6937096566
127,672190.4551282302,96283.2563956054,311336.47103343904
128,1191616.046691738,149258.797876399,497944.09459336847
129,662446.258057449,97494.49226105586,310299.13656529225
130,1201710.2735317424,151541.8183411248,501092.2688969206
131,644417.2438170277,96429.97494695336,305007.5970026273
132,1193734.6623480543,152950.45321047958,504738.6031804718
133,649404.3365108222,99788.34808894992,311363.0875772182
134,1192174.9033897445,155582.6738671502,508910.01445631497
135,629244.6507708877,99774.42982037552,305787.7979890406
136,1201097.5226987004,158035.29982221872,509300.6214989871
137,642326.8660625443,102194.87942779437,310119.7597890161
138,1184724.025019683,158222.2798033068,508735.254712183
139,628039.4075920805,102357.14564034063,308099.7344357446
140,1211136.4083846807,161750.72105211113,517114.10907606967
141,638690.5090166405,105032.9289401751,313666.6323852893
142,1247547.9137872458,169337.85516503733,535087.8764571175
143,660594.5099144429,110775.64280223008,325368.1384042874
144,1263955.5277274176,172249.82879908103,540722.8059747592
145,660748.6109643579,109990.9560063621,325320.25595853105
146,1255495.83640638,171633.65966826957,540570.7844160441
147,654658.8095950484,110967.92605515849,325158.0063864589
148,1273529.1648825556,174042.58833130077,546602.8154867273
149,647437.3144459054,109039.29393310566,319922.53797029145
150,1269050.603839174,172097.98114202358,545318.7550317012
151,650710.7801139802,110061.97818886954,323272.1808543876
152,1271550.64360369,174039.8565389486,545910.6086397525
