period,Total_family_benefits,Total_contributive_child_benefits,Total_auh,Total_spouse_benefit,Total_school_aid,Total_wedding_benefit,Total_prenatal_benefit,Total_pregnancy_benefit,Total_birth_benefit
49,2734350.16043429,769150.970156744,1347875.48370656,183870.104000691,338093.926038193,31526.3823338806,24077.1305853279,31658.6935432472,9202.30324894151
50,2477379.0710721,691195.429516271,1268052.4844006,184400.119829744,245542.076304456,20998.5084501751,29210.9064576864,27931.6708723083,10914.7131947921
51,2917699.64699186,904566.572509716,1553931.86249794,353100.647166009,0,3427.68829186488,28272.2424773039,68274.6358079497,7563.11359751674
52,2756313.56138864,868035.636248455,1446456.09856422,332075.995672236,0,7651.38230010397,38436.7963471556,54213.3977020749,10193.2630571491
53,2795174.27854746,651983.941091058,1253642.50840363,284415.403588367,535174.73604387,2963.34551881839,21138.0436511109,39227.9750118616,7113.02391421705
54,2827291.46962747,1170083.2953331,1281417.83113838,283463.506387765,0,4262.27989327429,40692.4994081849,41562.537068552,6701.73710393453
55,2477332.11619084,912108.961680962,1195744.49461844,265506.850230414,0,3313.79219433679,44329.3532834185,50876.2046295664,5933.34745344313
56,3910348.4398605,2134725.58721156,1259565.93983801,345441.107184082,0,6017.20836578514,88039.7773410462,63419.9744560475,13138.8454639734
57,4298955.28184956,1860159.28305272,1247158.55143378,324705.61349667,748947.797476514,5410.31196281292,73375.6709614865,29279.8648550301,10554.2742020238
58,3938877.93859074,2230764.05068608,1220883.19620096,356978.103767779,0,9241.43146997252,64519.83033329,48573.1089921066,8445.26291397342
59,3599109.6687936,1918501.09778747,1188096.3688738,338899.429955525,0,6384.15770926033,87888.1027564367,49450.610055503,10394.7851948797
60,4011961.89295399,2267425.78760671,1215955.532242,356955.85452758,0,8826.33476454865,94195.9994458094,57454.1403555487,11693.7191805119
61,4266309.08811414,1928232.33057195,1138999.25175111,330167.470120155,751592.026007215,7111.38473049712,70362.4095334242,30362.2381592399,9401.88872724604
62,3669736.53404985,1954037.25765909,1267560.96874312,324976.694746802,0,7066.37626714362,65596.2273316425,42504.8382165958,7994.17108545375
63,3308354.07920606,1717934.21404231,1155845.28700457,311941.598834788,0,7155.56382406401,61293.2617608139,45621.3356582711,8487.78414030457
64,3051358.17301921,1602501.74725369,1057614.22049697,286977.842965087,0,8464.50051935364,45333.3548958444,42990.0893593819,7514.95030676814
65,3573945.3037423,1572535.16486507,975641.666231167,280830.460077113,636008.316619114,4002.99816565245,63479.2110749803,33208.3789749041,8811.33075275378
66,3250249.78092665,1555100.35438503,1296043.1911,286803.320954177,0,7181.7781682519,66017.5723411818,31267.51765638,7874.04390280944
67,3176833.72483202,1565857.54194277,1215853.84952,292533.28643239,0,9242.06514455912,50905.3311336398,36477.6539637625,6750.90770051998
68,3280873.68152559,1622051.6834615,1285564.82994,287295.742486981,0,5749.74666316357,49222.6363374615,23653.7061101593,7238.93476422286
69,3814074.02779573,1535508.11448121,1262498.87977335,287857.768894612,636055.505337421,6939.91261489957,41686.3059349687,37122.7412993151,5719.51858640277
70,3033874.2098396,1731553.35302299,898327.975286224,305786.670057155,0,7584.06224187404,49378.7690543898,35086.190448758,6089.42787589934
71,3002572.51011895,1689129.89622677,917442.406649031,299738.652839191,0,8752.27847535863,45909.1441089369,35847.5059594999,5685.48417361791
72,3002545.27060625,1685032.72741081,930088.478548925,296093.146273738,0,6952.07259666622,53983.3964354045,23281.6270645542,7066.96650274675
73,3761884.46865262,1729457.13512749,953683.698676611,302004.380165295,666253.462955551,7459.45143090709,68574.6102879772,26459.1205166119,8557.09111297698
74,3150495.33052284,1786820.17641364,947903.842939697,301594.934914827,0,6754.26342495575,57304.7070866415,43629.9441828654,5971.42156083211
75,2817776.87513322,1516253.95367778,933867.256464534,276896.246731071,0,8055.15293022554,48653.3145704399,27122.5518983663,6863.76111045929
76,3413966.8684463,1874562.25581804,1094237.66493077,321871.749199489,0,7722.01817035788,75720.8293425001,30651.2421957633,8531.27416397614
77,3791379.92867821,1643278.47917641,1060327.34826746,301248.971526964,679623.633896176,8035.87840705176,57092.8809408056,34059.5315213629,7810.80546211964
78,3660149.08457771,1972577.04029539,1212776.98120839,342401.80059139,0,6580.18131896792,62376.3642148908,56180.8312072945,6775.38778201226
79,3278119.46832226,1809852.38091468,1028843.49197175,321778.593438803,0,6617.90739351775,70161.6193654777,33057.431676681,7833.65533662259
80,3790020.63803829,2188028.0983694,1092871.53705191,356263.733547734,0,6338.96144391207,94235.8529761675,41191.4070256138,9797.92173677986
81,4207712.18923349,1962275.75421375,1019682.59556151,332343.201823166,748737.687144324,6919.25024850151,86415.3838439392,41630.6205705166,9152.85624483327
82,3918062.42221218,2310603.16499031,1097809.69983301,361442.936563982,0,9934.54764281296,70422.4500398919,49320.9227119689,9911.9052051481
83,3640494.55919032,2075537.42144559,1080604.78928731,340996.46561553,0,11891.8756923748,78369.6665262079,42813.9269041405,10867.3955368549
84,3987948.52374815,2380398.06074881,1079376.3524291,365886.172070848,0,9553.71656358787,98472.5891597955,32804.5716994899,12609.9812178564
85,4563864.89238532,2124646.4512848,1109550.25626807,350993.050998613,815402.841795302,8691.09182192884,86681.7699923857,55066.4844141611,11010.4726293923
86,4074112.79386975,2367705.5842915,1187764.8116408,371422.538122358,0,9584.76533607261,83866.0801748205,35864.7023160184,11155.0203261434
87,3837677.71052695,2289542.19157782,1038035.88134402,355231.93710303,0,7098.77607195767,77314.3206273232,52404.3579974392,11931.6230566613
88,4137994.70460007,2485239.88368381,1122638.29497994,374986.728284234,0,9357.78126391147,85099.9165068562,41769.6775250835,12180.3294760616
89,4757376.74320455,2313061.7906614,1067129.65379438,356725.347587242,854876.469571793,12134.6672032296,94922.2466240388,37983.2131225734,13936.4678235753
90,4251932.19541478,2591028.86406582,1119511.90586107,371635.194211105,0,7773.43998223221,87167.728160724,53359.5807666334,14477.8817320175
91,4001952.28560853,2493336.84585551,981632.027172016,356479.365461612,0,10428.8100070376,97289.857119741,44702.2454299216,11787.189747751
92,4295776.44221423,2569611.13954536,1180577.84941587,378574.007251541,0,12256.9238233728,100824.059061481,30377.1078655213,13514.142856891
93,5013342.04461975,2546246.15226688,1042441.32101199,372944.55219822,893322.40918065,8535.28372740691,92806.0473941427,33980.847280066,11749.1764333732
94,4516777.95430846,2790377.80512333,1126784.25202703,400638.754859178,0,15592.039413747,117917.368294285,40806.0636743576,14313.3208851421
95,4407854.70404555,2745560.68606507,1077522.61074436,397949.560651333,0,17126.4789086227,104858.353782638,40720.2740386227,13055.600054638
96,4670440.49470035,2976318.11400338,1093106.25990863,410368.31557469,0,11369.8475789949,106849.21341165,51474.0454590685,14358.5290430783
97,5510760.94931602,2883848.97851248,1061790.40664846,407581.401979989,967927.348752609,14509.1517330714,104651.465964047,45938.9760537616,14237.9465866928
98,4723187.84609535,3027950.45913536,1062549.60390394,420068.542522782,0,16916.9307347234,116174.226906639,57787.652621464,15728.2642304018
99,4730937.66181546,3058436.75296455,1027577.10353356,413664.733188173,0,21532.072554752,139334.128176863,41580.1367268726,18443.4956190246
100,4673311.81921779,3097923.72405382,987457.960341427,421218.541974067,0,15220.3379633511,92577.6457275352,36272.8819516676,16554.6364384221
101,5728112.64193392,3052745.69068071,1047263.88566525,421763.470475949,1002834.62420853,10450.3087640136,133550.757991613,30266.3915144567,15714.7713465671
102,4767668.08895556,3140541.81842512,1006701.77594207,424691.027999003,0,18304.8601151555,109048.157851258,47447.1553832875,14070.3204622076
103,4624400.12016509,3083729.72578011,942844.449125438,418025.369718093,0,14564.7115274645,124372.305015292,26738.8916904116,17344.1126382867
104,4603689.05289305,3045520.28692943,984092.332151914,421787.994287681,0,18215.5902136443,99021.3056016498,25586.7373280222,14579.5748333327
105,5605551.15684731,3171779.51425285,820975.151381532,413825.582422002,998866.015317409,17779.0138451781,117411.715289053,36856.3935740412,14171.1382713236
106,4682652.06227602,3202486.68851139,864613.247231715,423910.730417017,0,15459.9533109135,124976.539429084,29447.610845653,16532.6589092796
107,4608674.00245165,3108411.22756517,912309.690571435,417105.366445151,0,18398.1788120591,102676.790239107,23883.3384316672,16169.9839058711
108,4690862.10763061,3206557.94630813,871527.305779404,425425.86977446,0,22365.0692349289,118310.376765706,29064.1651117937,17655.1459501596
109,5709957.50472426,3126887.40856787,920533.802651651,419011.410018914,1020196.59092103,15330.6147972626,156579.190268834,28240.2757675655,23095.4803171058
110,4771872.97820773,3279538.27002325,858067.075458435,429722.124907113,0,18514.3121260644,136513.115708843,24744.4996227125,20985.8598294592
111,4596920.79959337,3222506.97354712,769463.19712005,422036.768319842,0,17607.638219667,108433.305889264,31523.0584245358,17204.3353060343
112,4724903.3147053,3304803.99615874,784681.434011485,425485.62594427,0,19073.20607983,131846.548010271,29214.2243617598,20800.9516676958
113,5646431.1659209,3291634.49298045,743198.79632881,426438.581118414,992340.681031586,19269.4570454429,122928.44227914,25587.8682228836,20108.0032177698
114,4746635.88869425,3211547.78279638,897996.305502817,432530.051524678,0,20915.5972195469,124265.606639773,32542.036771933,18872.9725954731
115,4707386.17761285,3222787.80749128,834007.895969356,428896.691502564,0,17130.9167621899,152442.561220668,19263.1957499735,23264.8785675071
116,4757022.12078157,3228461.36850528,884810.375263635,430759.998733583,0,14046.0035482314,135585.179152768,44394.5868761771,19052.1251596883
117,5643220.38366682,3157662.05126204,831482.194625197,426150.892536321,993914.601326459,21670.2158851032,134003.38094198,52944.0981471973,21034.2192243721
118,4690062.95989905,3250620.15644863,779047.001804723,436310.617462002,0,18412.0532811616,143734.656245258,35950.8955275477,19731.8455613646
119,4690323.67040549,3257911.27347733,762257.38601314,437235.73141651,0,17474.9768860024,147239.540113928,35035.7281980531,20551.4253894055
120,4761514.77297266,3378947.07020152,733503.752769764,443233.792593794,0,13846.5666944557,140056.04155926,24180.5885194362,18489.194025235
121,5723210.87848989,3344068.2673144,713571.894377322,442583.713484381,996407.073825741,18439.3739797704,136730.416973961,34361.9407063052,17331.0682181613
122,4758018.86722711,3411296.55526468,703553.323573246,450974.766824013,0,17799.575990896,130198.62819694,19515.2713026821,19307.1108299173
123,4742978.40330368,3452418.27488265,632988.399438932,446474.964553158,0,19708.3590404905,140682.036421004,14229.0493058511,21705.1437365116
124,4747342.03825066,3519030.74185475,590380.23617759,455950.709951763,0,24434.7513880418,120443.689638926,12703.9453753274,18561.395247959
125,5665720.27956842,3428096.61655704,586808.099388336,451784.127792314,1013554.38308075,18731.6507467064,121364.789878511,20389.5414978979,18948.666168942
126,4672669.63111857,3405224.99064517,632148.796609357,457434.729416644,0,21994.532251905,126704.951012064,16051.8216905889,21717.5354144038
127,4625127.49163864,3361787.45292347,625048.192520679,449639.643291059,0,20142.1856565035,133350.697214528,13773.0361890903,18917.7688530864
