Period,Total_SIPA_income,Total_wage-earners_SIPA_contributions,Total_taxable_income,Total_gross_wages,Total_SAC,Total_autonomous_workers_SIPA_contributions,Total_Monotributo_SIPA_contributions,Monotributo_integrated_tax
49,18000510.6188669,17348424.3044446,61294383.3095153,61294383.3095153,0,371077.892968079,186193.971362136,135449.214417351
50,22157499.2341788,21420846.3579256,75698211.0792046,64884180.9250325,10814030.1541721,449590.592220506,181303.384351026,151084.142402353
51,20233959.3615849,19481047.9018705,68948168.7444157,68948168.7444157,0,479075.444673333,169295.89556962,149343.027816335
52,23711099.340712,22929508.1705452,81128439.104295,69538662.0893957,11589777.0148993,516987.680878167,162008.72253143,146563.952510206
53,19318558.8094962,18652836.7134315,66019109.634082,66019109.634082,0,425976.651435597,141481.176969882,140377.525227439
54,22035975.6793422,21394352.2957855,75696584.2068533,64882786.4630171,10813797.7438362,415298.321746476,127089.694721227,141764.810127232
55,19225382.5714869,18603741.720877,65799884.3882005,65799884.3882005,0,399075.404357142,121633.121774462,144189.0349691
56,22564836.9054479,21903346.743288,77437977.0286537,66375408.8817032,11062568.1469505,439140.631379141,116461.810362377,151268.17202623
57,19510720.9348717,18772632.0522002,66351902.7083651,66351902.7083651,0,413586.258336625,238137.823326839,123378.287154311
58,23339052.656364,22600878.1366645,79882706.2211742,68470891.0467207,11411815.1744534,415889.735639967,230582.912895283,131002.673091904
59,20676340.3358436,19987346.5543269,70658358.7383324,70658358.7383324,0,367663.677083727,225108.785774441,137459.026655012
60,24442783.390504,23718443.3956191,83772244.5237371,71804781.020346,11967463.503391,396743.97044938,227007.358244038,143698.094559182
61,19425279.3963776,18694163.0781907,62655549.6102329,70961222.6214461,0,385120.323093544,255380.671773609,129450.461885458
62,22128007.929654,21409449.6656469,71778714.4057313,69714099.3486738,11619016.5581123,396657.897900116,234931.164644349,124241.716375217
63,18144968.4047922,17507481.7642189,58906927.6239573,66038620.5698344,0,349907.588704731,208838.907550347,112485.920454584
64,19836641.3035061,19240579.5549017,64744975.4296404,62201099.778605,10366849.9631008,316139.72116797,201450.048869671,112102.826524005
65,15838280.4823216,15266786.4777722,48722220.7070428,61869622.9419318,0,293358.556230833,200443.796049829,110988.074669527
66,18778360.1188109,18212473.0018592,58758310.1698221,62353425.0747698,10392237.5124616,294460.186874524,196186.538477386,107486.273713936
67,15860188.8718915,15266336.8334218,49437145.1843315,60559005.7924842,0,310256.129758465,207049.283705519,109352.321436835
68,18033791.0681253,17429822.5917796,56931853.5348079,58594550.2898636,9765758.38164393,322478.108124877,204660.127476656,109757.486777464
69,16523403.45029,15951466.786717,52151847.3923576,61544065.8247029,0,288795.94933407,205086.792036595,111505.603146125
70,19058142.3816432,18461526.848025,60494816.4913407,60862859.4474226,10143809.9079038,325173.586433243,206036.596266911,93436.2155972832
71,16151550.3657522,15570935.0921842,51183756.3482369,59505407.1926253,0,315447.262312163,201824.730689697,90490.4008087471
72,18426766.9202223,17854813.151572,58799886.155894,58389305.0634681,9731550.84391134,314135.437932537,195221.394383391,89424.1947634909
73,16149782.5733162,15555836.7233555,51473862.2203253,58977661.3687393,0,333127.118095715,196833.480204153,91407.5023726019
74,18920663.1342383,18334607.1197738,60728027.726688,59545022.7629771,9924170.46049618,319481.540342794,199541.883059077,95760.8443751371
75,16590621.4764685,16015678.8543695,53266625.8930936,60300335.9258923,0,317734.888764561,187249.301870399,99940.616377294
76,19580344.470608,18951630.7961042,63076565.509597,61112154.8852102,10185359.147535,351437.082011526,208475.691746295,98287.0010656916
77,16973470.7298289,16362157.9415675,54687554.7141513,61160715.7161776,0,337996.148696659,200601.865567524,103878.248567448
78,19872162.6170862,19243098.910967,64298879.7458223,61724676.2166534,10287446.0361089,348444.476594158,213911.525270074,95296.7203643362
79,17330361.9271756,16727111.346456,56138160.2118081,62151842.0830303,0,321674.898151223,210821.860878278,101076.888128775
80,20436638.6217362,19771864.1608286,66256440.2658885,63131784.1043447,10521964.0173908,374763.447951084,223091.31570794,95599.5674980517
81,17734504.1926363,17076194.0202732,57457444.6701915,63167048.5778916,0,366468.581444636,220517.200415681,101891.986432477
82,20675841.700682,19974385.4516311,67074194.6808369,63513167.4202238,10585527.9033706,410509.122130987,224339.886096411,95153.2011763875
83,18086358.85359,17390950.6668702,58684012.2915359,64041476.8203149,0,413045.060556064,215372.879821507,95700.3519175635
84,21100915.9402368,20393425.3845377,68649644.623562,64698188.3695515,10783031.3949253,399367.22666649,238247.110776834,99823.1689368155
85,18519304.4652707,17832142.1470512,60294654.0148164,65479346.5496506,0,392235.25521365,226366.78465806,97943.2547826881
86,21670871.3179231,20977856.796659,70728846.2483185,66333856.847306,11055642.8078843,387710.973307622,238827.427484592,94965.8863883719
87,19005912.9524834,18292629.0357948,61981143.2209076,66903147.6558708,0,413779.743391708,231642.435571102,96945.3396082348
88,22120406.6557832,21382891.616282,72191440.3820611,67473842.3317,11245640.3886167,421684.170829113,247614.010457802,97452.6545917888
89,19200455.5111699,18509842.45901,62783650.5321154,67545558.6043981,0,391025.585062478,232104.587481227,96404.1137374992
90,22181146.7489513,21434873.7243301,72438177.3083439,67434880.5141391,11239146.7523565,422893.104042217,253668.868462186,99587.2173097052
91,19199482.6451233,18473771.5445874,62779836.3659438,67169237.1012288,0,411731.935229504,244665.836963146,99019.0404903829
92,22474392.3031641,21715946.4520024,73481329.6002101,68177213.5447467,11362868.9241245,431430.358258093,257752.895161442,98946.5682030031
93,19591725.7791586,18826489.752211,64058881.9099382,68356021.6471186,0,446813.371053552,248451.932347226,99958.1764953846
94,22819325.7658724,22014652.1095128,74619429.7224711,69007901.3424044,11501316.8904007,480251.806128145,257647.701830201,95391.640573278
95,19911155.3519764,19105602.7604112,65132374.3004287,69228021.6950928,0,474370.188853729,259851.562707057,101901.200006288
96,22979172.7650117,22163119.7023185,75184415.0267706,69356428.5620948,11559404.7603491,470424.675273477,273489.721282429,103055.237339053
97,19977712.774449,19156319.526211,65347544.3758477,69265965.8856,0,485083.966712901,265641.42698168,100954.077919132
98,23101664.9665108,22243904.6567183,75490049.1378264,69545246.336414,11590874.3894023,503349.577564994,281135.369689725,104679.089339644
99,20089023.3598871,19209360.7242467,65566787.1682304,69438158.7036245,0,526538.105105657,277581.110132046,107919.172003879
100,23254819.2187293,22361503.5562515,75928103.1399386,69881085.6768648,11646847.6128108,525829.687447237,290188.499223449,110424.965438686
101,20563369.2950872,19709587.9623309,67297654.3439569,71154126.6675708,0,508482.236432474,272049.386818909,104642.442149867
102,23627252.0017815,22705932.8248367,77130412.9534254,70905951.7596014,11817658.6266002,565405.017235464,282079.694456649,105477.807503801
103,20664098.7737976,19787695.4164607,67611424.0856596,71370710.4692572,0,527427.444611978,276715.27248105,103229.48606262
104,23868642.6060927,22955139.3537193,77969411.1730715,71628515.0604526,11938085.8434088,551416.318381597,289112.207463759,104249.609325793
105,20872176.4587058,19977589.8132204,68273579.0990036,72000860.5840577,0,533451.261870021,285910.124185765,107464.656328024
106,24218578.1809242,23308557.2510484,79199239.1511291,72736281.3840833,12122713.5640139,548799.787972416,287762.474176698,104940.953895196
107,21162659.2123291,20313118.2529835,69468451.5742121,73221057.145561,0,487942.996494778,288615.784126988,104260.255319783
108,24562865.7686557,23698835.537277,80589742.1617839,73933463.3855637,12322243.897594,510744.204194525,282027.055923388,101798.530372606
109,21446629.6088635,20579081.1053803,70371532.8676991,74145018.4391805,0,499932.848374198,292203.92296589,107731.04591865
