Period,Mean_real_labour_income,Total_workers
49,6414.78904699531,10914398
50,6778.90225184158,11021763
51,7092.02100217064,11059493
52,7113.98164433727,11048388
53,6705.54599729676,11064497
54,6521.17321865806,11128156
55,6554.01964535573,11235296
56,6660.1842529205,11156745
57,6744.03429129675,11057148
58,6741.66175252587,11247506
59,6886.42921069284,11410134
60,6890.54533395775,11521898
61,6808.84926639221,11482379
62,6723.17180647536,11421402
63,6342.54075613813,11521980
64,6004.7550431554,11538154
65,5984.66038142344,11452346
66,5961.57826280046,11487356
67,5872.63427761974,11551134
68,5678.62785050715,11655382
69,5989.32191199784,11431158
70,6459.12524708922,9349335
71,6159.72634119623,10001537
72,6057.10730944649,10318732
73,5967.58178694968,10700856
74,5930.71177069949,11006880
75,5906.53002207462,11339919
76,5953.65816217994,11387932
77,5999.43551627618,11381710
78,5984.77034848285,11442041
79,6015.43847371302,11518214
80,6051.26595027063,11555162
81,6091.03478629573,11579522
82,6118.50678157204,11654540
83,6150.47111470362,11686888
84,6174.77836293274,11791991
85,6221.27624817877,11810451
86,6274.77526865254,11825547
87,6287.90187208481,11872447
88,6303.32726008343,11971644
89,6336.43110909365,11993075
90,6381.75877049803,12015508
91,6412.6713931856,12104940
92,6452.06084533716,12182995
93,6493.09078008765,12183232
94,6488.80974715251,12259699
95,6525.2633550732,12306058
96,6582.53583891405,12382873
97,6630.74980901661,12340706
98,6626.77776361662,12386464
99,6658.14976700533,12506551
100,6663.36324717318,12544390
101,6713.82216825933,12608358
102,6720.41621031972,12652198
103,6756.09004128727,12691485
104,6780.94695691618,12751941
105,6800.32635964991,12791655
106,6841.18329855383,12809503
107,6855.22060578875,12809774
108,6855.98892960213,12870714
109,6862.78251070623,12947531
110,6919.56722310465,12958958
111,6932.29736768901,13021011
112,6954.98877887404,13053486
113,6968.58397997869,13040184
114,7007.59689969536,13015983
115,6957.76439531151,12995103
116,6989.00936457038,13032701
117,7038.13923217547,13038866
118,7027.41287831973,13127493
119,7022.7456373696,13170131
120,7054.14800500706,13194416
121,7085.75476266976,13238100
122,7084.73430314139,13232515
123,7098.09873665656,13271885
124,7105.3824665799,13312763
125,7146.11585377474,13355378
126,7169.91754264407,13406613
127,7188.21183272401,13436465
128,7205.81335611495,13443140
129,7199.37774143432,13502947
130,7250.36812744249,13520746
131,7223.57749083355,13576735
132,7251.62815399134,13590079
133,7268.25002919018,13611564
134,7273.90650974509,13649308
135,7285.65012665056,13684339
136,7336.65577344599,13725721
137,7340.70887914545,13754194
138,7323.02447038452,13844260
139,7364.81009308127,13868584
140,7408.80835464481,13856584
141,7426.0929509605,13892328
142,7466.76816954213,13908070
143,7483.91170179771,13964477
144,7509.89897252357,13990810
145,7547.10634215017,13941385
146,7555.670056775,14023042
147,7549.84603122698,14042540
148,7580.83173201587,14082034
149,7567.01687961325,14127555
150,7572.73388341569,14201676
151,7619.87383324075,14185655
152,7607.84686928468,14272874
