Period,Mean_real_labour_income,Total_workers
49,6414.78904699531,10914398
50,6778.90225184158,11021763
51,7092.02100217064,11059493
52,7113.98164433727,11048388
53,6705.54599729676,11064497
54,6521.17321865806,11128156
55,6554.01964535573,11235296
56,6660.1842529205,11156745
57,6744.03429129675,11057148
58,6741.66175252587,11247506
59,6886.42921069284,11410134
60,6890.54533395775,11521898
61,6808.84926639221,11482379
62,6723.17180647536,11421402
63,6342.54075613813,11521980
64,6004.7550431554,11538154
65,5984.66038142344,11452346
66,5961.57826280046,11487356
67,5872.63427761974,11551134
68,5678.62785050715,11655382
69,5989.32191199784,11431158
70,6367.86106940948,9950328
71,6212.80861261949,10050179
72,6136.54892445843,10343274
73,6068.88832819204,10733131
74,6038.16600718739,11027369
75,6010.26557150055,11347136
76,6070.87507310848,11387813
77,6097.53213330549,11382758
78,6110.43600507594,11456723
79,6125.88492109377,11506574
80,6180.95659610068,11531666
81,6207.08775889781,11560371
82,6214.03267501202,11645495
83,6252.83402960969,11683318
84,6317.13733835881,11689445
85,6337.5894222312,11726378
86,6391.19668150927,11766188
87,6412.3177753295,11772835
88,6432.99995360499,11824090
89,6429.68527155216,11888408
90,6448.76845171314,11935680
91,6461.86635296352,12012853
92,6492.16901807454,12087089
93,6555.39476903451,12107446
94,6583.03283331005,12161847
95,6625.92925527969,12208365
96,6664.33088784365,12275505
97,6691.48006476096,12239163
98,6734.06431563827,12283545
99,6759.26987446495,12365310
100,6772.51511634111,12378854
101,6789.75379697395,12433545
102,6763.85616294904,12536362
103,6794.21225651163,12544602
104,6822.89841375529,12573582
105,6832.36900620801,12553618
106,6841.05247367714,12635005
107,6848.07881871947,12580491
108,6851.99379110712,12690931
109,6870.8909050184,12679832
110,6900.19840598634,12754073
111,6893.86268486535,12729554
112,6891.66116481147,12743507
113,6905.1650847226,12754785
114,6924.50919364701,12728853
115,6926.1706585593,12776850
116,6932.46549772678,12763691
117,6929.48899939757,12804226
118,6967.63412026104,12771226
119,7012.94984363735,12774394
120,7025.25208032226,12797937
121,7025.33794229321,12804562
122,7058.07975929697,12811713
123,7068.91051715227,12845138
124,7058.99676309766,12921336
125,7062.31851692185,12973215
126,7068.11881841059,13032973
127,7078.10416470289,13080882
128,7145.80277498253,12973570
129,7148.41670261619,13029357
130,7145.40383152101,13058034
131,7151.79015520822,13004906
132,7141.15240739983,13147721
133,7158.93069490157,13135475
134,7162.23681956167,13157786
135,7190.2562200425,13116770
136,7186.43903964133,13128454
137,7230.16152203651,13141983
138,7235.3549874687,13254616
139,7210.65598011226,13298831
140,7197.3764192406,13295313
141,7208.11178267492,13274149
142,7231.52605504744,13303779
143,7278.84540714017,13267264
144,7290.77578096016,13337730
145,7314.12844996545,13312900
146,7330.99847493069,13251636
147,7349.03449513377,13323779
148,7354.85657077462,13335969
149,7321.29762922749,13382782
150,7359.87912071918,13398108
151,7358.72332041773,13425066
152,7321.9583364314,13447349
