Period,Mean_real_labour_income,Total_workers
49,6397.46477092316,10914398
50,6777.630719434465,11021763
51,7079.057901411234,11058727
52,7133.1949600229,11048682
53,6715.2985070526065,11063349
54,6494.198451369994,11126062
55,6577.277263794334,11233049
56,6656.182725660722,11147419
57,6757.520023481764,11051125
58,6766.137187347707,11251919
59,6864.751488772514,11470333
60,6866.682240783421,11561305
61,6814.158591396896,11457903
62,6713.774086511526,11450584
63,6329.954293441066,11588487
64,6023.281965049669,11565298
65,5994.231037922798,11487615
66,5929.140085151094,11579738
67,5834.026424885947,11684255
68,5669.145923391854,11731225
69,5960.723800898901,11536977
70,6310.042324934314,9989233
71,6175.222961917375,10116795
72,6080.337037641735,10362450
73,6067.459632943068,10682111
74,6057.471630469083,11003492
75,5978.976268957042,11394703
76,6046.28625667057,11492955
77,6080.439387476846,11483962
78,6098.142807708531,11533755
79,6129.977444826047,11541568
80,6141.119511776797,11565259
81,6200.139741842148,11588408
82,6230.7636912395565,11660167
83,6277.112300807222,11662763
84,6304.54976260985,11758098
85,6361.467224403858,11788876
86,6383.741709742279,11849528
87,6383.122793397321,11887614
88,6438.463281398539,11946834
89,6455.3754423593655,11964299
90,6470.910467021835,11960878
91,6484.373802532525,12000713
92,6518.546562878145,12075815
93,6553.826605833376,12095919
94,6557.854568141062,12128824
95,6595.533737355107,12174261
96,6645.092849511496,12150935
97,6675.010070010545,12240537
98,6723.659463252454,12227587
99,6755.839690280193,12233851
100,6803.067510189494,12345299
101,6827.474033615144,12336041
102,6814.472231496537,12348798
103,6810.214729252193,12411237
104,6799.6047849321585,12451809
105,6863.9759203168005,12484521
106,6887.293975088478,12543709
107,6941.754811293019,12544068
108,6927.546105593022,12581659
109,6916.394423702765,12593201
110,6925.045681820026,12687560
111,6930.824465223868,12670840
112,6937.226213861671,12640229
113,6958.3724905221015,12688002
114,6976.963764410754,12671741
115,6990.806940573406,12711527
116,6993.079249601003,12731625
117,7015.0804500839795,12754304
118,7026.691068421537,12732126
119,7036.207677753593,12767926
120,7049.6443510978315,12796166
121,7073.6617703215,12785975
122,7078.243340956514,12748650
123,7060.291094193162,12773870
124,7071.8613356182,12851019
125,7105.189788791678,12835737
126,7117.139509007679,12849017
127,7108.983266193459,12878117
128,7141.697887626179,12918888
129,7157.392329836596,12943691
130,7161.211148210244,12957595
131,7146.597253134038,13000912
132,7174.803423786173,13023817
133,7177.31138941071,13072218
134,7218.016138510858,13094087
135,7189.73885942084,13104323
136,7223.108389451325,13119332
137,7241.455257313827,13157164
138,7253.612731501319,13167768
139,7229.0981452308315,13194824
140,7227.4180271160485,13202503
141,7230.708884521682,13305406
142,7283.57368251501,13279951
143,7296.631049056501,13255430
144,7305.860434054684,13294153
145,7325.820321423077,13236796
146,7312.698769543418,13274424
147,7310.076364962052,13291964
148,7325.34181714761,13312205
149,7356.443136104943,13353533
150,7365.629919580854,13391795
151,7344.318311546655,13395839
152,7357.732230677429,13396613
