Period,Mean_real_labour_income,Total_workers
49,6414.78904699531,10914398
50,6778.90225184158,11021763
51,7092.02100217064,11059493
52,7113.98164433727,11048388
53,6705.54599729676,11064497
54,6521.17321865806,11128156
55,6554.01964535573,11235296
56,6660.1842529205,11156745
57,6744.03429129675,11057148
58,6741.66175252587,11247506
59,6886.42921069284,11410134
60,6890.54533395775,11521898
61,6808.84926639221,11482379
62,6723.17180647536,11421402
63,6342.54075613813,11521980
64,6004.7550431554,11538154
65,5984.66038142344,11452346
66,5961.57826280046,11487356
67,5872.63427761974,11551134
68,5678.62785050715,11655382
69,5989.32191199784,11431158
70,6367.86106940948,9950328
71,6212.80861261949,10050179
72,6198.11922102332,10343274
73,6221.95644669877,10733131
74,6285.53473399598,11023597
75,6351.17277700537,11347968
76,6517.16808954087,11405789
77,6636.86087515007,11417434
78,6743.00409692854,11501410
79,6814.97880869308,11583751
80,6916.60983397962,11612122
81,6947.38319621111,11684379
82,6953.11889742637,11790912
83,7030.41274804442,11819260
84,7080.36260527488,11802559
85,7129.94749188722,11898729
86,7152.03447283788,11947750
87,7163.76854167835,12043793
88,7189.26129325002,12100702
89,7229.4853489509,12171540
90,7215.10907717457,12265113
91,7239.4376129858,12329928
92,7274.23041395762,12354417
93,7335.47172826975,12393061
94,7423.3668841041,12379209
95,7419.7263997735,12594318
96,7484.79964142805,12604901
97,7539.64922319544,12658000
98,7562.33866458426,12687920
99,7610.33903844161,12733644
100,7654.67787866458,12801553
101,7678.60192824628,12903660
102,7693.08614712035,12932225
103,7716.56614594089,12988875
104,7737.815684602,13094487
105,7782.20566298249,13159088
106,7791.04391526744,13221892
107,7841.55318935802,13229753
108,7888.53695246316,13265454
109,7904.22516207739,13317493
110,7941.17280358957,13391639
111,7980.18422384067,13435320
112,8042.17773591596,13484740
113,8052.49763130392,13524190
114,8105.80441600487,13540441
115,8138.33602891468,13584721
116,8187.37747416539,13626748
117,8247.52996099905,13682424
118,8264.41978413626,13731248
119,8308.80189418081,13740482
120,8317.54269344594,13790823
121,8389.70066242764,13817773
122,8407.61881224578,13849925
123,8392.65996476198,13899627
124,8481.54507001956,13897822
125,8535.1917916703,13985310
126,8558.56610660288,14060404
127,8543.02984655489,14160097
128,8609.82426743616,14166576
129,8643.00110551721,14213665
130,8671.85710978919,14238635
131,8719.84177240153,14330815
132,8754.06732082201,14323289
133,8772.08063666297,14378404
134,8793.56922682894,14434108
135,8809.60075635924,14486966
136,8873.58643954709,14536022
137,8878.59206106183,14549918
138,8948.0600246226,14540582
139,8971.2738738756,14575041
140,8997.36053067827,14584382
141,9007.89319315292,14650539
142,9023.0926188147,14733834
143,9068.09140288773,14728729
144,9086.88196110962,14837416
145,9101.27692729697,14844231
146,9150.44881317977,14867035
147,9182.78989991977,14942145
148,9225.30722849072,14996967
149,9302.33333159006,15012915
150,9324.94327327866,15060927
151,9319.9008526334,15030976
152,9383.11979556863,15030817
