period,Total_pensions_pre-2016_cost,Total_net_pensions_pre-2016,Total_pensions_post-2016_cost,Total_net_pensions_post-2016,Total_retirement_benefits_pre-2016,Total_survivors_pensions_pre-2016,Total_retirement_benefits_post-2016,Total_survivors_pensions_post-2016,Total_universal_pensions_cost,Total_net_universal_pensions,Total_thirteenth_month_of_pension_pre-2016_cost,Total_net_thirteenth_month_of_pension_pre-2016,Total_thirteenth_month_of_pension_post-2016_cost,Total_net_thirteenth_month_of_pension_post-2016,Total_thirteenth_month_of_universal_pension_cost,Total_net_thirteenth_month_of_universal_pension
49,17715077.2738658,17023138.2920745,17764695.9792755,17069779.8719965,14752662.7530205,2270475.53905399,14799304.4887852,2270475.38321131,0,0,0,0,0,0,0,0
50,20422728.9322322,19622753.497344,20483158.4850755,19679557.2729442,16969923.6244265,2652829.87291751,17026727.6349372,2652829.63800703,0,0,3407163.97745478,3216614.39350079,3417235.56887325,3226081.68873375,0,0
51,19803719.1158042,19026235.0008887,19865407.0459477,19084221.6498601,16392319.2574884,2633915.7434003,16450306.3186322,2633915.3312279,0,0,0,0,0,0,0,0
52,21428379.1404231,20585898.0912764,21496797.3119431,20650211.1656782,17680801.3463609,2905096.74491556,17745114.9528857,2905096.21279253,0,0,3574736.3849111,3375531.55095521,3586139.41228729,3386250.39553855,0,0
53,18797742.1899396,18060281.6286512,18858938.5397895,18117806.1833085,15421030.2363448,2639251.39230634,15478555.6694094,2639250.51389915,0,0,0,0,0,0,0,0
54,19382687.5525317,18620358.8446116,19446149.3542851,18680012.9219516,15814084.2807096,2806274.56390204,15873739.5225746,2806273.39937699,0,0,3233501.56921593,3054064.64965716,3244078.5332833,3064006.99388842,0,0
55,18442646.5219568,17716064.9270045,18504208.7290936,17773933.38569,14992925.8929448,2723139.03405973,15050795.6235362,2723137.76215387,0,0,0,0,0,0,0,0
56,20186871.1371618,19389279.066938,20255680.4692357,19453959.8223733,16313964.4448173,3075314.62212071,16378646.4843681,3075313.3380052,37448.33092,36324.8809924,3367062.9983022,3180768.59873019,3378531.21735101,3191548.72259913,6241.38848666667,6054.14683206667
57,19311477.8338228,18548362.9950064,19378522.2419953,18611384.7240471,15547749.2542695,3000613.74073687,15610772.1118894,3000612.61215776,68744.540592,66682.20437424,0,0,0,0,0,0
58,20633380.4702263,19816190.7984702,20705686.4972351,19884158.4484185,16527025.6646568,3289165.13381337,16594994.4232311,3289164.02518744,105406.354872,102244.16422584,3441144.83158192,3251514.99575026,3453195.83334581,3262842.93555063,17567.725812,17040.69403764
59,19837109.2724429,19050816.2848852,19908872.5710685,19118273.7708856,15827856.7204382,3222959.56444695,15895315.2387887,3222958.53209693,149637.759648,145148.62685856,0,0,0,0,0,0
60,21578716.4348288,20722121.9192228,21656132.168024,20794892.6934355,17142566.4692787,3579555.44994411,17215338.3130264,3579554.38040909,192607.56152,186829.3346744,3598307.50434178,3400899.20344715,3611210.12388303,3413027.66404549,32101.2602533333,31138.2224457333
61,20064753.7228491,19268521.9905038,20136272.9711043,19335750.0701767,15878900.8101863,3389621.18031749,15946129.8349878,3389620.2351889,206676956,200476.64732,0,0,0,0,0,0
62,19904810.2337725,19113901.6536907,19977163.5028811,19181913.7145776,15701785.2944144,3412116.35927626,15769798.1683064,3412115.54627116,226116.875776,219333.36950272,3320161.85809307,3138147.15186508,3332220.73413685,3149482.49398375,37686.1459626667,36555.5615837867
63,18906914.9960232,18156227.3782306,18976423.7722141,18221565.6170531,14847657.2281773,3308570.15005331,14912996.1501358,3308569.46691735,241456.256,234212.56832,0,0,0,0,0,0
64,17365128.3282013,16677590.729053,17429023.8424382,16737652.5033834,13603317.3028176,3074273.4262354,13663379.6347297,3074272.86865372,243263.38608,235965.4844976,2897731.38227669,2740161.54027568,2908380.6330445,2750171.83440605,40543.89768,39327.5807496
65,17250312.5410154,16566236.0419104,17316619.1303179,16628564.2268742,13529157.2419431,3037078.79996734,13591485.9986757,3037078.22819856,197333.387804692,191413.386170551,0,0,0,0,0,0
66,17442924.2383518,16749686.652335,17512968.5409844,16815528.2877301,13677910.0792307,3071776.57310437,13743752.2896774,3071775.9980527,197040.835461422,191129.61039758,2910514.08543674,2753145.60936511,2922188.13426565,2764119.21366876,32840.1392435704,31854.9350662633
67,17820336.4861217,17111064.9288588,17893233.2050925,17179587.8353809,13951409.1422612,3159655.78659756,14019932.6435585,3159655.19182241,220076.30703952,213474.017828334,0,0,0,0,0,0
68,17603838.5591884,16902565.0802647,17678541.0427344,16972785.4054402,13770250.7012874,3132314.37897736,13840471.6174459,3132313.78799435,235773.572395275,228700.365223416,2937409.77526055,2777144.45992519,2949860.18752571,2788847.84581113,39295.5953992124,38116.7275372361
69,18031887.9492867,17313285.5568132,18109165.8986733,17385926.8197954,14100513.5998894,3212771.95692381,14173155.4432905,3212771.37650495,256131153,248447.21841,0,0,0,0,0,0
70,18667787.7684426,17932718.2584096,18714641.3341637,17976124.0405653,14458323.9502522,3474394.30815741,14528771.1440885,3447352.89647674,296363.212304,287472.31593488,3114738.71765975,2940094.42229436,3122453.70382245,2947255.38604081,49393.8687173333,47912.0526558133
71,18483186.2544036,17754459.4734387,18531412.2357483,17799161.1528935,14237837.9263426,3516621.54709606,14309333.5108878,3489827.6420057,310929.870824,301601.97469928,0,0,0,0,0,0
72,18323645.0949931,17599489.6680275,18372611.4416224,17644907.743137,14050598.5806983,3548891.08732917,14122071.9243636,3522835.81877344,344672.8512,334332.665664,3056998.94993394,2885172.57731233,3065070.31226896,2892672.62876818,57445.4752,55722.110944
73,17293326.5959644,16606832.4114552,17344700.4025389,16654586.1466163,13239032.8723009,3367799.53915425,13307396.8619815,3347189.28463485,349149.409824,338674.92752928,0,0,0,0,0,0
74,18750753.7600661,18005998.5731341,18809967.3493155,18061124.3522603,14300257.5451807,3705741.02795338,14376188.0433509,3684936.30890933,384205.21932,372679.0627404,3128217.55813063,2951868.26385814,3138003.06402037,2960985.69158607,64034.20322,62113.1771234
75,17567568.189352,16868223.5109921,17626762.4114017,16923443.2513246,13383003.2689925,3485220.24199953,13454746.0945593,3468697.15676529,391652.012832,379902.45244704,0,0,0,0,0,0
76,19637126.3706773,18855286.3690005,19705838.0197755,18919418.6982151,14921790.9596308,3933495.40936966,15003339.7905254,3916078.90768975,474910.2876,460662.978972,3275134.09195453,3090133.40595131,3286511.88352449,3100756.84437067,79151.7146,76777.163162
77,18602131.1470901,17858699.2264217,18668970.2177283,17921098.2602331,14112223.3357015,3746475.89072021,14191012.3277374,3730085.93249567,456506.980352,442811.77094144,0,0,0,0,0,0
78,20394698.0033406,19578962.681288,20467964.7022689,19647363.3258909,15431037.7685841,4147924.91270388,15517367.8346903,4129995.49120055,516789.476,501285.79172,3401534.33458693,3209035.9912606,3413669.12160375,3220368.89836997,86131.5793333334,83547.6319533333
79,19402160.3644493,18622922.328203,19473564.2719683,18689627.0040484,14585433.4842302,4037488.84397279,14667970.9515838,4021656.05246461,501287.780608,486249.14718976,0,0,0,0,0,0
80,20859943.8895826,20021280.4578689,20937755.7182203,20093977.7594851,15623841.6043973,4397438.85347154,15713480.3713815,4380497.38810362,570020.139888,552919.53569136,3478129.24248733,3280723.29418266,3491020.28310615,3292765.8534125,95003.356648,92153.25594856
81,19954350.5515287,19149495.0814341,20029983.9682546,19220166.740211,14892173.0598057,4257322.02162834,14978947.7175251,4241219.02268593,548405.766136,531953.59315192,0,0,0,0,0,0
82,21659461.5767451,20785605.7590438,21738764.8194507,20859658.5514812,16111353.434705,4674252.3243388,16204178.8181842,4655479.73329708,601064.629824,583032.69092928,3611183.79715876,3405685.30130378,3624321.05969418,3417957.04006695,100177.438304,97172.11515488
83,20634301.2430509,19801310.2107222,20712519.8922923,19874427.852681,15302382.3538427,4498927.85687955,15390876.4040842,4483551.44859674,608150.110848,589905.60752256,0,0,0,0,0,0
84,22050224.3415303,21158220.762614,22135346.9656076,21237805.7446775,16315007.572623,4843213.18999105,16410834.0633758,4826971.68130173,673012.218056,652821.85151432,3677272.58428034,3467743.5590349,3691388.76037326,3480944.22652979,112168.703009333,108803.641919053
85,21146535.0087513,20290884.7173604,21229046.3248197,20368033.085693,15610197.8253469,4680686.89201347,15702907.6802622,4665125.40543073,649711.98376,630220.6242472,0,0,0,0,0,0
86,22699516.0410039,21779468.5489384,22792547.9140602,21866549.9187927,16691372.0135416,5088096.53539685,16792846.7175735,5073703.20121917,706846.717632,685641.31610304,3785229.843717,3568891.12147106,3800675.29487793,3583351.56528203,117807.786272,114273.55268384
87,21904229.3643034,21015782.9195658,21996105.4271865,21101792.3904339,16079997.7723306,4935785.14723522,16179831.9115061,4921960.4789278,717306.111232,695786.92789504,0,0,0,0,0,0
88,23165852.6713721,22224980.8302421,23264030.6414853,22316895.4753702,16991404.08012,5233576.75012203,17097870.4425401,5219025.03283003,820662.040992,796042.17976224,3860975.26227685,3639898.50644803,3877277.73756521,3655164.96943076,136777.006832,132673.69662704
89,22448815.4148521,21535792.4005754,22543629.3212396,21624558.2413371,16417883.2826487,5117909.11792671,16520675.885703,5103882.35563406,850653.643968,825134.03464896,0,0,0,0,0,0
90,23744215.4940118,22777061.9370015,23845761.9793341,22872137.246904,17330499.2441581,5446562.69284347,17440349.262374,5431787.98453008,983148.721032,953654.25940104,3958410.42455238,3732379.42359511,3975273.38440456,3748171.87726141,163858.120172,158942.37656684
91,23005598.6178004,22067417.8251958,23105397.5491137,22160871.5834386,16755083.6673206,5312334.15787522,16862539.6636863,5298331.91975227,993674.458544,963864.22478768,0,0,0,0,0,0
92,24269006.2891123,23277178.8581856,24375080.2975878,23376525.3565818,17679203.7837887,5597975.07439685,17792846.7278828,5583678.628699,1154014.065448,1119393.64348456,4043307.88345227,3812343.17682853,4060928.1838859,3828850.2073262,192335.677574667,186565.607247427
