period,Total_family_benefits,Total_contributive_child_benefits,Total_auh,Total_spouse_benefit,Total_school_aid,Total_wedding_benefit,Total_prenatal_benefit,Total_pregnancy_benefit,Total_birth_benefit
49,2734350.16043429,769150.970156744,1347875.48370656,183870.104000691,338093.926038193,31526.3823338806,24077.1305853279,31658.6935432472,9202.30324894151
50,2477379.0710721,691195.429516271,1268052.4844006,184400.119829744,245542.076304456,20998.5084501751,29210.9064576864,27931.6708723083,10914.7131947921
51,2917699.64699186,904566.572509716,1553931.86249794,353100.647166009,0,3427.68829186488,28272.2424773039,68274.6358079497,7563.11359751674
52,2756313.56138864,868035.636248455,1446456.09856422,332075.995672236,0,7651.38230010397,38436.7963471556,54213.3977020749,10193.2630571491
53,2795174.27854746,651983.941091058,1253642.50840363,284415.403588367,535174.73604387,2963.34551881839,21138.0436511109,39227.9750118616,7113.02391421705
54,2827291.46962747,1170083.2953331,1281417.83113838,283463.506387765,0,4262.27989327429,40692.4994081849,41562.537068552,6701.73710393453
55,2477332.11619084,912108.961680962,1195744.49461844,265506.850230414,0,3313.79219433679,44329.3532834185,50876.2046295664,5933.34745344313
56,3910348.4398605,2134725.58721156,1259565.93983801,345441.107184082,0,6017.20836578514,88039.7773410462,63419.9744560475,13138.8454639734
57,4298955.28184956,1860159.28305272,1247158.55143378,324705.61349667,748947.797476514,5410.31196281292,73375.6709614865,29279.8648550301,10554.2742020238
58,3938877.93859074,2230764.05068608,1220883.19620096,356978.103767779,0,9241.43146997252,64519.83033329,48573.1089921066,8445.26291397342
59,3599109.6687936,1918501.09778747,1188096.3688738,338899.429955525,0,6384.15770926033,87888.1027564367,49450.610055503,10394.7851948797
60,4011961.89295399,2267425.78760671,1215955.532242,356955.85452758,0,8826.33476454865,94195.9994458094,57454.1403555487,11693.7191805119
61,4266309.08811414,1928232.33057195,1138999.25175111,330167.470120155,751592.026007215,7111.38473049712,70362.4095334242,30362.2381592399,9401.88872724604
62,3669736.53404985,1954037.25765909,1267560.96874312,324976.694746802,0,7066.37626714362,65596.2273316425,42504.8382165958,7994.17108545375
63,3308354.07920606,1717934.21404231,1155845.28700457,311941.598834788,0,7155.56382406401,61293.2617608139,45621.3356582711,8487.78414030457
64,3051358.17301921,1602501.74725369,1057614.22049697,286977.842965087,0,8464.50051935364,45333.3548958444,42990.0893593819,7514.95030676814
65,3573945.3037423,1572535.16486507,975641.666231167,280830.460077113,636008.316619114,4002.99816565245,63479.2110749803,33208.3789749041,8811.33075275378
66,3250249.78092665,1555100.35438503,1296043.1911,286803.320954177,0,7181.7781682519,66017.5723411818,31267.51765638,7874.04390280944
67,3176833.72483202,1565857.54194277,1215853.84952,292533.28643239,0,9242.06514455912,50905.3311336398,36477.6539637625,6750.90770051998
68,3280008.34930647,1621841.57231222,1285564.82994,286645.367277408,0,5749.74666316357,49217.7045734385,23653.7061101593,7238.93476422286
69,3827419.4883404,1463687.39392188,1354670.80616431,284942.759971258,630979.228214535,6755.81107102849,40431.3490442281,39655.4753988891,5611.18121263208
70,3289700.30890224,1666022.3277125,1205145.31048573,304687.208139261,0,9058.26954497593,50467.1818766067,47284.9605712046,6417.50510863915
71,3267344.1199598,1747621.17587459,1107603.15442336,305629.86281831,0,4748.66780506815,57451.6040027708,36522.5681400675,7154.04506785761
72,3303085.16063005,1783234.16007114,1112588.36418356,302138.912346403,0,6552.54262805059,64163.7845830617,26849.2529454322,7695.24616731248
73,3849827.25061544,1685541.3257386,1088724.33044761,295523.325623469,675045.428573297,6314.59345201097,54596.5201156651,36256.7690414789,7512.32111376475
74,3170377.52039987,1731592.34712564,1030560.39970046,292744.629221825,0,8917.59238643282,60613.3562323973,38852.7402376944,7029.18781675352
75,3115175.83939377,1626819.75938424,1074546.60652889,291892.301347518,0,7761.20065374317,66377.1021521016,40669.03407805,6821.47492658954
76,3075170.35871085,1649029.49526262,1025159.36201714,288291.555651431,0,6162.95243086433,52609.8369996053,45067.1231626965,8561.67286385282
77,3716027.85458812,1595708.93304884,1073608.63104321,285016.658410611,660521.727136983,5763.04651795381,49790.6415296545,38243.1743049312,7233.91698584332
78,3130714.897038,1588122.43446528,1128707.93156611,286084.628514212,0,7091.69774983442,69743.3730072297,42462.3997049756,8320.19863258737
79,3106680.88650134,1668533.94564147,1039406.46611811,287277.663866014,0,7316.19830654385,55411.7635805395,40972.5078728244,7578.24610460812
80,3100330.71970087,1651875.38109659,1043275.533997,288747.914107933,0,6668.22556978359,59239.5139216595,39816.4461608649,10127.2578437571
81,3760296.32049329,1657632.42305848,1032057.53449339,293708.554283116,670463.675553521,5549.34480294663,63655.6210261041,26861.6653229636,9935.79779010273
82,3126514.13731468,1665971.43854703,1037782.83887287,291897.785687872,0,6247.03981887808,61857.04542475,54174.7234266778,8351.57779755101
83,3151066.50450579,1652745.74274477,1074248.15290427,290121.327715551,0,8042.24570322149,60631.6013084017,55140.5038784053,9253.70708072794
84,3134079.23617088,1744874.53733143,983353.363489899,289607.317381728,0,7992.55953929065,55100.6215526981,43566.6666289754,8521.29234626779
85,3873364.72985224,1729747.56524444,1051498.29577661,292167.086771373,696286.981143493,6279.18638268349,51525.8505396606,36950.310822924,7332.84029154292
86,3251348.47918275,1809253.61483892,1008112.09667628,294095.956018571,0,5323.3993004723,70999.8693386391,53260.8826321704,8823.29833692185
87,3217804.1089523,1744059.05346051,1031994.02959607,293124.985360616,0,7773.42972021685,69227.3136758527,59315.0428777778,10405.0007771974
88,3235791.33604632,1781250.03250278,1034425.77739427,292622.512654074,0,6806.10503278659,61541.7024953836,43808.6950442803,10143.418409496
89,3967154.89510312,1823740.16985374,1022068.43012651,293169.656955856,712046.13522276,9579.96462985734,62822.955434118,31699.2839681606,9614.14089829625
90,3347727.36590686,1853554.4314385,1068287.47654909,294592.252074796,0,7873.91268910063,62983.2623134675,50762.9029439428,8367.63688439618
91,3303483.94857309,1905816.67505923,978077.910551502,294312.702147429,0,7214.17570229239,66967.0890236814,39289.3312999523,9696.55516605264
92,3354707.50260745,1929811.36527172,991061.786358393,295558.952279621,0,9884.83305293666,91071.5092000413,21996.4045469595,10771.8099071066
93,4027583.14306624,1902029.84466121,992446.894054473,297165.537299245,718304.804799779,6846.88325761094,62637.2827556332,36982.0743361357,8728.2045496396
94,3399961.64335081,1957884.16981372,992093.356545652,301152.85627553,0,6663.06897578058,91033.0636692403,34453.7971477387,12288.8313225571
95,3351422.08119506,1946353.58294353,982974.775137777,298113.596013245,0,7781.92856556181,72569.7140872685,34920.9415776935,7614.41538086194
96,3377335.05442061,1972713.30820041,961223.83595816,302545.581102872,0,9912.58878056386,84951.1426303579,32668.4921851477,8723.84451748926
97,4065013.83098365,1950229.13026907,953924.986967468,302830.683293614,714188.205375167,7904.62969152252,93020.7455823506,28708.3401879668,12869.403311956
98,3377041.98897806,1918673.06519284,999089.206383625,302216.437061145,0,14231.713983194,81784.3735128485,49866.2924891654,10739.7120223863
99,3294469.716442,1942959.80372616,922305.91169721,299859.716988957,0,8088.57276876322,79829.0840484068,28623.6364924458,12916.5136544436
100,3285430.16182984,1907472.18061748,965203.260796342,298230.842822983,0,9352.80870001626,68693.5121158645,25602.2359921655,10662.0507316529
101,3959107.94761531,1929765.47665923,891244.28808925,297965.422722118,702900.290147804,10739.5040433233,80772.1878364372,32516.1998841273,11947.5677572877
102,3240959.9699893,1930507.59597778,873493.267302719,294641.955398168,0,11502.4482766892,83361.3424945645,34888.6437494756,11940.4957581471
103,3223582.5257297,1891584.57132183,906722.266315006,292515.353289179,0,9596.19128347142,75834.7382418135,35384.8923428362,11093.5317758702
104,3211978.69772136,1909599.90455801,892984.701228718,291915.418270628,0,9142.765487054,63650.5393468143,30936.5850553522,10145.8021323386
105,3845793.80613027,1872008.52691693,891290.90384708,293456.764776665,681087.959370814,10531.9527907702,61081.5928098416,25099.3440806109,10097.3969669338
106,3185194.02987121,1827680.89779196,921801.997279836,294734.488719942,0,6929.66815306196,73600.9787427599,43297.3488374316,12318.3527155847
107,3157721.20043939,1835173.97444239,885950.01620368,292193.6991109,0,9775.20540330135,90197.314210423,32145.0292523623,10340.2817344484
108,3145952.47333336,1806207.15049717,931142.413890391,288828.666417195,0,7153.77382375953,65127.8890048331,36077.9875084769,10806.1726130366
109,3753490.37464444,1759270.37362349,896978.566491137,287513.029937266,673850.584105712,9348.50908320473,75541.9848435258,38910.2780615195,11924.4768598861
110,3178973.73959814,1851561.70668749,881526.248480048,289494.62896689,0,9377.40679370781,96624.5054374008,35730.2051974222,14488.6600799487
111,3084321.11599758,1871506.1595903,788701.229817331,291196.526823119,0,9788.47732530406,87163.8833138863,23031.163884603,12451.6106478426
112,3061303.9028838,1813738.78425256,835891.966919892,291182.579304715,0,10519.7592594207,68360.5832312125,26401.4636568322,11301.6424167638
113,3586030.23501084,1801791.38242329,748140.223632047,290381.882785001,633873.402100383,11411.4738507993,67032.7480434794,22724.2661117559,7541.83264954674
114,3037692.89575802,1838912.13480407,780783.815410886,286797.870264795,0,7267.95223752198,66607.6417566116,43084.3475240781,11656.9152511217
115,3022111.78286422,1805723.44726522,793602.399928841,287785.638014038,0,8398.48013277091,81895.6349460369,32039.360693743,10428.6345947633
116,2960685.74138681,1800940.62553705,759297.894270063,286232.772997722,0,10586.4800157038,69252.1013720645,29291.040678241,9513.56293359762
117,3653341.81773772,1761813.74481451,845245.024830476,283757.088834593,656722.338031325,9807.05155484429,62625.6621624418,23246.113040219,10243.7471012614
118,2981072.37175188,1824081.51294328,754173.907622371,286429.157903054,0,12967.6691849323,71439.679085196,27587.0995328966,10369.4529301749
119,2975170.38623458,1839272.81434465,729898.035773475,289463.853305161,0,8997.100704516,69742.059302874,27102.6610068359,10025.8111522852
120,2922619.86954791,1806390.07564377,716501.49931808,290174.986075518,0,9468.92374895639,63033.2077754387,28407.2954480863,10727.8625976085
121,3554179.33139331,1799037.28847852,726184.368692971,289285.598204862,633652.044398642,9445.58802503598,61646.5566308557,24286.7987852348,8413.73897049052
122,2911406.99364395,1810014.81885943,718852.666285651,287740.153620316,0,9584.5282955761,52976.1446215324,26165.4007488754,8666.3138631613
123,2865743.54859959,1769920.14258614,697913.37938925,288257.156431406,0,9633.87405255311,58618.3598630638,29857.2416530896,9978.6011904784
124,2886534.61804593,1737259.77785597,762925.291453363,287720.86591394,0,12127.4031263676,49576.8140034674,27225.8783878182,9067.47269234701
125,3494290.35527783,1741623.66740719,716265.948846335,287967.117661361,645643.785063383,7086.3650260677,51247.5294205987,32347.0710534678,8946.34592060289
126,2903736.9367326,1836283.77822254,685173.883485836,290277.506020443,0,9643.66614145805,50574.8852672211,17952.1073838944,8742.4751629727
