Period,Mean_real_labour_income,Total_workers
49,6414.78904699531,10914398
50,6778.90225184158,11021763
51,7092.02100217064,11059493
52,7113.98164433727,11048388
53,6705.54599729676,11064497
54,6521.17321865806,11128156
55,6554.01964535573,11235296
56,6660.1842529205,11156745
57,6744.03429129675,11057148
58,6741.66175252587,11247506
59,6886.42921069284,11410134
60,6890.54533395775,11521898
61,6808.84926639221,11482379
62,6723.17180647536,11421402
63,6342.54075613813,11521980
64,6004.7550431554,11538154
65,5984.66038142344,11452346
66,5961.57826280046,11487356
67,5872.63427761974,11551134
68,5678.46307194578,11654899
69,5989.56764548627,11437715
70,6367.17964941606,9965526
71,6211.48195433528,10050742
72,6161.55948052035,10346036
73,6142.06264850671,10735194
74,6161.55761095953,11027691
75,6182.02265297489,11349805
76,6289.26590282753,11404569
77,6359.12481683049,11402156
78,6405.11158896877,11475883
79,6455.37882609105,11531023
80,6551.39837894391,11546461
81,6595.50462501544,11640876
82,6645.39440630802,11662187
83,6660.62542988171,11666787
84,6708.165465419,11707294
85,6733.36258314133,11810601
86,6752.16778677999,11841668
87,6773.7744386958,11899656
88,6807.82667099261,11963124
89,6854.33047990122,11937236
90,6895.28175412588,12030418
91,6950.4339073033,12109060
92,6984.21621771622,12188106
93,6989.07173187232,12224993
94,7026.61227142243,12264346
95,7052.1538208292,12283006
96,7046.45845478475,12365938
97,7082.52640539804,12356618
98,7093.24073779064,12396761
99,7122.23854332743,12415951
100,7135.26224241131,12485007
101,7193.99559084763,12508141
102,7213.2318803897,12579592
103,7229.50084739605,12670953
104,7282.55389519483,12681633
105,7285.45356319297,12730359
106,7347.18407193876,12728283
107,7360.50841267067,12753509
108,7401.63691790712,12828201
109,7441.4553565934,12840359
110,7462.06455149618,12907476
111,7451.7034512323,12923270
112,7480.7652735092,13044185
113,7531.03511121939,13043534
114,7545.87729794103,13062298
115,7554.56324665169,13102796
116,7588.55386594639,13086441
117,7602.77704375328,13147118
118,7648.37339605908,13193858
119,7674.07668127142,13199759
120,7690.00051090827,13251426
121,7735.34419456624,13316241
122,7757.64443614779,13319728
123,7757.2898292165,13306982
124,7806.87624271862,13332162
125,7839.36738258093,13342884
126,7841.04885456676,13393377
127,7840.95734391683,13498832
128,7910.37504472388,13473031
129,7932.67942056889,13469485
130,7930.3427580429,13549293
131,7954.5339881911,13507355
132,7976.17091232694,13571952
133,7972.01213843249,13648607
134,7995.26619147942,13672485
135,8012.6522498878,13676855
136,8078.21042791002,13714412
137,8071.08832730657,13781517
138,8133.21727653474,13808563
139,8147.10688354426,13886822
140,8196.80998259551,13841342
141,8215.83035918273,13867524
142,8239.27188790662,13946738
143,8264.32636438781,13993485
144,8248.98022882338,14065436
145,8297.44438466962,13996043
146,8333.56537746365,14035682
147,8364.10534127825,14062447
148,8402.39513454485,14086980
149,8409.85265744341,14097830
150,8421.71275133558,14201342
151,8432.16827395051,14177294
152,8448.4233866153,14149051
