period,Total_family_benefits,Total_contributive_child_benefits,Total_auh,Total_spouse_benefit,Total_school_aid,Total_wedding_benefit,Total_prenatal_benefit,Total_pregnancy_benefit,Total_birth_benefit
49,2734350.16043429,769150.970156744,1347875.48370656,183870.104000691,338093.926038193,31526.3823338806,24077.1305853279,31658.6935432472,9202.30324894151
50,2477379.0710721,691195.429516271,1268052.4844006,184400.119829744,245542.076304456,20998.5084501751,29210.9064576864,27931.6708723083,10914.7131947921
51,2917699.64699186,904566.572509716,1553931.86249794,353100.647166009,0,3427.68829186488,28272.2424773039,68274.6358079497,7563.11359751674
52,2756313.56138864,868035.636248455,1446456.09856422,332075.995672236,0,7651.38230010397,38436.7963471556,54213.3977020749,10193.2630571491
53,2795174.27854746,651983.941091058,1253642.50840363,284415.403588367,535174.73604387,2963.34551881839,21138.0436511109,39227.9750118616,7113.02391421705
54,2827291.46962747,1170083.2953331,1281417.83113838,283463.506387765,0,4262.27989327429,40692.4994081849,41562.537068552,6701.73710393453
55,2477332.11619084,912108.961680962,1195744.49461844,265506.850230414,0,3313.79219433679,44329.3532834185,50876.2046295664,5933.34745344313
56,3910348.4398605,2134725.58721156,1259565.93983801,345441.107184082,0,6017.20836578514,88039.7773410462,63419.9744560475,13138.8454639734
57,4298955.28184956,1860159.28305272,1247158.55143378,324705.61349667,748947.797476514,5410.31196281292,73375.6709614865,29279.8648550301,10554.2742020238
58,3938877.93859074,2230764.05068608,1220883.19620096,356978.103767779,0,9241.43146997252,64519.83033329,48573.1089921066,8445.26291397342
59,3599109.6687936,1918501.09778747,1188096.3688738,338899.429955525,0,6384.15770926033,87888.1027564367,49450.610055503,10394.7851948797
60,4011961.89295399,2267425.78760671,1215955.532242,356955.85452758,0,8826.33476454865,94195.9994458094,57454.1403555487,11693.7191805119
61,4266309.08811414,1928232.33057195,1138999.25175111,330167.470120155,751592.026007215,7111.38473049712,70362.4095334242,30362.2381592399,9401.88872724604
62,3669736.53404985,1954037.25765909,1267560.96874312,324976.694746802,0,7066.37626714362,65596.2273316425,42504.8382165958,7994.17108545375
63,3308354.07920606,1717934.21404231,1155845.28700457,311941.598834788,0,7155.56382406401,61293.2617608139,45621.3356582711,8487.78414030457
64,3051358.17301921,1602501.74725369,1057614.22049697,286977.842965087,0,8464.50051935364,45333.3548958444,42990.0893593819,7514.95030676814
65,3573945.3037423,1572535.16486507,975641.666231167,280830.460077113,636008.316619114,4002.99816565245,63479.2110749803,33208.3789749041,8811.33075275378
66,3250249.78092665,1555100.35438503,1296043.1911,286803.320954177,0,7181.7781682519,66017.5723411818,31267.51765638,7874.04390280944
67,3176833.72483202,1565857.54194277,1215853.84952,292533.28643239,0,9242.06514455912,50905.3311336398,36477.6539637625,6750.90770051998
68,3280873.68152559,1622051.6834615,1285564.82994,287295.742486981,0,5749.74666316357,49222.6363374615,23653.7061101593,7238.93476422286
69,3814074.02779573,1535508.11448121,1262498.87977335,287857.768894612,636055.505337421,6939.91261489957,41686.3059349687,37122.7412993151,5719.51858640277
70,3228787.52294351,1695884.20664384,1124933.42864802,305786.670057155,0,7584.06224187404,46636.9910461841,41255.1909672209,6089.42787589934
71,3147891.75884111,1662112.00060127,1079099.18603371,302005.65577927,0,9189.57834014853,46342.8027920342,42592.6916340467,5929.09066617373
72,3254953.55893932,1720457.34729447,1122053.58698635,310688.118377125,0,6410.19365618459,56714.1072911574,30918.8586558013,7662.16713288191
73,3587822.97062956,1548349.93661689,1009536.60283038,291043.452480727,638906.676925895,7816.59488309596,54233.6779626529,29433.3253495667,7936.4935952857
74,3362444.6954202,1846765.57386189,1075418.55955529,324123.603180952,0,9821.39370422091,73009.9022731933,25313.9294235487,7918.55670989157
75,3119751.04091752,1646707.33276981,1063233.7467929,301451.638032375,0,5859.76513098165,51622.8608132525,43092.6354631272,7483.69988586666
76,3821119.03891257,2176973.86236293,1142819.94523426,354044.496421122,0,10651.6497444606,86573.0645937169,38813.2154451149,10852.8157765936
77,4272785.87933558,1990685.71433048,1059351.45245847,329183.933922909,764793.862953619,7537.74189334802,80612.691726767,29088.0802914648,11247.8429596421
78,4009065.79172919,2293881.08718505,1198608.97072956,359590.184334645,0,10793.9991400568,75146.1990802817,60116.9721285249,10522.0380318274
79,3665152.34580532,2057424.84126028,1142650.55639124,336858.383557145,0,10674.1993000425,68957.6047081127,38196.9098858798,10174.0061351864
80,4077157.56742333,2354696.49510116,1199976.89808394,365245.318400484,0,7400.03969127634,91041.1823777298,44602.372559889,13780.1511567426
81,4609562.96259591,2187213.88913627,1094392.75237513,349368.509036038,822280.086319607,11313.5825415506,85824.5816298227,45502.2852031033,13782.9481490081
82,4145362.08189443,2486034.2958257,1140817.35364873,378388.297616215,0,15524.4121330349,82081.6316747365,29934.4860521848,12325.1368804488
83,3853191.84507373,2289547.8191674,1078344.85747228,362809.484114951,0,8961.7910294203,60374.6615570603,43692.5296193931,9323.61687686596
84,4240415.79100701,2576234.22761883,1104489.32505347,383574.752570119,0,11039.501118218,86295.0917064455,65088.5848952473,13549.1243001556
85,4881328.83171323,2378225.60553702,1101373.03221431,372597.546735096,868348.02296958,10947.4959877476,76738.4043900093,59713.1222499351,13204.6055970457
86,4316501.26260628,2679124.54265237,1073393.60766949,395936.471780077,0,13348.915520045,91673.9274413621,51061.0821662499,11202.3782413464
87,4111475.34962451,2541299.42821319,1050350.26089718,385058.209382609,0,11334.3176658716,75655.9033345711,38366.1288307331,8520.73790938215
88,4400355.43290527,2799439.3950135,1022293.36366863,404830.46384175,0,13399.9473128713,106177.230647101,39445.5816258378,14234.7633728052
89,5130385.90815523,2601181.07078963,1043509.52433247,393582.963281148,918453.685227781,17733.3824924464,93686.1949714954,48603.7664991519,13263.5792641717
90,4490779.82786511,2757993.96012843,1134746.60831646,408310.813631859,0,14311.9100674279,120913.945146082,38382.5535400801,15574.1956288962
91,4334947.11244738,2725419.06229419,1046748.02893864,400799.184266733,0,10142.1765154849,90245.807650961,48447.9946197824,12697.684159252
92,4499721.50653407,2892567.19827439,1035273.69915726,413430.259994897,0,10566.5756255737,102324.652044918,29231.2267349004,15617.8087402967
93,5372679.974386,2818386.60650838,1021613.43460612,403912.342308809,965868.305984419,13375.802687558,107200.711581759,26604.6149234593,16345.178639737
94,4699118.52033145,3038835.98477095,1037909.36399437,422347.983563162,0,14620.4688690157,130689.859905463,32791.3515389488,21550.345220793
95,4581032.2858732,2909172.56303887,1078595.90281805,415990.612494885,0,15827.8427116356,101451.268297214,44054.298715309,15662.190197261
96,4700245.92825114,3000515.73240958,1093085.63406537,421134.414505524,0,12687.4632639741,123581.089742568,32340.4442301561,17198.0568270259
97,5663264.93422805,2994284.13373545,1071690.94635569,417768.050395383,996527.016482193,18277.023066717,108621.029276283,33149.0578032059,17693.0213747121
98,4734445.54183617,3057224.03752164,1079436.74067791,424073.648005511,0,14660.0675354066,110158.829716553,34574.2596453027,15098.357353267
99,4676806.90803713,3001973.72234805,1076044.81135614,419146.225079704,0,17387.5637879946,116555.030515889,25899.3116317475,15172.0808219661
100,4682596.1500157,3022998.30130599,1052645.04908046,421131.142682784,0,19846.6384736133,110364.512278894,38390.944176816,16437.8321871448
101,5682642.46844619,3052615.21570145,1032208.60316277,414686.19281803,1003341.21613859,16217.6842058079,95648.8247582069,52081.2889257387,14532.5626285877
102,4777451.70294608,3119293.77829992,1020848.98071493,419184.533998361,0,17673.9675944108,142122.908492853,40226.5058193972,18186.8591328407
103,4596763.54681355,3056724.75190799,966123.270333648,414386.730048807,0,13559.1653126214,96853.4339895629,35017.3582720014,14330.0432051158
104,4705582.15550267,3172900.93704611,917901.634111575,424252.354348831,0,18594.3534075438,111319.316635238,44850.2169338543,15729.668789458
105,5644227.03806234,3075376.01586125,944028.287299249,415725.612411659,1014592.47217457,13073.0065673349,133891.990889246,29966.8630703483,17436.697531595
106,4741308.08021958,3127847.93075682,975206.403289441,424922.562395868,0,16400.1763143617,127908.388134556,52054.437254912,16470.7834824995
107,4703344.4125996,3084747.92744966,992949.740528996,419745.199857711,0,18736.1637923522,112439.517255509,57002.2622336326,17705.9838221805
108,4690775.05670946,3179992.54630133,914409.443277201,427156.133034759,0,15203.8998859495,109777.142775072,30324.8005354396,15196.2970878776
109,5635580.48225126,3110051.28364639,906641.628975501,421515.216567991,1011850.15539628,18353.4832715428,114223.37223494,38649.3036576476,16904.2029617855
110,4844407.56360844,3299189.79105114,894291.463800807,433894.155295864,0,16978.8249306853,157477.183244658,30892.7218135722,20430.506590152
111,4698753.55520705,3182452.6341978,882403.878130342,432872.514925622,0,23690.4164410144,124622.462278079,36567.8292282136,18124.3572299407
112,4835119.00700462,3331161.52669544,864862.493574112,444216.16499487,0,20580.7420895595,131307.804233665,34528.0121182259,18253.8568928898
113,5740316.79040096,3244960.72835697,842296.548178033,440204.877615134,1017535.35274981,17291.3668651899,132013.124631929,31676.4515455041,18858.8336816911
114,4849480.22834211,3349931.09386819,837858.074118565,446002.679521288,0,20114.6300835196,156257.996477903,24615.0262115968,23443.2012756259
115,4601680.22345925,3155884.54315526,808204.79356779,440195.62727614,0,18288.0858765382,120553.765337692,41515.7845786715,20196.9014162175
116,4695029.37114504,3281318.75942735,799418.427082871,444874.794259589,0,14331.6381632537,114576.718004455,27626.6217138186,15637.8915530951
117,5628296.68436673,3209140.44128736,777867.074703397,441907.458365808,1008021.86812237,20423.9299930238,119584.871750106,38007.7944908271,17923.5404851646
118,4712533.41020489,3387940.02726279,691597.112088613,447752.492571058,0,21897.0138465329,127398.057787139,19969.483754192,20865.1021394471
119,4614638.130861,3345419.86127793,620747.303209827,443833.761585012,0,20726.0080196975,130984.896031928,34724.5923858364,18216.1138347144
120,4654194.46272154,3358014.01304293,668441.708509437,449181.739055939,0,15537.4441301185,120622.590430972,29398.0913598973,18350.449016002
121,5603861.2330866,3245005.72847757,721228.329303016,440975.391631108,986043.952086654,15661.558079846,140135.473220995,36795.5753780997,17437.0088014218
122,4683642.17767571,3330772.37299229,695047.65059626,449439.713736393,0,23057.4759224256,140922.550834633,22490.2036473798,20779.2745341153
123,4632187.38998597,3346328.52590998,637484.987789655,447599.507329486,0,21498.3781916521,136124.917034764,19371.0357535528,19332.9066338652
124,4615003.27952349,3336373.7075801,651576.264732462,453150.391387725,0,26749.4608563921,111275.832115469,15792.9835338471,20272.8522121397
125,5612745.10509242,3261332.83923142,702002.212302677,447262.007283855,995322.498611468,21873.1302867488,124930.499160024,32036.7883003343,22262.9429668779
126,4623439.77280864,3313389.23545621,669592.820219213,445877.270758639,0,22864.5463479658,132256.332811518,19528.0398081371,22391.8659416694
127,4539864.79105722,3243499.78331689,666323.390801189,445217.288800586,0,21997.3454898257,126552.689559764,17541.3902093724,22799.7010517819
