Period,SIPA_missing_contributions,PAMI_missing_contributions,Obras_sociales_missing_contributions
49,3523.6083146706223,960.984085819684,960.984085819684
50,3167.8842418678105,863.9684296003543,863.9684295998886
51,7515.842451438308,2049.7752140290104,2049.7752140285447
52,11545.467944517732,3148.7639848697,3148.763984871097
53,12760.117469355464,3480.0320370951667,3480.0320370951667
54,6377.197334300727,1739.235636626836,1739.235636625439
55,7268.842789679766,1982.411669912748,1982.4116699136794
56,8675.195444017649,2365.9623938221484,2365.962393824011
57,6854.36925515905,1869.3734332229942,1869.3734332239255
58,6669.798342529684,1819.0359115996398,1819.0359116001055
59,9418.421839434654,2568.6605016659014,2568.6605016654357
60,5129.505704078823,1398.9561011120677,1398.9561011139303
61,1414400.9649076909,129853.29889213666,499365.3136417661
62,1632925.0146828666,149586.52658224525,574405.0835737139
63,1208755.158804521,111625.94223966077,429013.9759835694
64,1336996.1781243607,122801.86755403457,470684.2658470804
65,2282754.0026227105,206948.78896229388,790628.2815181725
66,2436097.533517506,220876.33305431996,841661.0838735122
67,1925736.4874378517,174696.4347139704,668553.8944601351
68,1983635.3582438566,179607.9493309767,686949.556570542
69,1525315.1205480993,148330.28818176547,565641.5993736023
70,1681500.2991632782,163975.72442448512,622980.0687595578
71,1328629.2665217407,129954.09774015937,496884.65773393586
72,1522887.9599935487,149880.00291682873,570815.9583947426
73,1220437.1051297896,122270.02539278427,464729.34880455956
74,1421015.767725654,143094.61161520565,541036.4605667451
75,1113808.3277194388,113457.04987944476,430476.8820762262
76,1339558.5611749813,135743.74878895842,513511.6712249592
77,1027226.8765089549,105188.11822785763,400478.94997877255
78,1258354.687332034,127746.93826122815,484850.8834168166
79,937096.3807516769,97113.44235124206,369974.1798434472
80,1166394.6182785593,120103.63685952034,457497.926346967
81,860839.1206169277,91278.49238297902,348162.80224148836
82,1096511.4717427157,115040.58613373246,438176.8731442932
83,794597.7744147405,86501.69985952834,329353.5226155827
84,1055570.6109462865,111965.94032330438,427688.29390415363
85,758887.875774093,83638.31088342611,319879.83802004997
86,1033536.4538577944,110629.14701512828,421396.7183874184
87,734937.2125037275,81523.94178351527,310836.51714602485
88,1022394.0323227756,109243.82513189502,414405.30056075286
89,702325.9697542824,78686.4513023328,298783.98464964516
90,991542.5990597643,106951.8158586435,405103.1404462429
91,680747.6628773846,77642.47697373247,292439.8594523724
92,997460.6160979085,108777.3242038237,407354.1403913796
93,659992.6368432008,76151.12299609091,284683.69776716456
94,972888.5732077546,106703.84624798829,399052.6257654624
95,644396.0613076203,75165.03510148544,281083.9846095294
96,959050.4391877614,105461.15067152912,394006.80926536396
97,620771.0184409656,73198.11908898875,271348.64543266967
98,947653.8896320947,105711.19774529338,391763.3514817087
99,605411.2706819549,72911.26930374699,270455.03163755033
100,951041.7326650508,106765.19520874973,395575.0512099387
101,604721.441859778,73982.94860502426,271517.7263885299
102,947101.7717096843,107040.15969049279,392885.5278119622
103,592048.8509044982,71703.45487527782,262134.63476219494
104,934939.4857339114,106491.02686279267,390016.8223772496
105,586898.9418640658,72313.96760729235,262795.08973384835
106,934130.3194639869,107177.25197617803,390745.6143695973
107,590122.9071141817,74396.15069448575,267127.21371828206
108,930241.1356480382,107358.4647703357,390181.3299602531
109,571749.4948832728,72287.30799649376,261429.3565762723
110,929015.9706791267,107367.07311214879,390765.33617650904
111,561142.709661629,71432.51256347541,256819.40805544704
112,913639.2696201354,106366.32341779023,384906.1857459303
113,545957.2014360055,70319.69663012214,255192.3254119996
114,907399.2138445191,104928.64150584117,385054.46624376625
115,525762.4547654912,67595.66677815653,246234.81195743103
116,879318.3224450499,102231.62707440462,376083.8309394121
117,507338.96498676017,66159.55613467749,239885.76101672184
118,873320.5048628822,103171.61448214483,375402.1800951082
119,506864.69040549174,67559.82438959135,240671.1456756629
120,879775.6114364788,104489.55296240095,376528.4301381223
121,499716.4645938985,66524.84306689072,239258.24009252805
122,878721.7961700223,103983.4520094581,377278.00644141436
123,512758.1327238381,68701.10379965091,242930.98879712634
124,878410.069828298,104601.93226690497,375170.8528678268
125,499995.955172047,67761.14908363763,235011.0303226877
126,893182.3256457597,106154.87729576044,375113.9216923602
127,488293.1656784043,67998.10888977489,233719.3437717501
128,871242.6886452846,105403.11564705893,372955.5671173092
129,486697.41933388636,69079.57575395377,235196.3647932075
130,862164.1510655284,105415.32170562912,371458.76599744894
131,468949.7499244921,67550.88068742119,229299.20844492782
132,854727.0696185678,105890.2512287153,371233.7688728627
133,448500.44922297075,65808.04551477823,226365.10326012224
134,840883.5907069147,103655.88032922242,364810.8954143282
135,447476.48798179254,65831.80466307094,225040.9624650823
136,836960.9676453471,103508.62371068727,364974.8786622882
137,433864.550936833,63985.7130151717,217353.6536639398
138,840522.7423465326,104318.41628902964,362380.31621177867
139,443507.55302830786,65036.762645009905,216754.71171246842
140,853198.6274718568,107046.75391645823,364986.1973545961
141,446695.50131072477,67584.19946274813,219711.41601362173
142,851081.2642842717,109042.60624847002,366616.91934567876
143,448911.96473976225,70531.86425499432,223289.90570000187
144,868626.3253752626,112747.36487799231,372270.01250400953
145,448131.62125223875,71338.58772806264,222760.83775536902
146,871995.4225231782,113798.27269361075,374489.0337703712
147,467289.57026461884,73998.56931150705,228948.63635437936
148,882171.0546968691,115420.44858978223,382255.679605538
149,475724.39410414174,75213.78859190829,237071.02210933715
150,882632.6679537222,114860.36903906055,383434.6167164985
151,474688.1290821843,74557.14834479522,234637.35955075547
152,899270.1490987651,117596.93953349628,386481.37948898785
