Period,"Gini insee, all income","Gini insee, labour income","Gini insee, labour and pension income","Gini insee, labour and family benefits income","Decile ratio, all income","Decile ratio, labour income","Decile ratio, labour and pension income","Decile ratio, labour and familiy benefits income","Top 10%, share of all income","Top 10%, share of labour income","Top 10%, share of labour and pension income","Top 10%, share of labour and familiy benefits income","Bottom 10%, share of all income","Bottom 10%, share of labour income","Bottom 10%, share of labour and pension income","Bottom 10%, share of labour and familiy benefits income"
49,"0,369703939","0,4043871415","0,3800518571","0,3954040252","6,0042007077","8,0076367047","6,6861030256","7,2907398408","0,2172091736","0,2314684505","0,2255013145","0,2212588982","0,0320896164","0,0268725943","0,0248650646","0,0354456639"
50,"0,3652758227","0,3972697515","0,3759603773","0,3901676848","5,54150683","7,9259909309","6,5306118604","6,7021295111","0,2093294803","0,2135359208","0,215710042","0,2058104418","0,0356276861","0,0313417728","0,027444168","0,0412100953"
51,"0,3661583704","0,3956106942","0,3781221231","0,3843391466","5,6429873483","7,7355229087","6,4999957514","6,542896317","0,2097741559","0,2189977801","0,2172276205","0,2099209092","0,0376067518","0,0305916933","0,0277063295","0,0424313767"
52,"0,3716946373","0,399217885","0,3800780812","0,3902228138","5,7979661371","8,0839416081","6,6080352292","6,8924358263","0,2105510346","0,213497223","0,2174107213","0,2052297974","0,0345803374","0,0280396999","0,0248452114","0,039864034"
53,"0,3647630245","0,3972858155","0,3754883792","0,3873850972","5,6167349338","8,1963211951","6,574665038","6,6934141453","0,2032748925","0,2149304249","0,2109826161","0,205383589","0,0362911463","0,0293711282","0,0259333195","0,0418120295"
54,"0,3697695888","0,4031910893","0,3786394277","0,3954964362","5,9063762854","8,3846001791","6,6713627569","6,9964128275","0,2095902761","0,2211292621","0,216300355","0,212689699","0,0348917066","0,0288576476","0,0256631598","0,0400893768"
55,"0,3778812242","0,4056539043","0,3859171361","0,3999363504","5,8522413541","8,1703420283","6,6509334501","7,1150715184","0,2151872422","0,226293721","0,2213312925","0,2186770792","0,0364783611","0,0302131377","0,027373045","0,0411576861"
56,"0,3698025823","0,4036718899","0,3826141074","0,3903130613","5,7762160741","7,7937028147","6,5083982626","6,9399716063","0,2067009483","0,2123349521","0,2159065373","0,2012477821","0,0363356186","0,0304475199","0,0276210142","0,0409723415"
57,"0,3715255508","0,4044838718","0,386946013","0,3874519489","5,6294925196","7,8502528437","6,7081953428","6,6204955515","0,2114034741","0,2264002028","0,22297459","0,2120455926","0,0360930412","0,0287835825","0,0261743846","0,0407362447"
58,"0,3718654086","0,4070547283","0,3849864141","0,3928123698","5,9770633831","7,9664791419","6,9625583961","6,5410276088","0,2079832657","0,2141166709","0,2178554099","0,2021061661","0,0347104252","0,0293551019","0,0258390994","0,0401391937"
59,"0,3746741194","0,4031410418","0,3845432954","0,3932991331","5,8795798187","7,923215493","6,6088964119","7,0554841745","0,2089382426","0,2205485622","0,2176680876","0,209728859","0,0339362419","0,0282588931","0,0251258903","0,03888115"
60,"0,3659062638","0,401429668","0,3786559289","0,3870307991","5,6080859669","7,5879916065","6,5068532888","6,4608156414","0,2049248078","0,211740824","0,213867503","0,2007547201","0,035134041","0,0315395999","0,0275372507","0,0407582634"
61,"0,3666395754","0,4018666211","0,380904796","0,3861802732","5,5107223275","7,9940333557","6,5638492728","6,6243301758","0,2064564192","0,2228378667","0,2172513796","0,2092652212","0,0358199802","0,0304204299","0,0267559083","0,0413066322"
62,"0,3712052877","0,4015980566","0,3802596811","0,3914116423","5,6513772512","7,867152553","6,4353775977","7,0106819216","0,2067806636","0,2175393156","0,2145001118","0,2079426019","0,0357271736","0,0302251928","0,0274557432","0,0402423437"
63,"0,3721092272","0,4015117855","0,3814193272","0,3910933844","5,4826611653","7,8056894936","6,1272737941","6,5830596772","0,209101742","0,2207449567","0,2166256243","0,2113371535","0,0371003139","0,0312859482","0,0284728341","0,0417525544"
64,"0,3712494139","0,4012664483","0,3820455859","0,3889086638","5,4284212011","7,9432849668","6,2835328749","6,5664635538","0,2089411442","0,2186000213","0,2166309157","0,2090302256","0,0402224967","0,0351864719","0,0306425987","0,0468022545"
65,"0,369853657","0,4010893379","0,3813311041","0,3872501288","5,3845394442","8,0519675046","6,331464027","6,6044254202","0,2085638887","0,2211970439","0,2182063946","0,2091746011","0,0390154157","0,0325232669","0,0283104719","0,0454609248"
66,"0,3735111211","0,4004630328","0,3834286978","0,3892132988","5,6548970354","7,889439648","6,4783035343","6,6571848779","0,2128153106","0,2217413566","0,2204903607","0,2122058885","0,0382795744","0,0337433616","0,0293641885","0,0445689352"
67,"0,3735498032","0,4009604568","0,3829640396","0,3909757721","5,5770915393","8,0045553394","6,5241938833","6,8371539324","0,208664187","0,2183144571","0,2162834594","0,2087772478","0,0373796598","0,0332598541","0,0288573985","0,0436358678"
68,"0,3726744176","0,4013355132","0,3807482623","0,392419478","5,5835192461","7,6494114331","6,3764998984","6,7588184654","0,2051503896","0,2139055346","0,2125094835","0,2046754156","0,0368812481","0,0331905608","0,0290517005","0,0427679579"
69,"0,3667048602","0,4057571268","0,3822665949","0,3880160934","5,1945028537","7,555726623","6,3894948669","6,496135637","0,2064180529","0,217951049","0,2160951013","0,2057140729","0,0406645361","0,0357853176","0,031735202","0,0467533324"
70,"0,3716514102","0,404936711","0,380274974","0,3953600742","5,6365193987","7,5658092596","6,3252372531","6,6750355932","0,2106952449","0,2219265927","0,2184584523","0,2119807873","0,0355531924","0,029726901","0,0274985029","0,039785085"
71,"0,3713375293","0,4042931514","0,3786850849","0,3962741428","5,732939507","8,1409074662","6,3779286791","6,9995721027","0,205450863","0,2127477498","0,2126247961","0,2036570769","0,0356912264","0,0305413311","0,0274492923","0,0408472411"
72,"0,3688085733","0,3966333785","0,3743340073","0,3906292821","5,7044730592","7,262857171","6,1240132206","6,8054162231","0,2064387707","0,2071214929","0,2134641144","0,198445314","0,0338837562","0,0283078366","0,0257996024","0,0384924005"
73,"0,3641827394","0,3939300345","0,3747663631","0,3810916912","5,5670232285","7,6847487706","6,2469345325","6,5515355416","0,201779832","0,2029959506","0,2106657661","0,1920972937","0,0375736544","0,0311823538","0,028798781","0,0422238147"
74,"0,3640685562","0,3908695759","0,372009676","0,3811266668","5,700216752","7,7905476948","6,1835829832","6,6663030089","0,2063706076","0,2074451697","0,2133645933","0,1987421636","0,039510073","0,0334482852","0,0311354587","0,0440699231"
75,"0,3647572319","0,3982847501","0,3740929127","0,3858760203","5,5252253065","7,9942860938","6,1284949022","6,8275271777","0,2102545442","0,2118962782","0,2177075973","0,2025307732","0,038196467","0,03357192","0,0299304301","0,0440832043"
76,"0,3672595883","0,3956965027","0,3737569945","0,3878033999","5,7548111617","7,4950390773","6,1227632368","6,8091192158","0,2097114869","0,2075982094","0,2171157504","0,1984192842","0,0356594953","0,03084508","0,027944397","0,0407200857"
77,"0,3517031232","0,3878556573","0,3649172944","0,371750472","4,9528381411","6,945219949","5,7493933646","5,9420266097","0,2004312408","0,1986687214","0,2098942445","0,1869793947","0,0403147541","0,0343369917","0,0311801691","0,0460747349"
78,"0,3679123439","0,3953955937","0,3741097305","0,3870587719","5,7471200739","7,8508260801","6,1316749259","7,1421950296","0,2060949278","0,2003564707","0,21311752","0,1916947248","0,0387038503","0,0338613612","0,0293723186","0,0459115828"
79,"0,3637746724","0,3962963854","0,3703419428","0,3877189436","5,5456953736","7,5786956524","5,9970487152","6,6552028713","0,205998427","0,1998275593","0,2129614958","0,1912348901","0,0393310542","0,035403787","0,0304803649","0,046834568"
80,"0,3565146499","0,3900486917","0,3649085476","0,3783090439","5,2984794047","7,0431899882","5,9148242433","5,9754342172","0,2033248075","0,1943397824","0,2101703261","0,1859910518","0,0430087576","0,0413846517","0,0348301741","0,0518896273"
81,"0,3553353539","0,3897367046","0,3648764472","0,3769944052","4,9544601648","6,7681316197","5,8097412268","6,147097978","0,2026812983","0,1941809117","0,210807322","0,1843297718","0,0419586535","0,0400382614","0,033162567","0,0512653504"
82,"0,3613583435","0,3903808954","0,3662033583","0,3862866057","5,5077925334","7,4860752419","6,1079220205","6,6981504863","0,2058805002","0,2051256454","0,2123600005","0,1968087653","0,0386089267","0,0369380054","0,0313759599","0,046325739"
83,"0,3632001462","0,3926972305","0,366812325","0,388230346","5,5589044877","7,1330091155","5,7595247485","6,7584732913","0,207672401","0,2037247439","0,2144473692","0,1951252905","0,0385003151","0,0349419836","0,0303198196","0,0456792586"
84,"0,3675485884","0,3989106113","0,3711960966","0,3938809468","5,7462329395","7,5628171297","6,1007453028","7,1722033344","0,2075968461","0,2032339075","0,2143057557","0,1946705763","0,0377133909","0,0343778777","0,0290792867","0,0457788291"
85,"0,3626597763","0,3985626769","0,3724524016","0,3845010173","5,4978343436","7,2616926665","6,1629963845","6,4784227074","0,2078250451","0,2053097842","0,2164208805","0,1943469965","0,0388235005","0,035196248","0,0297021959","0,0471691391"
86,"0,368003441","0,3994922232","0,3731084222","0,3921314453","5,6326588912","8,2295174931","6,1805614471","6,9245908058","0,2143570013","0,2117514525","0,2211799931","0,2029174333","0,0373692935","0,0336581893","0,0285752448","0,0453389114"
87,"0,3772854449","0,4080857613","0,3813520042","0,4028815256","6,2260058524","8,4549208394","6,5641542766","7,4325960701","0,2177899832","0,2168456498","0,2245166884","0,2080340743","0,0348927971","0,0311216556","0,0266945036","0,0420608999"
88,"0,3749550605","0,4073806006","0,380176446","0,3998601601","6,1787560561","8,6534931915","6,6465879782","7,6177609269","0,2155027877","0,2136932222","0,2223880407","0,2047188805","0,0369177537","0,0343436302","0,0291590925","0,0446499468"
89,"0,3697441477","0,3965620884","0,375241002","0,3886025797","5,7591894537","7,6059326717","6,2984677914","6,7925125646","0,215830231","0,2112381678","0,2241546134","0,2005069476","0,0373942383","0,0349091558","0,0292174168","0,0458051688"
90,"0,3714434191","0,3941000094","0,371523525","0,3939617783","6,0430859214","7,7299619794","6,2136935646","7,4762185365","0,2142030853","0,2066674149","0,2209332814","0,1979200889","0,0362212139","0,0335061645","0,0275801497","0,0452627082"
91,"0,3690469209","0,3954148014","0,374393925","0,3893117511","5,9318217679","7,7178048846","6,4257185709","6,8231706796","0,2178956055","0,2106463658","0,2244125748","0,2021848046","0,0361248174","0,0366051362","0,0300018163","0,0448101077"
92,"0,3690943057","0,3936607522","0,3726863101","0,3882983149","5,7601047392","7,2383192699","6,2809692523","6,7451200041","0,2124886581","0,2018818007","0,2188784266","0,1937890333","0,0398363511","0,0392713101","0,0323073703","0,0493300134"
93,"0,3682302384","0,391100947","0,371666421","0,385789626","5,8596371218","7,1346427116","6,1727995978","6,9282878425","0,2016187225","0,1837602683","0,209131575","0,1746984754","0,0363960196","0,0352066803","0,0290556162","0,0449793412"
94,"0,3684730246","0,3931439441","0,3707823913","0,3898886415","5,7355741041","7,6511629103","5,8983194163","7,549111217","0,2062866952","0,1852436261","0,2121698539","0,1781161442","0,0362831788","0,03575071","0,0292588771","0,0452482325"
95,"0,3697430613","0,3903955491","0,3716301759","0,3884501633","5,9300378414","7,4129512192","6,0693978371","7,2086019736","0,2121554118","0,1945174274","0,2183351739","0,1867981851","0,0371398095","0,0373349204","0,0295105364","0,0477198673"
96,"0,3736966742","0,3979201272","0,3762757515","0,3939359103","5,9729476255","7,9939585119","6,1659007293","7,6055521443","0,2073704884","0,1859168222","0,2133382498","0,1785591566","0,033303519","0,0355226461","0,0279932099","0,0427363061"
97,"0,36610648","0,3890601064","0,369285469","0,3842145804","5,4144391706","7,3530494238","5,6378859478","6,7966732499","0,2065981539","0,1903216864","0,2144853474","0,1803753572","0,0348220114","0,0334630166","0,0276931243","0,0432995933"
98,"0,3774496644","0,4017251712","0,3759119524","0,4054910828","6,1838622994","7,746247936","6,2536708956","8,1343265194","0,2132268158","0,1918227063","0,220028243","0,1833250603","0,0326046481","0,0335546277","0,0246479587","0,0445667454"
99,"0,3740673517","0,3985886092","0,3757570945","0,3960823347","6,0370193005","7,7864885825","6,0912646998","7,0339994883","0,214545065","0,2020721515","0,2212921437","0,193250565","0,0353346918","0,0363494787","0,0270233802","0,0478499594"
100,"0,3735095539","0,3979104173","0,3782945979","0,3914403735","6,0340554627","7,7083340261","6,2478401151","6,8655205105","0,2124740203","0,1922200566","0,2179920813","0,1852329669","0,0402189231","0,0461043125","0,0332828632","0,0556017516"
101,"0,373023473","0,3996040122","0,3782355279","0,3914286045","5,8278993473","7,743540561","6,2491887255","7,2328125136","0,2171409168","0,2038376087","0,2253032838","0,1932549558","0,0342324834","0,0333443363","0,0258813137","0,044930446"
102,"0,3775644679","0,40414939","0,3793572668","0,4019149161","6,1279459703","8,2413384391","6,3150120684","7,7711391566","0,2162169236","0,1970010849","0,2224819268","0,1889453175","0,0320959252","0,0376359382","0,0262911503","0,0456005083"
103,"0,3815772661","0,4110103062","0,3805482194","0,4119298937","6,2764734003","8,1777719182","6,8271401124","8,1209245705","0,2219918028","0,2109650969","0,2290220415","0,2014102177","0,0332606671","0,0369732403","0,0254119293","0,0480297721"
104,"0,373205471","0,4090629502","0,3778593141","0,4032510523","5,9269298681","7,868294018","6,107791168","7,3364691086","0,2165000952","0,2030011191","0,2234594187","0,1935853689","0,0383033681","0,0429392608","0,0302418844","0,0543581013"
105,"0,3768488895","0,4126699847","0,3820440151","0,4052624393","5,7752652181","8,2098274614","6,109862075","7,2594586638","0,2178481002","0,2083817964","0,2258902128","0,1974082072","0,036709534","0,0403645077","0,0298692085","0,0499305331"
106,"0,3714771954","0,4021155205","0,3741176092","0,3982449383","5,6658951545","7,4388325951","5,8574482567","6,9240981767","0,2132518527","0,194088745","0,2190766922","0,1863905815","0,0357129884","0,0400370635","0,0295843143","0,0487682461"
107,"0,3596981405","0,3879209663","0,3586538316","0,3896480532","5,5718272939","6,5653425403","5,5977223813","6,4317205953","0,2052465061","0,1868188346","0,2106576814","0,179640759","0,0380479915","0,0411946999","0,0309598796","0,0514036918"
108,"0,3681434973","0,386179162","0,3663167316","0,3891423977","5,6072507601","6,5402845994","5,4743954503","6,6769755175","0,2158968852","0,1852584833","0,2211611937","0,1786383199","0,0345212387","0,035510895","0,0272904235","0,0460698045"
109,"0,3713880895","0,3939582505","0,3734214126","0,3935685341","5,5517691679","6,9679984951","5,807664159","6,7550130336","0,2212183865","0,2070595254","0,2279343713","0,1979828759","0,0347751963","0,0388773133","0,0291345425","0,0468558941"
110,"0,3676958709","0,3981998902","0,3681582279","0,3972522097","5,9212923689","7,4426588444","6,0156987163","6,9581953849","0,2179088601","0,199159517","0,2233868198","0,1918103013","0,0349510201","0,0408780304","0,0284998188","0,0501263909"
111,"0,3691391333","0,3956457109","0,3711831891","0,3923688744","5,7929186469","7,1441552603","5,8614400501","6,6439852793","0,2196626728","0,1993232626","0,2249056129","0,1923674765","0,0388373247","0,0475395524","0,0328602776","0,0559739697"
112,"0,3638484774","0,391712997","0,3651707747","0,3907367546","5,8766229553","7,3361131337","5,951565722","6,6804970039","0,2146743645","0,1920357593","0,2191181971","0,1862309615","0,0383865485","0,0476426187","0,0331783972","0,0549683792"
113,"0,3635295843","0,389461226","0,3653861559","0,3869709282","5,7924826489","7,2232101719","5,809304207","6,8576901983","0,2192564226","0,189145497","0,2250943576","0,1817532151","0,0362015132","0,0429020426","0,0298311991","0,0519856292"
114,"0,3722121976","0,3953766023","0,3692352421","0,4002478958","5,7467052755","6,679282589","5,6906186116","6,804878925","0,2255806084","0,20942477","0,2299799445","0,2034260686","0,0317695851","0,0418370883","0,0285173751","0,0463253957"
