period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit,,
49,"2538621,28853416","753479,60607898","1182441,80274231","184059,839212045","329676,298169872","29223,4421066278","19082,9971796416","34981,4227004254","6951,1376479741","2539896,54583788","1275,2573037241"
50,"2234913,58584432","688834,203156737","1075731,04713076","180931,508813209","207115,971116676","20491,1741987984","21436,9267541309","35081,5704216346","7026,790185278","2236649,19177722","1735,6059329002"
51,"2732023,16105486","934980,503718476","1363841,20981699","348743,116375154",0,"8471,9610116905","30820,2928585027","39370,2445358383","8576,4902201079","2734803,81853676","2780,6574819"
52,"2599865,23235812","864433,363022721","1313795,91438718","324073,225920839",0,"5419,9395632972","31237,1198176214","54586,3858782628","9282,7543323809","2602828,7029223","2963,4705641791"
53,"2637794,09570282","605215,682157241","1154485,4583073","287749,016861242","509000,520479087","4961,0856622588","20620,1712907806","51744,7707879551","7011,8943969503","2640788,59994282","2994,504239995"
54,"2246743,96467671","704381,609216526","1196145,81973064","286842,062234317",0,"3394,6150657585","20068,3341355943","31626,012365586","6287,1731387065","2248745,62588712","2001,6612104168"
55,"1925094,91186413","517205,011758792","1084805,01949124","267007,563737935",0,"2349,1633757372","14182,2669868157","36659,6462431624","3863,7485180729","1926072,42011175","977,5082476232"
56,"3302529,52891671","1715614,41042646","1131297,55859427","347619,779092754",0,"5670,0015078323","56886,8798930484","35422,2972426319","11209,6349560655","3303720,56171307","1191,0327963531"
57,"3657228,8712905","1381343,33841344","1192021,34335775","324341,128382932","655857,025655377","9416,0990314666","41703,6372130198","47803,7825076049","7736,3165905323","3660222,67115213","2993,7998616276"
58,"3369824,16023072","1634290,84391476","1274994,36091014","349401,883460162",0,"9426,0703206816","55518,5838842106","36942,7844765237","11542,5540517096","3372117,08101818","2292,9207874676"
59,"2991881,87226061","1354722,0197463","1185991,60308835","330632,885717617",0,"6491,7218282349","49859,6159759069","55860,5490104018","9965,6496427064","2993524,04500951","1642,1727489"
60,"3407152,32230135","1649021,67328752","1274157,5921588","349998,752138913",0,"7908,0587567759","64137,3113704306","50417,0889198187","11658,2108302017","3407298,68746246","146,3651611069"
61,"3656947,0353872","1395894,27930004","1165940,81640273","322008,492895179","645872,247086261","8734,167924874","59742,5253700118","48117,6920239804","11449,5455763408","3657759,76657941","812,7311922172"
62,"2726137,94224799","1306374,10412826","1044258,0090432","294560,623090192",0,"3556,9542254016","37740,3652080927","33107,8966389866","7132,256297343","2726730,20863147","592,2663834803"
63,"2587577,64239771","1178669,34927221","1030769,15516006","286256,367707609",0,"6473,6000904525","32132,501620413","46022,3337496976","7372,6376490353","2587695,94524948","118,3028517617"
64,"2631855,46276628","1185736,66500312","1057464,80883771","280536,835575288",0,"12844,8567719385","43974,7808733767","41388,9918936286","9971,7895520082","2631918,72850708","63,2657407993"
65,"3059460,41415605","1145373,81238135","988907,643656642","283542,519080287","553297,833333513","5267,8008481752","45161,4263767551","28851,4660197976","9206,1188025778","3059608,6204991","148,206343045"
66,"2590536,90920618","1194058,00188471","1012706,45483262","283698,486852008",0,"6997,2331522916","52053,3890299252","32686,911381096","9840,943114896","2592041,42024756","1504,51104138"
67,"2476398,68249375","1113720,63781695","984490,669027687","283165,828515745",0,"5727,3078470162","35506,2688731855","45393,2527414339","8458,1630808164","2476462,12790283","63,4454090875"
68,"2557919,24210762","1129287,51711022","1060997,17021955","282285,50559975",0,"5489,2615464244","35855,6445912067","36563,7917301974","7503,9153463839","2557982,80614373","63,5640361095"
69,"3050295,62982913","1094973,57317317","1031908,74653059","283523,311513188","549903,02311996","6788,3785247292","42821,7605730052","31222,6847715386","9303,4695135637","3050444,94771975","149,3178906175"
70,"2523756,94001488","1174931,43525523","986624,347343794","283376,279451905",0,"7577,9881227382","39263,8707995582","23977,1836213337","8069,637376293","2523820,74197086","63,8019559789"
71,"2472626,96067152","1161320,12836898","935833,768354185","283508,856822371",0,"8178,9870875827","49712,5650014784","24469,6971374183","9666,879149158","2472690,88192117","63,921249656"
72,"2506530,85687544","1182965,6822493","959455,911167051","282274,939820703",0,"9161,4585210636","35767,0814197057","29994,9494812189","8181,7339878485","2507801,75664689","1270,8997714506"
73,"3037702,69498818","1179655,29879324","938087,170084423","281288,157923069","551938,009494495","6728,2798243773","34579,1193123782","38614,0969796333","8434,2847540235","3039324,41716564","1621,7221774631"
74,"2481279,15235278","1162832,20607444","944822,867701722","279387,302610559",0,"7603,2466321596","36112,9380303054","42539,195424336","8013,5361145749","2481311,2925881","32,1402353244"
75,"2415184,97997082","1143478,63123592","894129,354243219","273821,211411022",0,"8375,3073743062","43666,6423098141","43174,8343500998","8571,1993759511","2415217,18030033","32,2003295138"
76,"2472678,87049562","1145927,92347561","956477,503228018","272807,061761041",0,"7672,9085155995","40144,5113682743","41963,4287761612","8933,7043545883","2473927,04147929","1248,1709836717"
77,"2998906,82683895","1152421,03169269","935126,443176771","269570,209897293","546897,555522578","7865,4293286203","37189,3024102169","42590,9817222575","8879,7581823082","3000540,71193274","1633,8850937947"
78,"2465402,6769654","1133360,18542969","973262,259551647","269075,656897241",0,"4618,5732384066","31257,289057399","47517,8524620904","7579,5788608175","2466671,39549729","1268,7185318959"
79,"2399474,81723709","1096523,91510718","943142,859622614","269811,42010707",0,"9002,6232395162","38587,7011977654","35189,4644266114","7265,1807022887","2399523,16440305","48,3471659548"
80,"2365546,4088154","1123154,7619689","888680,481148273","269942,919982299",0,"8424,4506766497","42547,1757131537","24023,3824274593","8882,5323000781","2365655,70421681","109,2954014139"
81,"2957605,79385203","1101300,80440964","935359,710241183","268388,389175227","547961,719239718","6583,2440362355","35993,3076427375","53544,1367645499","8550,8337445156","2957682,14525381","76,3514017714"
82,"2429034,23027133","1109260,58958564","952963,291846851","267813,785559918",0,"9266,5383614587","31845,5846362611","51010,6723722514","7015,7655463633","2429176,22790874","141,9976374139"
83,"2386046,56673474","1136448,51409254","896411,815394348","264478,425915325",0,"10349,6178553537","32174,3730982206","39211,6428404501","7216,310631642","2386290,69982788","244,1330931438"
84,"2393475,42041302","1147701,93799783","901016,230829565","264501,03830028",0,"7825,9675035324","38663,3269425496","25354,8800897764","8656,6283103682","2393720,0099739","244,5895608775"
85,"2960899,27898495","1149087,3456296","902739,662249915","266711,090565594","543877,254808528","9263,8196158987","45220,3533648466","35128,3883824952","9219,7504090681","2961247,66502594","348,3860409861"
86,"2395594,62112669","1121017,22045772","916259,995104179","267734,338619284",0,"8399,9220427346","38184,9282852518","36218,4215976233","7890,322297152","2395705,14840394","110,5272772559"
