period,total family benefits,total contributive child benefits,total auh,total spouse benefit, total school aid,total wedding benefit,total prenatal benefit,total pregnancy benefit,total birth benefit,,
49,2538621.28853416,753479.60607898,1182441.80274231,184059.839212045,329676.298169872,29223.4421066278,19082.9971796416,34981.4227004254,6951.1376479741,2539896.54583788,1275.2573037241
50,2234913.58584432,688834.203156737,1075731.04713076,180931.508813209,207115.971116676,20491.1741987984,21436.9267541309,35081.5704216346,7026.790185278,2236649.19177722,1735.6059329002
51,2732023.16105486,934980.503718476,1363841.20981699,348743.116375154,0,8471.9610116905,30820.2928585027,39370.2445358383,8576.4902201079,2734803.81853676,2780.6574819
52,2599865.23235812,864433.363022721,1313795.91438718,324073.225920839,0,5419.9395632972,31237.1198176214,54586.3858782628,9282.7543323809,2602828.7029223,2963.4705641791
53,2637794.09570282,605215.682157241,1154485.4583073,287749.016861242,509000.520479087,4961.0856622588,20620.1712907806,51744.7707879551,7011.8943969503,2640788.59994282,2994.504239995
54,2246743.96467671,704381.609216526,1196145.81973064,286842.062234317,0,3394.6150657585,20068.3341355943,31626.012365586,6287.1731387065,2248745.62588712,2001.6612104168
55,1925094.91186413,517205.011758792,1084805.01949124,267007.563737935,0,2349.1633757372,14182.2669868157,36659.6462431624,3863.7485180729,1926072.42011175,977.5082476232
56,3302529.52891671,1715614.41042646,1131297.55859427,347619.779092754,0,5670.0015078323,56886.8798930484,35422.2972426319,11209.6349560655,3303720.56171307,1191.0327963531
57,3657228.8712905,1381343.33841344,1192021.34335775,324341.128382932,655857.025655377,9416.0990314666,41703.6372130198,47803.7825076049,7736.3165905323,3660222.67115213,2993.7998616276
58,3369824.16023072,1634290.84391476,1274994.36091014,349401.883460162,0,9426.0703206816,55518.5838842106,36942.7844765237,11542.5540517096,3372117.08101818,2292.9207874676
59,2991881.87226061,1354722.0197463,1185991.60308835,330632.885717617,0,6491.7218282349,49859.6159759069,55860.5490104018,9965.6496427064,2993524.04500951,1642.1727489
60,3407152.32230135,1649021.67328752,1274157.5921588,349998.752138913,0,7908.0587567759,64137.3113704306,50417.0889198187,11658.2108302017,3407298.68746246,146.3651611069
61,3656947.0353872,1395894.27930004,1165940.81640273,322008.492895179,645872.247086261,8734.167924874,59742.5253700118,48117.6920239804,11449.5455763408,3657759.76657941,812.7311922172
62,2726137.94224799,1306374.10412826,1044258.0090432,294560.623090192,0,3556.9542254016,37740.3652080927,33107.8966389866,7132.256297343,2726730.20863147,592.2663834803
63,2587577.64239771,1178669.34927221,1030769.15516006,286256.367707609,0,6473.6000904525,32132.501620413,46022.3337496976,7372.6376490353,2587695.94524948,118.3028517617
64,2628066.04266875,1181947.2449056,1057464.80883771,280536.835575288,0,12844.8567719385,43974.7808733767,41388.9918936286,9971.7895520082,2628129.30840955,63.2657407983
65,3051552.67790679,1138724.78371668,988907.643656642,283514.916583794,552206.921529084,5267.8008481752,45021.2330930881,28851.4660197976,9206.1188025778,3051700.88424984,148.206343045
66,2591053.80003157,1194361.18958377,1012494.45806468,283962.792304065,0,7010.2191032649,52125.663552894,32747.5740200905,9859.2066202052,2592561.10324897,1507.3032174017
67,2481049.66717501,1121107.16436844,980431.88770977,284342.694071985,0,5748.5858441924,36190.9995216485,44623.3258483834,8668.6909309825,2481113.3482954,63.6811203971
68,2566944.00000624,1144552.14982032,1051122.48059866,284295.88753736,0,5702.6901997145,38645.9528147969,34768.5382058374,7920.2194225077,2567007.9185992,63.9185929587
69,3056246.99747218,1111632.63487055,1015752.94487842,285489.925006235,552577.126261577,6838.912359901,43126.8199375434,31455.1117053219,9523.9518908243,3056397.42691037,150.4294381901
70,2527433.11940331,1186144.0032367,976231.277048248,286225.062657809,0,7648.5683943262,38577.8209010277,24347.2172267321,8323.5661365241,2527497.51560137,64.3961980538
71,2501098.19953423,1178805.09545313,942806.263465847,286712.626964403,0,8560.4798985407,49893.7316956979,24530.7298883013,9853.9085055099,2501162.83587143,64.6363372039
72,2534670.46052526,1205483.14787217,959944.303880192,285880.697228118,0,8958.9032780842,36851.857120876,30364.8949212111,8474.158572254,2535957.96287291,1287.5023476472
73,3037471.16411509,1192585.73985932,916941.084181682,285536.21944031,557823.10023888,7726.9904774608,28687.3517419668,41537.4395388743,8279.1954299035,3039117.1209084,1645.9567933078
74,2533744.20796424,1210670.92983174,940556.409235666,284140.588436338,0,6474.3491801177,38614.2734883299,44602.6004087799,8717.7384537899,2533776.88903476,32.6810705122
75,2495239.18561486,1175490.53118873,949698.156847514,282633.702010255,0,9221.7147912438,34119.132733834,36514.8813662803,7719.1477448344,2495397.26668269,158.0810678382
76,2494405.64962491,1191786.14247836,923696.68806078,281862.397032201,0,9925.3405428717,46897.4495193785,31670.5215343524,8725.7810231743,2494564.32019111,158.6705661993
77,3064773.34438836,1187677.53990123,947572.662424142,282065.886917327,564931.773490239,8917.9564246498,31714.9631079546,33151.3385741719,8741.2235486402,3064773.34438836,0
78,2498452.0807717,1222970.57133567,890164.347416214,278737.295525425,0,6493.2499416099,45616.8157675671,44706.2337538636,9763.5670313573,2498452.0807717,-4.65661287307739E-10
79,2467391.59776238,1182665.65859019,919444.65436824,276467.421243653,0,7627.8169630217,46388.8902696849,26292.9474019156,8741.5225244604,2467628.91136117,237.3135987856
80,2433229.67852701,1186623.58036696,872114.198954181,273531.608966662,0,11685.9500312862,47650.115307148,31848.5443530718,9577.9217207467,2433031.91970005,-197.7588269548
81,3002608.07300895,1189865.14825356,882799.829446966,276064.317579735,558208.850182096,8598.7733123321,41781.8140097564,33499.5373156615,11686.4832384206,3002504.75333853,-103.3196704243
82,2451617.7722377,1161019.02398538,927276.607784306,276572.368289327,0,7925.5380530328,43065.5030721786,28073.1001607063,9340.6285755948,2453272.76992053,1654.9976828275
83,2416194.87074994,1157012.77188273,888616.107985087,276214.539591884,0,5469.0342723563,47871.99232234,33238.4585240585,9343.9423185477,2417766.846897,1571.9761470584
84,2419484.10483536,1234916.27122136,810618.985615627,276580.748724215,0,8832.3335493929,46905.2469700369,31727.1077954602,9924.2575585111,2419504.9514346,20.8465992482
85,3009013.10602147,1215399.42953989,843243.841345479,279497.909227724,558687.670297932,11624.1222428238,55523.4676147494,33500.2260629789,11415.7388407427,3008892.40517232,-120.7008491452
86,2436436.87826258,1218534.20023237,855234.094992619,278441.533970913,0,11088.4981211591,35713.8194716079,30470.4504864684,6975.2833542335,2436457.88062937,21.0023667882
87,2401194.41624615,1165622.53786223,862928.9428428,276571.324204753,0,9376.7210517425,45600.599640576,32241.5994355199,8873.7718950201,2401215.49693264,21.0806864821
