Period,Mean_real_labour_income,Total_workers
49,6414.78904699531,10914398
50,6793.27420829396,10964047
51,7130.72702106317,11007761
52,7095.51972444848,10998612
53,6695.86118670765,11038456
54,6532.49666224882,11078450
55,6579.43923167888,11210329
56,6677.47340160862,11163486
57,6770.77562599748,11040038
58,6733.90375528613,11283076
59,6870.10480666965,11508435
60,6860.82377346674,11593496
61,6830.72180291376,11478869
62,6710.76558473702,11474171
63,6309.65751025799,11575487
64,5997.62668058537,11521097
65,6013.21547009805,11445670
66,5966.23060308801,11505599
67,5841.72266860201,11613298
68,5629.70827784903,11679053
69,5874.0641474153,11703876
70,5709.51671782826,11080076
71,5324.54331398292,11617695
72,5311.53315282972,11709372
73,5466.03920181772,11724274
74,5638.96593014192,11747003
75,5731.25271336964,11830502
76,5827.63225168947,11863690
77,5919.21239749547,11880224
78,5921.45251972122,11967175
79,6004.18200124023,11960709
80,6045.87497455938,12040825
81,6110.14660507384,12063931
82,6154.68163435903,12106776
83,6219.49383375209,12108765
84,6246.06767735422,12205547
85,6300.16265084502,12261015
86,6326.49206422706,12234012
87,6370.33840202558,12339262
88,6413.34723715875,12322315
89,6462.71517538583,12427038
90,6481.33732187919,12413671
91,6542.04618958943,12440327
92,6610.65176125163,12504358
93,6644.78515271623,12526962
94,6677.61255142423,12571105
95,6682.49936947893,12671813
96,6724.21371946812,12699517
97,6756.10631869763,12691028
98,6779.32754857897,12743843
99,6801.88662118667,12802181
100,6837.67929806797,12862974
101,6868.01767583739,12967064
102,6884.76318126165,12964424
103,6898.26283948708,12980202
104,6940.44171223842,13020147
105,6964.40814779763,13029900
106,6998.90492872018,13026043
107,7000.33168551494,13100692
108,7028.47326995198,13154725
109,7045.64152842533,13167597
110,7078.79531024591,13216069
111,7123.44447592349,13197622
112,7127.66234304999,13249000
113,7160.84606598465,13266362
114,7156.85413097121,13294982
115,7184.69719218564,13334885
116,7207.07540161676,13316010
117,7249.16019035171,13349957
118,7268.43269305842,13330938
119,7261.7960483996,13347491
120,7285.76309640623,13416727
121,7328.2654932131,13453734
122,7355.71869271059,13428561
123,7383.95261838348,13466552
124,7423.62253212505,13540666
125,7489.63520194046,13467452
126,7484.29684593243,13520594
127,7508.55925885066,13531116
128,7552.61460104503,13602288
129,7587.96569905829,13660672
130,7607.96743249893,13643833
131,7618.50310736032,13689731
132,7610.75237672735,13787064
133,7624.69290468524,13742041
134,7677.69824626179,13749041
135,7652.42016702114,13807604
136,7664.83798387667,13856278
137,7699.25064554698,13839950
138,7740.52374889281,13803853
139,7731.99392154288,13881342
140,7766.64660700577,13876690
141,7761.98795504259,13980321
142,7797.10598417574,13909788
143,7827.56969535491,13913787
144,7861.98719737018,13937905
145,7873.40376413583,13924991
146,7878.49223224774,13919515
147,7891.68178968187,13963767
148,7893.97126707318,14043394
149,7945.80239882891,14068148
150,7940.00629339269,14069099
151,7940.4253962359,14110629
152,7971.74785388539,14106611
