Period,Mean_real_labour_income,Total_workers
49,6392.77023796865,10896403
50,6759.22308680576,10969516
51,7075.68272974623,10995801
52,7079.72611641366,11036181
53,6674.3224892706,11040327
54,6532.42840571772,11014835
55,6590.55674107038,11128601
56,6676.54745915035,11133723
57,6784.70492329156,11059168
58,6738.58013370737,11239003
59,6863.03829484699,11464368
60,6885.0172281341,11571254
61,6821.77076304636,11505308
62,6735.15526161798,11430900
63,6350.91468421143,11513476
64,6048.05948224212,11506209
65,6021.61395061877,11447796
66,5969.03071718015,11483379
67,5838.3870499147,11582536
68,5631.32463661174,11674448
69,5947.41043024294,11502789
70,6260.8102241682,9982212
71,6311.15730586166,10040549
72,6211.21378640632,10368158
73,6196.15684841544,10647300
74,6184.41461881883,10982221
75,6128.77526439127,11300561
76,6175.72821450764,11408068
77,6242.1053206985,11403544
78,6242.54862319314,11458466
79,6272.34440422342,11484795
80,6310.69376602156,11476916
81,6330.69382142334,11507106
82,6334.20187597594,11549873
83,6381.71077299266,11618640
84,6432.75876388735,11641485
85,6455.67284560026,11682626
86,6493.25999631677,11736082
87,6512.59383078824,11760770
88,6542.55551419068,11759701
89,6604.11301069545,11766323
90,6617.00680362184,11810812
91,6675.27448650747,11838505
92,6692.20472700844,11880285
93,6739.38123280635,11953508
94,6768.35412647885,12031298
95,6813.39356930378,12012226
96,6823.79822999899,12034040
97,6854.04403281495,12064548
98,6893.28143402741,12103190
99,6932.59923885643,12144244
100,6950.94107979309,12245573
101,6966.76813767837,12302022
102,6981.20987134817,12259537
103,6975.09640370522,12311074
104,7018.09696112933,12299127
105,7021.21204421724,12415695
106,6991.69667073713,12423624
107,7016.50856503561,12457953
108,7041.94360737086,12542111
109,7035.38396903389,12577736
110,7058.22819310224,12588591
111,7086.10301246826,12606190
112,7090.49258453971,12608984
113,7095.78797824635,12622080
114,7115.44054227186,12670641
115,7152.55115907533,12609985
116,7149.93748367597,12624060
117,7136.26570930731,12687246
118,7127.6530142788,12735684
119,7134.49869749811,12782415
120,7152.98308152955,12803471
121,7185.23719950041,12755745
122,7200.07967049444,12778356
123,7205.33919525405,12836830
124,7238.54952878556,12860368
125,7234.1459558019,12840065
126,7232.74590146515,12844889
127,7238.12618709358,12865387
128,7265.91047536836,12865782
129,7259.3775087033,12861238
130,7228.20063163453,12950367
131,7247.93605573496,12992946
132,7249.48880804126,13037139
133,7279.43539279293,13023713
134,7321.27229307559,12960630
135,7342.30175131492,12987599
136,7342.7130040511,12986536
137,7359.89800849504,13023206
138,7391.60457306235,13064089
139,7397.36066924051,13094166
140,7395.46307107024,13158721
141,7406.36702113766,13156120
142,7428.50190851085,13162476
143,7427.62900084386,13183641
144,7453.03533448061,13164444
145,7473.23619230599,13212331
146,7500.88968418734,13200899
147,7500.87748035135,13198351
148,7515.00565782646,13203446
149,7530.60368127338,13169963
150,7497.72774304242,13209187
151,7489.37658335219,13218847
152,7486.28184098292,13194512
