Period,Mean_real_labour_income,Total_workers
49,6414.78904699531,10914398
50,6778.90225184158,11021763
51,7092.02100217064,11059493
52,7113.98164433727,11048388
53,6705.54599729676,11064497
54,6521.17321865806,11128156
55,6554.01964535573,11235296
56,6660.1842529205,11156745
57,6744.03429129675,11057148
58,6741.66175252587,11247506
59,6886.42921069284,11410134
60,6890.54533395775,11521898
61,6808.84926639221,11482379
62,6722.87988857401,11422089
63,6343.42583946065,11521794
64,6007.47172090445,11541231
65,5985.30123610738,11452454
66,5961.97243607963,11485377
67,5869.78477201805,11558765
68,5675.71936373082,11625202
69,5967.74206984022,11544047
70,5849.46991634359,11466399
71,6039.66913610692,11525960
72,6062.28700413066,11591754
73,6129.06173034933,11691246
74,6218.01274421282,11784926
75,6310.89576472017,11925450
76,6433.33762430663,11984015
77,6494.80794969908,12059223
78,6589.30380886532,12043538
79,6646.57814329743,12111286
80,6755.92355560702,12155985
81,6837.05571034163,12212777
82,6884.10704743403,12247057
83,6973.47920763138,12306225
84,7029.27270375229,12410846
85,7110.74927586432,12377113
86,7165.80746580433,12494422
87,7211.56262638659,12565116
88,7294.63318353046,12562459
89,7316.18678164977,12646874
90,7321.74153070858,12740797
91,7337.30444832956,12781146
92,7388.44536808997,12835092
93,7405.33585441343,12894794
94,7446.21113323038,13010955
95,7492.29955516161,13082016
96,7541.28316373197,13154250
97,7621.73584442083,13229853
98,7639.23917032913,13276733
99,7687.22811528706,13327862
100,7710.64171674357,13374242
101,7756.47660873706,13430977
102,7766.74863346457,13484979
103,7822.77751925931,13574104
104,7871.49917652873,13664937
105,7917.86395030794,13715076
106,7978.9677297366,13698965
107,7970.94652101367,13761665
108,8014.61459454085,13806357
109,8055.8343496361,13857154
110,8098.32751684704,13905645
111,8124.47220490264,13919640
112,8157.47883952263,13971533
113,8169.67457656692,14023623
114,8217.52361094904,14039155
115,8217.57716622366,14146866
116,8278.9498562701,14134067
117,8291.6523648246,14131078
118,8316.4111612402,14199100
119,8399.79144948769,14218116
120,8419.69663152019,14300237
121,8433.45680719274,14337350
122,8462.26324459248,14334482
123,8471.79900224506,14426036
124,8533.14473030185,14423248
125,8566.18842210773,14511942
126,8601.10520614184,14571944
127,8639.52652102981,14582660
128,8677.17601358253,14581974
129,8692.18532535136,14638858
130,8666.15594033044,14807498
131,8730.01690643373,14832231
132,8774.6800236741,14837885
133,8820.98488556293,14885335
134,8866.05987990109,14948260
135,8908.86932095804,14948972
136,8957.86823639249,15036674
137,8993.59723016386,15061074
138,9056.79070790073,15052136
139,9094.54807785529,15090804
140,9136.39206305487,15101515
141,9159.79650211071,15148090
142,9162.1563707741,15235380
143,9201.92836089429,15238052
144,9222.96566212722,15333013
145,9235.33334516238,15340012
146,9271.09883115088,15379798
147,9305.57394656914,15432461
148,9366.15662257741,15461941
149,9408.44763817201,15488966
150,9398.48669813074,15564479
151,9444.23440960456,15589165
152,9444.6666065095,15620947
