Period,SIPA_missing_contributions,PAMI_missing_contributions,Obras_sociales_missing_contributions
49,0.0,0.0,0.0
50,0.0,0.0,-9.313225746154785e-10
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,3.725290298461914e-09,0.0,1.862645149230957e-09
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,1410642.877354782,128828.36592316069,498340.38067279104
62,1628741.3718113042,148445.53307181876,573264.0900632879
63,1204676.3616244085,110513.54300872004,427901.57675262913
64,1332208.2186728008,121496.06043088064,469378.45872392785
65,2276212.12873167,205164.64153746422,788844.1340933423
66,2427224.4244780205,218456.39422536828,839241.1450445605
67,1921181.5415442903,173454.17674299842,667311.6364891632
68,1979080.447559122,178365.70096241403,685707.3082019789
69,3119909.155463891,279455.19535800023,1072000.8745318325
70,3323234.007546343,297288.5971144899,1139696.8850306058
71,2731807.945458958,244383.43631714536,937364.8880158653
72,2892617.075390823,258995.0224990393,993056.4669761835
73,3839324.983391758,342823.0442673052,1313311.4856238486
74,4184824.5121209975,373546.4824137804,1430318.6836952623
75,3562381.8763251957,318702.8315610173,1221305.864960475
76,3886733.615765052,347272.38803737797,1330148.0757317115
77,4546671.674874974,405140.2483595521,1550897.0849350411
78,5053749.03353703,449578.0016209637,1720300.4752089223
79,4305665.079372559,383454.04103850387,1468348.2105772533
80,4802141.795202624,427541.6748321606,1636491.7037755
81,4723135.780406263,420600.4425158249,1610475.9893535553
82,5250106.118643038,468162.5413275142,1792466.0076874
83,4534647.433148408,404770.1100771935,1550475.448813878
84,5059421.667964157,450912.69481641427,1726030.201229333
85,4912497.475961328,437422.6625570622,1674581.948872405
86,5494800.411251351,488598.3186455462,1869159.8116438175
87,4768175.21264603,424431.03604910104,1624456.7017333582
88,5356543.33727422,477455.11393541424,1827398.2518480485
89,5140164.875871962,457307.37311632605,1750183.1370859174
90,5778955.085917357,513656.01383972354,1965351.6565608336
91,4989523.7295694,443658.6143356655,1698034.6966973133
92,5613369.601264719,498774.8895655526,1908134.4043102646
