Period,SIPA_missing_contributions,PAMI_missing_contributions,Obras_sociales_missing_contributions
49,0.0,0.0,0.0
50,0.0,0.0,-9.313225746154785e-10
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,3.725290298461914e-09,0.0,1.862645149230957e-09
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,1410642.877354782,128828.36592316069,498340.38067279104
62,1628741.3718113042,148445.53307181876,573264.0900632879
63,1204676.3616244085,110513.54300872004,427901.57675262913
64,1332208.2186728008,121496.06043088064,469378.45872392785
65,2276212.12873167,205164.64153746422,788844.1340933423
66,2427224.4244780205,218456.39422536828,839241.1450445605
67,1921181.5415442903,173454.17674299842,667311.6364891632
68,1979080.447559122,178365.70096241403,685707.3082019789
69,3120073.9723015353,279473.5486873579,1072074.9999212883
70,3322815.3334786408,297280.3797857361,1139691.6214745594
71,2744494.0152811073,245569.06045402307,941942.234449394
72,2904243.532728657,260221.28962990362,997911.8889127141
73,3901180.774419859,348480.26242648996,1335090.1406439245
74,4194797.268111568,374663.4406569465,1434741.129934907
75,3568647.2264551017,319506.1710952725,1224531.5026987335
76,3852584.1390041113,344356.0513614067,1319137.18481093
77,4632788.865100224,412857.8980459557,1580446.3685788186
78,5079782.020488195,452304.1211825367,1730991.7370616999
79,4329866.11683291,385812.4708687267,1477460.2253095591
80,4774605.970628399,425204.138198704,1627639.6140807383
81,4778004.049756443,425011.2044427865,1627172.2394515863
82,5265043.872129858,467478.1035839906,1788680.7577056354
83,4528241.464218112,402230.3983042715,1539517.9515070394
84,4957904.117132664,439069.91182480287,1679452.6605555844
85,4965313.831544496,439971.1732274643,1683282.3945968067
86,5497486.118292119,486355.7500080336,1859330.8781212484
87,4783973.236906424,423855.8143254025,1621250.9455106882
88,5290809.655670565,468791.2016973081,1792781.8286493123
89,5138254.85602475,454530.6933338628,1737713.6281324038
90,5756948.289679542,508386.56807446294,1942502.6079640333
91,5022385.878630314,442121.60083379736,1688977.248127332
92,5589957.952505119,491634.6242757533,1877623.5450531328
93,5272442.559183486,464133.80213278066,1772880.1458865367
94,5933242.855629545,522374.3032841175,1995154.0765048089
95,5205215.441768654,458991.6987733273,1754193.886529727
96,5893754.563847471,519439.9953315081,1984209.9751849482
97,5404254.211899728,476888.21029057214,1822282.6177463327
98,6128736.9462369755,541563.6234639753,2069475.1867893245
99,5410811.8567539845,478165.15858270647,1827791.1249657227
100,6063293.707646955,536330.70377689,2050306.964552586
101,5553645.190476585,491359.0489457473,1878710.1187200947
102,6220947.197588958,549242.0635336605,2098487.2622641847
103,5454440.2133619115,482065.4056900018,1842822.7828916619
104,6108108.38947143,540149.6853040745,2064943.8022608152
105,5632911.66586538,498272.8875228069,1905187.3976765294
106,6323272.405147575,558126.6995481197,2132748.18108886
107,5571801.0248406455,491360.19738743454,1877992.8341323538
108,6259737.024047073,552116.3761928342,2109712.205689883
109,5727802.2716382295,506263.91932143224,1935394.4954056945
110,6391609.704399597,564286.299475118,2156478.9435084583
111,5597530.399247464,493737.76035001455,1887325.1710886043
112,6351859.469453927,560969.1254272214,2143912.9012628207
113,5824557.652792305,514234.5332703125,1965548.7122018896
114,6529817.449075691,577730.4447107832,2208380.4105878593
115,5698998.8258904815,504582.3025970743,1929862.644683253
116,6403854.763657644,567031.4430931387,2167631.7984872153
117,5875848.974941559,520889.44081834005,1992107.1746289227
118,6603040.231956266,584553.2011467703,2234516.9687122116
119,5780285.939327292,513035.67011293396,1962636.1999194417
120,6521264.73478432,578525.1796969604,2212164.5948347263
121,5918910.683355141,524749.540247974,2007282.2408375693
122,6583420.850331221,584234.2647463032,2234584.329226209
123,5784080.005000338,514426.75837212894,1968807.846241123
124,6502242.821011838,577240.6193315671,2207943.871913936
125,5958992.893541183,528993.9591689347,2023808.0905235829
126,6693343.680974219,593563.7282786169,2269413.011673524
127,5869257.872077331,520604.365712848,1991100.3559255404
128,6603218.564909115,585606.7971306681,2239091.099937235
129,6035869.184761912,535540.70628135,2048285.7232418694
130,6699501.868008234,594143.363308229,2271690.8432805017
131,5882260.498208728,521916.68020492326,1996997.931195614
132,6638632.551092591,587597.2756781983,2246776.980461279
133,6085956.758761093,539064.2838802869,2061919.1211814051
134,6811786.819970183,601824.5996006099,2300348.5744833928
135,6001955.410042133,529949.8711969866,2026278.557497304
136,6768118.199688882,597534.6900454303,2284091.1239592833
137,6132888.760968436,541327.7759235702,2069243.1654773606
138,6861675.078881577,605896.7721292996,2315705.337396846
139,6029700.577963058,532330.4747549524,2035289.4088849705
140,6794666.932557777,598899.8009146936,2288973.733017127
141,6193814.6220605485,547773.4452514076,2094810.5268985797
142,6938642.730851207,614255.0369517785,2349432.42603256
143,6033866.136314072,533881.4084001486,2042637.9583158046
144,6740883.110505898,597550.005213955,2286403.918565533
145,6157014.52461841,545979.7798242918,2089553.1306817755
146,6903062.550274752,610897.0743536297,2336801.131368351
147,6040577.172954891,535512.3492431133,2049739.4727391042
148,6774270.626489986,599837.3616114529,2294434.7534053316
149,6158668.342124313,546315.5085919341,2090928.6042544777
150,6861431.534410823,608669.8761193706,2328268.281685455
151,6053075.303371202,537818.8882914255,2058340.4704066962
152,6775732.682713173,602507.0056282636,2305188.625029416
