Period,SIPA_missing_contributions,PAMI_missing_contributions,Obras_sociales_missing_contributions
49,0.0,0.0,0.0
50,0.0,0.0,-9.313225746154785e-10
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,3.725290298461914e-09,0.0,1.862645149230957e-09
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,1410642.877354782,128828.36592316069,498340.38067279104
62,1628741.3718113042,148445.53307181876,573264.0900632879
63,1204676.3616244085,110513.54300872004,427901.57675262913
64,1332208.2186728008,121496.06043088064,469378.45872392785
65,2276212.12873167,205164.64153746422,788844.1340933423
66,2427224.4244780205,218456.39422536828,839241.1450445605
67,1921181.5415442903,173454.17674299842,667311.6364891632
68,1979080.447559122,178365.70096241403,685707.3082019789
69,3119909.155463891,279455.19535800023,1072000.8745318325
70,3305294.242711805,295641.5162417842,1133342.0363503601
71,2676211.661131177,239309.51856767992,917809.206389687
72,2842749.770609865,254530.2531598066,975938.5929476842
73,3803825.617120659,339708.61041100323,1301414.3459975482
74,4157511.7291284055,371305.2081151004,1421869.382348179
75,3557988.3193630017,318564.45077348175,1220944.8555850852
76,3864826.2302729376,345699.39927371126,1324436.4875377743
77,4697076.871315753,418778.2495218059,1603280.5038378062
78,5159700.0722801,459899.46466874704,1760014.9193906728
79,4415091.42864438,394519.24280278804,1511061.2273486927
80,4832439.926951755,431604.65792278247,1652409.1668613898
81,4875880.467146732,434346.1268757819,1662429.1934724618
82,5462914.097433001,488285.087271417,1869374.542047576
83,4719626.749211891,422195.39250317914,1617254.2876028055
84,5246626.83170392,468791.7811691137,1794609.0240249299
85,5127573.747782681,458091.0990593564,1754319.9406614117
86,5713673.142962575,509324.96843906725,1949418.146446444
87,4962099.495219767,442149.89508906426,1692803.3531655604
88,5528001.803480469,492894.1138549838,1887075.7463055002
89,5350552.2496749535,476759.43501988985,1825165.1886149151
90,6066893.476650178,539260.2914090152,2063269.872704113
91,5308528.178577831,471955.624464422,1806239.952613255
92,5937764.515034486,528439.6358924555,2022342.9341013702
93,5575567.885983491,495914.4742435068,1897949.029556293
94,6270878.161569897,558084.8624917823,2135396.9356743097
95,5499944.012935713,489929.04494673293,1875535.5615633773
96,6236414.65711404,554555.4876465262,2122273.941603965
97,5705048.805253103,508182.0062532681,1945798.5436907746
98,6432921.30326378,572598.4806408333,2191554.87460964
99,5695961.237874046,507715.4836763018,1944382.5720052468
100,6441050.361520126,574555.4288276997,2199751.4485899704
101,5934907.440584958,528603.7804072713,2023707.7813993953
102,6664766.297769532,593415.950594808,2271291.758778574
103,5912855.638528835,527024.2417355571,2017852.1672289697
104,6671498.944069773,595199.2548367213,2278920.4472159706
105,6016706.796070989,538280.9892527652,2062773.6516794572
106,6749255.374536011,604151.2827961375,2314585.2568085687
107,6000274.14925706,537114.1741493251,2058606.7798772333
108,6728949.770535413,602639.6584977042,2308836.136660629
109,6153518.356554024,551521.1414505723,2114086.401499086
110,6928476.925325718,621439.1057303157,2381265.409447795
111,6110998.798254006,548001.7768779756,2100607.4608032126
112,6913320.303662002,619326.3490285696,2372700.079083211
113,6337542.359366413,568259.5547253513,2178249.3092679763
114,7118818.129445918,638376.1087577939,2446504.799566078
115,6265291.105566025,561615.1746132621,2152847.980466023
116,7025771.900330815,629962.7108105123,2413731.5377510125
117,6413025.181112435,575316.9239352634,2205369.344634965
118,7289781.267042879,653713.4400224527,2504536.3022907134
119,6429413.696040027,576860.0430729729,2211145.1800006274
120,7239681.665561676,650360.5559743159,2491979.532652354
121,6592260.035498086,591681.5766464719,2268062.464179268
122,7425053.693678889,665423.6253279839,2549202.020340669
123,6609990.138365269,592383.4959650752,2270534.282987321
124,7497027.098307811,671520.1162874512,2571804.618774335
125,6861624.618502889,614262.0620660293,2353258.360198928
126,7701413.421699673,689344.1990204994,2639905.299319825
127,6784511.858920131,606586.4510697806,2323627.7731162664
128,7649668.486060265,684228.5338608483,2620005.0260563055
129,6965649.516926132,622928.0142568988,2386228.1559116114
130,7873485.157352429,702382.8535799952,2688206.459501949
131,6946783.974333268,620865.9443756277,2377801.5793196512
132,7851700.049247466,701253.5563155962,2684134.9996149633
133,7131537.185445737,636489.8723548818,2436763.6350238854
134,8066200.332733292,718044.510308018,2747428.9161837194
135,7141007.99989206,635493.0431059971,2432410.128331121
136,8060564.331943069,716172.8284369074,2739722.1133443527
137,7310333.71320473,649789.0609512422,2486339.810579992
138,8168896.393809784,727170.0355351577,2782283.70904932
139,7258520.723672021,645802.615353955,2471869.6712284787
140,8147687.758513369,724758.021127699,2773192.2101111524
141,7479219.972092718,665291.9178275065,2546590.0178906918
142,8367519.36422129,744202.5281632235,2848034.814110918
143,7348382.913671076,654329.6741004288,2504996.990375285
144,8268474.352505438,734524.881872803,2810021.902735645
145,7489191.729668483,667464.8499218738,2555170.3337483443
146,8409923.22854264,748462.1520774895,2863717.1863790583
147,7431027.195218552,662588.2219088608,2536585.3902305346
148,8315220.063097194,741805.9050856587,2839515.925034441
149,7591679.162088782,677874.9073057557,2596049.3565408383
150,8550688.116782788,761736.018966984,2915577.0199071392
151,7528030.500821438,671338.917289488,2571385.2635365585
152,8410533.74164895,750201.9231690532,2872572.967504654
