Period,SIPA_missing_contributions,PAMI_missing_contributions,Obras_sociales_missing_contributions
49,0.0,0.0,0.0
50,0.0,0.0,-9.313225746154785e-10
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,3.725290298461914e-09,0.0,1.862645149230957e-09
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,1262804.8793276586,114521.4628882776,441112.7685332587
62,1540601.1564701572,139915.8348129983,539145.2970280051
63,1052686.1199845038,95804.8099467936,369066.64450492617
64,1230832.7170920782,111642.30508342013,429929.8221868947
65,2365474.964505311,213817.85667348607,823430.401497921
66,2541278.6716461293,229554.5934172948,883652.1199344322
67,1945039.0114224441,175732.1676997901,676373.1168618398
68,2014516.9673634171,182184.26560682943,701319.2013367228
69,3335982.5467258766,300502.8934119777,1156736.5524969986
70,3442171.8701680265,310441.42912408384,1195007.678516902
71,2902403.371112291,262054.525240127,1008828.810717959
72,3147153.2340740617,284655.43413291546,1095966.1985248337
73,4282806.757565618,386072.7109500626,1486217.810474385
74,4714788.098464681,424953.02510349406,1635497.7541638091
75,4066328.883553032,366459.7578867739,1410241.746749105
76,4502987.572577238,405184.3360803486,1558594.767037252
77,5546515.1864522975,498031.619886023,1915939.090449934
78,6119088.832716174,550244.1505769044,2117048.1171951303
79,5247525.052373422,471550.8448143909,1814122.558009536
80,5771201.387122802,518788.7592786653,1995612.6166293966
81,5747998.912780903,517079.44443532825,1989916.3039779924
82,6359584.9109434225,573261.5971881603,2206612.314685058
83,5508619.5220590215,496893.33063321793,1912806.1280049589
84,6097594.508430887,549940.9796995237,2116770.597981165
85,5992427.67160723,540341.4899467109,2080091.4895767802
86,6739504.987242904,608046.5264082067,2341041.6649139374
87,5837955.070109371,526120.3900583494,2025005.0885345228
88,6529491.652091898,588756.6918917252,2265708.274782533
89,6222201.966186363,561173.4512376348,2160000.6307003386
90,7002980.216412865,632331.1608759691,2434355.477123022
91,6053692.135751344,546534.5754085011,2104289.2061737515
92,6849836.093770638,618097.5226933239,2379671.1197753726
93,6471792.8479004875,583285.9703975399,2245407.6463011364
94,7436800.262319874,669273.7662643827,2575172.5408037873
95,6531055.83060281,587081.2008881695,2258503.6060920646
96,7419761.672997508,666633.0469950493,2564644.9788311375
97,6748232.877940621,605919.6416919925,2331424.594128157
98,7729232.151409656,693543.0999308606,2668119.6746667316
99,6826870.719031438,612496.1864992986,2356632.902970381
100,7790435.858354505,699265.3580784518,2690743.503445971
101,7022899.896064084,630296.7929247976,2425144.182176452
102,7997038.129421305,717327.1239754902,2759649.8597814515
103,7040992.415748253,630859.5813264418,2426777.5284890393
104,8013555.888202481,718698.4586210689,2765154.588995222
105,7191841.276633777,645152.1214604066,2482549.8492026236
106,8191148.231651999,735267.2040263405,2829211.475081022
107,7272566.215632848,652464.7102526473,2510315.9920318443
108,8262593.790429495,740822.0434169881,2850170.826902694
109,7467487.648035493,668308.1854880229,2570537.999583007
110,8503313.772533812,761410.2657544902,2928328.3441835
111,7507476.760642417,673087.78358933,2589255.993342447
112,8521942.347532392,765525.9649164407,2945308.9119844027
113,7722175.464397844,694175.2250319859,2671092.5555957938
114,8672728.228528522,779677.7808980066,3000117.705694967
115,7638568.655631598,686744.7372173471,2642291.0091341212
116,8695934.126398452,781098.735704165,3004499.3690575976
117,7857694.238762155,704877.5724805165,2710895.120265235
118,8937484.999028962,801687.7583170924,3082902.4364567
119,7920000.426075853,709736.6447346993,2729100.8850393565
120,8978789.369480819,805569.9927586196,3098190.5316790882
121,8062637.927553792,722888.9230017802,2780382.0965929935
122,9144202.532991167,821289.4381024987,3159487.254574286
123,8113746.310797941,728345.3441848187,2801954.304271415
124,9210141.153734073,826676.7455254002,3179937.8998715263
125,8308365.644276172,746541.298880469,2872567.9184685424
126,9345511.387303438,840476.0082718553,3234145.911787607
127,8265926.128747709,742642.4080930613,2857749.7812873432
128,9445220.488194324,848908.4833146529,3266482.9028215185
129,8481383.809707973,761735.1828868929,2931153.1579853473
130,9554239.77585331,857170.4524476863,3298026.53082313
131,8422660.752983935,756601.8449909054,2911712.1018037414
132,9502859.449200459,854285.8260910371,3287864.3418363743
133,8556818.638916858,768334.9521163395,2956464.652005148
134,9723469.144407935,871999.8051628852,3354873.552590454
135,8608439.929711781,772669.7042799937,2972831.875754129
136,9712801.401229639,872383.8080610242,3357114.9517430607
137,8819181.983492926,791345.8207855895,3045165.592215334
138,10031350.044926636,899938.2997175194,3462535.383964207
139,8881901.017933361,795772.5661405129,3061380.5343892444
140,10083439.021785505,903032.5786394179,3473991.2628441434
141,9076451.243810073,813029.1681250511,3128738.3313293103
142,10237861.350402348,918323.7730976045,3534654.8337557763
143,9040514.170155548,811326.8062220076,3122887.5235159043
144,10216380.92968075,917163.6765039349,3530061.505365189
145,9214460.713794567,826945.2222024985,3182803.1846235786
146,10459196.51491081,936595.2514156308,3603255.254674012
147,9223685.62552886,825698.1987390332,3176116.084905604
148,10450834.81877289,935871.7932072077,3600024.9664963577
149,9409282.324510388,842352.1516620349,3239817.291395543
150,10712884.956130736,959203.7679773998,3689026.8258590177
151,9437445.071333569,845784.4854071569,3253806.034859441
152,10699882.436166592,958977.5640765363,3688896.792503329
