Period,Mean_real_labour_income,Total_workers
49,6414.78904699531,10914398
50,6778.90225184158,11021763
51,7092.02100217064,11059493
52,7113.98164433727,11048388
53,6705.54599729676,11064497
54,6521.17321865806,11128156
55,6554.01964535573,11235296
56,6660.1842529205,11156745
57,6744.03429129675,11057148
58,6741.66175252587,11247506
59,6886.42921069284,11410134
60,6890.54533395775,11521898
61,6808.84926639221,11482379
62,6722.87988857401,11422089
63,6343.42583946065,11521794
64,6007.47172090445,11541231
65,5985.30123610738,11452454
66,5961.97243607963,11485377
67,5869.78477201805,11558765
68,5675.71936373082,11625202
69,5895.39994110246,11692196
70,5800.35755882689,11097138
71,5502.09402482739,11683462
72,5575.17150589064,11713128
73,5800.5480245875,11733535
74,5994.59024162285,11790495
75,6201.58748230454,11869543
76,6391.98678132025,11931907
77,6516.1153562653,11963031
78,6636.34716668956,11978061
79,6709.26417125372,11986242
80,6747.60440231109,12045737
81,6809.90160884451,12137487
82,6818.61398891895,12162380
83,6852.96938356179,12236064
84,6884.57098585129,12280650
85,6953.99529582236,12300716
86,7003.12251580633,12358863
87,7028.2237225364,12380413
88,7049.12040418796,12422264
89,7108.57552582361,12515350
90,7157.14776018672,12547843
91,7168.53766252379,12600019
92,7167.86233194293,12672279
93,7223.7222206989,12755684
94,7299.2781105148,12765503
95,7324.16783032642,12830279
96,7330.07720734927,12927357
97,7371.87516856975,12967459
98,7416.35873587758,13010753
99,7475.09862644684,13031071
100,7508.43359810487,13090457
101,7516.35081900477,13156882
102,7520.39305783082,13222390
103,7560.85862262067,13255935
104,7609.59676465969,13317851
105,7644.40554699685,13364649
106,7653.69653670277,13466315
107,7704.56475629191,13516988
108,7729.86487547151,13547574
109,7803.22190775209,13531504
110,7800.5342531494,13598632
111,7826.16291092863,13659111
112,7889.00819739189,13698458
113,7938.34989232213,13788368
114,7926.63307754429,13740259
115,7966.77754621448,13754458
116,8016.33828239821,13797426
117,8056.85260082482,13813179
118,8101.11440005784,13867196
119,8172.03611339378,13828066
120,8171.53336525665,13933974
121,8228.48215656734,13889331
122,8250.85753111482,13942014
123,8312.42164336183,13974139
124,8350.24971510219,14047188
125,8362.6723120205,14105843
126,8403.59453363578,14106603
127,8437.92180070342,14146354
128,8494.20950570364,14237471
129,8515.00058014235,14242889
130,8525.42573611718,14278531
131,8552.67608236188,14287688
132,8582.05703196654,14341787
133,8610.46418695533,14373377
134,8637.99561808264,14357436
135,8682.34559467967,14421148
136,8733.92266641715,14425571
137,8761.94127169046,14486984
138,8806.17797962886,14528771
139,8819.08024389658,14612070
140,8879.15513342539,14626456
141,8919.50945624209,14641182
142,8919.87234714464,14695558
143,8969.55830177563,14669980
144,9007.24840826915,14743026
145,9041.15278317417,14705066
146,9072.05947766633,14749583
147,9093.44403380164,14763966
148,9137.19108547634,14797155
149,9162.39438866019,14830211
150,9211.32542693413,14878570
151,9253.40262978567,14910367
152,9293.31146669104,14930737
