Period,SIPA_missing_contributions,PAMI_missing_contributions,Obras_sociales_missing_contributions
49,10152.70828974992,2768.920442659408,2768.920442659408
50,9362.619131218642,2553.441581242252,2553.441581243649
51,11716.50485830009,3195.41041589994,3195.410415900871
52,10409.534860871732,2838.964052966796,2838.964052966796
53,12717.07148436457,3468.292223007418,3468.292223009281
54,11610.964527424425,3166.626689296216,3166.6266892990097
55,15310.126517873257,4175.489050329663,4175.489050329663
56,15440.51968902722,4211.050824279431,4211.050824279897
57,19440.71581336856,5302.013403645717,5302.013403645717
58,14510.420999351889,3957.3875452787615,3957.3875452773646
59,18654.191819082946,5087.506859749556,5087.506859749556
60,15088.32268641144,4114.9970962926745,4114.9970962926745
61,1424979.1084402055,133144.63815866364,502683.22395081073
62,1632984.7163359784,152016.27663604636,572441.7961670589
63,1205698.2500280067,113403.03050735407,426903.3832996059
64,1345756.509964347,126482.26864114078,473559.1859383397
65,2282721.369973328,209022.17232788075,790511.8712170962
66,2406899.0390742943,219681.03848285088,833457.5198424188
67,1910783.6014402416,174282.67367790733,664480.1379965246
68,1971443.3134562112,180099.95339489635,686005.9431988532
69,1542543.4704652708,151085.29047597945,574687.5221374827
70,1658930.805037804,163309.18576964084,619930.2965965448
71,1283916.983494809,126880.74852104345,483609.4224283248
72,1451686.3377355263,143223.0342662679,546294.835086693
73,1159173.5176175758,116656.67891944246,443259.2243710868
74,1389268.0819919407,140249.51008833759,530298.7705760328
75,1086612.5326102115,111631.89651265321,422575.22056751605
76,1298699.9893734194,133905.28906372935,504029.5033343239
77,1010246.0603902563,106518.36306574661,400208.2750016572
78,1269158.2920996286,132066.00087918807,496339.27085150126
79,965318.6330680698,103153.13537548156,387074.13543827273
80,1234765.7671332955,130661.08913835464,488452.3573017791
81,914448.3009519577,99354.71486768126,371212.0439106254
82,1201112.0023863502,128300.26987259649,478677.1301649874
83,871084.4760901406,96371.3450409933,358456.35028926283
84,1161918.1633476093,125792.04832646484,467219.5026832791
85,816749.0178850368,93475.11129981931,344729.22013662476
86,1144522.3615662977,126289.32090984704,464864.6362080611
87,799638.3399711661,94279.2828934812,340744.6570184007
88,1153367.2497935854,130075.32579282671,468468.5772747202
89,780811.9642024189,94003.64815498702,334688.1182705378
90,1111125.1978268698,127408.72201232053,458280.0449108286
91,753618.4272818416,92254.30720500974,329028.44103373494
92,1093034.2780028395,126822.66068826336,453505.6060345778
93,720212.0908650905,90085.16984279687,319191.6307501234
94,1082465.5540448725,125734.18406222854,450005.9049914647
95,714487.5399785787,89212.7993558934,315410.4930375647
96,1097561.5093298182,128092.03815037478,457111.475356495
97,719538.2315113358,90240.79054784495,318396.3375332318
98,1089086.042406436,127519.15378928557,454881.0573823806
99,685582.0271967575,88283.15651344229,309568.67514644563
100,1095634.22382522,127816.0891864961,456687.59037655033
101,698108.9593066573,89082.5215290254,310677.51623214595
102,1112963.3079358116,131772.49485827982,463306.97389902547
103,688614.067354206,89547.25623428077,311611.01745865867
104,1124851.6553195082,133546.52953038458,469746.30567041785
105,701428.0849199779,92463.7408031309,317714.72524480894
106,1145611.464040991,136515.39931533486,477294.11455416493
107,700257.3986414671,91546.09942101501,317102.91354509816
108,1141576.9710424468,135563.6233177716,477252.4136628099
109,696500.5262008943,91264.09963473305,316839.2009886857
110,1150276.9182103053,137343.12983727362,482917.1615546383
111,698676.0846272856,92014.6352008013,318038.5443419218
112,1168745.4056581333,138353.46911580116,484933.31179329194
113,699296.5840298384,92913.03596469015,316431.4784664251
114,1170927.69713673,139497.13247970678,485553.0346770622
115,684844.6069854796,91872.99457521457,311397.6065456774
116,1167547.5517631546,140169.96886894386,485888.8483756762
117,672767.1803153157,91230.23032645043,308084.37367834337
118,1172048.0571187735,141408.98085869476,489513.45478631184
119,673011.5748414546,92807.83743397892,312047.54275692627
120,1172240.1396279633,142892.96454843413,494517.31229382195
121,653829.6655354016,93123.71883607842,309874.02926784754
122,1176489.0231547207,146695.16598831117,498771.1922511216
123,668552.0624355413,97020.68319569062,314899.7972885333
124,1199305.0221090838,149912.48447936494,504326.3939525336
125,679393.3266773373,99415.16990275215,317417.2980659716
126,1227946.5771792307,156747.0188059872,515688.7952898983
127,670602.8426724859,100636.93311426509,320328.5184091795
128,1210122.090215169,155038.93402257096,515348.89933110215
129,671595.4556315541,101671.08286245167,319288.25910230726
130,1220128.0411479324,157621.4797304636,517566.0850536879
131,681089.6375490427,103878.76159717981,324168.04350190423
132,1234319.632870242,160212.17007479537,523019.42580142803
133,672229.3616819233,102691.83952663187,321823.9480753131
134,1223381.0101795793,157759.69294005912,522997.33570291847
135,670368.3357850313,103305.09886228945,323293.7011531573
136,1244612.75534527,161430.121608858,527065.178092178
137,653463.5497563556,103584.41832531337,319309.3897624146
138,1240881.078349501,161615.80137097556,529183.0423301533
139,648041.3828262165,102918.3017771868,317111.1930417996
140,1232530.0390311703,162884.90599632822,527511.8622654472
141,637385.9749568179,104182.33143494558,314983.022723943
142,1227935.8931667358,164404.70700566377,527471.3322820645
143,619393.695241414,103619.92145568877,309843.5706646703
144,1225741.2068894655,164791.69193087332,528141.4782667924
145,617619.7390502393,104298.65294712968,310711.50025571324
146,1241118.9196999073,166720.81284190994,531799.0068496894
147,601940.7787581533,103072.24714969471,303976.3164175339
148,1230445.7330935448,167120.91421683226,529932.5266983006
149,591270.4391176775,102741.05331419036,300753.2220955249
150,1217093.5670433268,164933.9459645562,527470.7609089743
151,567436.9589988142,100142.02508104034,295193.9080051668
152,1206256.4186009914,164346.40166804846,522032.87926441245
