Period,Mean_real_labour_income,Total_workers
49,6421.80382188919,10921644
50,6786.13483538819,11044406
51,7094.82089328529,11033276
52,7051.70669476592,11053255
53,6677.50779441193,11056328
54,6486.76481478895,11112610
55,6521.83541945801,11194364
56,6617.24643359544,11200955
57,6732.55475099859,11131472
58,6725.58191784654,11278755
59,6848.21489294141,11441722
60,6864.12219168918,11559243
61,6811.86864411163,11499225
62,6712.55529028831,11454332
63,6331.53688578529,11583591
64,6012.82687189068,11552257
65,5980.7396309251,11484302
66,5964.69692516807,11534098
67,5814.12701750824,11625552
68,5633.24553537283,11738891
69,5931.41495321902,11516006
70,6358.16459366044,9393836
71,5852.11310620088,10398983
72,5671.45691561127,11066627
73,5597.6186938836,11366819
74,5672.27087253354,11515642
75,5774.53357199342,11594033
76,5847.47135869317,11640027
77,5956.0052327024,11664020
78,6030.30756647724,11675829
79,6127.19668379902,11759760
80,6231.36372439152,11831949
81,6286.2523363782,11933405
82,6347.88741011202,11958655
83,6383.15985450326,11974792
84,6444.38994879596,12003685
85,6500.27245803909,12079629
86,6556.12236447633,12117411
87,6580.98199829237,12187472
88,6618.68474113645,12190318
89,6654.89828889945,12233835
90,6655.23750430782,12325696
91,6696.59970913962,12337804
92,6733.5333757069,12395517
93,6758.11078780866,12443624
94,6807.82946639976,12502937
95,6836.85551240628,12532208
96,6857.2227049298,12607137
97,6922.07289728387,12665492
98,6934.83916741138,12683308
99,6953.60161322186,12797359
100,6981.58970343522,12852862
101,7028.8756132242,12908165
102,7059.0706155898,12926440
103,7079.97922780199,12927037
104,7109.02086547122,12968739
105,7153.18765256561,13056035
106,7187.70393841391,13095925
107,7205.95139495738,13123400
108,7228.05667202747,13111660
109,7263.23837557455,13150175
110,7279.10870550745,13166111
111,7313.90734215691,13243454
112,7388.8649132987,13207474
113,7390.53952045182,13313111
114,7409.16159962742,13292382
115,7411.77469182115,13320645
116,7455.87471516578,13336764
117,7496.38077123971,13366253
118,7490.67957319736,13389910
119,7503.67552765323,13443056
120,7508.44799342639,13487788
121,7525.1718874965,13455265
122,7528.40349697779,13534535
123,7548.81415510045,13579699
124,7558.12666900911,13636569
125,7570.76580714212,13643202
126,7603.26355203655,13662915
127,7601.21201807121,13710175
128,7585.97233405448,13755425
129,7608.55338502958,13800748
130,7628.54715085572,13804603
131,7643.81174870122,13848934
132,7677.16939678801,13896784
133,7690.95299258685,13938588
134,7724.00579690143,13944864
135,7713.08022191983,14015334
136,7743.52904628924,14016515
137,7774.92315099872,14026488
138,7788.93461829909,14021769
139,7783.68847605748,14077903
140,7790.51577580453,14106983
141,7801.45801155486,14165858
142,7826.90865198604,14093786
143,7817.10013759279,14155480
144,7831.88325791013,14187258
145,7859.66714262321,14166798
146,7896.75833448551,14185319
147,7905.66130281035,14216354
148,7886.08732642716,14240893
149,7892.76634761893,14229056
150,7911.55031847459,14250752
151,7925.29526812419,14324987
152,7964.07479572157,14292201
