Period,Mean_real_labour_income,Total_workers
49,6421.80382188919,10921644
50,6786.13483538819,11044406
51,7094.82089328529,11033276
52,7051.70669476592,11053255
53,6677.50779441193,11056328
54,6486.76481478895,11112610
55,6521.83541945801,11194364
56,6617.24643359544,11200955
57,6732.55475099859,11131472
58,6725.58191784654,11278755
59,6848.21489294141,11441722
60,6864.12219168918,11559243
61,6811.86864411163,11499225
62,6712.55529028831,11454332
63,6331.53688578529,11583591
64,6012.82687189068,11552257
65,5980.7396309251,11484302
66,5964.69692516807,11534098
67,5814.12701750824,11625552
68,5633.24553537283,11738891
69,5930.04634320402,11516503
70,6356.44142717859,9393137
71,5852.73361873848,10398402
72,5673.90906442026,11064895
73,5570.0136746174,11363253
74,5599.89276184712,11523394
75,5653.20482568884,11595241
76,5682.98474683222,11631148
77,5747.37531200642,11656843
78,5776.72522128215,11666085
79,5820.22498875464,11741232
80,5861.96496760415,11759192
81,5918.09423983865,11793937
82,5964.8485093247,11816421
83,6033.44333034683,11851821
84,6086.20400830902,11880033
85,6118.89423250654,11909500
86,6150.14358398286,11970784
87,6160.68210349181,11954940
88,6193.44128066381,11958752
89,6226.99976577876,12027259
90,6251.74756102347,12055442
91,6260.38547507578,12128901
92,6293.63727290095,12197801
93,6277.40650877789,12214727
94,6298.24907511898,12231861
95,6326.09444368561,12299464
96,6335.94917333874,12359443
97,6363.88875115964,12377234
98,6364.07003438836,12406138
99,6382.56639361568,12465081
100,6404.43877878027,12456812
101,6440.37103447344,12561203
102,6462.06816535259,12576117
103,6483.4179652015,12613953
104,6525.08337674121,12662073
105,6550.53598271734,12719267
106,6563.73381647786,12693941
107,6591.68652533231,12724020
108,6612.49920143342,12752826
109,6622.16385155049,12784268
110,6629.02185771178,12793937
111,6640.64994567188,12801281
112,6672.43858901619,12869279
113,6670.71680340044,12884800
114,6706.51011438842,12866630
115,6736.4742237233,12861465
116,6769.56046653069,12908030
117,6775.34673955234,12959861
118,6781.89157964574,12995416
119,6790.7806070445,12970731
120,6774.32037624917,13066983
121,6791.10796531325,13103303
122,6825.8887601104,13114376
123,6812.92967413753,13138888
124,6827.19357024377,13139927
125,6811.64906055179,13178965
126,6849.92267822465,13109857
127,6831.37472390558,13186710
128,6855.98844662797,13175715
129,6868.26160472829,13172957
130,6865.83544758651,13248767
131,6877.72726396855,13252246
132,6898.6709796441,13284869
133,6910.02121757581,13263510
134,6919.68908596142,13314856
135,6901.858875063,13323638
136,6898.63819668364,13342122
137,6890.21166996847,13338644
138,6887.3014213796,13343700
139,6902.59907827384,13368221
140,6917.03053742703,13353623
141,6926.53330129324,13381321
142,6909.1321022114,13388136
143,6925.90658686057,13430891
144,6934.48436746101,13402981
145,6912.63803344357,13453386
146,6901.54808922006,13490199
147,6898.02830093673,13504743
148,6933.42298270393,13475226
149,6948.12205570903,13404835
150,6938.17199197139,13491187
151,6940.11151240743,13539006
152,6943.52275066516,13535072
