Period,Total_SIPA_income,Total_wage-earners_SIPA_contributions,Total_taxable_income,Total_gross_wages,Total_SAC,Total_autonomous_workers_SIPA_contributions,Total_Monotributo_SIPA_contributions,Monotributo_integrated_tax
49,17988019.321220327,17320699.40083426,61232536.883297056,61232536.883297056,0.0,394108.1804222275,180775.09740045,132052.346519127
50,22379333.03178837,21642292.92158854,76515354.62581182,65584589.67926728,10930764.946544547,465703.5818929306,175132.93196913804,137433.709053945
51,20205458.97902772,19529361.810349666,69102422.9191092,69102422.9191092,0.0,405476.53833606414,168204.55805787,146308.67469159103
52,23553440.32049666,22869582.703407004,80936677.09949112,69374294.65670668,11562382.442784447,420057.5241007907,160842.39892461,147082.42009179096
53,19176960.58468406,18559113.640244737,65686919.38833324,65686919.38833324,0.0,378365.8291956276,140577.151117346,141291.377323355
54,21688151.04984932,21038885.23178541,74480494.87218276,63840424.176156655,10640070.696026107,425863.35657065816,125514.56050608601,139839.858553094
55,19045032.32080425,18443724.58131699,65302080.01474721,65302080.01474721,0.0,385440.3081614534,116819.331608448,141497.285310513
56,22376521.585495096,21765608.827128142,77036131.55245928,66030969.90210796,11005161.650351329,397938.27520756086,111307.834127105,145238.07004612198
57,19662189.7180234,18975103.055851035,67156312.47059728,67156312.47059728,0.0,372259.8067040477,230951.83871745,119821.45250124198
58,23429956.557503525,22748995.609680504,80436152.12322062,68945273.24847482,11490878.874745803,361156.69270177314,230833.086616632,127101.66929230299
59,20729850.782745257,20033603.250041425,70812796.9948862,70812796.9948862,0.0,365046.00119984796,235074.21446758902,137324.738623426
60,24576152.846720204,23851407.721237857,84213581.34543684,72183069.72466014,12030511.62077669,399507.1439917394,227268.63258812405,139956.212717832
61,19420996.340728194,18708438.2683968,62749407.38089389,71056045.13168225,0.0,361091.81289226393,261746.055044055,128171.720564391
62,21906195.277020875,21223480.32569951,71187629.80954012,69123760.68881428,11520626.781469049,353223.9232414148,240298.69974531498,127417.611906623
63,18064743.43923779,17402796.403335255,58618536.62248252,65663200.74159784,0.0,355332.2386123109,223626.07885627495,118555.312048502
64,19869810.14864833,19251784.949250422,64878341.03315194,62299059.11408826,10383176.519014709,325424.02515666216,211134.75558703605,116380.59807743998
65,15932390.51797548,15327737.891530182,49010066.786752604,62108500.81252138,0.0,319819.14493875677,204289.49993350203,115062.830818626
66,18738337.732826892,18144745.802619327,58650872.806229874,62124156.289150044,10354026.048191674,315299.52647562267,201884.21960239703,109154.548756496
67,15900981.273238866,15254554.005513368,49499165.68488335,60536283.24271472,0.0,375698.396546243,197138.881595003,105128.55654892701
68,18058198.72335034,17443729.745876208,57086996.45315847,58696497.6359396,9782749.605989935,338859.71973829065,200974.10869069898,106621.641493055
69,16635722.278345766,16017945.679521993,52373071.43133567,61906091.34087234,0.0,329993.5972521468,209092.26730853095,112415.33466156301
70,18592415.617531534,17999594.82615833,59044247.438433856,59419747.33826761,9903291.223044602,336337.66260569927,199337.14946197998,81637.113293611
71,15891678.774301155,15276656.488370664,50292596.13112821,58498454.38919256,0.0,354252.4388210116,201110.381095399,85227.808591543
72,18583184.583795767,17989337.025626797,59329164.541285545,58863192.41692763,9810532.069487939,335439.3020438597,195986.656074677,89173.71435777201
73,16033077.259420283,15474262.339691555,51268456.206625335,58662700.58954829,0.0,300855.54260083335,192284.95567025302,93820.602082346
74,19018003.95617877,18450825.700341072,61195939.83493091,59877488.26677875,9979581.37779646,305051.5340642796,194167.93808458798,97083.976698334
75,16776721.80119479,16172752.94504812,53919143.678175755,60709707.215813406,0.0,334453.5524223417,199647.996114896,99810.43944204201
76,19995676.423370976,19361343.308494736,64547394.168829314,62341473.72435699,10390245.620726163,353759.4120079107,207882.53642766,103844.52348666899
77,17731828.69046077,17101674.174520764,57291680.757958554,63717075.56132176,0.0,347095.2414007007,210213.72778352996,104065.06679396001
78,20925519.24599061,20279266.305180058,67873404.42955656,64899531.952494435,10816588.658749074,356006.13293220254,215367.92175623198,106969.837317319
79,18330511.432819087,17656953.34093646,59384184.69783712,65403230.41306657,0.0,365521.7313040567,229361.49028531497,112392.671847511
80,21706684.69116411,21023260.823827125,70560830.0335345,67009565.28250608,11168260.88041768,385590.26586337603,222214.99543130602,108026.580060434
81,18953713.5863117,18249266.792337216,61600159.29163783,67287301.82618281,0.0,399259.0873133629,229346.02033393097,108345.266181702
82,22210002.344298508,21491820.758348357,72352539.68576606,68272749.70146996,11378791.616911659,409519.22776310367,232698.197820091,108520.229095655
83,19607833.10480355,18872512.68664942,63867927.10493877,69354209.69032916,0.0,422026.4741896541,236982.109843538,109016.90588706
84,22914101.29371479,22152870.23832833,74693249.36317351,70163059.24501923,11693843.207503205,428704.0736123743,253170.37894560402,113366.575469258
85,20342591.59972706,19566196.898874886,66324849.7269429,71649961.11241995,0.0,455354.02898895275,244982.04298151302,108655.18411673099
86,23520703.14930135,22728655.092333317,76755374.33895937,71773985.32941742,11962330.888236234,456813.29645836994,256605.881857976,112326.969502415
87,20769685.78049816,19995586.51740924,67903406.71654138,72991792.84300098,0.0,449305.0960290222,247962.591074209,109759.394265269
88,24129298.19980956,23343535.32935293,78951509.39764929,73520807.94417752,12253467.990696255,465504.2435015356,246298.764887288,105656.94581115198
89,21434147.83926109,20609194.657304045,70087646.16746448,75019230.11925398,0.0,480382.4496609814,266613.375462277,111367.652619694
90,24757642.673700467,23941856.40928391,81068084.08229853,75276188.20179638,12546031.366966063,464370.7950114795,271918.464187019,113567.150311508
91,21770024.22536879,20925533.902239207,71270720.66062124,75996458.83717126,0.0,496142.4154207225,269608.860365703,112484.35334737001
92,25467747.35294043,24647451.489486493,83569056.99285522,77373098.66980392,12895516.44496732,464801.04145246104,275444.641392569,114357.40086987101
93,22526834.069651928,21669212.147653304,73901361.15371601,78616145.37859623,0.0,492269.0762689479,283785.76177247,116524.40565315301
94,26211617.497207407,25361712.919912387,86055412.74987231,79528832.96044463,13254805.49340744,491045.2968199081,280203.779306255,112365.00166978898
